{'descr': '。', 'star': 5}
{'descr': '今天再去续住，打不开门，弄了半天是锁坏了。。', 'star': 5}
{'descr': '离地铁站好近哦，走路五分钟，本来以为只要100元的房间肯定很小，结果出乎意料的宽敞。前台服务态度也非常亲切，赞一个哦', 'star': 5}
{'descr': '干净、实惠， 离地铁站也很近，可以停车 很不错！', 'star': 5}
{'descr': '不错，到机场1号航站楼的士28元', 'star': 3}
{'descr': '还可以，离北新泾很近，是虹桥火车站和机场周转的经济实惠的好住处！', 'star': 5}
{'descr': '酒店干净清爽 服务也还好！！！就是现在是过年的时候  住的那晚周围放鞭炮很响 持续到1点多！！', 'star': 5}
{'descr': '汉庭是一家不错的酒店，里面环境好服务态度也好，是一家值得一去的酒店', 'star': 5}
{'descr': '房间比较干净，前台的服务也比较热情。\n酒店的停车场需要规划一下，感觉有点乱。', 'star': 5}
{'descr': '1.酒店天山西路南侧，北新泾站200米左右，交通方便。\n2.酒店周边环境静悠，房间虽在一楼，有靠外大窗，但绝对半点车行动作之声。休眠能得到充分的保证。\n3.室内装修简洁舒适，相对于百元的入住价格，性价比超高。百元价格入住来的多数酒店中，觉得最好的。\n4.稍不满意之处，暖气打不出来。。。', 'star': 5}
{'descr': '服务不错', 'star': 3}
{'descr': '酒店比较新，设施也比较新，入住不错，不过靠马路这一侧噪音比较大', 'star': 5}
{'descr': '地点太偏了，不好打的，早餐居然要加收18元一位。', 'star': 1}
{'descr': '新开的，设施也较新，锦江一贯的标准，性价比高', 'star': 5}
{'descr': '房间很干净，温馨舒适，蛮安静的，就是位置有些偏，离天鹅湖还是有一些距离的。。。', 'star': 5}
{'descr': '就是比较 近，其实离市区很远\n还可以啦~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '一行十八人自驾游到东北，回程时选择停在铁岭这个“大城市”，到店时间很晚，酒店一直为我们保留房间，并且提供热情的服务。酒店位置很好找，早餐10元很值！房间干净，家庭房比较宽敞，最吸引我们的一点是后院有很大的停车场，非常适合自驾游的朋友。', 'star': 5}
{'descr': '位置比较偏，不在市中心，但是对于自驾游的客人来说比较好找。没有专门的停车场，车子就停在酒店门口，或者对面的马路边。还比较安全，反正我们的四辆越野没出什么问题。酒店前面正在修桥，又脏又吵。酒店装修沿袭了如家一贯的风格，喜欢的会一直喜欢，不感兴趣的就不要选了。', 'star': 5}
{'descr': '以前住过，曾经旁边有个KTV，关了，好清静。', 'star': 5}
{'descr': '交通很便利，离西郊百联很近，吃的逛的都有，环境还不错，蛮安静的~~~', 'star': 5}
{'descr': '还不错~ 订了两间大床房， 有线的宽带速度比较慢，换了无线的 速度很给力', 'star': 5}
{'descr': '离地铁站很近，房间干净整洁，就是早餐差了点。', 'star': 5}
{'descr': '  酒店离2号线很近，走路到就可以不用打的的，房间设施还算齐全吧，定的是百元房性价比还是很高的。', 'star': 3}
{'descr': '离开地铁站较近，旁边有大卖场买东西方便，房间很干净，服务管理很好。。。', 'star': 5}
{'descr': '感觉不错。\n\n交通方便，环境也可以，不过房间有点小，已经对得起100元的价钱了。', 'star': 5}
{'descr': '没什么特别的，一切都是常规！因为入住很晚，没有太多心情，倒头便睡！只是感觉被子有点潮！', 'star': 5}
{'descr': '还可以吧 就是便宜 一般的经济型酒店 偶尔住一晚', 'star': 5}
{'descr': '环境很好和南京一样', 'star': 3}
{'descr': '不错，环境和卫生都可以都很不错，性价比很高，物有所值~~~', 'star': 5}
{'descr': '呵呵，很干净，说实话，没想到100元能住这么好房间，强烈推荐！就是他们家空调不怎么会使用，呵呵，空调师傅教了一下，才知道这么回事。还有一点做的不错的事是，房间里面没有放置要消费的物品，矿泉水也是免费的。下次去，肯定还是会去，强烈推荐，至于吃的，呵呵，还真的得去500米外。', 'star': 5}
{'descr': '晚上从虹桥国际机场打的，只需30元。房间和干净，服务态度也挺好。唯一的缺点就是附近吃的地方并不多。', 'star': 5}
{'descr': '挺干净的', 'star': 3}
{'descr': '房间还不错，，前台服务人员很热情。就是酒店前面的高架桥在修，很脏很乱，不过酒店后面有一个很大的市场，买东西很便宜。总体来说还不错了。', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': 'very good', 'star': 3}
{'descr': '酒店不错，就是周边找不到什么吃饭的地方，要走很远。', 'star': 5}
{'descr': '不错,窗外鸟语花香,很幽静.就是离超市\\地铁站远了点.', 'star': 5}
{'descr': '酒店离上海出国体检中心较近，周围也较安静，房间干净，服务员态度很好。唯一是周围没吃的。', 'star': 5}
{'descr': '这里的性价比非常高，房间干净整洁，服务态度还行', 'star': 5}
{'descr': '环境可以  干净  。就是在高架桥旁边  有的房间可能有些小吵  但是交通便利  旁边就是2号线  下次还来住  服务态度很相当不错', 'star': 5}
{'descr': '非常好，超值，还会来的…', 'star': 3}
{'descr': '很不错。', 'star': 3}
{'descr': '如果房間的隔音能好一點,地板能乾淨一點,床能舒服一點,樓下酒吧的低音砲能早點結束,那真的是不錯的了,離2號線近,表面上雖然不好找,但其實隨便問個商店老闆就知道了,208的商務大床房,在揚州絕對不值這個價,但在上海,將就將就了', 'star': 5}
{'descr': '这家汉庭离地铁2号线蛮近的整体还可以，房间小了些', 'star': 5}
{'descr': '离2号地铁站近，出行和到虹桥机场很方便。酒店卫生也不错，大床房如果再能加个小茶几放行李的话应该会更好', 'star': 5}
{'descr': '房间感觉小了点，离2号线地铁蛮近的,周围饭店也比较多', 'star': 5}
{'descr': '地板沒有掃干淨,其他都很好', 'star': 3}
{'descr': '离地铁近。去虹桥机场很方便，酒店干净整洁，价格合理。', 'star': 5}
{'descr': '离虹桥机场近，交通方便，酒店价格实惠，干净整洁。', 'star': 5}
{'descr': '当时考虑到酒店就在立交桥旁边，比较吵，想安排到另一侧。不想被安排到立交桥侧，而且比邻KTV，晚上回来时候听着撕心裂肺的哭号，实在是火了。找到前台，二话没说就给换了，真是人善被人欺，马善被人骑。\n\n汉庭怎么开始开歌厅了，服务员是不是晚上兼职方便。', 'star': 1}
{'descr': '比较干净,就是位置有点远,去城里要坐地铁,综合来说不错,性价比比较高,如果不在乎距离可以考虑,周围吃饭的地方不错', 'star': 5}
{'descr': '房间小，但服务态度不错，离2号线很近，走路5分钟到地铁，交通十分方便！！', 'star': 5}
{'descr': '服務人員態度親切 \n房間小了點 但乾淨 我住的是高級大床房 \n雖然不是無菸房 沒有聞到煙味\n缺點是隔音差一些 走道上的動靜都可以聽到\n整體評價還不錯 下次還會再訂這家', 'star': 5}
{'descr': '整体情况不错，有免费的水和安全套，就是价格高了点', 'star': 5}
{'descr': '就是地理位置有点偏，新的酒店设施还比较新，就是电视小了点，电梯还发生故障了，不过房间里有自动饮水机蛮不错的，世博会搞的房价和房源太紧张了', 'star': 5}
{'descr': '综合性价比还不错,房间的硬件和软件条件也比较到位.整体水平挺好的.', 'star': 5}
{'descr': '可能还是因为世博会期间吧，我认为性价比一般。但服务不错，表扬!', 'star': 5}
{'descr': '总体上来讲,酒店卫生整洁,但是隔音效果不好,尤其是我们的同胞喜欢大声喧哗,建议酒店在公共部位贴一些保持安静的提示.', 'star': 5}
{'descr': '服务和硬件条件比较到位.其它各方面条件也不错.性价比还是蛮高的.', 'star': 5}
{'descr': '酒店条件还行,因为连锁商务型酒店,也不能要求太高,这家酒店做得还不错,各方面都比较到位.', 'star': 5}
{'descr': '位置挺好，离二号地铁站挺近，房间里也挺干净的，感觉还不错。', 'star': 5}
{'descr': '房间里窗户很多，通风很好，也很安静，我很喜欢。', 'star': 5}
{'descr': '酒店位置比较安静，离地铁不远，房间不大，但是还算干净，出门叫车比较麻烦，需要酒店帮忙叫车', 'star': 5}
{'descr': '这个价位酒店这里算很不错了', 'star': 5}
{'descr': '帮朋友订的 说不错哦  主要是离虹桥机场很近,  也都方便', 'star': 5}
{'descr': '服务还不错，房间比较干净.在上海来讲位置有些偏.其它各方面条件还可以.', 'star': 5}
{'descr': '位置有点偏.其它各方面条件也一般，不过总得来说还不错.', 'star': 5}
{'descr': '经济型酒店，服务一般也就罢了。但电视也太滥了吧！让人怎么看世界杯？\r\n现在电视不贵吧？请换一个吧！\r\n网速还可以，位置也算不错，鼓励一下。', 'star': 1}
{'descr': '还可以，房间布置稍微简陋了一点，其他还可以。', 'star': 5}
{'descr': '这家酒店我住了几天，感觉还不错，房间里卫生打扫的挺干净，设施方面还可以，就是网线晚上不能用，感觉很不方便，酒店位置也不错，价格方面我觉得还是比较实惠的。', 'star': 5}
{'descr': '交通还是挺方便的，房间一般，不是很大。\r\n', 'star': 5}
{'descr': '世博期间订到房间算不错了,干净简洁吧,就隔音差点.', 'star': 5}
