{'descr': '适合商务出差，在商务区内还算方便。', 'star': 4}
{'descr': '锦江之星的水平一直都是这样，离客户的公司近，还不错', 'star': 4}
{'descr': ' .其它还好，就是房间隔音不好', 'star': 3}
{'descr': '房间还行~~但觉得价格高了点~~~~~~~位置比较好~~~', 'star': 5}
{'descr': '锦江之星亦庄店，房间干净卫生,特别是早餐和午餐价格合理方便,就是网速太慢。总体感觉很好，推荐给大家。', 'star': 3}
{'descr': ' 酒店住着很舒服，环境非常安静，就是位置不太好找。床很舒服很干净，总体来说非常好', 'star': 3}
{'descr': '＋第二次入住，环境还不错，就是稍微贵点。', 'star': 3}
{'descr': '＋环境还不错，挺好的', 'star': 3}
{'descr': ' 干净 下次还会入住', 'star': 3}
{'descr': '洗澡水太小 而且早上水太凉', 'star': 3}
{'descr': '还不错，看上去预订率还是蛮高的，我因为去的晚，所以只能用信用卡担保，一般只保留到6点，早饭18/人，一般。不过整个宾馆都有空调，昨天北京比较热，这个还是很给力的。', 'star': 5}
{'descr': '1. 服务还是很不错；\n2. 不好的地方就是隔音效果不好', 'star': 5}
{'descr': '酒店不错，位置不太好找，离城铁比较近，希望被子可以更干净一些', 'star': 5}
{'descr': '工作的需要就还可以,1楼不好，尤其靠大门，很吵', 'star': 5}
{'descr': '工作的需要就还可以工作的需要就还可以工作的需要就还可以', 'star': 5}
{'descr': '不错，经济型酒店，房间、床上用品、卫浴用品都比较干净，适合工作居住。', 'star': 5}
{'descr': '干净 就是餐厅菜太少了', 'star': 3}
{'descr': '在小区里面，比较安静，暖气也比较足\n就可惜房费不带早餐', 'star': 5}
{'descr': '不错，酒店环境很好，服务也周到，价位也适中。出门有地铁和公交，在亦庄这个偏僻的地方找个酒店还真不容易。', 'star': 5}
{'descr': '单人间很小，只能放下一张单人床！太可怜了！', 'star': 5}
{'descr': '比较偏，但是很干净，价格也合适。。。下次还是可以入住的', 'star': 5}
{'descr': '已经几次入住这家酒店了，各方面都不错，红烧狮子头很好吃。就是位置有点绕，不是很好找。', 'star': 5}
{'descr': '很好，环境能更好，停车位充足，服务台服也很好，干净卫生，很安静， 方便设施挺好，也干净，很满意', 'star': 5}
{'descr': '不错，环境好，安静，服务态度好，停车位富裕，还有一个茶餐厅，不用跑出去吃饭啦，很方便', 'star': 5}
{'descr': '安静是最大的优点，坐落在办公小区里，房间干净、环境不错，门口交通比较便利，有几趟公交和地铁站。就是周围吃饭的地方比较少，好在酒店的晚餐还不错，很喜欢他家的大馄饨。', 'star': 5}
{'descr': '经济实惠，附近配套稍微少一点。亦庄这里，客人住如家比较多', 'star': 5}
{'descr': '还不错，经济实惠;虽然没有早餐，但这个价格在北京已经很划算了', 'star': 5}
{'descr': '环境很优雅，前台服务很热情，就是地点有点偏僻，值得推荐！', 'star': 5}
{'descr': '价格可以，房间太小，而且不隔音，整体环境卫生不错', 'star': 5}
{'descr': '环境一般，不过在开发区这个地方吧  我只能说要求不要台高了不是，\n下次还得住。。。。', 'star': 5}
{'descr': '不错的酒店，价格适中，环境安静，我下次还会去住', 'star': 5}
{'descr': '真的不好找，但是很干净。床很舒服，枕头也很舒服。洗澡水比较小。餐厅的狮子头很好吃，吃了2份。早点很不错。', 'star': 5}
{'descr': '房间太小，一进房间还有一东西在飞', 'star': 3}
{'descr': '好，价廉物美', 'star': 3}
{'descr': '环境不错，就是交通不是很方便，其他的都没话说', 'star': 5}
{'descr': '静 安静的怕人   车白天方便  晚上不方便  全是黑车  ', 'star': 1}
{'descr': '环境不错', 'star': 3}
{'descr': '酒店环境很好，周围配套设施不错，服务态度也很好，下次还会选择入住这里。', 'star': 5}
{'descr': '离办事的地方比较近。方便。\n就是餐饮差了点！', 'star': 5}
{'descr': '在经济技术开发区办事，也好像没有别的选择了，好不错的', 'star': 5}
{'descr': '住宿条件不错，就是酒店附近的配套太少了。', 'star': 5}
{'descr': '除了地方偏不好买东西和房间小点外，其他都很不错。无论是服务员态度还是房间的舒适和整洁都很让人舒心。早点也不错。要是价格能稍稍再便宜一点就完美了。', 'star': 5}
{'descr': '住宿还是很舒适的。不过特价房中没有吹风机，还是不爽的。晚上洗完头发，都干不了', 'star': 5}
{'descr': '支持一下，支持一下，支持一下，支持一下，支持一下', 'star': 5}
{'descr': '房间门牌号码指使不够明确，绕了好久才找到！一次性拖鞋质量太差！', 'star': 5}
{'descr': '房间比较大，很干净。周围很安静，但不是很好找。。。。。。', 'star': 5}
{'descr': '确认速度很快，入住感觉还不错！电视再大点就好了，不过有网线也行了！', 'star': 5}
{'descr': '还行，吃东西不方便\r\n\r\n罗斐', 'star': 3}
{'descr': '酒店房间太小了，没人站立的地方，而且很偏僻，周围也没有任何购物或者餐厅，只能在酒店吃饭，而且菜很少。', 'star': 1}
{'descr': '卫生，安静，服务到位，设备齐全，餐厅好，，，', 'star': 5}
{'descr': '总体不错的酒店，性价比还行吧，下次来还值得考虑入住', 'star': 5}
{'descr': '被子很舒服 环境很不错  服务也很好  就是吃的不好', 'star': 5}
{'descr': '房间比较干净，服务还可以，周边交通不方便，晚餐结束早了点', 'star': 5}
{'descr': '还不错，经济实惠，服务也还好，比较干净，就是价格再便宜点就更好了。', 'star': 5}
{'descr': '锦江之星（北京亦庄店）环境不错，很干净，吃饭也很方便\n\n', 'star': 5}
{'descr': '锦江之星（北京亦庄店）环境不错，很干净，吃饭也很方便', 'star': 5}
{'descr': '很干净，但是位置有点偏！周围没什么吃饭的地方，主要是干净,ho', 'star': 5}
{'descr': '酒店位置不是很明显,但是环境不错,周边没什么餐饮.服务不错,入住比较舒适.', 'star': 5}
{'descr': '怎么说呢，总体一般，设施有点旧了，但服务水平还是不错的', 'star': 5}
{'descr': '地方真的很偏，居然在一个园区里面，没有明显的指路牌，很不好找。床上用品很舒服，睡得不错。', 'star': 5}
{'descr': '屋子里床较之马家堡店要小一些，而且有些潮', 'star': 1}
{'descr': '卫生条件还好，就是房间小了点', 'star': 5}
{'descr': '真的很不错', 'star': 5}
{'descr': 'hai ok', 'star': 5}
{'descr': '比较干净和安静，但是卫生间太小且设施也么有完全准备好!', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '一般，性价比还好', 'star': 5}
{'descr': '环境舒适，空气新鲜。很好！', 'star': 5}
{'descr': '内部环境和设施都不错，外部环境也不错，只是因为在产业园内，周边配套不全', 'star': 5}
{'descr': '这种酒店服务都是统一标准，不用多说。但在工业园内，交通不方便，门口只有黑出租。地下室的餐厅选择比较少应该改进！', 'star': 5}
{'descr': '没在那吃过饭不做评论。卫生不错，服务态度也挺好的，设施一般（比如说洗漱用品啥的有点低档了）。', 'star': 5}
{'descr': '酒店各方面感觉都不可以,但是周边也有一些此类型的酒店,价格也差不多,可以多比较一下', 'star': 5}
{'descr': '早点应该丰富些，其它还不错。', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
