{'短评内容': '服务态度不错，店面不大实则里面内有乾坤。', '短评打分': 5}
{'短评内容': '装修很漂亮~·但空间很小 环境还可以 是值得情侣去的好地方哦', '短评打分': 5}
{'短评内容': '服务态度还不错，房间布局挺有个性。就是面积小一点', '短评打分': 5}
{'短评内容': '没有二十四小时热水 太不方便了 排水也不好 \n隔音效果差 \n\n不过房间床很舒服 装扮也不错 还有电脑', '短评打分': 5}
{'短评内容': '美中不足的地方是前台太小。服务态度很满意。', '短评打分': 5}
{'短评内容': '房型多，装修较艺术。适合年轻人。唯一不足就是房间稍有些小，但是床挺舒服', '短评打分': 5}
{'短评内容': '我觉得酒店比较好找，然后服务也很热情，嘻嘻，房间很有感觉，就是地板稍微脏了点，其他真的很不错~隔音效果有待提高~', '短评打分': 5}
{'短评内容': '房间太小，早上还停水，床嘎吱响，不好，酒店周围环境很嘈杂', '短评打分': 3}
{'短评内容': '房间不大 但很整齐也很温馨 确实就是隔音不好 其他都很不错', '短评打分': 5}
{'短评内容': '很温馨，而且酒店的装饰很好··非常安静·适合年轻人去哦··希望大家以后有机会都去住哦·就是希望以后能够调整水压·有些时候洗澡的水不是很足··哈哈·总体来说还是不错的哟··', '短评打分': 5}
{'短评内容': '房间太小太小了，实在小得让人受不了。其他还好吧...................................................................................', '短评打分': 1}
{'短评内容': '这家酒店就是地理位置难找点，其他的还算是可以。房间比较干净装修也比较个性，隔音效果不算好！', '短评打分': 5}
