{'短评内容': '房间不大，地理位置方便', '短评打分': 2}
{'短评内容': '好像是附属于温州顺生酒店的快捷酒店，整体感觉这个价位不错，只是去的时候前台在装修，所以从后门进去稍微感觉有点冷，早餐是在顺生酒店主楼吃的，之前看过评价都说不错，只是要赶时间，没机会享受，可惜啊', '短评打分': 5}
{'短评内容': '唯一亮点：早餐。\n说明：该酒店位于温州顺生大酒店附属楼，入住则可享受四星早餐（但个人感觉有点赫然，呵呵）。\n酒店正在装修，前有马路后有市场，两边噪音很大，神经衰弱者晚上根本没法睡，并且酒店内部设施陈旧，特别是枕头非常不舒服。\n非常不推荐！\n', '短评打分': 1}
{'短评内容': '价格还行，房间小了一点，不过早餐挺不错的，服务还行，', '短评打分': 5}
{'短评内容': '还不错！位置市中心，不过房间有点旧，还有四星级的自助早餐', '短评打分': 5}
{'短评内容': '感覺還不錯，下次出差時還會選擇這家酒店。', '短评打分': 5}
{'短评内容': '这次入住的房间较差，墙纸有剥落磨损的地方，顶灯是坏的，椅子很旧还有烟烧的洞，空调声音非常大，热水壶是塑料的那种烧出来很浓的塑料味，还好后来给更换了顶灯，修的空调！不过房间打扫的人员和维修人员态度蛮好的！唉·总体不满意！', '短评打分': 1}
{'短评内容': ' 很方便', '短评打分': 3}
{'短评内容': '总体还可以·只是原先订的双人间条件不好·后更换回到的单人间条件还不错~地理位置也好·后面有个九山公园蛮不错的·但当天的前台服务人员真不好·严重影响心情·不过后来服务态度还可以·以后去还会住的·希望服务越来越好！', '短评打分': 5}
{'短评内容': '房间还可以，有点脏，地板比较恶心；标间的卫生间还可以，单间的就太小太小了。但早餐不错。', '短评打分': 5}
{'短评内容': '早餐不错，二人间还行，西站必竟老了，以前顺生也是很牛的。', '短评打分': 5}
{'短评内容': '早餐不错交通不错设施旧但价格很合适下回还住', '短评打分': 5}
{'短评内容': '房间马马虎虎，有点脏，尤其是地板比较恶心；标间的卫生间还可以，单间的就太小太小了。但是早餐很不错，很满意早餐。', '短评打分': 5}
{'短评内容': '前天己有评论，现再补充一点：\n最不可思议的是新建的顺生之星全部房间都没有电脑，且大堂无公用电脑之设，经理还建议客人租用商户中心的电脑，盛惠每小时15元，即经营理念是想方设法赚客户的钱，而不是想着为客户解决难题，更没想过当民居小店也在房中配备了电脑以吸引旅客，她们还生活在过去的岁月中不思进取，其它服务到是相当不错\n', '短评打分': 1}
{'短评内容': '早餐很不错，就是房间设施很陈旧，不过随便住住还可以。', '短评打分': 5}
{'短评内容': '早餐还满意。就是住三晚没看见房间有阳光哦，房间比较小应该是个特价房把，就是没说是特价房，感觉这点不舒服', '短评打分': 5}
{'短评内容': '很好~环境好，早餐不错哦。离开温州市中心很近了。', '短评打分': 5}
{'短评内容': '房间比较舒适…配得上这个价格了…', '短评打分': 3}
{'短评内容': ' 空调声音太大 房间还算大 但是离马路太近 声音响', '短评打分': 3}
{'短评内容': '＋硬件设施不错，早餐也不错', '短评打分': 3}
{'短评内容': '酒店虽然只是温州顺生酒店的附属低价酒店，但是和温州顺生酒店紧连在一起，前台虽然小一点但是服务态度很好。我们定的三人床房间非常大，空调效果非常好，高档酒店客房里应该配备的都有。价格只要220元，早餐就在顺生酒店吃，物超所值。下次住温州市区我一定还会住在这个酒店。', '短评打分': 5}
{'短评内容': '多次入住了，房间潮且小，就是早餐好，随4星酒店一起，', '短评打分': 5}
{'短评内容': '前台尤其是晚班服务员态度极差', '短评打分': 3}
{'短评内容': '酒店卫生比较差，而且单间很小，光线很暗，比较闹', '短评打分': 1}
{'短评内容': '顺生之星酒店，房间小，卫生间小，不过，一个人出差也可以了。早餐和顺生大酒店一起用餐，真的很不错。中午退房要是推迟到两点就更好了。', '短评打分': 3}
{'短评内容': '早餐不错，酒店这个价格过的去阿。。。1楼正在装修', '短评打分': 5}
{'短评内容': '房间很温馨，服务也很好，据说自助早餐很赞，每次都起不来吃，下次继续光顾。', '短评打分': 5}
{'短评内容': '价格合适，早餐很好，总体感谢觉性价比较高', '短评打分': 5}
{'短评内容': '很好的一家酒店，在市中心，到哪都方便，而且是一家星级酒店开的经济型。', '短评打分': 5}
{'短评内容': '很好的酒店，位置不错，周围的吃饭方便，房间的卫生还可以的。就是前台的服务员的态度不是很好，还有早餐很给力的', '短评打分': 5}
{'短评内容': '还行,还是值得住,觉得房间小点.早餐不错...', '短评打分': 5}
{'短评内容': '酒店早餐超值，和顺生酒店同个餐厅，呵呵四星级的哦', '短评打分': 5}
{'短评内容': '还行吧，就是挺吵的。\n可能外面在施工。.............', '短评打分': 1}
{'短评内容': '就在顺生大酒店旁边，位置在商业中心，交通很方便。早餐是在顺生大酒店吃，所以大家点评有四星标准。房间比较小些，这样的价格还算可以了。', '短评打分': 5}
{'短评内容': '就早餐给力，其他一般般~！~~！~！~！~！~！~！~！~', '短评打分': 5}
{'短评内容': '房间比较破，床单被子比较脏，卫生不好哦，传说中的早餐没去吃，不知道怎样，总之比较一般啦，不过好在比较便宜，冲这个价格吧~', '短评打分': 5}
{'短评内容': '酒店的早餐绝对是4星级早餐，房间也不错，有窗，一次性洗漱用品也齐全，价格也便宜，房间也很干净，晚上没事可以去江边走一走，离的不是很远，整体感觉很不错。', '短评打分': 5}
{'短评内容': '去的时候刚好在刷墙，过道气味难闻，酒店也没有采取什么措施。纯粹是冲着价格去的，还有就是早餐在主楼，不错。', '短评打分': 1}
{'短评内容': '房间破旧不堪，特别简陋，房间很小，早餐是四星的，旁边酒店的，酒店消费明码标价了，还要再加15%的税，感觉很不好。走廊也是很破旧的。', '短评打分': 1}
{'短评内容': '干净，早餐品种多，价有所值。应该是温州顺生酒店的小老弟吧，很小，早餐由温州顺生酒店供应。酒店窗户的安全性有待加强。', '短评打分': 5}
{'短评内容': '地理位置很不错哦，就是房间实在有点小，既然是酒店，房间大一点也好啊，还有空间 不够冷哈哈`~~~~.. 其他方面没什么问题', '短评打分': 5}
{'短评内容': '简直就是敲诈人嘛，去住的时候感觉一般，还行，可到了退房的时候，我傻眼了，因为出去吃饭了，回到酒店时12点过11分，现在住酒店不是都可以晚几分钟退的嘛，所以我也没在意，可一结账的时候，他说我超时了，要多收半天的房费90元，这是啥道理，你们说说，可押金在他那里不给都没招，气的我发誓从今以后不再去住了', '短评打分': 1}
{'短评内容': '就在四星顺生酒店的旁边附楼里，硬件条件不能比，房间设施一般，但地理位置不错，尤其早餐的确是惊喜绝对四星级的，至少同档酒店里绝无仅有，所以整体性价比还是不错的', '短评打分': 5}
{'短评内容': '，顺生之星酒店作为一家经济型酒店，卫生、房型均可，并有顺生大酒店作依托，解决早饭、停车问题；不足之处是卫生间小些。', '短评打分': 3}
{'短评内容': '评价中等，早餐不错，卫生一般。第一天睡了浑身痒，第二天换被后舒服了，需改进。', '短评打分': 3}
{'短评内容': '说实在的，这酒店除了四星级的早餐，其他没觉得什么好！大堂看着光鲜，客房走廊超级简陋，很破，房间也是，非常简陋，设施就像住简易房。服务还是不错的。', '短评打分': 5}
{'短评内容': '房间还可以，住了660房间，里面居然有个小冰箱，不过没插上用过。标间和单间相差30元，两个人的话，去补一张早餐券也是30元，早餐也就吃个氛围，东西还可以，但是总也吃不掉30块吧？呵呵。。宾馆走几步就是公园，稍微再走点路就是商业街了，或者门口坐公交出去，还是比较方便的。旁边饮食比较欠缺', '短评打分': 5}
{'短评内容': '很好挺干净的\n早餐更赞 比同等价位的其它酒店都好\n三人间更大更宽阔\u3000ccccccccccccccccccccccccc\n', '短评打分': 5}
{'短评内容': '打死不会再去了，服务态度差，房间装修老，空调噪声大的不的了，浴室还漏水。无语。·····································', '短评打分': 1}
{'短评内容': '就是马路边有点吵，其实和顺生大酒店还是不同的，在顺生大酒店的隔壁,服务员态度蛮好，早餐是自助的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '虽然设施陈旧了些，房间还算干净', '短评打分': 3}
{'短评内容': '顺生之星酒店虽说没有顺生大酒店豪华，但由于它卫生好，早餐与顺生大酒店一样，加上价格平宜，值得推荐。', '短评打分': 3}
{'短评内容': '地理位置好,早餐不错,不过不如以前好了,希望改进.', '短评打分': 5}
{'短评内容': '住宿条件还行，就是房间有些小，服务还可以，交通比较方便，下次出差还来住。', '短评打分': 5}
{'短评内容': '早餐很给力啊…四星级的自助早餐 哈哈 不过设备确实有点旧 上网带宽一般', '短评打分': 5}
{'短评内容': '三人间空间比较宽敞，双标就比较小了，而且设施都很陈旧，唯一好的就是早餐是在四星酒店内用的，这点总算值得庆幸，洗澡水很大的，就是周边没什么可吃饭的地方，除了对方有家迷宗蟹', '短评打分': 1}
{'短评内容': 'good value for money, specially the breakfast', '短评打分': 5}
{'短评内容': 'Not bad for the price you pay.', '短评打分': 5}
{'短评内容': '总体还可以，价格与服务算是比较相符吧，在温州比较相配。', '短评打分': 5}
{'短评内容': '早餐不错，还有餐厅服务。就是房间旧了点。', '短评打分': 5}
{'短评内容': '早餐很丰富。交通方便，卫生一般，还过得去，价格适中。', '短评打分': 5}
{'短评内容': '酒店位置还可以，交通比较方便，门口对面就是公交车，很方便。', '短评打分': 5}
{'短评内容': '很好------------------', '短评打分': 5}
{'短评内容': '总体说还可以，但是没有想像中的好，可能是期待太高了吧！', '短评打分': 1}
{'短评内容': '条件没有描述的那么好，确实有点失望。希望以后会改进！', '短评打分': 1}
{'短评内容': '酒店虽然有点旧，但是设备齐全，服务周到，价格合理。', '短评打分': 5}
{'短评内容': '早餐确实不错，不过旁边就是一个鞋的市场.', '短评打分': 5}
{'短评内容': '各方面都不错，性价很高的酒店，去温州优先考虑这家的，三星的价格，四星的体验', '短评打分': 5}
{'短评内容': '很不错的酒店，下次来温州一定还住这里，早餐确实丰富', '短评打分': 5}
{'短评内容': '早餐确实不错，因为是和顺生大酒店一起的，', '短评打分': 5}
{'短评内容': '位置很好，价格便宜，早餐挺好，房间网线只有一根，而且没有无线', '短评打分': 5}
{'短评内容': '在温州这个价位的酒店已经是不错的了，推荐', '短评打分': 5}
{'短评内容': '地段不错，早餐不错，房间内可消费的东西不是太多', '短评打分': 5}
{'短评内容': '还不错，价格便宜，早餐很好，但是单人间只送一个早餐，两人住就要再花钱买一个', '短评打分': 5}
{'短评内容': '早餐不错，这是最大的印象，价位算是比较低的了，双人间临街，比较吵', '短评打分': 5}
{'短评内容': '早餐还是不错的。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格公道，地理位置很好出行方便，房间卫生整洁，有机会继续入住。', '短评打分': 5}
{'短评内容': '住了多次，房间一般，早餐一级棒，建议试试', '短评打分': 5}
{'短评内容': '该酒店的设施已经比较陈旧了，很多地方都已经坏了，值得表扬的是酒店的早晨很好。', '短评打分': 1}
{'短评内容': '房间外噪音有点噪', '短评打分': 3}
{'短评内容': '还可以，这个价格在温州很难得，而且有早餐！', '短评打分': 5}
{'短评内容': '这家店的亮点在于自助早餐不错，住宿就不谈了，环境很旧地板很脏黏糊糊。\n看在价钱便宜的份上也就算了，但是退房的时候酒店说我动了房间一瓶水硬是多收了8块。\n天气热的要死楼下就是小卖部，我自己下楼买了冰啤酒和矿泉水的，根本就没动任何另外收费的东西，房间环境那么破我敢喝那水么。实在是赶着要去办事就不想搞了，反正以后是绝对不会再去。', '短评打分': 1}
{'短评内容': '＋房间还可以，就是旧了点，隔音效果不好。', '短评打分': 3}
{'短评内容': '还行地理位置好！是不错的酒店！环境差了点', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 3}
{'短评内容': '交通方便，位置不错，尤其是早上的自助餐，可选小吃太多了。每次来温州都住这里', '短评打分': 5}
{'短评内容': '早餐很好，房间一般。网速一般。位置很好。', '短评打分': 5}
{'短评内容': '早餐不错，交通便利，就是标间都靠近马路边。', '短评打分': 5}
{'短评内容': '酒店位置不错，管理也还好，早餐不错，只是设施陈旧', '短评打分': 5}
{'短评内容': '价格合理，早餐很不错。地点也处于较中心区。已推荐给朋友了。', '短评打分': 5}
{'短评内容': '房间小，噪音很大。不太推荐。房间小，噪音很大。不太推荐。', '短评打分': 1}
{'短评内容': '酒店还可以，只是设备陈旧，床上用品也很一般，但早餐还可以，望改进。', '短评打分': 5}
{'短评内容': '早餐还不错，房间也还可以，就是标间靠近马路，有时有点吵。其他的还可以。。。', '短评打分': 5}
{'短评内容': '环境不错，服务也很好，下次有机会再来光顾！', '短评打分': 5}
{'短评内容': '酒店不错，早餐也不错，只是酒店设施太陈旧，让人不舒服，希望改进。', '短评打分': 5}
{'短评内容': '这家酒店在温州来说是属于性价比不太高的酒店，酒店早餐很好，交通方便，房间不大！酒店服务态度好！ \n', '短评打分': 5}
{'短评内容': '还不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境有点吵', '短评打分': 3}
{'短评内容': '虽然小了点  但是住的还是很舒服的！！！早餐券没来得及去享用，应该是不错的 ！！！下次还会考虑的哦', '短评打分': 5}
{'短评内容': '沾了旁边四星级顺生大酒店的光，每天的早餐很不错。缺点是床很硬，洗浴用品非常极其的差。而且一次性拖鞋要是看着还能用，服务员绝对不会更换的！临街的房间非常的吵闹，周围也没什么可以吃饭的地方。不过旁边就是妙果寺和公园，环境不错。', '短评打分': 5}
{'短评内容': '房间比较小，但是还是比较舒适，性价比比较高，在市区交通比较方便', '短评打分': 5}
{'短评内容': ' 酒店还可以拉，早餐是丰盛极了！', '短评打分': 3}
{'短评内容': '很好，很强大！他说非得要我写20个字以内！', '短评打分': 5}
{'短评内容': '酒店不错,早餐很好!', '短评打分': 3}
{'短评内容': '环境还可以！', '短评打分': 3}
{'短评内容': '房间设施比较老旧，在大马路边隔音不好夜里车多，下面有歌厅声音大，不过，早餐很好！', '短评打分': 1}
{'短评内容': '交通非常方便，周围就餐也很方便，早餐很好，就价位而言，是旅游较好的选择之一。 ', '短评打分': 5}
{'短评内容': '性价比还可以啦，早餐丰盛，窗户隔音差，靠着大街有点吵', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '性价比很高,下次还会住这.', '短评打分': 3}
{'短评内容': '第二次入住 感觉还可以 就是装修有点老了 最值得的是酒店的早餐', '短评打分': 5}
{'短评内容': ':市中心,进出城车多难走,需要花一小时,酒店设施一般,按质论价,还算可以。早餐比较好', '短评打分': 3}
{'短评内容': '房间一般，早餐不错，但要去的早，我是7点过去的，吃了10分钟，就来了一个团队，一下子就拥挤了。酒店对水果比较吝啬，西瓜拿完就没见再上来。', '短评打分': 5}
{'短评内容': '地段很好呵，房间有股霉味，而且厕所门口还有白蚁驻的洞，希望可以改进，可以打70分吧，必进价格在那摆着呢。', '短评打分': 1}
{'短评内容': '早餐真的很不错呢，是在一个大酒店里！！房间比较小，离市区比较近', '短评打分': 5}
{'短评内容': '酒店不错，环境优雅，早餐不错，就是前台服务员不太会做事情，应该是新来，不错的酒店', '短评打分': 5}
