{'短评内容': '服务很好，但是房间里烟味太重。', '短评打分': 4}
{'短评内容': ' 服务态度很差，下次选择别家', '短评打分': 3}
{'短评内容': '缺点：房间内部设施老旧，没有宽带\n优点：地理位置好，周围环境也不错，停车方便', '短评打分': 5}
{'短评内容': '挺好，以后可以考虑', '短评打分': 3}
{'短评内容': '房间不错，床小点', '短评打分': 3}
{'短评内容': '沙洲宾馆服务态度好，周边商业配套也不错，早餐还不错，值得推荐', '短评打分': 5}
{'短评内容': ' 满意张家港沙州宾馆', '短评打分': 3}
{'短评内容': '沙洲宾馆的西楼重新装修后的环境不错，酒店服务态度很好，早餐很丰富。', '短评打分': 3}
{'短评内容': '沙洲宾馆的西楼重新装修后的环境不错，服务态度好，早餐丰富。', '短评打分': 3}
{'短评内容': '比较好的四星级宾馆，设施不错，服务也不错，值得推荐。', '短评打分': 3}
{'短评内容': '加100住国贸得了...沙宾简直是20年前的四星水准', '短评打分': 1}
{'短评内容': '沙洲宾馆服务态度不错，周边配套挺好，就是有一部份房间居然没有网络，是有点落后了。', '短评打分': 3}
{'短评内容': '交通还算方便，早餐也不错，就是房间的隔音不好！', '短评打分': 5}
{'短评内容': '张家港沙洲宾馆早餐比较丰富，内部设施也很不错，服务周到，周边配套很齐全。饮食出行都很方便，值得推荐。', '短评打分': 5}
{'短评内容': '很不错！感觉像酒店式公寓。除了地段有点偏，其他都很好。', '短评打分': 5}
{'短评内容': '不错的酒店，推荐不错的酒店，推荐不错的酒店，推荐', '短评打分': 5}
{'短评内容': '酒店老了，房间还算干净，但是三百多元的房价，我个人觉得性价比不高。酒店服务还不错。', '短评打分': 1}
{'短评内容': '很乱的酒店，服务差设施差，豪间还不如连锁酒店', '短评打分': 3}
{'短评内容': '不是很好，很久的酒店，而且一股霉味，有的房间连网线都没有，', '短评打分': 1}
{'短评内容': '总体上还是不错的。比起国贸和华芳，性价比算是高的。但前台的服务有待提高，服务员很木讷没有笑容。入口处都有遮拦，车子进出很不方便，要通行还要和保安理论一番。', '短评打分': 5}
{'短评内容': '完全让其给骗了，我在网上订的是豪单跟豪标，到店之后既然都是普标，理由是我给的价钱只能住这种房，但是网上给我的信息豪华间就是这个价，他们既然说他们在网上都是以豪相称的，我就不明白了，我说你们如果没有豪华单人间和标间那说成豪还情有可原，有豪你怎么能这样说，我要求其换，非要我加钱，我觉得这种行为就是欺骗消费者，很是气愤，再也不去住了！', '短评打分': 1}
{'短评内容': '+这酒店还行', '短评打分': 5}
{'短评内容': '电梯速度太慢，早餐太贵，品种少，口味一般，其他设施一般。', '短评打分': 3}
{'短评内容': '早餐不好，东西太少，价格高。电梯太差，只有一部而且特别慢。', '短评打分': 5}
{'短评内容': '性价比是可以的，位置比较，仅靠步行街，设施有些比较新，有的是旧，整体来说环境还不错', '短评打分': 5}
{'短评内容': ' 写的是毫华标准实际还达不到普标。', '短评打分': 5}
{'短评内容': '房间环境不错，大厅客房服务人员态度也不错。\r\n不过以县级市的老四星酒店来说，价格偏贵，不太值这个价。', '短评打分': 5}
{'短评内容': '房间既大且新，硬件非常好，就是服务差了点。当然这个价钱能住到这样的酒店已经很满意了', '短评打分': 3}
{'短评内容': '环境很好 设施很新 床很舒服 一定会继续入住 ', '短评打分': 5}
{'短评内容': '环境很好，设施也挺新的，就是主楼的电梯太慢了', '短评打分': 5}
{'短评内容': '对了,还有一点,这么高级别和这么贵价格的酒店,居然宽带网络还不是免费的,还不包含免费早餐,我是第一次遇到.', '短评打分': 3}
{'短评内容': '这个酒店因为是四星级,所以外部环境还是可以的,房间内的卫生间好象是重新装修过的,所以感觉还好的,不足的有以下几点:1.作为一个县级市的四星级的酒店来说,价格有点太贵,比重庆市的同级别酒店还要贵出许多,所以性价比比较差;2房间里的设施太旧太落后,电视机居然还在用很老的那种凸透镜显像管的,连平面直角的都不是,而且好象只有14寸,实在是老的不能再老了,和四星级的酒店太不相适应了;3.房间内的床也是那种老', '短评打分': 1}
{'短评内容': '酒店位置不错，离步行街和市政府都很近，适合商务客。328的房间在副楼的，设施比较老了，还没有早饭，另加的话要48，实在是不合算啊。', '短评打分': 5}
{'短评内容': '非常不错，设施可以 交通方便', '短评打分': 5}
{'短评内容': '价格还好', '短评打分': 5}
{'短评内容': '还好,早餐不行', '短评打分': 5}
{'短评内容': '没有行李员,没人理,要自己扛包包,而且宾馆没有接到ELONG的预订单,不知是ELONG还是宾馆的问题,耽误了入住时间', '短评打分': 1}
{'短评内容': '还可以，设备稍显陈旧，四星级的酒店设施更应该好一点', '短评打分': 5}
{'短评内容': '宾馆还不错，老宾馆了', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '有点陈旧，性价比不高。', '短评打分': 3}
{'短评内容': '房间较旧，感觉政府类的招待所，感觉不太好', '短评打分': 3}
{'短评内容': '不含早餐，性价比不高。房间一般，有点破旧。', '短评打分': 1}
{'短评内容': '小城镇中的老酒店！', '短评打分': 1}
{'短评内容': '酒店太老了，最多2星的标准！价格有点离谱！', '短评打分': 1}
{'短评内容': '我认为价格是比较优惠的，房间的设施条件也挺好，出门交通也算便利', '短评打分': 5}
{'短评内容': '很是一般啊，现在都什么年代了上网还要费用，况且主要是联网设备及其差，无线的也没有，郁闷，，下次暂不考虑', '短评打分': 1}
{'短评内容': '酒店的环境设施都还不错卫生也很好,很干净的酒店,位置价格也很合适.', '短评打分': 5}
{'短评内容': '环境比较好，离市中心较近，服务也周到', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;原来没有期待的，没有想到内部设施都不错，房间干净而且靠近酒吧的房间清净幽雅楼下有古筝演奏，不过费用方面，出过的钱绝对没有退掉的余地，这个有些不合理吧？&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '还不错。去过两次。希望下次去的时候服务态度能更好点。', '短评打分': 3}
{'短评内容': '新楼的单人间不错，就是价格贵了一点，国贸（5星）的价格也不过如此。', '短评打分': 3}
{'短评内容': '价格好象有问题我住过的&lt;br /&gt;\n只有140块', '短评打分': 3}
{'短评内容': '你们应该去试试国贸酒店！&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '很好啊，下次我一定去啊！', '短评打分': 3}
{'短评内容': 'not bad ! but now there is another hotel there.called zhangjiagang hotel. newer that shazhou hotel. the price almost the same but new rooms', '短评打分': 3}
{'短评内容': '早就听女友说沙洲宾馆如何如何的,确实自己也很想去住一个晚上,只是自己经济能力不足啊!!不过还好,今年年内要去张家港找工作了……又有机会见到我日思夜想的女友，人生中幸福的事情都被我碰上了，哈哈！！我听她说过，她们高考的时候就是在那里住的，不过好象没现在这么贵哦！！', '短评打分': 3}
