{'短评内容': '床很软很舒服自助餐很值', '短评打分': 5}
{'短评内容': '房间有点小但是因为新开的，环境还是不错的。早餐起晚了过去吃的时候已经没剩啥了，但是总体看上去东西也不多。有一点小失望。毕竟酒店的价格也不便宜啊~', '短评打分': 5}
{'短评内容': '酒店挺新的', '短评打分': 3}
{'短评内容': '酒店挺满意的', '短评打分': 3}
{'短评内容': '酒店设施蛮好，下次再入住，首选啊！！！！！！！！', '短评打分': 5}
{'短评内容': '模拟国际连锁“SOFITEL 索菲特”酒店的设计，空间颇大，床非常舒服，美中不足的是浴缸的龙头打开总是有些微锈水，泡澡的兴趣全失。太多水晶灯了，伸个懒腰就不小心会打到，而且时间久了会泛黄，总是不好看。', '短评打分': 5}
{'短评内容': '装修不错，地段就在市政府边上。下次去金华还会住这里', '短评打分': 5}
{'短评内容': '酒店是新开的 硬件很好 房间也大 客房部经理还亲自送来了小点心 非常热情 在金华算性价比超高的一家酒店 对了 门童好像是个印度人 ', '短评打分': 5}
{'短评内容': '酒店新开，硬件不错，吃饭上菜稍微慢点，整体上说，住着还比较舒服。饭后可以边上广场散步。', '短评打分': 5}
{'短评内容': '至尊欧景房性价比确实比较高。', '短评打分': 3}
{'短评内容': '悦华酒店环境舒适，房间宽敞干净，布置优雅，性价比高。赞一个！', '短评打分': 3}
{'短评内容': '昨天住了一天，不是今天有有事情走了，还会多住一下，周边还挺方便，房间应该的新装，没有异味，我对酒店比较挑的，服务和酒店的国家都不错，早餐问道也不错，下次有机会还来！', '短评打分': 5}
{'短评内容': '这酒店新装修，交通方便，房间挺干净的，不错的酒店', '短评打分': 5}
{'短评内容': '不错的酒店，硬件设施很到位！', '短评打分': 3}
{'短评内容': '饭店比较新，房间不算很大，但是很整洁，不过可能是新装修的缘故房间里还有点气味。饭店周边交通购物还是比较方便的，附近好像是个露天广场，晚上看到有人在放音乐跳舞，挺热闹的。\n我对饭店房间最看重的是3点：床要舒服干净，浴室下水要畅通，隔音要好。就这3点而言悦华还是比较让我满意的。下次来金华还会住这儿。', '短评打分': 5}
{'短评内容': '房间很大很温馨,设施完善，交通便利。不错', '短评打分': 5}
{'短评内容': '该酒店地处繁华地段，交通方便，酒店大堂豪华、精致，配套齐全；客房隔音效果好，虽地处闹市区但房内却很安静，空调效果好且静，配上舒适的床上用品，让我一觉睡到大天亮；酒店内服务人员态度热情、最让我印象深刻的是电梯里配有漂亮的电梯小姐，服务周到、细致！下次一定再去住，如果价格能更优惠点就更好了。', '短评打分': 5}
{'短评内容': '喜欢一个城市，是喜欢住在这个城市的感觉，金华悦华，悦的温馨，华的高贵。坐在空中花园仿佛享有这个城市之华，一览金华之美，走过这么多城市悦华让人迷恋回味……', '短评打分': 5}
{'短评内容': '这已经是第二次入住该酒店了,才知道这家酒店是新开的，地段很好，硬件已达到五星的水平，房间奢华舒适，浴缸很大，可惜大堂面积有点儿小，餐厅的装修的很别致豪华，菜也不错。 \n', '短评打分': 5}
{'短评内容': '酒店氛围温馨华贵,房间的视野很开阔,房间里的卫生间也很大,而且布置合理,房间里的床很大很舒适，送的水果也很好；最特别的是这家酒店里的水晶灯很漂亮，连电梯里都装了水晶灯，细微处做的很有品味。', '短评打分': 5}
{'短评内容': '酒店位置好，交通购物方便，位于金华市市政府边上，住的房间能看到金华的市民广场;设施一流，装修风格及酒店的陈设也相当的富丽堂皇，特别是吃饭的包厢很有韵味，房间的床铺也非常好睡。服务人员的服务态度很好！ \n下次来金华还要住这家酒店。', '短评打分': 5}
