{'短评内容': '比较满意，硬件设施差', '短评打分': 3}
{'短评内容': '悦雅居酒店规模不大，但很精致。打的从机场到南华路寻找21号费了些周折，因为门口没有明显的牌子，希望改进。不过房间干净整齐，装修的温馨自然，整个酒店好像一栋私人别墅，距离公路不远却安静悠闲，有闹中取静之妙。出去酒店不远有商业区，买东西吃饭还算方便。距离厦门大学很近，到鼓浪屿轮渡有很多公交车。到集美的宝姿也方便，出门坐959到终点站喜盈门既是。总之是体会厦门人生活的好去处，胜过星级酒店。', '短评打分': 5}
{'短评内容': '房间太小啊 \n\n早餐一般\n\n服务一般 早上有客人赶飞机 可值班服务员不在 急的啊 恨不得不店砸了\n\n而且没有机打的发票', '短评打分': 1}
{'短评内容': '1. 房间太小\n2. 设施太差，无地毯，墙上有脚印。\n3. 早餐极差，只有每人一个煎蛋、一小碗白粥，和一个类似盼盼法式小面包的东西，吃不下，只好出去吃。\n\n总之，性价比差。', '短评打分': 1}
{'短评内容': '闹中取静,环境优雅,房间很有特色,值得一住...', '短评打分': 5}
{'短评内容': '舒適溫馨的酒店，可惜是晚上十二點關門，對想夜出夜歸的客人很不方便。美中不足 ', '短评打分': 5}
{'短评内容': '＋酒店装修很特色,环境也好,卫生干净,睡觉不吵,适合情侣哈~就是吃的一般,晚上迟了没提供吃的,也没外送@.@', '短评打分': 3}
{'短评内容': '环境不错，位置也不错  就在厦门大学旁边。室内外咖啡吧也是很值得一说的，咖啡煮的不错。下次一定还会再来的。\n', '短评打分': 5}
{'短评内容': '酒店很不错！', '短评打分': 3}
{'短评内容': '不错的酒店。之前住过他家鼓浪屿上的另外一家酒店。\n都是别墅型酒店。环境很不错的说。\n服务人员的服务态度也很不错。下次一定还预订他家的酒店~', '短评打分': 5}
{'短评内容': '到店的当天主任很热情的接待了我们。\n朋友感到很意外，说这看似这么普通的酒店，服务态度却和星级酒店可以相媲美。\n房间也是蛮有特点，蛮有格调的。\n一栋别墅，一个院子，这个环境非常的好。\n很值得推荐。。', '短评打分': 5}
