{'短评内容': '真心不错，服务周到，床舒服', '短评打分': 5}
{'短评内容': '经济实惠。交通方便。总体不错··················', '短评打分': 5}
{'短评内容': '还可以··离火车站比较近。交通比较方便。', '短评打分': 5}
{'短评内容': '酒店不错～～～交通方便，房间整洁，服务优质……值得推荐！！！', '短评打分': 5}
{'短评内容': '老板很热情，新装修的房子，干净实惠，很值得大家去体', '短评打分': 5}
{'短评内容': '老板很热情，新装修的房子，干净实惠，很值得大家去体验！', '短评打分': 5}
{'短评内容': '第二次住这了，离火车站很近，很方便价格便宜，房间干净整洁，很温馨，就是晚上9、10点钟的时候网速有点慢。', '短评打分': 5}
{'短评内容': '摩登假日酒店不错，干净卫生，服务也不错，下次来邢台还入住这里。缺点就是能听到火车声。', '短评打分': 3}
{'短评内容': '，我在邢台摩登入住了，环境一般！', '短评打分': 3}
{'短评内容': '环境非常好，卫生打扫的非常干净，应该是新开业的酒店，屋内配置比如家的要好，价格也公道，关键是距离火车站只要两分钟的步行距离，非常好。', '短评打分': 5}
{'短评内容': '其他的都可以，就是没暖气，空调也不太好用，改进，网络就不用说了，爬', '短评打分': 5}
{'短评内容': '酒店环境很好，服务不错。值得推荐。唯一缺点网速有点慢。', '短评打分': 3}
{'短评内容': '酒店地理位置不错，离火车站超近，周边小吃也很多。早餐很有特点，一个面包，两根香肠，一袋牛奶，晚上还有果盘送。隔音差了一点，一天晚上，凌晨四点楼上还在叮叮咚咚的。郁闷！', '短评打分': 5}
{'短评内容': '酒店环境不错，离车站挺进。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店的位置不错，装修也很好！房间设施也很好。服务很好，还有水果赠送。床很舒服。寝具也很好。液晶电视够大，看着很棒！！！不足之处是房间里面没有暖气，只能开空调，卫生间里很大，没暖气，洗澡时有些冷！网速太不给力了！！！！！！慢的和蜗牛一样！打开网页特别慢！预定时看酒店的评论说下载速度1000kb/s，我估计也就不到100kb/s。真是急死人！！！网速要提升！总的来说还不错！除了网速和暖气外！', '短评打分': 5}
{'短评内容': '  价格实惠，温馨舒适，下次去邢台，还会光顾！！！！！！！！', '短评打分': 5}
{'短评内容': '这个酒店装修风格很好，离火车站就20米，交通很方便，房间干净、卫生、床也很舒适，网速真的很快；刚刚入住，服务员就送来了果盘，真的是太棒了！', '短评打分': 5}
{'短评内容': '酒店环境不错，床也很舒服，就是网速稍逊一些，还是很适合出差旅游人士居住的', '短评打分': 3}
