{'短评内容': '不错的选择，性价比很高', '短评打分': 5}
{'短评内容': '还可以，但隔音差了点，床垫不舒服，凹下去的样子，其他还好，', '短评打分': 5}
{'短评内容': ' 其他都没变，就是价格涨了', '短评打分': 3}
{'短评内容': '干净  停车方便 入住的特色大床房很有特色 很好', '短评打分': 5}
{'短评内容': '酒店格调还可以，地毯显得比较脏，停车很方便。', '短评打分': 5}
{'短评内容': '地理位置在松柏汽车站出站口，出了站口右走见到路口再右拐，就好了，位置还好找。房间铺的是黄地毯，打扫的不够干净，设施很上乘', '短评打分': 5}
{'短评内容': '非常适合自驾旅游 停车方便 住宿简洁 舒适', '短评打分': 5}
{'短评内容': '停车方便 入住舒适  VERY GOOD', '短评打分': 5}
{'短评内容': '除了刚才的点评外，还有一点要补充，退房速度倒是很令人满意，房间电话不分长途还是市话都可以任打，配备分体空调，还是冷暖的，上网网线也配备了，设施方面确实很不错，装修也很漂亮！', '短评打分': 5}
{'短评内容': '汽车旅馆，还行。周围是汽车一条街，还有大润发超市。卫生间热水很大，就是排水比较慢。比较适合自驾游客。', '短评打分': 5}
{'短评内容': '这间酒店订房要信用卡担保，到了该酒店的时候还不能换房，明明已经要入住了，想换个好点的房间也不行，前台还说要想换房也行，得重新开一间房，不过网上订的房间照样扣一晚住费，我去过许多国家第一次遇到这种霸王条款，还有房间简陋，电视节目极少、电影是N年前的，隔音差，早餐性价比极低，根本不值那个价，要在附近找吃的就难上加难，退房的时候要等半个多小时，各位小心用信用卡订房。\n', '短评打分': 1}
{'短评内容': '真的是很不错，服务很好，下次还会来住的！~~', '短评打分': 5}
{'短评内容': '酒店整体都还不错，还续住了一天，周围很方便，有超市、电影院...缺点就是隔音效果好差，很吵，半夜经常被吵醒', '短评打分': 1}
{'短评内容': '酒店的地理位置还行，就是隔音效果很差！特别吵！房间但是还是不错的！其他还都不错！', '短评打分': 5}
{'短评内容': '这次是第二次入住，还是那句话，性价比很高，但是也发现同样是大床房面积却各有不同，第一次住的时候房间挺大的，这次的比较小一些，能不能拿到大房间看人品啊', '短评打分': 5}
{'短评内容': '环境还可以还有冷暖空调，很不错，就是隔音不是很好，有点吵。', '短评打分': 5}
{'短评内容': '很漂亮的酒店，价格好，服务也还不错，硬件条件都很新，就是位置稍有一点点不太好找', '短评打分': 5}
{'短评内容': '房间设施一般，性价比不高，好在停车方便。', '短评打分': 1}
{'短评内容': '还可以，这个价位，位置不错，交通便利。还算干净', '短评打分': 5}
{'短评内容': '嗯，感觉还行，就是价格还是有点高，性价比不是很高。', '短评打分': 5}
{'短评内容': '一般的连锁酒店啦，还可以就是了，主要靠汽车站很近，对面就是文化艺术广场，其他的，反正酒店都那样，', '短评打分': 5}
{'短评内容': '总体来说 都不错  不过性价比不是很高  价格还好  地方有点难找 不过也是市中心啦', '短评打分': 3}
{'短评内容': '设施有点陈旧，但前台服务态度很好~！！位置离市中心有点偏', '短评打分': 5}
{'短评内容': '床单有血渍，淋浴房易积水，洗完澡脚还淹在水里，就是可以在车里完成登记，挺新鲜的', '短评打分': 1}
{'短评内容': '服务很好，房间也很棒，非常满意', '短评打分': 5}
{'短评内容': '环境幽雅，条件不错，交通便利,度过了两个心情舒畅的夜晚。', '短评打分': 3}
{'短评内容': '环境幽雅，交通便利，条件不错', '短评打分': 5}
{'短评内容': '   环境还不错  位子有点偏 不过也算市中心吧\r\n', '短评打分': 3}
{'短评内容': '这个酒店比较有特色， 特别适合有车一族的，我预订的是大床房，房间比较干净，有点情调，跟北方的大炕差不多， 单房间很舒服。酒店位置也比较好，靠近松柏长途车站。 ', '短评打分': 5}
{'短评内容': '+还可以   隔音较差', '短评打分': 5}
{'短评内容': '离车站很近，环境也还不错，对出行的来说很方便', '短评打分': 5}
{'短评内容': '前台态度很好很亲切，房间环境卫生舒适，不过没想像中大，而且居然在房间地板上发现不太应该出现的小卡片', '短评打分': 5}
{'短评内容': '个性装修，申鹭达水暖，箭牌卫浴，加上山水DVD，床也很软很舒服。下次还想住。。', '短评打分': 5}
{'短评内容': '前台服务小姐态度很好,沐浴露和洗发水不错，竟然是强生和飘柔，房间面积不错，性价比很好。唯一缺点就是位置不是很好，旁边虽然有大超市，但是还是需要打的前往。', '短评打分': 5}
{'短评内容': '房间虽然不大,但算有特色.', '短评打分': 5}
{'短评内容': '服务态度非常好，很干净，床也非常舒服，临走了还送我们一张厦门地图，有机会下次一定还去，一点不比汉庭等连锁酒店差', '短评打分': 5}
{'短评内容': '真的不错，经济实惠，最重要的是温馨干净！', '短评打分': 5}
{'短评内容': '都觉得还好！挺满意的', '短评打分': 5}
{'短评内容': '环境还不错 只是有点偏僻\r\n', '短评打分': 5}
{'短评内容': '开车一族的不二选择，房间也很大很新，很不错', '短评打分': 5}
{'短评内容': '性价比蛮高的，因为我定的是199的，房间算很大了，电视是特别好，空调还是美的的，那开起来真叫爽啊！位置也很不错，就在大润发旁边，反正一切都很满意', '短评打分': 5}
{'短评内容': '综合比较很不错的酒店', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 3}
{'短评内容': '青年阳光汽车旅店松柏店,室内装修比较漂亮,卫生状况不错,服务周到,一楼的电脑和打印机帮我很大忙,总之还不错。', '短评打分': 5}
{'短评内容': '酒店的服务很好，床好舒服', '短评打分': 5}
{'短评内容': '酒店非常干净，装修也是十分不错，但刚进大堂付了订金却发现新文灶店的打折宣传，超级郁闷…', '短评打分': 5}
{'短评内容': '总休感觉不错,交通也较方便,就是价格偏高', '短评打分': 5}
{'短评内容': '因为第二天要去南靖土楼，所以选择了离湖滨南路长途汽车站比较近的酒店，打车起步价就可以到。房间挺干净，有IPTV和空调，住起来也挺舒服的。大堂旁边就是个挺大的室内停车场，自驾的朋友应该很幸福了 \r\n', '短评打分': 3}
{'短评内容': '因为第二天要去南靖土楼，所以选择了离湖滨南路长途汽车站比较近的酒店，打车起步价就可以到。房间挺干净，有IPTV和空调，住起来也挺舒服的。大堂旁边就是个挺大的室内停车场，自驾的朋友应该很幸福了', '短评打分': 5}
{'短评内容': '1.青年阳光酒店系列是走时尚路线，经过了一点点心思装修的，硬件比较差，但是用的沐浴露洗发露之类比较好。\r\n2.白色的床单，枕套上可以看到遗留的痕迹，心里有一点点不舒服。地板很脏，后滨店也是。\r\n3.松柏店的服务是非常的好，人很和气。但是后来预定的文灶店服务特别差，问个地址问了4次都没要到，对于外地过去的人，真是很差很差的服务。', '短评打分': 5}
{'短评内容': '隔音效果不好，管理不规范，有好多发小广告的，卫生一般，服务还可以，价格再低一些，下次还会考虑入住。', '短评打分': 5}
{'短评内容': '比较新潮.装修风格也不错.比较适合时尚一族入住.性价比挺高的.', '短评打分': 5}
{'短评内容': '价格感觉有些贵了，卫生和设施都还行，因为当时确实也是去看演唱会所以服务方面倒是也没有注意多少睡醒之后第二天也就走了，位置还是挺不错的，我是比较满意这家酒店的，还是挺不错的。', '短评打分': 5}
{'短评内容': '還不錯', '短评打分': 5}
{'短评内容': '这个酒店是我最喜欢的酒店之一了，干净，卫生，位置不错，服务也不错。全新的酒店，而且可以免下车登记。每个房间的布局和床不一样，电视还带有U盘功能，可以把手机里面的歌拿到电视上面听。', '短评打分': 5}
{'短评内容': '服务态度好,房间不错', '短评打分': 5}
{'短评内容': '卫生一般，服务还不错，位置嘛因人而异，个人觉得要逛室内、或者出门坐公交车的话还是很方便的，只是春节期间价格上涨了一百块，性价比稍低了一点。', '短评打分': 5}
{'短评内容': '服务意识不错，不下车check in首次享受。', '短评打分': 5}
{'短评内容': '很干净。环境很好', '短评打分': 5}
{'短评内容': '总体感觉很不错，就是地板太滑，自己得注意。', '短评打分': 5}
{'短评内容': '卫生、服务不错，隔音效果比较不好，能听到隔壁的声音。。。', '短评打分': 5}
{'短评内容': '条件一般，没有说得那么好，服务挺热情。性价比不算高，但是想想服务挺热情，也不错了，出门在外就图个顺心~', '短评打分': 5}
{'短评内容': '很不错的一地方。', '短评打分': 5}
