{'短评内容': '交通方便，设施齐全', '短评打分': 5}
{'短评内容': '热水很热、很舒适、基础设施全套！！！！', '短评打分': 5}
{'短评内容': '标间空间紧凑,卫生条件还行.但卫生间门为玻璃门，不太方便。前台对其他方式的会员订房态度不够热情。', '短评打分': 5}
{'短评内容': '酒店离兰大很近，看了其他评论才入住，很方便，离机场巴士很近。', '短评打分': 5}
{'短评内容': '整体不错，地理位置好！', '短评打分': 3}
{'短评内容': '房间还不错，有点味道需开窗通风', '短评打分': 3}
{'短评内容': '综合条件不错综合条件不错综合条件不错综合条件不错综合条件不错', '短评打分': 5}
{'短评内容': '酒店还算干净，位置挺方便，卫生间很宽敞，的确适合家庭带孩子使用。就是枕头太少了，习惯睡高枕总台说是配套的没有多余的。停车不方便，而且还收费。', '短评打分': 3}
{'短评内容': '方便。快捷，就是相对于兰州的物价来说，有点小贵', '短评打分': 5}
{'短评内容': ' 家庭房比较宽大不错', '短评打分': 3}
{'短评内容': ' 家庭房不错很宽大', '短评打分': 3}
{'短评内容': '不错，就在兰大斜对面，离机场大巴起点、终点都很近，周围吃的非常多，超市影院都有，适合出行居住。', '短评打分': 5}
{'短评内容': ' 感觉还不错性价比不错', '短评打分': 3}
{'短评内容': '很不错的酒店，环境好，服务好，床睡得舒服，出行也很方便。', '短评打分': 5}
{'短评内容': ' 前台mm很漂亮，还帮我找纸袋，服务周到', '短评打分': 3}
{'短评内容': '这家汉庭感觉很好，不过后来住的那间浴室漏水，望改进！', '短评打分': 3}
{'短评内容': '水很热，也很安静，交通方便，下次还会入住', '短评打分': 5}
{'短评内容': '地理位置不错,旁边有个超市,吃饭也方便,对面就是兰大 没事可以去转悠转悠', '短评打分': 5}
{'短评内容': '紧邻机场大巴终点站,特别方便；房间干净,还不错，床头有网线，这个我最喜欢，可以躺在床上上网', '短评打分': 5}
{'短评内容': '位置好，干净卫生。入店后服务也不错。只是在我自驾车进兰州城时，打电话给前台，你店是在兰大东门还是西门？前台女的竟然说，我不知道东门西门，只知道正门。害的我绕了好几圈才找到。', '短评打分': 5}
{'短评内容': '酒店不错的，卫生干净，冬天暖气很好，交通便利，感觉很好', '短评打分': 5}
{'短评内容': '很好，很温馨', '短评打分': 3}
{'短评内容': '房间挺好，为什么说的返现没返那，客服解释的也是一塌糊涂.....', '短评打分': 5}
{'短评内容': '地理位置好，离机场大巴终点站和大型超市仅100米左右，交通方便，正对面就是兰大。我住的是家庭房，卫生间大，房间非常干净，暖气很热。性价比比较高。', '短评打分': 5}
{'短评内容': '不错，交通方便~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '都很好。。。到兰州就住这，从开业就如此。。。不过这次12点半退房收了半天的房费。。由于时间紧迫，也没多说什么，有点郁闷', '短评打分': 5}
{'短评内容': '环境好 交通便利 服务周到 值得入住 不会后悔', '短评打分': 5}
{'短评内容': '离火车站比较近，房间还不错，还有免费的咖啡和橙汁。', '短评打分': 5}
{'短评内容': '总体来说不错，位置好，坐火车，坐名航大巴都很方便，早餐品种丰富。服务人员态度好。\n但上电梯要刷卡不是很方便，枕头有两个，明显下面那一个很久没有换过枕套，我们住了三晚，换了一个房间，都是相同的问题，有一个枕套没有换，我们住的家庭房，两张床都是如此', '短评打分': 5}
{'短评内容': '中转兰州都在这住，离去飞机场的大巴也近，走路十五分钟，坐一路班车只要一站。', '短评打分': 3}
{'短评内容': '第一次入住汉庭酒店觉得挺干净的，价格也便宜，以后还会入住的。', '短评打分': 5}
{'短评内容': '房间整洁。出入很方便。服务态度也很好！谢谢！', '短评打分': 5}
{'短评内容': '房间比较小，但是布置的还是比较干净的。由于到兰州比较晚了，因此就近找了家快捷酒店，印象还可以。', '短评打分': 5}
{'短评内容': '酒店地里位置很好，离火车站近，旁边有大超市，下次还选这里。', '短评打分': 3}
{'短评内容': '此酒店服务不错！', '短评打分': 3}
{'短评内容': '酒店离火车站很近，环境不错呀。', '短评打分': 3}
{'短评内容': '还不错，很干净，房间很大', '短评打分': 3}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '自驾游推荐该酒店，进出城方便，而且周围吃饭的地方也多，马路对面就是兰州大学，停车位也不少，但是需要缴费的，一晚5元。酒店内的早餐是我这次旅行中所有酒店早餐最好的，品种丰富，很可口，也不贵。酒店的隔音效果不错，修马路的噪音也能降到很低。就是酒店大门口的垃圾堆太味儿了，建议及时清理，否则每个来店的客人都要先忍受那个味道。', '短评打分': 5}
{'短评内容': '酒店一般了，停车倒是很方便。房间一股味道，前台办入住手续超慢。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店房间还是很干净的，地段也不错比较近火车站，走路过去也可以，的士不用跳表，去机场巴士也是，走路也可以，的士也是不用跳表。设施也不错，里面的设施都挺齐全的，感觉很新。服务也挺好的，总之感觉还是不错的。', '短评打分': 5}
{'短评内容': '交通很方便，出门有超市，饭店，就是酒店不提供早餐，如能提供早餐就更好了，环境换可以，干净卫生，要求填的字数太多', '短评打分': 5}
{'短评内容': '设施齐全，干净，卫生间很大，热水不错！清爽，就在兰大斜对面。背面就是兰大附中的操场！交通方便。就近可以吃到地道的兰州拉面和西安肉夹馍！ 华润超市就在附件，非常便捷。', '短评打分': 5}
{'短评内容': '卫生间超大', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '卫生还可以，家具简单，经济型房，还算舒适随意。', '短评打分': 3}
{'短评内容': '交通比较方便，到坐机场大巴的地方只需要5分钟路程，房间不大但干净卫生，附近有大型超市，楼下有网吧，觉得还是不错的。', '短评打分': 5}
{'短评内容': '住的高级大床房，房间不算大，但卫生很不错，隔音也不错，但是挨着大马路有点吵，服务员态度还可以。就是电视有点小。\n晚上11点多到店，第一次在兰州住汉庭，居然发生了点小插曲，服务员不知道是怎么搞的，给我开的235房间，开门一看，居然里面有人；赶紧下来到前台，服务员居然很纳闷，又给换了一间6楼的。不过服务员态度尚可。', '短评打分': 5}
{'短评内容': '干净，面积也可以。后面是学校比较清净，可以免费上网1小时。停车不太方便。', '短评打分': 5}
{'短评内容': '说是商务大床房，房间却很小，仅能容下一张大床而已。毛巾比较陈旧，地板瓷砖也老旧了。位置还可以吧，兰大对面，离民航班车上车点很近。', '短评打分': 1}
{'短评内容': '交通方便，设施中规中矩，房间有点小，但1个人也够了，还送瓶水，总体满意。', '短评打分': 5}
{'短评内容': '地理位置很好，条件也不错，下次来还住这里。', '短评打分': 5}
{'短评内容': '家庭间很适合家庭出游，房间大，卫生间大，推荐入住。', '短评打分': 5}
{'短评内容': '房间很干净，卫生间大，服务水准不错，推荐入住。', '短评打分': 5}
{'短评内容': '房间很干净 有点吵 大床房要比标间小很多 压抑', '短评打分': 5}
{'短评内容': '中规中矩，具备快捷酒店的典型特点，干净，清爽，服务态度好。', '短评打分': 5}
{'短评内容': '我感觉不错,酒店卫生条件很好,汉庭在各处的连锁店好象都有统一的布置,这样就不用担心了', '短评打分': 5}
{'短评内容': '汉庭是很规范的，包括房间内的设施和前台的服务，每个房间都有窗户，阳光空气不错，床很大，卫生间干净整洁。前台服务员年轻漂亮有活力，有电脑免费上网，还有咖啡和茶可以免费享用。', '短评打分': 5}
{'短评内容': '干净 卫生 安静  推荐  如果能解决会员升级问题会更好 早餐有点单调', '短评打分': 5}
{'短评内容': '干净 卫生 安静  推荐 只是汉庭会员卡太让人伤心，新入会的可以打折，老会员升金卡不能打折', '短评打分': 5}
{'短评内容': '房间很干净，位置不错，服务很好，推荐。', '短评打分': 3}
{'短评内容': '酒店不错。不过靠南边的房间窗户隔音效果差强人意。每天一早就被路上的车声吵醒了。我住的还是六楼呢。', '短评打分': 5}
{'短评内容': '服务很好,临街房间隔音不好', '短评打分': 3}
{'短评内容': '酒店距离火车站和机场大巴终点站很近。住的高级大床房，六楼明显好过五楼。个人建议不要住在拐角的房间。', '短评打分': 5}
{'短评内容': '房间不大，淋浴房不大，有点浪费卫生间空间，服务不错，也还干净。', '短评打分': 5}
{'短评内容': '酒店位置好，下了机场大巴就是，服务员的态度非常好，环境也好', '短评打分': 5}
{'短评内容': '汉庭做的不错，感觉比新开的如家要好一些。\n100元的周日百元房性价比太高了', '短评打分': 3}
{'短评内容': '位置离机场巴士很近。屋内有两个网线，很方便。', '短评打分': 5}
{'短评内容': '还挺不错的，就是水龙头是坏的。下次来会考虑一下...', '短评打分': 1}
{'短评内容': '服务周到，环境幽雅。很好', '短评打分': 3}
{'短评内容': '周日百元房性价比不错，房间干净，床比较大，很喜欢。床垫不好，睡觉起来腰酸背疼脖子不能乱动。热水挺舒服的。临街，不算很吵。衣帽间特别的小。', '短评打分': 5}
{'短评内容': '环境挺好的，干净，地段也好，离火车站和飞机大巴都近！安全性应该也可以，坐电梯都要刷房卡的！以后到兰州，还住这边！', '短评打分': 5}
{'短评内容': '房间太小，感觉很压抑，电视机也太小了，眼睛很不舒服', '短评打分': 1}
{'短评内容': '挺好的。只是贵了点。如果是7天连锁的价钱就好了。', '短评打分': 5}
{'短评内容': '服务热情，周到，安全，干净，出差旅行理想之选！下次还住汉庭酒店', '短评打分': 5}
{'短评内容': '酒店在兰大对面，交通出行蛮方便的，房间卫生条件挺好的，床睡着很舒服，性价比较高', '短评打分': 5}
{'短评内容': '  汉庭不错哦 给住户想的很周到 尤其是住房的吹风机 我很喜欢 房间也比较干净 ', '短评打分': 3}
{'短评内容': '房间干净，装修的很现代，酒店早餐很好，服务很不错，距离火车站，出行很方便', '短评打分': 5}
{'短评内容': '汉亭酒店干净卫生，房价适中，是理想选择，推荐！', '短评打分': 3}
{'短评内容': '不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！不错！', '短评打分': 5}
{'短评内容': '汉庭的客房及服务很好，值得推荐', '短评打分': 3}
{'短评内容': '非常不错的酒店 \n很干净 服务也好 下次继续住', '短评打分': 5}
{'短评内容': '交通很方便，正好是机场大巴的终点站，房间装修的还行。简洁大方，卫生条件挺好的，住宿环境不错', '短评打分': 5}
{'短评内容': '各方面都很好', '短评打分': 3}
{'短评内容': '很干净简洁的酒店，服务很好，下次还选择这个', '短评打分': 5}
{'短评内容': '这家汉庭地方不错，交通方便，我很喜欢！窗户大，光线挺好！', '短评打分': 3}
{'短评内容': '酒店地段不错，环境很好，周边交通出行方便，房间干净，服务热情周到', '短评打分': 5}
{'短评内容': '不错，就是冷了点，要一直开空调，大家注意哦！！！', '短评打分': 5}
{'短评内容': '新开业的酒店，位置不错，下了机场大巴就是了，房间设施很新，房间舒适度很好', '短评打分': 5}
{'短评内容': '位置很方便，机场大巴到站前行200米即到。不过eLong预定的价格没有优势。\n还有本次入住后eLong连续几个电话问房间号和入住天数，最后才确认成功，是否新合作酒店双方还没有建立好协作和信任关系？', '短评打分': 5}
