{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '服务态度还行，卫生太差 床单太脏 设施破旧', '短评打分': 1}
{'短评内容': '比较干净卫生的酒店 交通便利 设施还行 下次还会入住', '短评打分': 5}
{'短评内容': ' 房间卫生条件差', '短评打分': 3}
{'短评内容': '交通各方面都挺好的，房间卫生也挺好的，希望价位再优惠点就更好了。', '短评打分': 5}
{'短评内容': '住房干净.方便.交通便利.', '短评打分': 3}
{'短评内容': '条件比较简陋，没有独立卫生间很不方便，不过对得起这个价钱', '短评打分': 3}
{'短评内容': '我非常满意，下次还会选择此酒店', '短评打分': 3}
{'短评内容': '条件不错，服务热情，环境安逸，性价比较高，值得一住。', '短评打分': 3}
{'短评内容': '尤其卫生条件较差，不推荐。', '短评打分': 3}
{'短评内容': '不咋地，下次不住', '短评打分': 3}
{'短评内容': '性价比在这个地段很好，不隔音！', '短评打分': 3}
{'短评内容': '房间小，酒店服务一般，不能刷卡，很不方便。', '短评打分': 1}
{'短评内容': '实际价钱和网上订的价钱差太多了，不靠谱，这个是有些欺骗消费者的。', '短评打分': 1}
{'短评内容': '比较实惠，位置好。但是不一定容易找到，在院子的里面。', '短评打分': 5}
{'短评内容': '简直差的没法说，星级酒店的价格，旅馆的设备，就一个沙发还少了一条腿，厕所还特脏，这个价格没住过这么次的酒店，不能叫酒店就是个旅馆', '短评打分': 1}
{'短评内容': '这个价格在这个地段算便宜，但是房间着实小…公共卫浴收拾得不够快，整个楼道味道不好。如果是高级别一点的房间可能会好些吧。普通房，不推荐。', '短评打分': 1}
{'短评内容': '房间超级烂，很小，只容得下一张床，一个柜子。窗子对着过道，无独立卫浴，隔音效果极差。半夜会被隔壁开门声惊醒。房间不卫生。墙壁上有鞋印。\n前台小姐态度差，有欺骗消费者嫌疑。我的房间卡充磁来回充了4次，上下楼跑了4趟，最后才充上，幸好我每次都没有轻信她，不然我的东西，钱包都锁在房间里了。想退房不让退。各种霸道。\n性价比也超低，100米内有个快捷酒店才200.条件就不一样多了。', '短评打分': 1}
{'短评内容': '房间挺干净', '短评打分': 3}
{'短评内容': '楼房老旧，且楼道和屋内有一种很怪的味道，不推荐....................................................................', '短评打分': 1}
{'短评内容': '298的价格还不如7天，如家，没早餐、没窗户、电话是坏的，电视没信号....墙还是隔板墙，电梯居然还没电，无语啦', '短评打分': 1}
{'短评内容': '房子比较小，刚开始看外面觉得还不错，进房间以后就有点失望，虽然之前看有评论说是不太好，但是这个地段性价比也还行，交通较方便', '短评打分': 1}
{'短评内容': '卫生稍差了点，没有独立的卫生间，但对得起这个价格', '短评打分': 5}
{'短评内容': '交通方便，离地铁4号线魏公村站只有3-5分钟步行，周遍饮食店也挺多，酒店不在马路边，闹中取静，适合短暂停留。', '短评打分': 5}
{'短评内容': '已经是第二次住了，不过价格比上次涨了很多！', '短评打分': 5}
{'短评内容': '上当，从未住过如此豪华间，就是一招待所房间，面积极小。装修极差，谎称豪华间，前台挂牌标明只有标准间价398，标间充豪华。拿酒店卡片还打八折，亿龙订房竟是全价。厕所马桶和淋浴配置实在不敢恭维，房间顶棚天花由于渗水有些脱落，家具旧的像二手，说是中央空调，出风处就是一像油烟机管道样的管子出风，还不凉（四楼走道上露在外面）。明明是招待所的样学人叫什麽商务酒店，无非就是为了提高价格，建议大家还是找正规连锁酒', '短评打分': 1}
{'短评内容': '酒店还可以吧 卫生一般 不过在北京这么便宜的已经不错了 ', '短评打分': 3}
{'短评内容': '使用的消费劵前台说不能用 然后 千万不要住他们的特价房 基本上就等于租一个床铺 服务态度也一般', '短评打分': 1}
{'短评内容': '算性价比较高的了，隔音差点.交通比较方便，靠近地铁站', '短评打分': 5}
{'短评内容': '突然之间提价，服务很差劲，环境也不好！！！', '短评打分': 1}
{'短评内容': '还好，交通方便，僻静，但是酒店的服务和管理，还需要加强！！！', '短评打分': 5}
{'短评内容': '位置挺好，还不错！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '位置不错，服务和管理还得加强！！！！！！！！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '感觉很好。', '短评打分': 3}
{'短评内容': '位置很好，服务还不错，交通很方便！性价比还可以！', '短评打分': 5}
{'短评内容': '房间6平米多一点，真的是很迷你很小，公共洗浴，洗具什么的都得自己要，但服务态度还不错（除前台小姐换了几个脸色都不好看之外），位置方便，就138-20的价格来说，还是可以的。', '短评打分': 1}
{'短评内容': '洗澡不方便，洗澡不方便，洗澡不方便，价钱便宜', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '位置太便利了，离地铁口也近，离农科院也近，附近也有吃饭的地方，总之不错！', '短评打分': 5}
{'短评内容': '虽然装修什么的不是很新，但是还是比较干净的，位置也不错，推介吧', '短评打分': 5}
{'短评内容': '环境还可以,比较清静.', '短评打分': 3}
{'短评内容': '特价房无独立卫生间，窗户在楼道，不方便。', '短评打分': 5}
{'短评内容': '被单 和床具不怎么感觉 价格在哪里摆着 挺安静的 就是热水不太热 总体可以的 ', '短评打分': 5}
{'短评内容': ' 标间小，两张床一个洗手间就没别的空间了，不过够隐蔽，在一个小区里面，位置不错，忍了。', '短评打分': 3}
{'短评内容': '我预定的是经济型的大创房，还可以，比较干净，基本的东西也都有，有可以上网的网线查口，但是要自己带网线。100块钱，听合适的，床还行，比较舒服。', '短评打分': 5}
{'短评内容': '普通标准间就是普通间，没独立卫浴，大家要看清楚。', '短评打分': 5}
{'短评内容': '条件不好，房间较小，以描述不符合，条件不好，房间较小，以描述不符合', '短评打分': 1}
{'短评内容': '房间小，公用卫生间，每次开门都得喊服务员开，没空调。也值138元，但是第二天就涨到208就不值了。', '短评打分': 1}
{'短评内容': '隔音效果极差，窗帘极薄，走廊的灯光很亮，晚上12点之前几乎睡不着。前台人员无作为。', '短评打分': 1}
{'短评内容': '。服务不错，热水溜很大。离军艺很方便，出门是地铁站，吃饭也很多。下次还来住。', '短评打分': 3}
{'短评内容': '。房间小，没有外窗，中央空调很热，电视效果不好台少。服务员态度还好，性价比不高。', '短评打分': 3}
{'短评内容': '很难找 整体环境很差 热水不热 感觉不干净', '短评打分': 1}
{'短评内容': '房间太小，没有空调，没有独立的卫生间，冬天住很冷，实在太差。', '短评打分': 1}
{'短评内容': '太偏僻了，房间太小，不过价钱倒是比较低，对住宿条件没有要求的可以选择', '短评打分': 1}
{'短评内容': '房间面积挺大，卫生一般，隔音效果极差。建议自带牙刷等生活用品。', '短评打分': 5}
{'短评内容': '地理位置不错，但是床非常难受，还有枕头。。。就是办事住了一晚上、、', '短评打分': 5}
{'短评内容': '不太干净，晚上噪音很大。总之，感觉很差。服务态度不是很好', '短评打分': 1}
{'短评内容': '附近吃饭的地比较多，交通便利，房间卫生干净', '短评打分': 5}
{'短评内容': '有小强，而且比较不干净。出差随便住住还行', '短评打分': 1}
{'短评内容': '性价比挺好的，卫生，服务都不错，交通也很方便', '短评打分': 3}
{'短评内容': '感觉很不好啊。。。大床房也才一点点大。。。。里面厕所都没有。还要公用的。。不划算。标间还要220。。太黑了', '短评打分': 1}
{'短评内容': '服务很差…找服务员半天不来……设施陈旧…卫生也一般', '短评打分': 1}
{'短评内容': '卫生间味道特别大，房间大小还行，有点旧。', '短评打分': 1}
{'短评内容': '挺好的，下次还回去~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '隔音效果差，公共卫浴条件差，不过服务员态度不错。', '短评打分': 1}
{'短评内容': '这家旅馆还行吧，比较干净。就是没有朝外窗户说明中也没有写。总的来说还行吧。', '短评打分': 5}
{'短评内容': '太吵', '短评打分': 5}
{'短评内容': '不错 地理位置很好 去附近的学校很方便 帮亲戚订的 说还可以', '短评打分': 5}
{'短评内容': '+没有独立卫生间但网上没写！！！', '短评打分': 5}
{'短评内容': '环境好,交通便利,离地铁很近,安静,就是房间太小 ', '短评打分': 5}
{'短评内容': '环境挺好，交通方便。', '短评打分': 5}
{'短评内容': '隔音效果惨了点~~~地理位置不错~~~~~~~', '短评打分': 5}
{'短评内容': '已入住，还可以', '短评打分': 5}
{'短评内容': '不错，就是房间有点小，对得起这个价格了', '短评打分': 5}
{'短评内容': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', '短评打分': 1}
{'短评内容': '位置挺好的，卫生设施还行，服务态度价格都蛮好的。', '短评打分': 5}
{'短评内容': '位置很不错，但不太好找，性价比不错，靠近地铁四号线，很适合去沿线旅游', '短评打分': 5}
{'短评内容': '总体还行。                                            ', '短评打分': 3}
{'短评内容': '花的钱大部分是来买这个绝佳的地理位置。  经济房很小，厕所和浴室是公用的，卫生不错。', '短评打分': 5}
{'短评内容': '位置不错，在中关村北京理工大学南则，交通便利。没有餐厅，没有电话，倒是有宽带 ，房间不大，刚去感觉被褥有点潮，总体感觉一般，', '短评打分': 1}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '+太小', '短评打分': 5}
{'短评内容': '凑合吧，卫生还可以，服务一般，工作人员态度还好', '短评打分': 3}
{'短评内容': '这个酒店的位置不错，环境相对来说也可以。就是人员服务人员一般。我到了后。打了若干电话，就是通了没人说话，让我很恼。基本上打了五六电话才得到酒店的位置。', '短评打分': 5}
{'短评内容': '要实话实说吗？\r\n房间太小，潮湿，噪音大，无窗且无卫生间。根本配不上“商务宾馆”的名称。唯一的好处是交通方便！', '短评打分': 1}
{'短评内容': '地理位置相当好，交通方便。看着挺干净但感觉他没收拾过~~~服务态度不是很好，单人房的洗漱用品貌似要自己买~~~不过，临时住一下还是很值得~~~', '短评打分': 5}
{'短评内容': '超级恶心的地方~', '短评打分': 5}
{'短评内容': '位置优，性价比高，酒店协调管理能力很好，推荐大家都用，下次还会继续预订', '短评打分': 5}
{'短评内容': '价格和位置好，特别是特价房，让人觉得很划算，性价比不错', '短评打分': 5}
{'短评内容': '只能说很一般', '短评打分': 5}
{'短评内容': '实在一般。。。。就是地理位置很好很好。。。。', '短评打分': 3}
{'短评内容': '一般。。。。还可以、、、地理位置不错。。。', '短评打分': 3}
{'短评内容': '离要去的地方很近所以选择这了。。。。。一般。。。不过地理位置很好。。', '短评打分': 5}
{'短评内容': '性价比还不错，房间有些小，其他都蛮好的，靠近我办事的地方很近，交通方便。', '短评打分': 5}
{'短评内容': '不错，中央空调，洗澡水也很好', '短评打分': 5}
{'短评内容': '东西比较新  服务也还行 138的房是没有独立卫浴的 隔音不太好  位置不错 离新东方学校100米不到 总的来说 这价钱合适', '短评打分': 5}
{'短评内容': '让别人说吧', '短评打分': 5}
{'短评内容': '象招待所，没有卫生间，预定时没有说，误导。没有窗户没有关系，可是没有卫生间，就要说清楚。还商务酒店，根本就是招待所。', '短评打分': 1}
{'短评内容': '有点失望吧，特价的屋子不能洗澡的', '短评打分': 1}
{'短评内容': '房间不是很大，设施过于陈旧，服务滞后，我们在休息的时候居然有人擅自把门打开，应该是清洁工，难道不知道有人吗？还有一个服务员居然来问通过什么方式预定的，打扰我们休息', '短评打分': 5}
{'短评内容': '地理位置还不错，但不太好找，标识不清楚，尤其是卫生太差，地面上，卫生间感觉就没打扫的样子，让人看起来都不想住。管理水平一般，前台服务不专业。', '短评打分': 1}
{'短评内容': '不是我说他不好啊，他真的不好，酒店建在一个顶楼玻璃超级大厅里，四面墙全部是木制割断的。没空调暖风，冻死人，房间超级小，真是亏死了。。打死我也不去了。花200少说能住个标准三星，这倒好。简直是一个旅馆。。。', '短评打分': 1}
{'短评内容': '卫生服务方面都很不错,打扫的很干净,位置也很好,很安静很方便,唯一一点就是房间的空调不太热,插座不是太好用', '短评打分': 5}
{'短评内容': '房间比较小，而且卫生也很一般。关键是服务太差了，基本等于没有，大堂就一个小女孩，也爱搭不理的。总体来说性价比不高。', '短评打分': 1}
{'短评内容': '晚上太冷了 隔音效果也不是很好', '短评打分': 1}
{'短评内容': '不是很好，可能是新改装的吧，还没装修完，床垫很薄，有些冷', '短评打分': 1}
{'短评内容': '卫生服务方面都很不错,打扫的很干净,位置也很好,就在公交车站旁边,很方便,唯一一点就是房间的空调不太热,插座不是太好用.', '短评打分': 3}
{'短评内容': '服务都挺好，环境也挺安静，就是配套设施不够完善~', '短评打分': 5}
{'短评内容': '位置很好，离地铁站很近。环境还可以，比较安静（就是我住的时候一楼在装修）。房间不太大，卫生一般。', '短评打分': 5}
{'短评内容': '除了酒店的位置有些偏,其它方面还是不错的,整体感觉还是不错的.', '短评打分': 3}
