{'短评内容': '环境还可以，安静，就是房间设施有点旧了', '短评打分': 4}
{'短评内容': '代朋友预订的,朋友直呼位置太偏,打车半个小时才能到市中心', '短评打分': 1}
{'短评内容': '周末特价房是100，不是80，服务员打扫卫生比较认真。', '短评打分': 5}
{'短评内容': '第二次入住该酒店，服务等方面不错，价格实惠，冬天入住时如需洗澡建议白天，水温较高，夜间则较低，不知是不是太阳能热水器的问题，这次遇到最不爽的事就是客房内居然有不少小强，反映后客房服务及时的消灭了，但不能彻底，有点不爽。不知其它房间有木有？？不过还是值得推荐的。', '短评打分': 5}
{'短评内容': '网上的价格和实际有出入，星期日到星期四是80但是星期五到星期六是100.\n\n服务态度不是很好但能随叫随到', '短评打分': 5}
{'短评内容': '在西大东路，31路公交可达。酒店不临街，不太好找。但是住着感觉还不错，安静，干净，热水好，价格便宜，就是地理位置偏一点，但交通也还方便。', '短评打分': 5}
{'短评内容': '房间比较干净，还可以，就是前台个别服务员的服务态度不是很好，有待改善。', '短评打分': 5}
{'短评内容': '很好，很干净，服务态度不错。周边出入很方便。', '短评打分': 3}
{'短评内容': '蛮好的~房间干净，而且有小吃，也不，比超市多点点，就是空调外机有点响声', '短评打分': 5}
{'短评内容': '房间挺干净的，设施也够用，还有阳台，方便洗晒衣服。但是好多出租车司机都不知道在哪里，出去玩以后回来很麻烦，建议加大宣传。', '短评打分': 5}
{'短评内容': '整体感觉很好，只是卫生间装修、设备一般，位置比较偏···服务态度好，住了三天，下次去还会选择····推荐一下··················\n\n', '短评打分': 5}
{'短评内容': '整体感觉很好，只是卫生间装修、设备一般，位置比较偏···服务态度好，下次去还会选择····推荐一下··················', '短评打分': 5}
{'短评内容': '感觉酒店很经济，在南宁玩得很愉快，住房面积比较宽敞。在广西大学的东门，性价比是比较高的。下次还会推荐朋友去住的。', '短评打分': 5}
{'短评内容': '酒店不错，干净！', '短评打分': 3}
{'短评内容': '88元，在南宁也算是不错了，挺便宜了，我住的房间蛮大的，而且有个大阳台，倒是不错，就是距离市里火车站远点了，不过在西大附近，要是去那附近办事的，也是蛮方便', '短评打分': 5}
{'短评内容': '  简单来说性价比高，服务也好，设施有点简陋，酒店给的地址好多出租车不知道，不过酒店就在秀灵宾馆旁边，这样比较好找，', '短评打分': 3}
{'短评内容': '价廉物美 离开大学很近 很方便 吃饭坐车都不错 31路直达火车站 只需半小时左右 房间也算干净 安全 不过厕所有点不太习惯', '短评打分': 5}
{'短评内容': '还是不错的 这个价位这样的环境还是不错的 室内还是比较满意的', '短评打分': 5}
{'短评内容': '房间干净，温馨，不足的是门槛过高，不注意会绊倒。', '短评打分': 3}
{'短评内容': '挺喜欢的，很温馨，坐车也方便，门口很热闹，喜欢这里。', '短评打分': 5}
{'短评内容': '酒店挺不错的哦！电视机不够气派，且接的不是数字电视，其他的基础设施都挺好，环境也挺温馨的！', '短评打分': 5}
{'短评内容': '这家酒店是南宁最实惠经济的酒店之一，木地板，空调，热水，布置简洁舒适，\n\n旁边就西大东门，就餐出行十分方便，打的至火车站只需12元，\n\n离大街约有50米的距离，所以很安静，晚上睡得很惬意，推荐指数，5颗星', '短评打分': 5}
{'短评内容': '环境非常好，很舒服，房间也够大，服务很好，价格公道，相比其他省会城市这个性价比算很不错的了，离广西大学也不远；就是电梯不好使，说是下午5点之后才好使，害的我自己拎着大箱子上的7楼 T_T，不过总体来说还是非常不错的', '短评打分': 5}
{'短评内容': '适用，价廉，交通很方便，火车站乘坐31路直达', '短评打分': 5}
{'短评内容': '还可以，就是凉台门的插销坏了，感觉不是很安全。', '短评打分': 5}
{'短评内容': '除了比较难找，住的还可以，我住的大床房，还不错。就是毛巾看上去用的时间比较长了。床很不错，睡的挺好，空调还不错，隔音效果一般。我住的那个有个小阳台，挺好。', '短评打分': 5}
{'短评内容': '性价比不错，房间还算干净，对得起这个价格，就是不太很好找。', '短评打分': 5}
{'短评内容': '整体还行，房间够宽敞，干净，唯一不足之处就是让我发现一蟑螂。', '短评打分': 3}
{'短评内容': '酒店设施还可以;-)满意;-)', '短评打分': 3}
{'短评内容': '性价比超高，缺点就是位置比较偏，周围大学比较多', '短评打分': 5}
{'短评内容': '环境很不错，房间很干净，价格也不高，就是隔音不是很好......', '短评打分': 5}
{'短评内容': '物有所值！房间很干净！住了后感觉很好！以后还会住！', '短评打分': 5}
{'短评内容': '简单干净 性价比高 服务周到 除了卫生间有蟑螂外，一切很完美', '短评打分': 5}
{'短评内容': '总的感觉还是不错的，干净卫生，设施、用品旧了些。', '短评打分': 5}
{'短评内容': '环境还算可以，相对安静，只不过隔音效果不是很好', '短评打分': 5}
{'短评内容': '硬件设施都挺不错...服务也很好  就是...隔音效果差啊', '短评打分': 5}
{'短评内容': '南宁橄榄宿酒店公寓，便宜，环境还算好，干净卫生！服务态度也很不错！', '短评打分': 3}
{'短评内容': '没有免费的套套，不能刷卡，，东博机电城对面', '短评打分': 5}
{'短评内容': '价格实惠，设施还算可以，对得起这个价格。继续保持。', '短评打分': 5}
{'短评内容': '交通便捷，四周环境不错，房间整洁，有落地窗，大爱～', '短评打分': 3}
{'短评内容': '性价比高，不不错。开学前还去住，希望能有所优惠。', '短评打分': 5}
{'短评内容': '卫生，环境都还可以，自驾车去还是比较好找到', '短评打分': 5}
{'短评内容': '＋不错', '短评打分': 3}
{'短评内容': '地方比较偏一些，但环境挺好的，服务态度也很好，空调仅有部分有制热功能。', '短评打分': 5}
