{'短评内容': '干净，整洁，服务好实惠。', '短评打分': 4}
{'短评内容': '. 第一次入住感觉很好。 房间干净舒适。工作人员 服务态度好。', '短评打分': 3}
{'短评内容': '地理位置太偏，周围没有什么吃饭的地方，酒店设备太旧，前台服务速度太慢，态度还不错，房间小，房间内有味道，总体来说不十分满意。', '短评打分': 1}
{'短评内容': '还可以吧 就是房间有点小了。餐厅还可以，价格比西安的还便宜点，每次去都住那里，，，，，，习惯了就好啊。前台有一个男的，态度不好，及其不好，想要投诉他', '短评打分': 5}
{'短评内容': '所在位置虽然偏僻，但周围超市饭店还是比较多的，比较方便。一个人出差定的单人间，房间很小，洗手间虽然设备齐全但还是挤了点旧了点。综合来说，对于我这种只是出差住一晚来说还是比较合适的', '短评打分': 5}
{'短评内容': '环境干净整洁，卫生，室内安静，无烟，工作人员热情，宽带免费上网，给工作带来方便，是出差入住的一个好地方，交通便利，非常适合入住。', '短评打分': 5}
{'短评内容': '该宾馆比较', '短评打分': 3}
{'短评内容': '实在是太差了，帮朋友定的，晚上蚊子苍蝇太多，朋友都没住\n', '短评打分': 1}
{'短评内容': '虽然有点偏，但位置不错，比较安静，在北京挺难得的。对了，到西客站打的挺方便。', '短评打分': 5}
{'短评内容': '虽然有点偏，但位置不错，比较安静，在北京挺难得的。', '短评打分': 5}
{'短评内容': '卫生打扫及时，服务周到，蜗居虽小，一应俱全。值得推荐。', '短评打分': 5}
{'短评内容': '非常满意！价位很合理，房间卫生很好。会推荐给朋友们！', '短评打分': 5}
{'短评内容': '经济实惠，不远处有个早点粥，可以了,交通也很方便，公交地铁都不远', '短评打分': 5}
{'短评内容': 'h还不错，经济实惠，附近的那个成都小吃很不错', '短评打分': 5}
{'短评内容': '锦江之星北京玉泉路店,干净卫生，我已经住过两次了。也给朋友推荐过。感觉值得推荐', '短评打分': 5}
{'短评内容': '卫生干净，价格属于经济酒店', '短评打分': 3}
{'短评内容': '房间稍小，但很安静，窗子很大，屋子也很干净，很不错。', '短评打分': 3}
{'短评内容': '房间不大，但干净卫生适合睡觉。离办事地点近 ，很方便。服务态度不错，就是登记和退房时速度太慢，服务员说话和气。整体来说 ，感觉不错值得推荐。', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '锦江之星（北京玉泉路店） 方便，干净，有停车场，适合自驾游', '短评打分': 5}
{'短评内容': '地方交通方便 有停车场 很合适', '短评打分': 3}
{'短评内容': '\u3000服务很好.环境还可以.', '短评打分': 3}
{'短评内容': '我很喜欢这个地方。', '短评打分': 3}
{'短评内容': '据听说感觉不错，但是还没住呢  希望自己能有时间去住，幸福！', '短评打分': 5}
{'短评内容': '锦江之星（北京玉泉路店确实不错，有停车场，方便', '短评打分': 5}
{'短评内容': '热水很热，床很舒服\n总体很好\n下次去还会入住 ', '短评打分': 5}
{'短评内容': '＋环境挺好的', '短评打分': 3}
{'短评内容': '房间卫生还可以，但空间太小，写字台与床距离太近，不太方便，性价比一般', '短评打分': 5}
{'短评内容': '环境还可以价钱也行服务周到吃饭方便交通也方便', '短评打分': 5}
{'短评内容': '环境尚可，房间较紧凑，卫生设施比较陈旧。房间内不提供免费上网服务。交通不便利，离地铁站有两站路。离公交站约七八百米，就这么短的距离，在我们离开酒店的那天早上（周一）还遇上堵车，打不上车，我们只好拉（背）着行李走到公交车站，特狼狈！\n离奇的事情：房间里的电视机（国产显像管的）声音很小，白天根本听不清，音量按钮不管用。一问，才知道宾馆已事先打开机器把音量设置锁死了，不让顾客调节，说是怕影响别的房间旅客', '短评打分': 1}
{'短评内容': '价格便宜，房间大，卫生不错，路段的车也不是很多。', '短评打分': 5}
{'短评内容': '位置比较偏但服务是一贯的锦江之星的优质服务', '短评打分': 5}
{'短评内容': '还不错，离1号线地铁不远坐地铁去天安门等旅游景点方便，锦江之星的客房和餐厅还是一如既往的不错', '短评打分': 5}
{'短评内容': ' 还不错～', '短评打分': 5}
{'短评内容': '环境挺好的卫生也不错吃饭也很方便', '短评打分': 5}
{'短评内容': '一如既往的好  干净，服务态度好。                                      \r\n\r\n\r\n\r\n\r\n                                                                   ', '短评打分': 3}
{'短评内容': '性价比较好 住的也舒服 \r\n但是没有沐浴露 很奇怪？ \r\n', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺干净的,如果有晒衣服的衣服就更好了', '短评打分': 3}
{'短评内容': '不错!', '短评打分': 5}
{'短评内容': '进门办理手续时间过长，态度也不是很好。可能当班的有问题，其他没有发现这个现象。', '短评打分': 3}
{'短评内容': '进宾馆时，办理手续时间太长，让我们等待很久，那个女孩不知道在干什么，恼火', '短评打分': 5}
{'短评内容': '感觉房间有些小，服务很好性价比较高，推荐。', '短评打分': 5}
{'短评内容': '设备陈旧', '短评打分': 1}
{'短评内容': '经常去！值得推荐！', '短评打分': 5}
{'短评内容': '房间特别小，根本就没有当时在网站上看到的好，而且里面床和电视柜距离特别近人都过不去，卫生和设施特别差，服务态度也特别不好，当时打电话给酒店问怎么走的时候服务员就特别不耐烦，位置也不是特别好等于就是丰台的郊区了，里面洗漱用品很次，反正我的感觉就和小旅馆没什么区别，上次也是因为带着孩子过住了一晚就特别不舒服第二天我就走了，真跟别的连锁型酒店不一样。', '短评打分': 1}
{'短评内容': '我订得标间，到酒店只有单间，后来与酒店沟通单加了一张床，但是没加钱还行.酒店卫生状况不是太良好.总体感觉一般.但是价格比较合理.', '短评打分': 5}
{'短评内容': '我订得标间，到酒店只有单间，后来与酒店沟通单加了一张床，但是没加钱还行.酒店卫生状况不是太良好.总体感觉一般.但是价格比较合理.', '短评打分': 5}
{'短评内容': '房间大体上较为干净，不过一进房间有一股怪怪的味道，打开窗户后还可以。墙面上有一些脏渍没有处理干净，被子有些汗味。\r\n热水不错。\r\n位置在西四环外，因为我是开车，所以感觉上四环比较方便，2公里左右就能上4环，而且上高速也很方便。\r\n酒店出门有两路公交，507及338，坐车3站就到地铁1号线的玉泉路站。\r\n附近有几家饭店，吃饭较方便。\r\n总体来说194的房价还是可以的。', '短评打分': 3}
{'短评内容': '房间大体上较为干净，不过一进房间有一股怪怪的味道，打开窗户后还可以。墙面上有一些脏渍没有处理干净，被子有些汗味。\r\n热水不错。\r\n位置在西四环外，因为我是开车，所以感觉上四环比较方便，2公里左右就能上4环，而且上高速也很方便。\r\n酒店出门有两路公交，507及338，坐车3站就到地铁1号线的玉泉路站。\r\n附近有几家饭店，吃饭较方便。\r\n总体来说194的房价还是可以的。', '短评打分': 5}
{'短评内容': '这家锦江分店的服务是相当不错的，服务员很耐心细致，这样的价位和服务性价比很高，交通很方便，出门走一小段路上了公交车大概三站地就到地铁了。', '短评打分': 5}
{'短评内容': '挺好，有机会再去住', '短评打分': 5}
{'短评内容': '卫生服务方面做的都很好,位置也不错,出行都很方便,但就是房间的硬件设施太陈旧,感觉很差,下次不会住这了.', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '这个酒店很干净，里面的装修和硬件配备都还不错，不过服务一般，位置也不是特别方便，但是他条件好，如果到这个附近的话，我觉得还是可以的。', '短评打分': 5}
{'短评内容': '房间比较小,交通还可以一般出差还是愿意选择这种经济型酒店', '短评打分': 5}
{'短评内容': '因为是链锁的,比较方便,快捷,也比较省心,地理位置不太好', '短评打分': 5}
