{'短评内容': '及时，周到。预定方便，快捷', '短评打分': 5}
{'短评内容': '房间非常宽敞，考虑到有小朋友，特意安排的无烟楼层，非常细心，有任何问题也能得到及时，快速的解决，非常完美。', '短评打分': 5}
{'短评内容': '早餐棒棒哒', '短评打分': 5}
{'短评内容': '还可以吧。', '短评打分': 5}
{'短评内容': 'Perfect Stay! enjoyed the club lounge for drinks in the evening and breakfast in the morning. clean and efficient ', '短评打分': 5}
{'短评内容': '酒店很干净，设施也很好，值得推荐！', '短评打分': 5}
{'短评内容': '很好，很方便，下次还会选择这里入住。', '短评打分': 5}
{'短评内容': '很好，很方便，下次还会选择这里入住。', '短评打分': 5}
{'短评内容': '无锡市区最好的几家之一 本来想定日航 满房了 日航就在步行街对面 洲际呢打个车起步费 步行的话半个多小时吧', '短评打分': 4}
{'短评内容': '酒店四周在建地铁，环境不好。房间还不错；办理手续速度很快', '短评打分': 3}
{'短评内容': '此酒店卫生条件很好，酒店的服务生服务态度也不错，支持一下', '短评打分': 5}
{'短评内容': '很棒的酒店,有機會還會帶家人和小孩過來入住,', '短评打分': 5}
{'短评内容': '非常不错的商务豪华酒店,周围就是在修地铁,环境不佳', '短评打分': 5}
{'短评内容': '中餐一般，作为商务宴请，按照人头点单，不够灵活。菜实在谈不上太好。宾馆还行，5星级的标准。服务也很好。服务员素质很高。商务客的选择。', '短评打分': 5}
{'短评内容': '性价比很高，酒店开张不到一年，配置很高。', '短评打分': 5}
{'短评内容': '房间很大，酒店硬件设施，软件设施一流，酒店服务员态度很好，价格合适，来无锡住这家酒店是第一所选', '短评打分': 3}
{'短评内容': '酒店门前在修地铁，打车不好打，感觉无锡人好少啊，到处在施工', '短评打分': 5}
{'短评内容': '很赞的酒店，服务很到位，环境很好，交通也很便利，还会再来。', '短评打分': 5}
{'短评内容': '设施和服务一流且保持一贯性和持续性，是一家好酒店。', '短评打分': 5}
{'短评内容': '刚回来，酒店设施不错，去年五月开张的，价格也便宜，真的不错，离火车站打的16元，离南禅寺公交三站路，房间的花洒很不错的，床也大，电视机Lg42寸液晶的，面积也大，就是没有无锡地图，呵呵，有待改善，无线要收费60元一天，酒店的自助晚餐真的不怎么样，东西很少，198一位，258的可以喝红酒，我觉得服务跟不上，东西没有了不及时跟的，而且是很长时间很多东西都没有，中餐厅也不怎么样，等了老半天才上菜，到最后', '短评打分': 5}
{'短评内容': '酒店硬件设施好，房间也很大', '短评打分': 3}
{'短评内容': '酒店很好，很不错哦！我下次还会在来的！多介绍些朋友来！', '短评打分': 5}
{'短评内容': '新酒店，装修和view都不错，服务简直是一塌糊涂，下午16:00了，还是脏房，我旁边一个老太太据说从中午12:30就来了，一直没有房间。后来我只好放下行李，他们还不让，只准在大堂沙发等，什么服务！！？？没办法，拖着行李去吃饭先，说好有房了打电话通知，还留了手机，一直到饭吃好，我主动联系他们，才说有房，但是居然忘了通知我，混乱不堪。这样的酒店，来一次上过当再也不会去了，真是玷污了我对各地洲际的良好印', '短评打分': 1}
{'短评内容': '新的五星级酒店，但是装修没特色，早餐也一般', '短评打分': 5}
{'短评内容': '开业半年的新酒店，设施先进，服务一流，早餐就餐环境很好。可以打到95分！', '短评打分': 5}
{'短评内容': '新开的酒店，装修很不错。高区房间的夜景很棒。\n\n早餐一般，感觉品种不是很多，服务生也不是很熟练，点了咖啡却迟迟不送，有些餐点取完却没有及时补充。\n\n停车场很干净，但大堂和地下车库间没有直达电梯，不太方便。\n\n', '短评打分': 5}
{'短评内容': '太湖广场还在修建过程中，所以周边环境一般。除了在酒店吃饭以外，找不到别的地方可以步行吃饭的。只能打车出去。还好离市中心不是很远。无锡也不大。\n当然酒店的质量是无锡一流的。好歹是洲际的牌子。', '短评打分': 5}
{'短评内容': '酒店太新,没人气.我看要多六个月才会有较多人流.\nI also suggest that they have a pub or drinking place to attract people', '短评打分': 1}
{'短评内容': '今年刚刚开张的酒店，里面的东西全是新的，环境很安静，早餐也很棒。床很大，睡的很舒服。就是房间的装修味道还留存。', '短评打分': 5}
{'短评内容': '酒店还可以,服务还可以,下次还会住,位置比较好,停车还算方便,是帮老总的,反应还不错,但是为什么写满50个字,为什么呢?', '短评打分': 5}
{'短评内容': '很浓烈的装修味道，周围不方便，没有购物的地方，酒店早餐一般，', '短评打分': 1}
