{'短评内容': '还不错呀！店家安排了有窗的房间，赞一个', '短评打分': 5}
{'短评内容': '酒店挺好的，房间大，也比较安静，周围还有很多吃饭的地方。值得推荐，别涨价最好！', '短评打分': 5}
{'短评内容': '一步步，不过对面的168好一点。这里就是房间面积大一点。', '短评打分': 5}
{'短评内容': '房间一般、有点小。不过也还算可以吧。交通还算方便', '短评打分': 5}
{'短评内容': '对得起这个价钱，房间还行，就是没有窗。房间有点潮其他还好，总体说还可以。', '短评打分': 5}
{'短评内容': '  位置及环境都不错,价格也还适合。下次还会入住', '短评打分': 3}
{'短评内容': '环境不错，比较干净。主要是房间也很隔音，若是和朋友看个球赛什么的也是很好的。但愿可以多搞点活动，呵呵，方便', '短评打分': 5}
{'短评内容': ' 酒店条件还舒适，谢谢', '短评打分': 3}
{'短评内容': '早餐很差，房间有味道，简陋，感觉不卫生，说是连锁，还不如社会小旅馆', '短评打分': 1}
{'短评内容': ' 感觉还可以，就是看见只蟑螂…', '短评打分': 3}
{'短评内容': '房间挺好，团购的价格合适，希望以后多搞这样的活的', '短评打分': 5}
{'短评内容': '不错！服务很好！还有早餐也很好，还有那位负责早餐的大爷态度很好！离南站很近，做72路一站地！', '短评打分': 5}
{'短评内容': '服务有点差，晚上只有两人值班，洗浴热水得不到及时修理。', '短评打分': 1}
{'短评内容': ' 酒店一般，隔音太差', '短评打分': 3}
{'短评内容': '价格、卫生都还不错,早点简单了点!', '短评打分': 3}
{'短评内容': '房间太小床褥的感觉不好太旧了看着象不常跟换的样子', '短评打分': 5}
{'短评内容': '第一次住该酒店，性价比不错，房间也卫生宽敞。还有早餐，在北京来说，应该算不错！\n唯一的缺点是离地铁太远，不太方便。 \n', '短评打分': 5}
{'短评内容': '很实惠  就是床弹簧有点硬  睡觉不舒服', '短评打分': 5}
{'短评内容': '环境还不错，走到南站大约20分钟~~就是希望电话接线员态度能改善啊~', '短评打分': 5}
{'短评内容': '隔音不好，牙具不好用，态度蛮不错的，尤其是餐厅的大爷', '短评打分': 1}
{'短评内容': '电视的雪花太多了 其他没什么 我住了几天 隔音效果也不好', '短评打分': 5}
{'短评内容': '除了电视其他还不错', '短评打分': 3}
{'短评内容': '没有窗户的房间，有点不透气。中央空调制冷效果比较差，房间有点热。早餐太差了。其它都还可以。。。。。。。', '短评打分': 5}
{'短评内容': '位置好，房间干净整洁，卫生好。服务员态度也很好，周边餐饮不错，只是房间小了点。当然，性价比还是不错的。下次来北京还住此酒店。', '短评打分': 5}
{'短评内容': '床好硬，把我膝盖磨红了', '短评打分': 3}
{'短评内容': '我第一次住该酒店，性价比不错，房间也卫生宽敞。还有早餐，在北京来说，应该算不错！\n唯一的缺点是离地铁太远，不太方便。', '短评打分': 5}
{'短评内容': '价格还可以，设备有点陈旧，就是离火车站有点远。还有就是早餐太简单了。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '总体来说还不错，比想象中要好，可以免费上网，楼下有小卖店晚上饿了还能去买吃的，178元的价格合理，如果有机会还会光顾。', '短评打分': 5}
{'短评内容': '比一般的连锁酒店好不少，房间比较大，200多一点的价位值得', '短评打分': 5}
{'短评内容': '服务挺好的，早餐也挺好～不过到南站没有公交汽车，需要打车或走过去。', '短评打分': 5}
{'短评内容': '设施一般，离南站也不近，这个价格，不值得住。不过也因此，当天定，还有房。', '短评打分': 1}
{'短评内容': '坑爹的网线，龟速上网，房间没窗户，服务态度还行，有点贵', '短评打分': 1}
{'短评内容': '交通太不方便，洗澡的东西是坏的，上网网速一般，房间没有窗户。总体还能住！', '短评打分': 1}
{'短评内容': '环境、条件都还可以，就是网线有点问题，不过由于没有急用也就算了。在一些细节上还有完善的空间，希望能优化管理理念和加强管理。', '短评打分': 5}
{'短评内容': '交通便捷,服务一般,订房便利,可以提供更好一点的早餐,谢谢', '短评打分': 5}
{'短评内容': '性价比不错，位置不错，有点臭就是，还是可以的', '短评打分': 5}
{'短评内容': '床垫是不太舒服，能感觉到弹簧，还算干净吧', '短评打分': 1}
{'短评内容': '地点和价格都不错，服务员态度也不像传说的那么差，就是房间没有窗户，有点潮', '短评打分': 1}
{'短评内容': '环境优雅，服务一流，设施齐全，质量上乘，继续合作！', '短评打分': 5}
{'短评内容': '还行吧！交通方便！舒适度一般般！客户来京我会安排到这里！去市内景点也较方便！', '短评打分': 5}
{'短评内容': '价格和位置还行，就是床垫不舒服，睡一晚上觉挺累的。', '短评打分': 1}
{'短评内容': '交通好~临公交；购物好~挨超市；休息环境的还可以；价钱很公道；唯一不足的是热水的水流太小了；洗澡的话是洗不痛快的~', '短评打分': 5}
{'短评内容': '周边环境一般，但用餐、购物都很方便，马路对面有物美和多家餐馆，住宿环境设施虽陈旧，但卫生不错，其他服务普通。餐厅服务够呛，早餐各种包子放在一个笼里，根本分不清是什么品种，油条是冷的。去北京南站交通方便，10块的钱。总体如果订得到标间，还是推荐的。', '短评打分': 5}
{'短评内容': '我住那间门锁都是坏的，不过价位的确不高，牙膏和牙刷是我住过的酒店中最次的。', '短评打分': 1}
{'短评内容': '总体感觉可以，但是还是比较贵，交通不是很方便，晚上从北京南出来没出租车，后来打了黑的30元才到酒店。', '短评打分': 5}
{'短评内容': '没有窗户，床的弹簧太硬，被罩太脏好像没洗过一样，还有不是下午两点退房而是中午十二点，综上，不知还为什么这么贵？！', '短评打分': 5}
{'短评内容': '总体觉得可以吧，毕竟位置在北京嘛。歇个脚，冲个澡，休息好，不错。', '短评打分': 5}
{'短评内容': '住处还可以', '短评打分': 3}
{'短评内容': '房间挺大的，但卫生间水太小，床单太旧，两百多一晚，比较贵了。', '短评打分': 1}
{'短评内容': '豪华标间环境极其一般，电视不清晰', '短评打分': 3}
{'短评内容': '符合北京性价比的宾馆！早餐不错，但被子太旧了,都发黄了！', '短评打分': 5}
{'短评内容': '房间有异味,墙壁上霉斑较多,空气不流通,不适宜入住.后来者请慎入!', '短评打分': 3}
{'短评内容': '不错,挺安静,还配有早餐,离火车南站打车起步价,', '短评打分': 5}
{'短评内容': '总体来说还是很不错的，就是早餐质量有待改善，哈哈，住的大床，很舒服', '短评打分': 5}
{'短评内容': '房间小，床很不舒服，没有吹风机，前台也没有。', '短评打分': 3}
{'短评内容': '整体而言还是可以的，给予推荐评级，希望日后更好！', '短评打分': 5}
{'短评内容': '酒店还可以的，蛮好的，下次还来。。。。。支持', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错，性价比高', '短评打分': 3}
{'短评内容': '酒店位置,卫生都不错的,我住好多次了', '短评打分': 3}
{'短评内容': '我住过的酒店中最差的一家。前台和走廊都是烟味儿。洗澡没有热水，前台说是风大吹坏了。服务员（或者是保洁员）经常在走廊里大声嚷嚷，晚上9点多也是。隔音差，房间设施简陋，床头板没固定，一靠就忽闪忽闪的，第一次靠时不知道，一靠咣当一声吓我一跳。早餐时发现入住的客人（仅限于我见到的）穿着打扮是80年代的那种，有的还在餐厅里抽烟。早餐也颇有80年代的感觉，咸菜、花卷、包子、油条（貌似前一天剩的），豆浆，米汤。', '短评打分': 1}
{'短评内容': '还可以，可以考虑今后再住，就是离地铁远就是离地铁远就是离地铁远', '短评打分': 5}
{'短评内容': '还可以吧就是床有点咯弹簧摸得着垫子太薄', '短评打分': 3}
{'短评内容': '房间很大、网速快', '短评打分': 3}
{'短评内容': '北京壹加壹快捷酒店的交通比较方便，房间设施干净整洁，距离北京南站比较近，但服务一般。', '短评打分': 5}
{'短评内容': '设施齐全，环境好，交通方便，值得推荐。。。。。。。。', '短评打分': 5}
{'短评内容': '客房服务员在楼道里喊来喊去,真闹心', '短评打分': 3}
{'短评内容': '屋内设施感觉，就是住了一间没有窗口的，有点不透气！', '短评打分': 5}
{'短评内容': '服务很好，房间很干净，前台很热情，就是外地人位置不好找，本地司机也不知怎么走，位置大都较偏，好在前台小姐回答的较清楚使司机能够找到。', '短评打分': 5}
{'短评内容': '交通還算便利;就是住房老舊些,性價比還可以', '短评打分': 5}
{'短评内容': '与其它全国性的连锁差不多，交通还算便捷，下次可以考虑入住', '短评打分': 5}
{'短评内容': '环境还不错，离车站比较近，交通也很方便，适合商务，旅游居住', '短评打分': 5}
{'短评内容': '挺干净，卫生不错，交通也挺方便的说，旁边有家火锅鱼听说很好吃，口水', '短评打分': 5}
{'短评内容': '这种酒店就像家庭式的小旅馆，服务差不正规，而且还没有家庭式旅馆温馨，就是装修的也一般，各方面都不怎么样。再也不会去了！', '短评打分': 1}
{'短评内容': '……内客', '短评打分': 3}
{'短评内容': '客房卫生还可以，但是不推荐入住的理由是前台接待很凶，一口非常不标准的普通话显示出自己是首都人民大于一切的姿态。', '短评打分': 1}
{'短评内容': '前台服务太差，说话很呛人！不推荐大家入住该店。', '短评打分': 1}
{'短评内容': '各方面都不错，坐公交车也比较方便。就是空调取暖不是很好，洗澡出来有点冷。', '短评打分': 5}
{'短评内容': '服务不错，房间也比较干净、位置也还行，就是早点简单了点。', '短评打分': 5}
{'短评内容': '服务好，房间面积很大，设施齐全，下次还会入住！', '短评打分': 5}
{'短评内容': '1.床太低，躺着不舒服\n2.床太硬，感觉弹簧好像都要出来了\n3.热水的壶有点脏\n4.电视看的台也不多，连湖南卫视都没有\n5.洗澡的水忽冷忽热的、好像旁边屋的热水的开关都会影响到我这。', '短评打分': 1}
{'短评内容': '此店一般', '短评打分': 3}
{'短评内容': '卫生还可以，噪音有点大，可能是住的离空调房比较近，床不是很好，感觉弹簧都要出来了，睡着很不舒服', '短评打分': 1}
{'短评内容': '位置很好找 很干净 服务态度也很好  下次还会选择这里 ', '短评打分': 5}
{'短评内容': '挺安静 服务态度很好 干净 下次还会住的 ', '短评打分': 5}
{'短评内容': '酒店环境还好', '短评打分': 3}
{'短评内容': '价格便宜。但是无窗房通风不好，客人的情况也比较乱。 ', '短评打分': 5}
{'短评内容': '该酒店整洁卫生，很舒服下次还住这，谢谢！', '短评打分': 3}
{'短评内容': '房间卫生条件好。安静舒适。房间温度适中。', '短评打分': 5}
{'短评内容': '房间比较干净，地理位置不错，周边环境安静，价格合理，早餐丰富。还算比较满意 。', '短评打分': 5}
{'短评内容': '这个宾馆只能说是超值！这个价位在这个地理位置还带两个早餐绝对超值。房间配置也不错。', '短评打分': 5}
{'短评内容': '房间及服务都不错，价位也很便宜，但早餐品种少了点。', '短评打分': 5}
{'短评内容': '不错  挺干净的 服务态度也很好 下次还会住 ', '短评打分': 5}
{'短评内容': '比较干净，位置不错，安静，价格合理，早餐丰富。比较满意', '短评打分': 5}
{'短评内容': '挺好的，位置还可以，交通可方便，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '房间设施计条件还都算不错，价格还算物有所值。', '短评打分': 5}
{'短评内容': ' 很好！！！！', '短评打分': 3}
{'短评内容': '很好找 不过隔音效果不是很好  这个价格还是不错的叻', '短评打分': 5}
{'短评内容': '距离北京南站很近，房间隔音效果不是很好，旁边好像有个KTV之类的，唱歌的声音很大', '短评打分': 5}
{'短评内容': '服务态度很好，很方便，就是隔音效果欠佳，总之还是很实惠的\n', '短评打分': 5}
{'短评内容': '在南三环附近，附近有个公交总站，交通还很方便。\r\n卫生还击都还可以吧。', '短评打分': 5}
{'短评内容': '感觉卫生比较不好 床上用品都很黄 感觉很不干净 房卡还打不开门 等了很久才修好', '短评打分': 3}
{'短评内容': '床单无比的黄 黄的没法儿看 很恶心的 以后再也不会住了 早餐也超级难吃', '短评打分': 1}
{'短评内容': '酒店环境挺安静的 ~~~\r\n出行比较方便~~', '短评打分': 5}
{'短评内容': '总体的情况不错，离地铁站较远。房间较干净，也宽敞。', '短评打分': 3}
{'短评内容': '酒店很脏很脏杯子上都是血，下次再也不住了', '短评打分': 1}
{'短评内容': '很好，卫生干静。', '短评打分': 5}
{'短评内容': '房子较大，还有早餐，这个价格还可以。地理位置稍微有些难找，最好先打电话问清楚再打车去。', '短评打分': 5}
{'短评内容': '酒店环境卫生\\服务都不错,只是房间隔音差了些,不过还是很推荐,必竟性价比较高.', '短评打分': 5}
{'短评内容': '不推荐，总台服务员态度不和善，房间设施和卫生条件一般，房间地上发现小虫。我住的标准间B二楼房间气味很浓。', '短评打分': 1}
{'短评内容': '被单和枕套 看着已经很旧了，该换了。房间很潮', '短评打分': 1}
{'短评内容': '环境不错，卫生条件不错，交通不是很方便', '短评打分': 5}
{'短评内容': '隔音差了点，楼道里有人说话在屋里就能听到。', '短评打分': 5}
{'短评内容': '到北京南站非常方便，性价比不错', '短评打分': 5}
{'短评内容': '位置较好', '短评打分': 5}
{'短评内容': '离北京南站还算近，但要是有行李，走过去就有点远了。\r\n 酒店设施不太好。也可能是我们住的房间不好，什么都没有。\r\n而且，本来说有晨餐提供的，可是没有给我们晨餐卷。\r\n到也不是要吃那的晨餐，但没有给，没有说明，就是让人不舒服。', '短评打分': 1}
{'短评内容': '不建议入住，主要是卫生差。上午结账是居然只有一个人，结账的人自己要跑上楼去查房。所以服务业不要指望了。就性价比来说，我认为比较差。', '短评打分': 1}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '房间无窗，隔音效果不是很好。', '短评打分': 3}
{'短评内容': '总的来说 非常差 我住的那个房间 窗户 没有 电话 都没有 宽带 是坏的 毛巾也是破的 抽水马桶盖 也是裂的 卫生间看上去也不干净 有史以来住的最差的一个酒店', '短评打分': 1}
{'短评内容': 'wu', '短评打分': 1}
{'短评内容': '隔音效果真不是一般的差，唉，真的没办法容忍，简直像睡在大街上。不推荐入住。', '短评打分': 1}
{'短评内容': '总体还可以，就是大厅小呵呵', '短评打分': 5}
{'短评内容': '订的标A，干净，温馨，落地窗，浴室有吹风机，整体淋浴房，还有免费早餐。本来要订对面的莫泰168，要比这家便宜，但看评论说浴室是半透明的墙，感觉别扭，所以还是订了壹加壹。门口有多条公交线路，餐馆。', '短评打分': 5}
{'短评内容': '感觉还可以。', '短评打分': 5}
{'短评内容': '我是一般不点评的，不过太让我生气了！\r\n1、去的时候找了好久，到了就急忙放下东西办事去了\r\n2、晚上回来发现床单和枕套都有黑色的印，就让服务员换，结果换的时候床垫上还有血迹，真可怕！换了半天，还是有黑色的印，被告知是洗不下去，我住过不少快捷酒店，为什么就你这家洗不下去呢？我很无奈，没有较真！\r\n3、后来去洗澡，结果发现喷头是坏的，找服务员来，被告知维修工下班了，明早八点再找吧，我就纳闷了，你设施是', '短评打分': 1}
{'短评内容': '隔音效果不好。其他还好  149的房子没有窗户 不爽', '短评打分': 5}
{'短评内容': '特价房的性价比还是很高的，房间的硬件很不错，值得推荐。', '短评打分': 5}
{'短评内容': '总体来说很不错~干净，随时有热水，有免费网，安全，设施完备，只是隔音效果欠佳', '短评打分': 5}
{'短评内容': '整体来讲还是一间很不错的酒店,房间的卫生和设施方面都很好,住着还是比较舒适的,就是酒店的位置不太好找,稍微有点偏,不过离火车站还是比较近的.', '短评打分': 3}
{'短评内容': '服务不错，就是环境不太好缺少空气流通！~', '短评打分': 1}
{'短评内容': '整体来说还不错，前台服务员热情，交通方便。但是床不太舒服，能直接摸到弹簧。还有洗手间里的马桶要冲几次才行。下次还住这里。', '短评打分': 5}
{'短评内容': '离北京南站比较近，交通也蛮方便的，酒店里面可以订火车票和机票，早餐也不错，特别是肉包子真实一绝，十一期间去住了几天，记得中秋那晚还发了4个月饼，特别人性化！', '短评打分': 5}
{'短评内容': '地点还可以，离火车南站比较近', '短评打分': 5}
{'短评内容': '每次来北京基本都在这里住，条件还算可以，前台的服务还不错，性价比还算不错，早餐不算丰富，但还算。', '短评打分': 5}
{'短评内容': '住过许多同价格的酒店了，感觉这家的卫生和设施算是很不错的了。\n提一点小建议吧：卫生间的墙壁希望可以定期打扫，毕竟铺了白瓷砖有一点点脏就会很明显。还有就是中央空调也希望可以定期清理，要不味道会很难闻。', '短评打分': 5}
{'短评内容': '设施和环境都还不错，地段也方便，就是我去住的时候酒店给我介绍的旅行社的价格和实际消费的价格不一样，旅行社最后收我费用比当初介绍的高', '短评打分': 5}
{'短评内容': '服务还不错，酒店所在的位置不是太好找，附近公交少，打车还方便，房间内部空调没有遥控的，直接在空调上调节的', '短评打分': 5}
{'短评内容': '我是去佑家医院看一个同学，所以在网上定这个酒店，感觉不错！', '短评打分': 5}
{'短评内容': '酒店的配套设施不好,早餐很差的,位置还不错,我们当时是同事一起过去的,对酒店的整体环境还算是比较满意吧.', '短评打分': 5}
