{'descr': '好好', 'star': 5}
{'descr': '酒店新开的，很干净，停车方便，但公共交通工具不便，总体很超值', 'star': 5}
{'descr': '服务还算周到热心，但是房间条件实属一般~房间不太隔音，而且卫生间清洁工作不到位', 'star': 1}
{'descr': '酒店环境不错，干净卫生，设施齐全，住得很舒服', 'star': 3}
{'descr': '还不错，就是远了点，早餐还有待改进，水果太少了', 'star': 5}
{'descr': '工作人员服务态度很好 \n帮我安排了安静的房间，可以看到部队大院 \n唯一不足的是酒店的硬件设施需要加以改善，尤其是水龙头，水真的很小~', 'star': 5}
{'descr': '非常的不错啊   经常住，环境好 ，服务也很好', 'star': 5}
{'descr': '经济实惠。', 'star': 3}
{'descr': '酒店也是新的里面的设施都很好，位置一般交通不方便。价格也是因为世博会期间还是贵了，服务态度是蛮好。里面的卫生装修都是很不错的。', 'star': 5}
{'descr': '不错，我到哪里都是住如家，比较卫生，但是就是房间小了点。', 'star': 5}
{'descr': '+很满意', 'star': 5}
{'descr': '住宿条件很好，设施也很新，网速够快。主要是交通有点不方便，离地铁略远了。。。', 'star': 3}
{'descr': '有点偏........................', 'star': 5}
{'descr': '不错，很喜欢！只是距离有点远，还没有早饭吃！其他还行！', 'star': 5}
{'descr': ' 房间大，只是隔音不好。', 'star': 5}
{'descr': '交通不是太便利，如家楼下打车不是太方便，公交车去景区和地铁站都要转车，', 'star': 1}
{'descr': '酒店挺好找的，南京火车站出站换乘13路，福建路站下往回走一小会。同行的对酒店还挺满意的。我订的家庭房挺宽敞的，房间的一面是窗户，但窗是不能打开的，另外房间的隔音很差，挺吵的（主要是来自旁边房间的声音），入睡后基本没声音。卫生间对房间的一面是玻璃的，本以为淋浴室有浴帘可以拉上，但洗澡的时候发现浴帘只能拉一半（哈哈）。酒店去各景点还是挺方便的。', 'star': 1}
{'descr': '交通便利 出门坐车 打车很方便 到山西路新街口夫子庙等相当便利。\r\n如家一贯的优质服务 值得信赖。\r\n价格相对便宜 设施齐全 \r\n强烈推荐', 'star': 5}
{'descr': '孙力', 'star': 5}
{'descr': '离火车站和中央门汽车站特别近，前台服务态度好，房间有点狭小，', 'star': 5}
{'descr': '环境地理位置都很好，性价比很高。强烈推荐', 'star': 3}
{'descr': '其它不錯，就是網速有點慢，每個房間一個貓，撥號上網', 'star': 5}
{'descr': '很满意,卫生什么的都很好', 'star': 5}
{'descr': '正赶上装修，环境比较嘈杂，其他一般吧，地理位置不错。', 'star': 5}
{'descr': '服务比较热情 就是设施略有陈旧 总的来说还是性价比不错的一家如家', 'star': 5}
{'descr': '不错，靠近汽车站、火车站，湖南路，三牌楼，值得入住，推荐，', 'star': 5}
{'descr': '哎哟…还不错喔', 'star': 5}
{'descr': '挺好。不错的地方。就是隔音不太好。位置有点偏了。交通还算方便吧', 'star': 3}
{'descr': '入住环境挺不错，房子大，卫生也干净，就是空调凉得慢点。', 'star': 5}
