{'短评内容': '兔兔兔兔突突突', '短评打分': 5}
{'短评内容': '虽然是4星酒店，但设施陈旧，性价比不高。早餐可选择的余地很小还要40块。如果你是来旅游的，真不推荐。如果是商务的话，就无所谓了。', '短评打分': 1}
{'短评内容': '酒店环境还行，就是前台接待态度应该提高', '短评打分': 3}
{'短评内容': '我作为唐山人，对于唐山人在北京的办事处实在是感到汗颜。我住的还是套房，房间内的设施之陈旧，卫生用品之破损实在让人睁不开眼。电视是上世纪九十年代的，节目总是卡壳，也不附赠矿泉水，房间内的垃圾桶也是没有打扫干净的，床垫还是被坐塌的，壁橱里还有蟑螂，很是恶心！商品部里卖的中华烟假的不能再假了！奉劝大家千万不能住在那里！！！！！！！！', '短评打分': 1}
{'短评内容': '相当不错，套间很大，对面是一个很有气势的立交桥，当然隔音效果还可以就是了。\n下次来应该还会住住，浴室和客厅这些我最看重部分很不错。', '短评打分': 5}
{'短评内容': '在四惠地铁站附近算是交通最为便捷的酒店了。从酒店到地铁站只要10多分钟。但就酒店的设施来说与4星相差太远。设施陈旧，卫生间的通风也做得不好，酒店早餐也很贵。总有其他选择的各位还是找别的地方住吧。。。', '短评打分': 1}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。一家国营老酒店。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '房间设施比较陈旧，地毯看起来很脏，服务员服务态度一般，与四星的差距比较大，性价比比较低。只是离公司很近，所以才会选择住那儿', '短评打分': 1}
{'短评内容': '服务态度极差。乱收费。', '短评打分': 3}
{'短评内容': ' 酒店太老了，该装修了。', '短评打分': 3}
{'短评内容': '房间宽敞，大堂敞亮，稍微向小区里面凹了一下，晚上睡觉比较静。交通方便', '短评打分': 5}
{'短评内容': 'the washroom smelles bad and somethings in room are dirty', '短评打分': 1}
{'短评内容': '设施齐全，干净整洁，适合商务会客。fj,ut.o,um......................................', '短评打分': 5}
{'短评内容': '综合位置、服务，价格偏高  三星标准而已   350/晚比较合适', '短评打分': 1}
{'短评内容': '位置不错，去首都机场或者北京站都很方便。\n房间设施一般，感觉有点老旧。\n', '短评打分': 5}
{'短评内容': '设施不错，早餐还可以。地理位置也可以，在北京能住到这样的酒店很满意', '短评打分': 5}
{'短评内容': '条件不太符合4星级，但是还好。主要是离朋友家近。', '短评打分': 5}
{'短评内容': '是帮朋友定的,反映酒店还不错,出行也方便.', '短评打分': 5}
{'短评内容': '还不错的酒店，就是空调不够冷。服务还可以', '短评打分': 3}
{'短评内容': '酒店老旧，相比同等环境的酒店价格偏高，房间内部设施较差。', '短评打分': 1}
{'短评内容': ' 可以', '短评打分': 3}
{'短评内容': '因为标准间没了，给我们免费升级了套房。不过，套房对我们来说意义并不是很大，但感觉这种态度还是不错的。总体上，酒店的设施已经过时了，可考虑重新装修一下。另外，朝南的房间在天开始亮后蛮吵的，因为东四环就在边上。出行也还算方便吧，就是附近没啥便利的饭店', '短评打分': 5}
{'短评内容': '房间设施一般，不像四星级酒店的标准，空调不好用，服务一般', '短评打分': 1}
{'短评内容': '很好，服务态度很好，唐山人还打折，下次还会入住', '短评打分': 5}
{'短评内容': '给人整天的环境很好，房间整洁，服务需要在跟进一些', '短评打分': 5}
{'短评内容': '612房间没有暖风太冷了，酒店星级挺高，但是装修很一般不像那个星级', '短评打分': 1}
{'短评内容': '酒店整体还不错，预订时说按4星标准建设，其实达不到。住的房间靠路边，晚上太吵了', '短评打分': 5}
{'短评内容': '最主要的是离出差的地方近，房间设施什么的一般吧~', '短评打分': 5}
{'短评内容': '酒店位置不错，服务员好象都是唐山的，服务也很好，设施齐全', '短评打分': 5}
{'短评内容': '东四环附近不错的酒店，政府在北京的办事机构驻地，早餐还行。', '短评打分': 5}
{'短评内容': '主要是离要去的地方近，所以入住，整体还可以，价格偏高一点。\n', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '9环境服务都不错', '短评打分': 3}
{'短评内容': '环境一般，交通很方便，附近离阳光100和新天地很近，而且出门走5分钟就有吃饭的地方。', '短评打分': 5}
{'短评内容': '一般，网络情况不好，整体质量不是很好，交通也不大便利', '短评打分': 1}
{'短评内容': '唐山大厦服务很好,但设施有点陈旧', '短评打分': 3}
{'短评内容': ',酒店服务不错,但设施陈旧不够四星标准。', '短评打分': 3}
{'短评内容': '酒店干净、服务好，不错，有机会还会来住。', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 3}
{'短评内容': '        ，，，，，还好吧，，，交通比较便利', '短评打分': 5}
{'短评内容': '很好的酒店。值得推荐，环境好，服务好；硬件和软件都很好；', '短评打分': 5}
{'短评内容': '价格还凑活！\n前台很负责任！\n服务可以！\n但是房间内部比较脏 地毯很不干净 ！\n就是离我办事的地方比较近罢了！', '短评打分': 5}
{'短评内容': '地理位置确实优越。\r\n说是按四星级标准建造，可服务与设施比见过的经济型连锁的还差。\r\n房间冰冷，床很硬，被子也不松软。\r\n几乎没有服务员，谈不到服务。\r\n大堂全是酒气，味道难闻。\r\n价格418元还不含早，这可达到四星了。\r\n不会再入住！！！', '短评打分': 1}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般', '短评打分': 5}
{'短评内容': '这家酒店服务周到，设施也不错，以后还会来住。', '短评打分': 5}
{'短评内容': '很不错的酒店，房价设施很好，服务也好，位置、安全性也很好，值得推荐；', '短评打分': 3}
{'短评内容': '    不错，，交通比较方便，，赶往机场的路更是方便，，房间空气在好点就行了！！！', '短评打分': 3}
{'短评内容': '整体不错，方便，位置好，只是有点旧；再能多些硬件设施更好，如送瓶矿泉水，虽然价值不大，但很温馨；', '短评打分': 5}
{'短评内容': '交通方便，感觉挺好的，我个人认为卫生要加强，进屋的感觉是有不舒服的味道！', '短评打分': 5}
{'短评内容': '院内停车管理不好', '短评打分': 5}
{'短评内容': '配套设施少了点，客房旧了点。但还比较舒适、安静。价格也还好。服务态度也不错。', '短评打分': 5}
{'短评内容': '这里离机场比较方便，而且酒店有湘菜，很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通比较方便，就是房间有些太老了', '短评打分': 5}
{'短评内容': '地毯好像10年没有清洗，入住第1天房间内就有烟蒂（本人不吸烟）。\r\n通知服务员打扫，傍晚回到房间烟蒂还在。第2天再次要求彻底清扫，\r\n晚上回到酒店后，还原封未动。真是无可奈何............\r\n', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '性价比不好，环境也一般，导致朋友当晚就转到其他酒店', '短评打分': 3}
{'短评内容': '性价比不好，环境也一般，导致朋友当晚就转到其他酒店', '短评打分': 1}
{'短评内容': '这次德服务还算不错，至少房间的网线坏了更换的速度比较及时，赞一个吧', '短评打分': 1}
{'短评内容': '地铁口离宾馆要走6，7分钟。交通还算便利。周围购物不是很方便，但短住还是可以的。宾馆比较安静。', '短评打分': 5}
{'短评内容': '环境设施和价格简直不成正比，还没有如家锦江好，感觉上当受骗了', '短评打分': 1}
{'短评内容': '酒店的服务很好，地理位置也不错，交通很方便， 价格贵。', '短评打分': 1}
{'短评内容': '服务态度挺好的，环境比较一般，酒店价格偏贵，尤其是早餐非常的贵 ，45块钱一份，真是吓死人了，不过酒店位置蛮不错的，出门就有地铁，这点很好，如果不在那吃早点，这酒店还不错的', '短评打分': 3}
{'短评内容': '酒店的服务很好，地理位置也不错，交通很方便', '短评打分': 5}
{'短评内容': '酒店其实还不错，毕竟位置挺好的，交通方便，而且人员的服务和环境卫生都挺好的，就是硬件方面相对来说，只能说是一般。', '短评打分': 5}
{'短评内容': '我之前订的是南航，他们的服务太差，所以我该订的唐山大厦，唐山大厦写的是按四星级标准建造的，但是我觉得他在硬件方面还是稍差一点，而且感觉以现在的条件来说这个价格偏贵，不过他的服务和环境卫生都还不错，位置也挺好的。', '短评打分': 1}
{'短评内容': '北方的酒店比南方的贵多了,按照这价格在南方也就3星级左右了,酒店位置都挺不错的交通挺便利的,服务卫生也还不错了,设施条件还可以吧,该有的都有了.', '短评打分': 5}
{'短评内容': '就是感觉价格偏高了点,环境和服务都还不错,位置也挺好的', '短评打分': 5}
{'短评内容': '酒店的价格偏高.位置很好四环边上出行方便,环境设施也还可以.', '短评打分': 5}
{'短评内容': '酒店设施有点旧.服务人员态度一般.价格比较合适.', '短评打分': 3}
