{'descr': '不怎么样呀', 'star': 4}
{'descr': '地理位置环境好，购物、交通方便，价格实惠。', 'star': 5}
{'descr': '酒店还可以～比想象的要好很多～～前台服务人员有礼貌～～服务项目很贴心～～服务很周到～～', 'star': 5}
{'descr': '交通方便，房间很大，服务态度好，设施稍显陈旧。', 'star': 5}
{'descr': '房间较小 热水不是很好 但是卫生好不错  隔音不好', 'star': 1}
{'descr': ' #######觉得服务不错，环境也还可以。', 'star': 5}
{'descr': '地点不错，饭店很多，体育用品商店很多，路口还有24小时肯德基，房间很热，就是热水压力很小，总体不错。', 'star': 5}
{'descr': '设施有些就旧', 'star': 3}
{'descr': '环境还不错!', 'star': 3}
{'descr': '百元房便宜，环境不错。托鞋牙具都是一次性的，门卡式钥匙，有淋浴，服务很到位。但是从信用卡中扣了一百做为压金，没有提醒我。', 'star': 3}
{'descr': '相同房型的房间大小不一，房间相对同等级别的有点小，但服务还不错，早餐也可以，附近好吃的馆子挺多的。', 'star': 5}
{'descr': '还可以吧，价格贵些，没有早餐，闹市区。。。。。。。。', 'star': 5}
{'descr': '一般。。商务酒店就是这样。。。没什么好说。。。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '交通很方便，便宜干净。服务比较周到，不过最好选商务大床房，楼层高点，面向院内，安静些', 'star': 5}
{'descr': '标准配置，经济酒店的一般水平，适合暂时住宿', 'star': 5}
{'descr': ' 无论地理位置还是性价比上，都是比较不错的选择。\r\n 总体感觉——很好！\r\n 是一个值得推荐给亲朋好友来投宿的地方。', 'star': 5}
{'descr': '还不错，这个价格太物超所值了。高级大床房房间很大，有点空旷，可以选择超院内或临小巷子，我们去的时候只有临小巷子的房间，不过一点也不吵，很安静。', 'star': 5}
{'descr': '酒店条件还不错,住得挺舒服的,而且性价比也还可以,因为价格不高所以对于酒店的要求也不是很高.总得来讲还不错.', 'star': 5}
{'descr': '酒店周边的交通还算便利、周边环境也不错,室内整理的井井有条.很整洁也很舒服.我感觉酒店还不错.', 'star': 5}
{'descr': '为了方便办事才住了这里，新开的店，条件很一般，', 'star': 1}
{'descr': '酒店卫生条件不错,做得很好,而且服务态度也不错都挺热情的.就是网速有点慢,不过倒不影响太大.综合来讲还算不错.', 'star': 5}
{'descr': '酒店还不错,室内的硬件和软件服务都挺到位的,就是浴室的花洒出水不太好不过整体来讲还算可以吧.不太受影响,毕竟只是休息前洗那么一两次.综合水平还不错.', 'star': 5}
{'descr': '服务和卫生条件基本还算满意,就是这室内的网线有点慢阿,这点希望再提高一些.其它各方面都不错.', 'star': 5}
{'descr': '房间很干净.卫生条件也不错,空间很大很宽敞明亮.环境也很优雅.又不失时尚元素,而且处于繁华地区.比较方便.', 'star': 5}
{'descr': '酒店还行，就是退房时间一定要十二点前很不合理', 'star': 5}
{'descr': '总体来讲还不错，重点是位置不错，周边有24小时KFC，有大超市，还有绝味，打车较方便。酒店环境嘛最便宜那种临街有点吵，酒店人员服务态度较好，床头也有网线这很方便。就是我住的厕所地看着不太干净，其他不错。', 'star': 5}
{'descr': '大床房门市价159，网上价格151。。。\r\n大床房一般都靠马路，窗户占墙面的1/3以上，比较吵闹，我觉得会睡不好，换了高级大床房，价格189，比较干净，前台服务态度也挺好，浴室条件不错，床铺也挺干净，窗子隔音挺好，但是夜里还是能听见隔壁XXOO的声音。\r\n要是高级大床房能再便宜点就更好了。\r\n性价比比大连承霖青年公寓还是差些', 'star': 5}
{'descr': '新开不久的酒店，舒适度还不错，但总觉得还差点什么，值得推荐！', 'star': 5}
{'descr': '比边上的如家好', 'star': 5}
