{'descr': '环境还可以吧，价格在上海来说不贵', 'star': 5}
{'descr': '- -       这个价位也就这样的服务了，还行吧', 'star': 5}
{'descr': '不错吧~环境挺好~不错~不错~不错~不错~不错~', 'star': 5}
{'descr': '服务挺好', 'star': 3}
{'descr': '房间很小，而且早上有噪音，没什么好的', 'star': 3}
{'descr': '还可以，就是早餐不添加，晚起的人没东西吃', 'star': 5}
{'descr': '酒店设施不错，出门有公交站台，步行15分钟左右可到金桥商业中心。', 'star': 3}
{'descr': '还不错，就是隔音不是太好…但是总体还不错，空调有点小抽筋，有个床灯是坏的…', 'star': 5}
{'descr': '确实不错，干净，安静，价格适中。。。。。', 'star': 5}
{'descr': '该店交通方便。干净舒适。服务很好。就是靠马路边的房间较吵。网速也不是很快。', 'star': 3}
{'descr': '很实惠，位置也很好，出门有个公交站，上川线坐一站到张扬路金桥路就有地铁，很方便。', 'star': 5}
{'descr': '除了离地铁比较远外，酒店其他地方都不错，下次还会入住', 'star': 5}
{'descr': '服务态度不好。特价168元的房间，写的时候是双床/大床。过去了，说是只有大床房了。单人间。\n服务员态度也不好。\n没有入住。到其他酒店入住了。', 'star': 1}
{'descr': '酒店离市区远内部条件可以', 'star': 3}
{'descr': '除了离地铁比较远外，酒店其他地方都不错，下次还会入住', 'star': 5}
{'descr': '酒店房间挺不错的，服务好,就是离地铁口比较远\n  ', 'star': 5}
{'descr': '一如其它168的装修,卫生还好;\n周边环境一般,距离地铁站也近;\n相比新金桥店性价比低了,建议价格再低些.', 'star': 5}
{'descr': '还不错把，168就这样了，也就和价格差不多的水平', 'star': 5}
{'descr': '酒店周围环境不怎么好。饭店因为去年开业，内部条件还可以。', 'star': 3}
{'descr': '很不错的一家酒店，环境、服务都令人满意，虽然世博期间价格稍有点高，但属正常现象，也并不过分！以后再到上海，如果合适的话，仍会选这家，因为它给我们全家的印象都不错！', 'star': 5}
{'descr': '环境挺不错的，卫生比较满意，下次还会入住。。。。。。。。。', 'star': 5}
{'descr': '这里除了隔音相当不好外 其他一切都好 他说一定要我写20个字 我是实在没有20个字了……', 'star': 5}
{'descr': '基本设施还不错，位置不太好，大家可以参考一下。', 'star': 5}
{'descr': '不错，很干净，房间很大，就是隔音似乎不好！', 'star': 5}
{'descr': '房间很大~~~很不错~~~环境干净，就是周围现在在修路，打车不方便', 'star': 5}
{'descr': '交通方便，在莫泰里还真的是168能住商务房，不像是别的莫泰168真正能住到168的价格都是特价房', 'star': 5}
{'descr': '比较实惠，3人家庭房278元。距离陆家嘴车程15分钟，不过堵车就不一定了', 'star': 5}
{'descr': '不错的店,好多城市的168都住过.很好,很不错,就是交通稍稍不方便,地铁后需要转公交', 'star': 5}
{'descr': '家庭房实用方便，去世博园一部车981到，很好。', 'star': 3}
{'descr': '已入住去世博一部车981直达,家庭房方便实用', 'star': 5}
{'descr': '+ok', 'star': 3}
{'descr': '入住的是商务大床房，在世博期间房价有点儿高，不太值这个价值，估计世博过后，性价比应该能好一些', 'star': 5}
{'descr': '整体来说还可以， 离地铁口步行15分钟，稍有点远', 'star': 5}
{'descr': '还可以，住了一晚，还算不错啦，卫生也蛮干净的', 'star': 3}
{'descr': '+不错', 'star': 5}
{'descr': '酒店不错，世博期间价格有些高，如果价钱恢复到世博前的价格的话值得推荐', 'star': 3}
{'descr': '世博期间性价比不高，莫泰价位在200左右差不多总体还行', 'star': 5}
{'descr': '前台服务态度很好，住宿条件还可以，但是由于世博期间有团队，早餐比较乱，餐盘收拾的不及时；早餐一般', 'star': 3}
{'descr': '离地铁站也很近，公交车站也近，很适合自由出行时选择这家莫泰。~', 'star': 5}
{'descr': '还算可以,只是周边在施工,比较吵.总体还算比较满意.另外,餐厅的卫生状况非常差,一定要改善和提高.', 'star': 5}
{'descr': '服务不错，早餐相当一般', 'star': 5}
{'descr': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', 'star': 5}
{'descr': '周边有点脏，房间还可以，接待比较热情，其他的还可以。', 'star': 5}
{'descr': '酒店位置比较偏，不过经济型的酒店都是这样。\r\n比新金桥店好狠多。凑合住吧', 'star': 3}
{'descr': '很好，比新金桥店新很多，也舒服很多。\r\n可是还不够20字啊，怎么办？还是很舒服，没办法多写了 。', 'star': 5}
{'descr': '性价比还是可以的，地理位置偏了一些。周围在修隧道，修好后可能好点。', 'star': 5}
{'descr': '服务就一般，房间的卫生设施还行，位置还可以。价格的话算是比较适中。', 'star': 5}
{'descr': '卫生条件不错，就是酒店位置偏了一点，不过离浦东大道近，公交还算方便，想去世博看看有32路专线车。', 'star': 3}
{'descr': '还不错，就是位置比较偏，不过公交车还是很方便的', 'star': 5}
{'descr': '总的来说，还可以的啊。就是有点偏了，到地铁还要转车', 'star': 5}
{'descr': '位置没有如家好\r\n设施也一般\r\n世博期间的价格勉强让人满意', 'star': 1}
{'descr': '环境不错，服务态度也很好，就是服务员可能是新到的，业务还不是太熟悉，在办理的过程中等的时间稍微长了一点，但是这家店的总体感觉还不错！', 'star': 3}
{'descr': '位置好,距离地铁比较近.不过距离世博园有些远.但是环境比较幽静.性价比很高.', 'star': 5}
{'descr': '早餐晚点下楼就没啥吃的了，其他还是不错的。', 'star': 5}
{'descr': '酒店是今年新建的，硬件设施比较新，卫生条件也还不错，就是地理位置稍微有点偏，不过好在临近地铁6号线，性价比较好，整体感觉还不错。', 'star': 5}
{'descr': '服务员并不是太熟悉自己的业务，在办理过程中等的时间比较长！', 'star': 5}
{'descr': '感觉酒店一般， 不过在世博期间， 性价比还是比较高的， 总体还不错', 'star': 5}
