{'短评内容': '环境优美，地理位置好,交通方便 ,网络高速信号好,服务态度还可以 房间小摆件的设计也很有特色。性价比不错，下次还要入住.', '短评打分': 5}
{'短评内容': '卫生一般   这个价位的话   算是还可以吧                         。。。      ', '短评打分': 4}
{'短评内容': '就是入住后返点来的有点迟。。。还要打电话到北京。', '短评打分': 5}
{'短评内容': '房间还可以。就是有点吵。。。下次住里面的房间可能会好点。', '短评打分': 5}
{'短评内容': '比较经济。就是每层都要走楼梯。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置很好，旁边就是万达酒店，吃玩都方便。房间很干净，服务一流，打扫卫生的服务人员也很勤劳敬业，下次还来这家。', '短评打分': 5}
{'短评内容': '房间比较干净，只是面积小了点，我是春节期间入住的，周围找不到吃饭的地方', '短评打分': 5}
{'短评内容': '很干净性价比超高，下次来宜昌一定还会选择这家酒店', '短评打分': 5}
{'短评内容': '酒店设施还蛮新，隔音效果很不好，周围吃的玩的比较方便。', '短评打分': 5}
{'短评内容': '环境还可以，很方便', '短评打分': 3}
{'短评内容': '出行很方便，靠近中心消费区， 买东西都很方便。', '短评打分': 5}
{'短评内容': '挺不错的酒店，价廉物美，离江边也比较近，值得推荐', '短评打分': 5}
{'短评内容': '佰斯商旅条件不错', '短评打分': 3}
{'短评内容': '环境非常好 性价比极好的酒店', '短评打分': 3}
{'短评内容': '由于国庆期间房源较为紧张，订房过程一波三折，由标间调整为单间，住了一晚后调到了标间。。酒店就门口5~6个车位，回晚了只能停到附近的中心医院或万达广场了。两个房型都小，没有配吹风机，卫生间都是磨砂玻璃隔断的，有点透哦，服务还算到位。房间设施比较简单，个人认为没如家快捷酒店的好。', '短评打分': 5}
{'短评内容': '这个在宜昌蛮好的，火车站跟汽车站都是出门转一下，走过去就可以了。里面也很温馨，设施很方便。比一般快捷酒店好很多。缺点的话就是小了点，吹风机的配备不足，去迟了就没有了。', '短评打分': 5}
{'短评内容': '很好 酒店旁边应有尽有 离万达很近 很多小吃烧烤', '短评打分': 5}
{'短评内容': '酒店还不错 交通出行挺便利 设施也不错 就是房间有点小！  别的都很好 下次还住！', '短评打分': 5}
{'短评内容': '一般,房间不大,只是装修新一点。', '短评打分': 3}
{'短评内容': '＋环境好，干净卫生，就是房间小了点。周围有很多餐厅饭馆，药店，便利店，很方便', '短评打分': 3}
{'短评内容': '酒店的地理位置不错，周边餐馆好多，交通也很方便。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，周边餐馆好多，交通也很方便。', '短评打分': 5}
{'短评内容': '房间很整洁，服务周到,下次来还会入住！！！', '短评打分': 5}
{'短评内容': '位置不错，出行方便，就是电梯不好，上下电梯都要爬一段楼梯，行李那么重，真的很郁闷', '短评打分': 1}
{'短评内容': '酒店很干净、卫生。给人的感觉也很不错！下次去宜昌还会住这家店！', '短评打分': 5}
{'短评内容': '房间不错，装修也比较新，就是洗澡间积水比较严重', '短评打分': 5}
{'短评内容': 'hao njnuiyvgfcdresxesezeze', '短评打分': 5}
