{'短评内容': '么看咳咳咳额么么么么么咳咳', '短评打分': 5}
{'短评内容': '房间比较大，热水也比较快。就是洗澡的地方比较夸张，四周都是玻璃，都看得见。因为外面有工地施工，换了一间，服务态度很好，较安静，下次还来。', '短评打分': 5}
{'短评内容': '环境比较好  床非常舒适很柔软  只是我之前住的时尚标间电视只有一个频道 建议提供睡袍 和早餐', '短评打分': 5}
{'短评内容': '酒店环境还是不错的，但是前台人员的服务态度有点差！', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': 'very good', '短评打分': 3}
{'短评内容': ' \r酒店位置不错,挺干净的，设施也不错,就是外面有工地施工有点吵,总的来说很好', '短评打分': 3}
{'短评内容': '第二次入住，那个什么医院的建筑工程终于结束了，性价比很高。', '短评打分': 5}
{'短评内容': '很有个性 , 房间空间大  ,性价比很好，地理位置也非常棒，推荐后面的朋友去住哦！', '短评打分': 5}
{'短评内容': '很好 不错 地理位置也很好 很方便 我觉得还不错啦 可以选择', '短评打分': 5}
{'短评内容': '四楼新装修，味道大，浴巾破破烂烂的', '短评打分': 3}
{'短评内容': '酒店条件不错，地理位置也非常好，就是中央空调噪音有点大。总体上不错。', '短评打分': 3}
{'短评内容': '不错，绵阳不错的商务酒店。干净，位置号，房间大', '短评打分': 5}
{'短评内容': '＋确实可以。', '短评打分': 3}
{'短评内容': '还不错，前台服务不好', '短评打分': 3}
{'短评内容': '该酒店地理位置还行，但是周围有修房子的，很早就开工，很吵休息不好。入住当天酒店居然中央空调坏了，酒店没有任何解释，很郁闷！', '短评打分': 1}
{'短评内容': '环境还好。', '短评打分': 3}
{'短评内容': '舒适度不错，房间设施较新。性价比很高，服务能再提升一点更好。', '短评打分': 5}
{'短评内容': '地点很好，走出去就是商业中心，优点是房间面积很大，卫生间也比较大，楼道与房间的隔音不错。缺点是毛巾很旧，一次性拖鞋要收费，网速不稳定，每次回来都觉得房间里有股严重的下水道气味，需要开窗透气很久。另外，窗户对着医院的房间不要住，那个楼估计还得建个3、5个月。\n总之，对得起这个价位就是了。不嫌房间面积小的，建议选7天之类的连锁，至少床品和卫具看着能更洁净些。', '短评打分': 5}
{'短评内容': '环境很好，性价比很高，交通之类的很方便~~有浴缸就更好了~', '短评打分': 5}
{'短评内容': '酒店不错~\n油烟味较大，空调不可调，隔音不好，不能睡懒觉。\n其他方面都很满意~', '短评打分': 5}
{'短评内容': '还可以，比较舒服，只是服务不太好，进酒店没开门的，要是行李多的那不是很麻烦', '短评打分': 5}
{'短评内容': '交通方便.设施可.性价比尚可.晚间不会有电话骚扰', '短评打分': 5}
{'短评内容': '地点不错.房间设施尚可.周边生活机能方便...总体评价中上...', '短评打分': 5}
{'短评内容': '甚好！真的不错~离市中心近~\n这间酒店不错~\n我还比较喜欢~', '短评打分': 5}
{'短评内容': '还不错。就是空调是中央空调不能自己控制，以前都还可以自己控制的，这个就有一点不方便了。其他都还不错', '短评打分': 5}
{'短评内容': '依然不错 住过非常多次了\n就是隔音效果不太好  还有就是是中央空调 有些不方便 毕竟每个人的需求不一样', '短评打分': 5}
{'短评内容': '环境不错，地段不错，硬件设施较好，干净卫生，但是比较吵，附近全是建筑施工，大厅接待人员素质极差，态度恶劣，极度不耐烦，实在污染酒店的环境', '短评打分': 1}
{'短评内容': '离中心医院近，就旁边，办事方便，以后来也会住，只是机会不多', '短评打分': 5}
{'短评内容': '照片还是不真实哈！位置还将就！其他的一般般！', '短评打分': 1}
{'短评内容': '物有所值，主要是性价比比较高。舒适度还行。', '短评打分': 5}
{'短评内容': '价格便宜，房间很大，床很舒服，就是旁边有麻将房，遇到打麻将的比较吵哦，值得推荐', '短评打分': 5}
{'短评内容': '位于市中心，交通、逛街都很方便，出去就是市中心医院，过街就是步行街。房间很舒适，就是灯光暗了点，总体评价好。', '短评打分': 5}
{'短评内容': '房间很暗有蟑螂', '短评打分': 5}
{'短评内容': '位置距离步行街很近.周边购物方便..且不会有电话打来房间促销...', '短评打分': 5}
{'短评内容': '不错，推荐入住，位置横好，购物方便不错，推荐入住，位置横好，购物方便', '短评打分': 5}
{'短评内容': '除了没有早餐，其它很好，特别是房间很大，设施也很新', '短评打分': 5}
{'短评内容': '总体来说都很不错,相当的舒适,感觉超好,值得。', '短评打分': 5}
{'短评内容': '还行，空气不怎么好', '短评打分': 3}
{'短评内容': '就在医院旁边，家人在医院住院，在这里住很方便。一分钟就可以到中心医院。', '短评打分': 5}
{'短评内容': '服务员的态度非常不好。还有在房间里面有蟑螂。真的不好。', '短评打分': 1}
{'短评内容': '房间很大，还不错。没早餐是个问题，一个人出差还好办，人多就不好了', '短评打分': 3}
{'短评内容': '没有早餐，只能去附近吃小吃。哪怕收费早餐都好', '短评打分': 5}
{'短评内容': '+房间很大很舒服', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 5}
{'短评内容': '位置佳', '短评打分': 5}
{'短评内容': '位置将就.房间其实还不错.就是厕所味道不好.', '短评打分': 3}
{'短评内容': '就是厕所味道稍微.....其他的都蛮好的.', '短评打分': 5}
{'短评内容': '房间太吵了，根本不能入睡，还有蚊子，第二天身上就起了好多红疙瘩，退房也相当慢，郁闷！', '短评打分': 1}
{'短评内容': '一切都很一般 对不起这个价格！', '短评打分': 1}
{'短评内容': '酒店的位置很适中，环境也很好，有点小贵。120左右就可以', '短评打分': 5}
{'短评内容': '地理位置比较好，靠近公园口，周围交通吃饭也挺方便的。\r\n房间比较有特色，淋浴房的下水很慢，电视机比较陈旧。\r\n有部分房间正好在饭店上面，油烟味很呛人，服务很好，可以换房间的，这种情况。\r\n有早餐就更好了', '短评打分': 5}
{'短评内容': '地段好，离步行街近\r\n\r\n要是有提供早餐就更好了', '短评打分': 5}
{'短评内容': '性价比很高，不错\r\n\r\n就是3楼有会议室，有点吵，房子不太隔音', '短评打分': 5}
{'短评内容': '住进去后朋友说身上起红点了，原因就不讲了，大家心知肚明\r\n住了两晚就换了家酒店', '短评打分': 1}
{'短评内容': '物超所值，舒适房的门市价是200，网上定才150.感觉很漂亮\r\n。也有情调', '短评打分': 5}
{'短评内容': '性价比很高，不错', '短评打分': 3}
{'短评内容': '物美价廉，在这里200的跟我在绵州酒店住的390的一样啊，舒适度一样，就是没有早餐，用里面的布拖鞋要给3元钱，没有浴袍。', '短评打分': 5}
{'短评内容': '樓層在宴會廳旁邊, 十分吵, 十一時後才可安靜入睡. 廁所異味太重.', '短评打分': 5}
{'短评内容': '感觉是个非常不错的酒店，值得推荐！下次还会住。', '短评打分': 5}
{'短评内容': '房间不大但很温馨，，性价比很高', '短评打分': 5}
{'短评内容': '总体还行。', '短评打分': 5}
{'短评内容': '住宿环境稍微差了一点，因为和餐厅时连在一起的，吃饭时间会比较吵', '短评打分': 5}
