{'短评内容': '房间比较小，距林科大近，有免费停车场挺方便', '短评打分': 4}
{'短评内容': '酒店建筑时间不长,硬件设施都很新,房间整洁,干净,酒店吃饭有不同口味选择,周边商圈丰富。\n\n', '短评打分': 5}
{'短评内容': '多次入住了，地点好，房间设施一般住宿要求也足够了。\n', '短评打分': 5}
{'短评内容': ' 订的标准单人间，房间有点偏小，标双好点。酒店环境还可以，交通比较便利，从高铁站座的士只要10几块就到了。早餐品种太少了有点，希望能改善。。。', '短评打分': 5}
{'短评内容': '感觉还可以，环境还好，就是早晨有点单调。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，258值得这个价钱', '短评打分': 3}
{'短评内容': '感觉一般，就是觉得房间没有上次干净哦！早餐也觉得品种简单了点。', '短评打分': 5}
{'短评内容': '橙子酒店还算可以，在大学旁边。就是三星级的酒店标间价位在两百多算贵的。', '短评打分': 5}
{'短评内容': '牙刷收了20块钱 房间又脏又破...............................', '短评打分': 1}
{'短评内容': '酒店很一般  没什么特色             性价比 不符', '短评打分': 1}
{'短评内容': '马桶挺干净的,还有消毒液,就是淋浴不行,水太小,热水跟冷水标志还贴反了,差点没冻死我.', '短评打分': 3}
{'短评内容': '该酒店环境很好很干净,交通方便,服务设施齐全.', '短评打分': 5}
{'短评内容': '一如既往地选择住在这里,就在校门口,图个方便,服务员热心,就是房间小了点,早餐品种少,质量也不如以前的好,可能与入住人少有关系吧 . ', '短评打分': 5}
{'短评内容': '价格便宜，位置比较偏， 物资装潢挺个性，但不太干净。', '短评打分': 5}
{'短评内容': '环境还可以，卫生还可以！就早餐简单了点！', '短评打分': 5}
{'短评内容': '很有特色，一走进去就感觉到另类的艺术气息', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 3}
{'短评内容': '房间卫生还不错！就是觉得房间有点小！', '短评打分': 3}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '，商务房还好，房间大，但床有点小，电脑配置太低了。', '短评打分': 3}
{'短评内容': '环境好，位置好。早餐丰富，居然有水豆腐吃，炒粉也很好吃。', '短评打分': 5}
{'短评内容': '不错的酒店，附近各类设施比较齐全，只是房间的隔音较差。', '短评打分': 5}
{'短评内容': '：酒店住的设施还好，只是早餐一般般，拖鞋还要收费，大堂座的沙发太少。', '短评打分': 3}
{'短评内容': '可以里办事地点比较近....................', '短评打分': 5}
{'短评内容': '还行吧....................', '短评打分': 5}
{'短评内容': '不错，住得比较满意，就是双人间的厕所有点小，其他不错。', '短评打分': 5}
{'短评内容': '还不错，比较干净 ， 很有艺术气息   ，很舒服。', '短评打分': 5}
{'短评内容': '    订了高级标准间，因为酒店三楼是KTV，一直担心噪音大，但是房间在另一栋楼，非常安静。去客房的通道都是自动门，虽然路曲曲折折，但也有曲径通幽的味道。\n    房间内部比别的酒店有新意，但是并不让人特别惊喜。', '短评打分': 5}
{'短评内容': '酒店比较有特色，交通也还算方便。但是前台人员较少，比较忙碌，而大堂空空荡荡，希望扩大前台，并增加商品部。', '短评打分': 5}
{'短评内容': '服务还行，早餐也还可以哦！有点小贵，而且隔壁电视声音影响休息。', '短评打分': 5}
{'短评内容': '很干净，环境也蛮好的。', '短评打分': 3}
{'短评内容': '酒店的交通很方便，感觉还不错，总台的服务有待提高', '短评打分': 3}
{'短评内容': '还行，很干净…空间宽敞。', '短评打分': 3}
{'短评内容': '环境挺好的，设施不错！父母在这里入住后比较满意，是个不错的休闲娱乐的场所！', '短评打分': 5}
{'短评内容': '酒店不错，很温馨，卫生、服务、餐厅都还何以，交通也方便，就是色调有点暗。', '短评打分': 5}
{'短评内容': '酒店装修很喜欢，也挺干净。就在学校大门，在这考试也方便，早上有免费的自助早餐吃，不错~\n只是中央空调效果太好咧~晚上冷死我了- -b\n在学校附近的话，这个价钱有点点稍微贵了。\n不足的是，不知道咋的晚上水温好低，洗澡有点冷。', '短评打分': 5}
{'短评内容': '空间较大，入住较为舒适，无论硬件还是软件设施都较为齐全，是一家较为理想的酒店！', '短评打分': 5}
{'短评内容': '停水了。', '短评打分': 3}
{'短评内容': '酒店的设计感觉很舒服，室内觉得很温馨，尤其是走道的感觉很特别。另外住的地方很方便 kfc 超市都在旁边', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间床很低，硬，翻身有响声，水温不稳定。', '短评打分': 3}
{'短评内容': ' 很不错的酒店 很有创意 ', '短评打分': 3}
{'短评内容': '不错，和很有设计感，空间利用的也比较好。只是，洗濑用品变相的收费，让人反感！！！', '短评打分': 5}
{'短评内容': '就是有点噪音噢，因为处于学校门口，KTV什么的很嘈杂', '短评打分': 5}
{'短评内容': '办事的地方离这里不远 图个方便吧..................', '短评打分': 5}
{'短评内容': '总体环境不错，很有艺术气息，豪华套间的双层设计非常给力，非常舒适。价格也适合它的定位。不足之处是隔音效果不是很好，旁边套间上下楼梯声，半夜楼下的KTV声，隐约都能听到。还有就是一次性拖鞋、洗漱用品等都不是免费的，需要另外收钱。结账比较慢，刚开房的时候，房卡出现过问题，打不开房门，后来叫前台重置了第二张才能打开。', '短评打分': 5}
{'短评内容': '干净卫生，安静舒适，因提前离店不知早餐如何。\n除洗发液、沐浴液免费外，其他用具均收费，有点不适应。', '短评打分': 5}
{'短评内容': '马马虎虎把...................', '短评打分': 5}
{'短评内容': '酒店整体氛围还不错，刚评上三星级，高级单人房床够大。不足是里面什么都要钱，一次性的洗簌用品就算了，关键是连拖鞋都收3元，之前又不知道，很不方便。希望可以给客人提供不收费的塑料鞋作为选择。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店地理位置方便 格调和环境都挺不错的！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '湖南橙子酒店位于 贺龙体育中心 铁道学院、女子大学 附近办事便捷，出行方便。', '短评打分': 5}
{'短评内容': '湖南橙子酒店位于林业大学附近，出行办事方便，酒店价廉物美。', '短评打分': 5}
{'短评内容': '里面的电话 上网不给力 其他都还行 隔音效果不太好', '短评打分': 5}
{'短评内容': '  henhao      环境也很好·· ·· ··  ·· · ', '短评打分': 5}
{'短评内容': '房间相当不错！很潮！\n再有一台饮水机就更完美了！！\n好像窗户不能开', '短评打分': 5}
{'短评内容': '名字挺温馨的,交通也算方便~~就在中南林大门口~~~\n价格也可以~~不过再往北一点就有个分店,打车一开始就跑分店去了~\n这点挺不好的~~~网上预订的时候也没说是分店~呵呵', '短评打分': 5}
{'短评内容': '双人房很小，被子上还有血迹点点。桌上灰尘很厚，总之，感觉很差。', '短评打分': 1}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '酒店的卫生环境很差，并且早餐很不理想及菜色不多，连客人吃完的餐桌都没及时清理，等到我们去用餐时竟然端着盘子站着等~~', '短评打分': 1}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '房间不好，设施陈旧，晚上睡觉走道里面高跟鞋响的叫人睡不着，不会再入住了。', '短评打分': 1}
{'短评内容': '酒店设施陈旧，环境不好，晚上不安静。下次不会入住了。', '短评打分': 1}
{'短评内容': '已经是第三次入住这家酒店了，方便，服务挺周到，房间不大，因为每次都住得房间风格不一样，感觉很特别！', '短评打分': 5}
{'短评内容': '第一,房间小;第二,连洗浴的拖鞋拖不提供,要用只能花钱买一次性的;第三.因为楼下有K吧，晚上较嘈杂；第四，所住房间的内锁全都坏了也不修理，弄的我睡觉前只好用椅子放在门口；第五，小姐总是打电话，不接的话还打几次，弄的休息不好。', '短评打分': 1}
{'短评内容': '橙子酒店很好的，离孩子的学校很近，很方便。环境也不错，就是房间有些小，价格也能接受。', '短评打分': 5}
{'短评内容': '橙子酒店的环境还算优雅，有些服务员的态度不错，但前台的服务员态度不佳，客房的热水器冷热不定', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '布局有点不好  客厅大了点 睡觉的房间有点小', '短评打分': 5}
{'短评内容': '-总体感觉还不错。', '短评打分': 5}
{'短评内容': '卫生条件不好，房间很小，很暗，真的不理想，因为离办事比较方便，和入住 的', '短评打分': 1}
{'短评内容': '饭店根本没有想提供我们预订时承诺的优惠待遇,甚至还想提高价码.', '短评打分': 5}
{'短评内容': '住了四天。刚碰到一天停水。最后那天日子很难过。其他的还好。', '短评打分': 5}
{'短评内容': '离中南林业科技大学很近，孩子要上中南林校的话为孩子入学特方便，住得很舒服，早点也很不错！', '短评打分': 3}
{'短评内容': '非常满意，给我少了很多的麻烦，我为我的选择而庆幸。', '短评打分': 5}
{'短评内容': '位置很好，就在中南林校门口。虽是经济型酒店，但感觉非常不错。\r\n值得推荐~~~  不过来的时候注意，其北侧50米左右有一家其分店，刚开始我们就跑过去了。\r\n预定一般都是总店的，好在不远。如果能注明就好了。打车之前说清楚', '短评打分': 5}
{'短评内容': '卫生状况要提升', '短评打分': 5}
{'短评内容': '卫生还可以，服务有时候比较慢。房间格局挺有意思，比较舒适，但价格偏高。', '短评打分': 5}
{'短评内容': '位置比较不错，靠近我办事的地点，但是酒店本身不太好，整体感觉不明亮很暗，另外卫生条件不太好，价格偏高', '短评打分': 5}
{'短评内容': '不知道莲喷头和洗脸盆的龙头有什么关联。时面没水，开一下外面的龙头就有水了。', '短评打分': 5}
{'短评内容': '酒店工作人员服务态度还好，房间隔音效果很不理想', '短评打分': 5}
{'短评内容': '卫生差了点!', '短评打分': 1}
{'短评内容': '去年住过一次橙子，感觉还很好。今年去住的话就很一般了，首先是房间狭小，与228的价格不相配；其次是半夜楼下唱歌，睡梦中惊醒，很不爽；最后是第二天前台结账的时候，人比较多，前台管理非常混乱，她们一直在忙，但不知道在忙什么，等了一个小时才把帐给结了。', '短评打分': 5}
{'短评内容': '我的朋友们来长沙经常住这个酒店，很不错，地段好，很方便，就是隔音不是很理想', '短评打分': 3}
{'短评内容': '我的朋友们来长沙经常住这个酒店，很不错，地段好，很方便，就是隔音不是很理想', '短评打分': 5}
{'短评内容': '不是一般的差', '短评打分': 3}
{'短评内容': '所住酒店最差的一家，一晚没睡好，窗外木板楼道深夜脚步声一直干扰，害的我一夜没睡着，第二天考试全砸锅了。被子一股烟味熏的人要呕吐。早餐几乎没什么东西吃。下次打死都不会住这家酒店了', '短评打分': 1}
{'短评内容': '橙子酒店地理位置好，周边基础设施也方便，我每次去长沙都住这里。', '短评打分': 5}
{'短评内容': '还可以吧 就是返现呢？', '短评打分': 5}
{'短评内容': '几次入住该酒店了，因为在长沙培训，所以周末一般都过来住。验证了几种房型，感觉还是标单的性价比最好，而其艺术气息也最浓厚。适合年轻人和情侣入住。\r\n房间小吧台的东西有点少，希望增加，例如酒水类，最好是预调酒。', '短评打分': 5}
{'短评内容': '因为要在林大附近办事选择的这家酒店，整体来说还可以。中午结账，速度太慢，好多在等的顾客都发牢骚。。。', '短评打分': 5}
{'短评内容': '感觉很好，很舒适', '短评打分': 5}
{'短评内容': '还行吧~', '短评打分': 3}
{'短评内容': '主要看中离林大近的优势，附近转了一下，也没发现更好的住宿了~淋浴的蓬头不错，哈~', '短评打分': 5}
{'短评内容': '很有感觉的酒店：）', '短评打分': 5}
{'短评内容': '感觉一般,隔音效果差,外面太吵,影响休息', '短评打分': 5}
{'短评内容': '不错，服务态度挺好，环境比较干净，服务周到！下次还会去那里住宿', '短评打分': 5}
{'短评内容': 'very good', '短评打分': 3}
{'短评内容': '住的舒服，设备也比较齐全\r\n感觉不错~！\r\n', '短评打分': 5}
{'短评内容': '位置还可以，房间比较小，性价比一般', '短评打分': 1}
{'短评内容': '到处都是艺术的酒店,很特别,早餐品种少了点.', '短评打分': 5}
{'短评内容': '总体来说还可以', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '房间昏暗，所有的窗户都不能打开，属于情侣酒店类型，很新颖的设计，但一点也不实用。', '短评打分': 1}
{'短评内容': '算是我住过长沙很时尚的一家了.\r\n现在挑来挑去也挑不出比这家更适合情侣去住的地方.\r\n7天那种太简单 橙子设计比较强.\r\n只是有点小贵', '短评打分': 5}
{'短评内容': '这家酒店其他的都不用说，就说说缺点。\r\n    我在网上预定的房间入住了之后感觉不怎么满意，房间设计太小，洗手间很憋屈，整个房子有些破旧的感觉。\r\n    以前别人帮我在前台订的房间还不错。\r\n     网上预定的可能都是这个酒店比较差的房间，建议要入住这里的话最好自己去前台订', '短评打分': 5}
{'短评内容': '早餐时间能延迟就更好了。', '短评打分': 5}
{'短评内容': '就是复式楼还要爬楼梯，还好行李不多，要不然挺麻烦的！其他都挺好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错~', '短评打分': 5}
{'短评内容': '高校旁边性价比较高的酒店', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很有特色', '短评打分': 5}
{'短评内容': '房间给人感觉较小，餐饮不错。', '短评打分': 1}
{'短评内容': '都不错', '短评打分': 5}
{'短评内容': '~~~~', '短评打分': 5}
{'短评内容': '地段很好，性价比很好', '短评打分': 5}
{'短评内容': '地理位置很好，酒店房间设计很有特色，干净，早餐还不错。', '短评打分': 5}
{'短评内容': '有两点不好:一是新客区那边与健身房相邻,噪音太大,影响休息.二是酒店网络太差.能改进的话更好.\r\n', '短评打分': 5}
{'短评内容': '隔音效果不是很好,卫生间我浴室比较小,其他都还好', '短评打分': 5}
{'短评内容': '酒店非常不错，住的朋友很赞赏，环境很好，周边很热闹，吃和玩很齐备，装修有特色。', '短评打分': 5}
{'短评内容': '不错 环境服务都很好', '短评打分': 5}
{'短评内容': '性價比很高.....可以再去', '短评打分': 5}
{'短评内容': '卫生很干净，设施完善，地理位置交通方便，服务热情周到，性价比不错，下次还会入住', '短评打分': 3}
{'短评内容': '很好的酒店。不错，推荐。唯一遗憾的是早餐都比较辣', '短评打分': 5}
{'短评内容': '订的钱是208的房 但就给我198的房 当我是第一次去 这种欺骗顾客的行为是在不行 给的房就算了 隔音烂的要死 隔壁的说话我都听见了 服务又不好 ', '短评打分': 1}
{'短评内容': '酒店很好，我住的是大床房。不过我觉得要是价格在200以内就更好了，呵呵', '短评打分': 5}
{'短评内容': '由于要比预定提前一天入住，但是前一天已经没有房间了，所以这次并没有住，只是之前住过，感觉还不错', '短评打分': 5}
{'短评内容': '非常好，早餐很挤，原因是当天学校有职称考试，酒店客满，这个应该提早做好准备，也要为客人考虑考虑', '短评打分': 5}
{'短评内容': '还好 厕所不怎么行', '短评打分': 5}
{'短评内容': '10月16日再次入住橙子酒店，上次点评忘说了，预定房间一定要选4楼C区的房间，这里的房间是新装修的，比楼上的房间要强好几个档次！', '短评打分': 5}
{'短评内容': '酒店的占地面积很小，导致了只能走艺术酒店的路线，但狭小的空间造成了房间格局的多样性，听说仅标单就有100多个的户型。这点在网站的介绍还有check in的时候根本没有人给任何说明。\r\n针对设施来说，在我入住的房间8601电视里几个频道音量一大，喇叭就吱啦哇啦的响。\r\n房间的花洒还是坏的。\r\n早餐有赠送，但是质量很一般，豆浆，橙汁很淡，没有味道！杯子还要等5分钟厨房洗好了再拿出来，没客人要求根本无人', '短评打分': 1}
{'短评内容': '很喜欢这个酒店,跟以前住过的相同价位的酒店比,这个酒店的环境和装修是最好的,很有现代感.\r\n住宿时推荐只有一个房间的(标间),两个房间的标间电视在卧室,使用电脑的话无法看到电视.\r\n甚至比有的4星酒店都要好的,强烈推荐!!!', '短评打分': 5}
{'短评内容': '设计独特，环境幽雅', '短评打分': 5}
