{'descr': '房间太小，设施一般，还可以把', 'star': 5}
{'descr': '位置：离世博比较近，坐地铁也比较方便。\r\n住的是无窗的特价房，感觉还可以，也比较安静。\r\n价钱小贵，都是世博的错啊！\r\n', 'star': 5}
{'descr': '玩世博住那很近，挺方便的。到浦西园区走过去十分钟就到 ', 'star': 5}
{'descr': '酒店设施破旧，位置较偏，离地铁站约十分钟路程（步行），国庆期间的性价比不高！', 'star': 1}
{'descr': '地段好，离世博园近,设施一般。大厅略显暗', 'star': 5}
{'descr': ' 该酒店交通方便 可惜向前台小姐问路一问三不知 确少点专业素质', 'star': 5}
{'descr': '房间很旧，感觉不太好。特价房还老跳电，一点都没有莫泰该有的品质。很失望！', 'star': 5}
{'descr': '还可以- -位置有点偏- -酒店有点旧。。跟我想的不一样啊~', 'star': 1}
{'descr': '住了4天，最后一天没有洗漱用品，在车站中间，附近有地铁，去世博还蛮近的，住的也还蛮舒服，楼下有超市完玩回来也可以直接买吃的', 'star': 5}
{'descr': '房间比较大，很安静，交通还算方便，下回还会入住', 'star': 3}
{'descr': '步行到世博只有15分钟，交通便利卫生舒适，价格适中，感觉不错。', 'star': 5}
{'descr': '酒店比想象要大.交通比较方便.感觉还蛮好的', 'star': 5}
{'descr': '+环境不错，前台服务小姐态度又好。住这里值阿。呵呵…', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '比较干净，离世博近，但世博期价格偏高', 'star': 5}
{'descr': '位置很好，看世博很方便，房间较小，设施较旧，比较干净卫生，住着还行。', 'star': 5}
{'descr': '交通方便，环境干净,性价比高，世博好住处', 'star': 3}
{'descr': '交通方便，离三号口走十五分钟，设施也不错，服务也不错', 'star': 5}
{'descr': '这家酒店没有提供行李寄存服务.这点感觉不是很好,不过距离世博园比较近.去世博还算方便,就是室内的硬件和软件服务比较一般,不过总体来讲也还不错.', 'star': 5}
{'descr': '酒店还不错，不知道也没有晒衣服地方？', 'star': 5}
{'descr': '定的大床房，一般，去看世播定的性价比不错', 'star': 3}
{'descr': '因为是看世博定的这个酒店，地理位置还不错，定的家庭房也还满意，设施较齐全，有冰箱，吹风机，还可以。但是对酒店工作人员态度持保留意见。', 'star': 5}
{'descr': '房间还行卫生也可以，可能因为也是世博期间把服务一般，位置还是很不错，价格还行因为也是旺季也不好做比较，下次也能在一个参考', 'star': 5}
{'descr': '去世博住这个酒店还是很方便的，离3号入口很近，当然性价比在世博期间还算可以！因为上海的酒店都涨价了！只是没有寄存行李的服务，房间里的设施只能是一般！', 'star': 5}
{'descr': '环境不错，位置也很方便，卫生干净，设施比较完善，下次还会入住。', 'star': 5}
{'descr': '预定错了，我还以为是两站地以外的徐家汇店呢，嗬嗬，交通没有那个方便，不过也算清静，定的大床房，竟然是和旁边的房间共用一个窗户，也就是说我房间只有半个窗户，奇怪的布局阿。', 'star': 1}
{'descr': '房间比较一般.凑合着住吧!靠马路一边的房间由于一直有车经过会很吵', 'star': 1}
{'descr': '服务还不错，很干净，当时住的是大床房，有的房间窗户是对内的，空外就是墙壁，光线不是很好，价格还是比较合理的，出门有公交线，出行方便', 'star': 3}
{'descr': '住过的莫泰中最差的!', 'star': 1}
{'descr': '设施太简陋 性价比一般 ', 'star': 1}
{'descr': '住过2次，感觉还不错，推荐8楼的商务大床房，就是酒店地方不是很好找。', 'star': 5}
{'descr': '离我办事的地方比较近，酒店本身环境还可以，价格也适中，总的来说还不错', 'star': 3}
{'descr': '酒店的整体还可以的，酒店的服务卫生以及设施都很一般的，酒店的位置以及交通还便利的，性价比还可以的酒店', 'star': 5}
