{'descr': '位置合适，环境也可以。', 'star': 4}
{'descr': '环境很好，服务也很好，下次有机会还会入住', 'star': 5}
{'descr': '周边环境比较好，卫生干净，水热，暖气足。就是房间不怎么隔音。', 'star': 3}
{'descr': '优点：地理位置好\n缺点：无暖气，无窗户，有烟味，设施不新，热水供应不足，花洒坏了。', 'star': 1}
{'descr': '从中关村南大街上看，最明显的标识是中国气象局，招待所的招牌不大明显，尤其晚上。从地铁4号线国家图书馆站a出口出来被行200米，一不小心就错过了。招待所本身还对得起这个价钱，每个房间的上网都配了无线路由器，相邻房间的也都可用，这一点非常方便。至于房间硬件和服务，这个价钱以及“机关招待所”的身份，就不用多说了。', 'star': 5}
{'descr': '地理位置好，周边的美食比较多，出行也方便，离商业街---柳巷也不远，', 'star': 5}
{'descr': '还可以 不错  挺好的 就是家有点小......................', 'star': 5}
{'descr': '挺好的。服务态度也不错，房间也干净，但是貌似早上没有电视。', 'star': 5}
{'descr': '环境很好！', 'star': 3}
{'descr': '设施差，比较老的酒店，还有一股味道。下次不会再住了。', 'star': 1}
{'descr': '还是那句话，第二次入住了，干净蛮便宜的，地方也好', 'star': 5}
{'descr': '服务态度很好，环境也特别好，床也特别软。反正很给力，下次还去', 'star': 5}
{'descr': '环境很不错，房间也很干净整洁。挺不错的。就是洗澡时水温不好控制，要么太凉，要么太热。', 'star': 5}
{'descr': '房间小点,其它还凑合', 'star': 3}
{'descr': ' 入住了，开始还说要加价，后来跟经理说才按预订价格付钱，房间一般，感觉没有以往住如家那么干净的感觉，没有窗户', 'star': 3}
{'descr': '这家店挺不错的，周围环境很好，很方便，也很安静，值得入住。', 'star': 3}
{'descr': '热水很好，房间卫生也很好。服务态度不错。', 'star': 5}
{'descr': '很好，交通便利。酒店里面也很好，很满意，下次还去！', 'star': 5}
{'descr': '热水不稳，忽热忽冷，马桶也有点问题。服务很好，位置也很好。', 'star': 3}
{'descr': '这个店太简陋了，让人伤心，没有家的感觉', 'star': 3}
{'descr': '  如家的隔音效果确实不佳', 'star': 3}
{'descr': '环境还可以，主要是住宿位置比较好。对了，提醒下大家，我当时订的是无窗房，房子有些闷。', 'star': 5}
{'descr': '先给安排的是五层，情况不是很满意。换过3层以后，还行！服务很好，满意！', 'star': 5}
{'descr': '还可以，网上订的特价房，窗户朝走道，早上睡的很香，感觉不到时间。。卫生间卫生还有待改进，居然看到了一只小强，不过总体来说还可以，酒店位置不错，离省博物馆很近，打车起步价，离河边不远，火车站过去也有公交直达，总的来说还可以。', 'star': 5}
{'descr': '房间还行，比较温馨，就是面积小点，不过经济酒店这样就很不错了。', 'star': 5}
{'descr': '不错，性价比还是蛮高的。', 'star': 3}
{'descr': '环境很好很安静，热水不错，只是房内信号比较差。还是很不错的酒店', 'star': 5}
{'descr': '感觉还不错，前台服务态度蛮好，也蛮热心的，就是双人间的床有的同伴睡不习惯。。。。但总的来说，还算行，毕竟在北京找一个相对便宜，安全，交通又方便的地方不是太容易。。。最最主要的是乘地铁蛮方便的，在四号线的国家图书馆下车，拉着行李慢行，到住的地方也就20来分钟。。。。', 'star': 5}
{'descr': '卫生条件好，环境舒适，比较安静，总体感觉不错，以后还会光临！', 'star': 5}
{'descr': '性价比很好。值得入住。房间干净，服务态度也好的。', 'star': 5}
{'descr': '房间卫生条件还可以，周围环境较好，交通便利。服务质量一般。', 'star': 5}
{'descr': '虽然设施有些陈旧，但服务态度不错，维修人员及时更换了窗户锁轮和门的防盗扣。招待所内很安静，适合休息。招待所对面的餐厅也不错，早餐十元，可以挂账，晚餐也较实惠，推荐选用。', 'star': 5}
{'descr': '经济实惠.虽然房间不大,但是还算干净.就是网线不太好.', 'star': 5}
{'descr': '挺温馨的，是当天预定的，没有提前预定，也有房间，周围吃饭的地方也有很多，很方便', 'star': 5}
{'descr': '酒店非常干净，房间稍微小了点，服务质量还是不错的。', 'star': 5}
{'descr': '真的很不错，以后还会住的，推荐给朋友吧。', 'star': 5}
{'descr': '酒店不错~~！很温馨~~！就是有点小~！', 'star': 5}
{'descr': '地点靠近市中心，交通方便。适合出差人士居住。', 'star': 5}
{'descr': '旧了一点，还可以~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '房间小，马桶水箱漏水，其它还可以吧。', 'star': 3}
{'descr': ' 很好', 'star': 3}
{'descr': '酒店设施挺不错，这个价格很实惠\n酒店设施挺不错，这个价格很实惠', 'star': 5}
{'descr': '很满意', 'star': 3}
{'descr': '设施较陈旧，房间很小，四层楼，无电梯，性价比一般。早餐还行，便宜实惠。', 'star': 1}
{'descr': '此酒店卫生好,热水好,位置离路稍远但较安静,房间较小,隔音较差,性价比较高。', 'star': 3}
{'descr': '招待所相对较简陋，设施陈旧，房间很狭小。淋浴花洒很旧，无法调节出水量。', 'star': 3}
{'descr': '很好的宾馆，房间感觉也挺好的。下次可以再来\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '很好的宾馆，房间感觉也挺好的。下次可以再来', 'star': 5}
{'descr': '卫生不是很好，隔音很差，感觉很失望，不会再次入住。', 'star': 1}
{'descr': '房间还可以。', 'star': 3}
{'descr': '还不错吧', 'star': 3}
{'descr': '就在中关村南大街，环境好、交通方便，周边服务齐全。', 'star': 5}
{'descr': '交通便利，周围设施完善，就是价钱贵了些，这片不过都这个价，也没办法', 'star': 5}
{'descr': '不太满意，房间及床上用品有异味，窗外临住宅，窗坏了，门锁没有保险，前台说派人修结果没人来，噪音大。', 'star': 3}
{'descr': '还可以了，交通便利，服务还好，但房间设置太一般，不是特别满意。', 'star': 5}
{'descr': '交通便利', 'star': 3}
{'descr': '位置挺好的，到哪里都方便，就是酒店的设施有些旧了，电视都变黑白的了，也没有公共上网区，该改进了', 'star': 5}
{'descr': '挺好的，交通方便，服务周到，干净卫生，下次办事还住这里', 'star': 5}
{'descr': '位置较好,出门挺方便的,但是房间的设施较旧了', 'star': 5}
{'descr': '本来订了隔壁那家，结果居然还要信用卡担保；才发现还有常住的如家，就预订了，还有早餐，真不错。以后来太原都住这里了，这次是如家的感觉啊', 'star': 5}
{'descr': '位置不错，房间也基本符合如家的情况，这里小情侣好多，晚上有点热闹。', 'star': 5}
{'descr': '除了隔音不好，房间电视有点小，床单用具都比较干净，其他都满意！\n', 'star': 5}
{'descr': '环境安逸，地理位置绝佳，出门就是KFC，很棒的酒店', 'star': 3}
{'descr': '挺好德，房间烟味很浓重，毛巾 澡巾也有味 烟味', 'star': 5}
{'descr': '网速超级慢，没办法，只能提前退房了。服务态度还行。', 'star': 5}
{'descr': '酒店格局有点小\n电视太小了！\n隔音实在不敢恭维~~~\n其它还是比较满意。', 'star': 5}
{'descr': '挺好德  隔音不是很好 网线有点短  呵呵 ', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '感觉很好，好环境，祝我考试成功吧！', 'star': 3}
{'descr': '服务很周到但规矩很繁复', 'star': 3}
{'descr': '地理位置不错，但是酒店设施一般，配套餐饮也相当一般。总之，没有合适的选择情况下，还是可以考虑一下的', 'star': 5}
{'descr': '作为快捷酒店，不能要求太多了，因为山西的三星酒店也就这个档次！\n服务很好，酒店也很帮忙处理一些事情，希望有预算的同志们入住！', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不', 'star': 5}
{'descr': '就喜欢如家德风格 就喜欢如家德花花被罩 就喜欢如家德两吊灯 这次住德房子 蓬头不能用  退房德时候和姓白德服务员说了  态度挺好 呵呵 提个建议吧  牙刷太硬 住如家刷牙老出血 低碳环保 其实应该自带牙刷 ', 'star': 5}
{'descr': '经常来入住，偶尔会出现提早预订大床房间没有的状况，不过是极个别情况了。前台服务态度很好，会向朋友们推荐的\n', 'star': 5}
{'descr': '经常来入住，偶尔会出现提早预订大床房间没有的状况，不过是极个别情况了。前台服务态度很好，总之是会向朋友们推荐的', 'star': 5}
{'descr': '交通方便 有6路， 38路 等等 到火车站也快~~~ 房间卫生间挺大~~~ 床也挺大~~就是经常火爆 满房~~~~~', 'star': 5}
{'descr': '该酒店地理位置比较方便，比较安静，价格也比较公道。服务员态度和善。', 'star': 3}
{'descr': '还行，离繁华街区比较近，交通便利，服务也行', 'star': 5}
{'descr': '地理位置偏僻，离地铁国图站不止400米，恶劣的是大冬天不能给热水洗澡，换了一个房间还是没有热水！！！', 'star': 1}
{'descr': '挺好', 'star': 3}
{'descr': '挺舒适的，隔音挺好的，服务员也比较热情。', 'star': 5}
{'descr': '服务还行，但是条件太差，可能冬天原因，房间内有股味道，卫生条件不好，性价比不高，不推荐。', 'star': 1}
{'descr': '设施比较陈旧，但地点很好，安静。价格也不高，总体来说还可以。', 'star': 5}
{'descr': '酒店的标准间过于狭窄,床铺上有没打扫干净的污渍.另外冬天入住没有暖气,只能用空调取暖.导致房间过于干燥.', 'star': 1}
{'descr': '酒店地理位置便利，在气象局大院内，闹中取静。工作人员态度和蔼。最重要的是价格公道。', 'star': 5}
{'descr': '酒店虽然号称2星级，但是性价比根本达不到。晚上去的晚了些，夜里1点多，热水都没有了，没法洗澡。而且价格高达210元。根本不值。', 'star': 1}
{'descr': '比想象中的好。服务态度也好。洗漱用品做得细致耐用。周围很安静。', 'star': 3}
{'descr': '前台接待很漂亮，体型很正点~服务态度很好~\n客房很干净，环境很安静。', 'star': 5}
{'descr': '入住非常顺利', 'star': 3}
{'descr': ':没停车场不方便', 'star': 3}
{'descr': '周边公交还算方便，尤其地铁4号线，房间单间较小，不过相对整洁干净', 'star': 5}
{'descr': '位置不错 服务态度很好          ', 'star': 5}
{'descr': '交通方便，价廉物美。好！', 'star': 3}
{'descr': ' 环境好  交通方便', 'star': 3}
{'descr': '条件极差，床垫很硬，睡在上面能强烈地感觉得钢丝，很不舒服；上网的宽带线是断的，不能上网，总之感觉很差错，单人房还收210元，我感觉比不上汉庭的99元的特价房，唯一的好处，是安静，不闹。', 'star': 1}
{'descr': '房间很干净，整洁；单人间很适合一个人住，就是没有电梯；另外从气象局大门进去还要走点路程；总得来说挺满意的。', 'star': 5}
{'descr': '服务周到,环境好!', 'star': 5}
{'descr': '每次到太原都住这里,挺不错,也干净.出行都方便', 'star': 5}
{'descr': '房间小了点隔音差了点,不过环境还算不错,挺干净的.', 'star': 5}
{'descr': '住的时前台态度还可以，就是房间位置不好，我调整了一次，还是不理想，问他们，也说没办法。所以我觉得他们的协调能力差些，不能让顾客感觉到他们努力想帮你解决困难。', 'star': 3}
{'descr': '烂 很烂 非常烂\r\n设施陈旧 霉味扑鼻 \r\n还189呢 比8、9十的小旅馆好不到哪去\r\n说实话 这种店 砸如家的牌子呢', 'star': 1}
{'descr': '很安静，就是没有电梯，其他都很好，在中关村区域去什么地方都很安静，坐地铁就步行5分钟。', 'star': 5}
{'descr': '卫生间、洗手池都和卧房在一起，房间太小，空气不流通。总之不会再住', 'star': 1}
{'descr': '气象局院里很安静，交通特别方便，服务态度好。居住环境还好吧！', 'star': 5}
{'descr': '+宾馆的条件还不错,周围环境比较静,装修比较旧了地毯有点脏。电视网线空调基本设施比较齐全。', 'star': 5}
{'descr': '房间还行 隔音还有待改进 没有电梯 行李多的要辛苦了', 'star': 5}
{'descr': '卫生一般，房间内还有烟头。这点让人很郁闷，离柳巷比较近', 'star': 1}
{'descr': '于是乎，找了半天没找着&#183;&#183;&#183;进去之后发现预定的房间给留的是朝西向的最后一间&#183;&#183;西晒很严重。插卡没给电，服务员上来朝卡槽砸了一拳于是电来了&#183;&#183;&#183;房间不大，电视也不大&#183;&#183;&#183;其他的，就那样吧', 'star': 3}
{'descr': '预定的房间留的是走廊尽头的朝西向的，阳光很刺眼。而且插卡不给电，服务员上来猛地朝开关上砸了一拳于是乎电来了。地点特别偏僻&#183;&#183;&#183;这个是个硬伤，其他的&#183;&#183;就那样吧。房间挺窄的，电视挺小的', 'star': 1}
{'descr': '还不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': ' 条件还不错 服务态度也很好', 'star': 5}
{'descr': '很干净，性价比高', 'star': 5}
{'descr': '+好', 'star': 5}
{'descr': '网速和蜗牛一样没区别，住的几天热水泵坏了，晚上10点到11点洗不了澡。其他还不错，位置很好就是停不了车，要到马路对面，一晚20', 'star': 5}
{'descr': '刚进店服务员给我感觉很差，因为我定的大床房暂时没有床单换，可能是太原这几天下雨的原因，但服务员一直说没有打扫好，让我等，我从早晨7：30开始等，等到九点也没有房间，我期间会问前台，其中有一个男服务员一直都说辞闪烁，我就感觉不对劲，最后领班的跟我说了原因，我改成了标间，早这样办多好啊，害我在那干等了几个小时。', 'star': 1}
{'descr': '前台的接待人员态度不好，有待提升，但是一位前台管理人员服务还是不错的，卫生一般，网速很慢，床很舒服。', 'star': 1}
{'descr': '来这里住过几次了，很喜欢这里安静的环境和整洁的卫生，服务也不错，如果价格能再稍微低一点就更好了。', 'star': 5}
{'descr': '我住的房间提供的不是一次性拖鞋，服务员解释说因为浴室和地面的关系，怕滑，虽然勉强可以接受但还是觉得不舒服，总体比较满意', 'star': 5}
{'descr': '餐厅菜太少，量可以少一些，价格便宜一些。', 'star': 5}
{'descr': '＋很好', 'star': 5}
{'descr': '入住还算顺利，房子还行。就是墙纸有点发霉，有蚊子。', 'star': 5}
{'descr': '+挺好的', 'star': 5}
{'descr': '交通方便、生活方便、酒店卫生干净,周围有超市和肯德基麦当劳', 'star': 3}
{'descr': '酒店位置不错，环境可以，交通挺方便', 'star': 5}
{'descr': '如家,不错,干净,就是服务有点慢,要一双拖鞋从中午要的晚上,最后还是自已去取的,希望有改进,其它的都好,下次还会入住', 'star': 3}
{'descr': '插座质量太差. 插电脑等充电器很难插入,不得不叫电工来.', 'star': 5}
{'descr': '酒店服务还可以，就是我的房间太离电梯口太近。和全国连锁酒店比房子有点小。整体评价及格。', 'star': 5}
{'descr': '交通、购物方便、周围饭店也不少，从地方小吃到中等价位的饭店、还有肯德基、麦当劳，很不错。', 'star': 5}
{'descr': '不错的酒店，除了没有停车位不太方便外，一切都比较满意，下次还会入住', 'star': 5}
{'descr': '还不错，卫生，干净，就是卧具有消毒水的气味，有点冲鼻子', 'star': 5}
{'descr': '总体都很不错，交通很方便，服务很到位，下次有机会一定还会去', 'star': 5}
{'descr': '走廊有股味！可能是通风不太好。', 'star': 5}
{'descr': '好就一个字', 'star': 5}
{'descr': '从来没有住过如此之差的酒店！走廊里一股发霉的味道。位置也差，居然没有停车场，车停到楼下会被贴条，200一贴。要不然就到附近的付费停车场。\r\n', 'star': 1}
{'descr': '酒店不错，就是隔音不好', 'star': 3}
{'descr': '位置很好，交通便利，虽然临街，选择不临街的房间还比较安静', 'star': 5}
{'descr': '我已点评过了', 'star': 3}
{'descr': '总的来说，还是不错的。就是房间不通风。味重', 'star': 3}
{'descr': '总体来说，还是不错的。', 'star': 5}
{'descr': '不错，非常好，服务也好', 'star': 5}
{'descr': '没有停车位，房间条件也不是很好。', 'star': 1}
{'descr': '估计以后不会住如家了，越来越差！', 'star': 1}
{'descr': '不好，不会再去。还不如更便宜点的快捷酒店。', 'star': 1}
{'descr': '酒店的位置很好，紧邻太原的商业中心，价格合理适中，配置硬件舒适度也很达标，很干净的酒店，也非常方便，值得推荐入住。', 'star': 5}
{'descr': '位置很好，但是设施有点旧了，尤其是床品，如家该改善了', 'star': 5}
{'descr': '房间还是挺不错的，酒店的位置也还不错，价格还算可以一般如家的酒店价格都差不多，酒店的卫生打扫还不错挺干净的，性价比还是挺不错的。服务态度也很好很热情很积极我真的是特别满意这家酒店。', 'star': 5}
{'descr': '还不错，值得一住', 'star': 5}
{'descr': '一个中等的酒店。打分的话是B-.', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '服务还可以，就是服务员经常出些低级错误，电梯总坏', 'star': 5}
{'descr': '夜晚比较安静，周围有M，k等洋快餐和一些中式快餐，出行比较方便。酒店隔音差。房间卫生一般。', 'star': 3}
{'descr': '方便，也比较舒适', 'star': 5}
{'descr': '地理位置很优越，周边有麦当劳和肯德基的快餐店，还有肥羊和秦妈火锅店，想吃什么都有，附近的华联超市非常方便，去太原主要中心地段也非常便捷，酒店服务很好很热情，房间干净整洁，就是稍微有点小，其他还好啦', 'star': 5}
{'descr': '位置不错，周围环境好。出门有公车，打车也方便，离主干道也近。对面有个华联超市。服务生态度很好。早上12块每位的自助早餐也不错，关键是方便啊。房间挺干净的。', 'star': 5}
{'descr': '冬天太原太冷了，住的时候暖气坏掉了，用空调。但是空调吹得感觉特干燥，很不舒服', 'star': 1}
{'descr': '房间有点冷，浴巾等该更换了，太陈旧。房间中有的灯不能用。总体还可以。', 'star': 5}
{'descr': '地方很好找，而且对面有家肯德基，吃早餐方便。价位和卫生都不错，毕竟是如家', 'star': 3}
{'descr': '很标准的快捷酒店，性价比很高。地点也挺好找的，对面还有家肯德基，呵呵，对付一顿饭很方便', 'star': 3}
{'descr': '酒店的位置挺方便，环境不错，我觉得还行，值得推荐\n', 'star': 3}
{'descr': '气氛还算是比较温馨的，但是房间的清洁工作稍有欠缺哦，刚入住时，房间床单有一处污渍，地面不够干净。还有就是隔音效果不太好。但是值得一提的是他的地理位置非常好，酒店门口就是肯德基，大概往北走、过了十字路口不到十米的地方就是必胜客、麦当劳、华联超市，十分便利。\r\n\r\n当时我入住为了考雅思方便的，结果发现有不少雅思考生也是家长陪同入住这里的。因为这里距太原理工大学也很近，关键是她的治安靠谱一些。毗邻了迎泽', 'star': 3}
{'descr': '以前在其他地方住过如家酒店，在太原还是第一次住，桃园店位置很好，服务也不错，就是房间不大，有点挤。', 'star': 5}
{'descr': '不错，房间空间小了点', 'star': 3}
{'descr': '酒店门口没有停车场停车不方便,位置在市中心很方便.内部的设施,环境,卫生还是很好的.', 'star': 3}
{'descr': '房间太小了，比别的城市小。', 'star': 5}
{'descr': '酒店服务挺周到的，卫生条件一般，房间地面上有些灰尘，打扫不是特干净。房间隔音效果不是很好，其他设施都很完善和齐全，服务也很周到，性价比很好，值得推荐的一家酒店。', 'star': 3}
{'descr': '房间好像没打扫过，金卡会员多年了，住过全国那么多如家，这家卫生最差', 'star': 2}
{'descr': '隔音比较差，&hellip;&hellip;', 'star': 3}
