{'短评内容': '房间小啊.没窗户啊.服务还可以啊.', '短评打分': 5}
{'短评内容': '就像别人评价的，被子却是很舒服，不过我住的房间没窗户，可其实在不好、、、', '短评打分': 5}
{'短评内容': '还不错，就是有点小，但是很温馨，总体来说很好', '短评打分': 5}
{'短评内容': '挺干净的就是床有点小~其他都挺好的....服务也挺好的', '短评打分': 5}
{'短评内容': '开始以为在车站边会很吵，实际上地方还是很安静哦，房间虽然不大，但是设备齐全，前台服务也很周到，总之赞一个吧，如果再去荆州，这家酒店还是很不错的选择哦', '短评打分': 5}
{'短评内容': '交通方便,在在长途汽车站后面,在闹市中心,购物也方便', '短评打分': 5}
{'短评内容': '干净，方便。', '短评打分': 3}
{'短评内容': '还可以，很温暖，就是房子确实很小，服务很好', '短评打分': 5}
{'短评内容': '还可以，但是就是没有拖鞋和洗漱用品，自己买。', '短评打分': 5}
{'短评内容': '还不错，就是不提供浴巾和拖鞋等……，只有一个小窗户', '短评打分': 5}
{'短评内容': '酒店位置不错，就在沙市客运站出口处，是锦江之星的兄弟品牌。酒店内部卫生不错，床挺舒服的。不足的就是洗漱品不带，还要另外加钱买，好在我出门一般都自备着洗漱品。整体酒店很不错。', '短评打分': 5}
{'短评内容': '住着很舒服，门口交通也比较方便，干净卫生', '短评打分': 5}
{'短评内容': '服务不错，卫生也干净，晚上也比较安静，值得推荐。', '短评打分': 5}
{'短评内容': '小巧、舒适、方便、实惠，下次出差当地如果有百时快捷，一定再去！', '短评打分': 5}
{'短评内容': '环境还行的，车站附近，交通也可以，挺便利的。网上订还更划算，总体还不错。', '短评打分': 5}
{'短评内容': ':已入住。麻雀虽小，五藏具全，该有硬件都有，而且比那些三、四级老酒店还好。冬天入住，小而温暖！', '短评打分': 3}
{'短评内容': '很好！很干净，很适合情侣住，虽然很小，但是很惬意的房饰', '短评打分': 5}
{'短评内容': '酒店很不错，价格很实惠，服务态度很好，下次会再来的', '短评打分': 5}
{'短评内容': '床和被子非常好，是我在南方住过最暖和、舒服的被子了！价格很便宜，就是牙具和拖鞋要另买，也就3块！', '短评打分': 5}
{'短评内容': '..就是没有一次性拖鞋比较不方便. 卫浴间的墙是透明玻璃的,.实在是.太有情调了.', '短评打分': 5}
