{'短评内容': '帮朋友订的 性价比还可以', '短评打分': 4}
{'短评内容': '蒽，住宿还可以！但是其它城市这个价位条件比这好些！', '短评打分': 3}
{'短评内容': '虽然住的是单人床。感觉还是挺大的。挺干净的房间，不错，感觉物廉价美。住址到西湖打的仅需14元，交通也很方便。下次还有机会的也会去那里住的。服务员态度也很好。', '短评打分': 5}
{'短评内容': '一般..', '短评打分': 3}
{'短评内容': '环境不错，态度还好,推荐推荐。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置很好，价格很便宜，值得推荐，设备齐全，终于要到一个网络比较好的房间，下次来还住这里，出行也比较方便！', '短评打分': 5}
{'短评内容': '价格比较优惠，虽然小但确实是设备齐全，但唯一不好就是给我的房间网络有问题，更本没法上网，所以以后入住的朋友要多注意了，要提前向他们说明白！', '短评打分': 5}
{'短评内容': '酒店环境不错，同学帮订的，可能是我想错了，离西湖比我想像的远，要坐公交要快二十分钟', '短评打分': 3}
{'短评内容': '特价房虽然无窗，但是房间干净简洁，交通也方便，唯一不足就是办理退房时太慢，可能是偶然吧~总之值得推荐！', '短评打分': 5}
{'短评内容': '定好到了后说没有那个价格的了让多加钱住贵的很不愉快的经历', '短评打分': 3}
{'短评内容': '还好，比较实惠的地方，设施齐全，价格公道', '短评打分': 5}
{'短评内容': '周边没有什么玩的吃的，距离火车站近是近，坐公交要一人4元，其他还好', '短评打分': 1}
{'短评内容': '客房环境一般,服务还可以,地理环境交通方便,容易寻找,推荐', '短评打分': 5}
{'短评内容': '麻雀虽小，五脏俱全~~这家旅店适合一个人来旅行的朋友，两个人以上的话可能就有点儿小了~', '短评打分': 5}
{'短评内容': 'OK,GOOD!酒店门面小，要仔细找。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '一切都好,放心住~推荐', '短评打分': 3}
{'短评内容': '实惠，不错 去杭州去蛮实惠的 呵呵呵呵呵呵呵呵呵呵', '短评打分': 5}
{'短评内容': '该酒店其实就是一个招待所，房间异味很重。', '短评打分': 1}
{'短评内容': '太差了a aaa a a a a a aa a a a a a', '短评打分': 1}
{'短评内容': '还行，就是隔音效果不怎么好，而且房间有股味道，不过空调开起来就没了。其他还行', '短评打分': 5}
{'短评内容': '总体还好，就是房间有点偏小，有点味道，交通还算方便', '短评打分': 5}
{'短评内容': '总体还好，就是房间太小了，交通厅方便的，要是房间大点那就很好了', '短评打分': 5}
{'短评内容': '预订的时间是晚上6点，但是我迟了，事先打电话跟酒店里说好7点了。服务很好哦，不错的一晚。', '短评打分': 5}
{'短评内容': '房间一般', '短评打分': 3}
{'短评内容': '我定了特价房，我觉得除了稍微小了一点点之外，其他没有什么不好啊，空调一开也不会有什么味道。98又很便宜，不错不错不错呀。下次还会去的', '短评打分': 5}
{'短评内容': '住的三楼  热水一直断断续续   甚至会没有冷水的时候\n洗澡的地方都没有围起来的东西\n\n电视频道也少', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '  原来预订的房间客人没退，给我换了个其他房间。。', '短评打分': 3}
{'短评内容': '位置不错,就是有点潮', '短评打分': 3}
{'短评内容': '隔音效果太差，睡不着觉，不过服务还行，第一间房不能上网，帮忙换了一间。设施条件其实不错，就是隔音实在太差', '短评打分': 1}
{'短评内容': '服务员态度较好，但是，酒店老旧，设施不够完善，并且价格偏贵！', '短评打分': 1}
{'短评内容': '酒店很干净整洁，所处地段交通也很方便，特价房性价比很高，以后有机会去杭州还会光顾这家店的。', '短评打分': 5}
{'短评内容': '住了个无窗的房间，第一天是148，第二天本来也说是148，结果结账时居然说是168的，晕死，而且无窗的房间会有味道，睡得暗无天日的', '短评打分': 1}
{'短评内容': '还可以，房间蛮干净的，交通也方便。就是隔音不太好！！', '短评打分': 5}
{'短评内容': '这家酒店除了便宜没有任何值得说的地方。我入住时候服务员在qq斗地主，等到那一局结束了才搭理我。房间里很潮，排风扇就是声音大，不排风。晚上还不到9点，就往房间门缝塞“****商务会馆”找小姐的名片。结账时候就是不给开发票，只开收据。我时间紧张，没空搭理她。', '短评打分': 1}
{'短评内容': '这家店性价比很高，屋里很干净，环境也不错，交通方便，定的早上7点到，8点半就给收拾好房间，还不错', '短评打分': 5}
{'短评内容': '房间靠马路边晚上很吵,一夜没睡好,卫生间有异味,大概是消毒水味太重,不是很满意,下次不会在预订.', '短评打分': 1}
{'短评内容': '宾馆挺好的，这个价格很值。在建国北路和凤起路的交叉路口那边，附近购物也很方便', '短评打分': 5}
{'短评内容': ' 还不错。', '短评打分': 3}
{'短评内容': '非常好的服务，酒店也挺干净整洁的，总的来说很不错', '短评打分': 5}
{'短评内容': '豪华大床房，优点：沙发比较多，价格不算贵。\n缺点：卫生间很小，淋浴居然没有隔间，而且淋浴头子是坏的。设备比较老，靠马路噪音大。', '短评打分': 5}
{'短评内容': '总体来说性价比比较高，酒店方面给好评。\n但是都不知道前台是吃什么的。以前碰到过面无表情的服务员，这次更甚，直接给我来凶的。问前台接吹风机，由于他们自己备的不足，说没了。我说帮忙想想办法。服务员竟然回我一句：那我也没办法。差点吵起来。我没把自己当上帝，但是也没有这样对客人的吧？？？\n强烈要求加强这些没有专业知识的人员的培训。', '短评打分': 5}
{'短评内容': '太小了，而且地点不好找，服务态度不好\n床很软', '短评打分': 1}
{'短评内容': '这家酒店不错，很温馨的，就是网络不是很给力，其他都很好的，下次还来', '短评打分': 5}
{'短评内容': '晚上没有什么服务，住的无聊。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间里面床很大，睡着很舒服，而且空调也很给力，但美中不足的就是房间隔音效果实在太差，这个希望能够好好改进一下', '短评打分': 5}
{'短评内容': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n还行', '短评打分': 5}
{'短评内容': '不知道怎么说，地段是好的，就是里面的设施太不好了，空气差，被子也太小了', '短评打分': 1}
{'短评内容': '好\u3000', '短评打分': 3}
{'短评内容': '差\u3000', '短评打分': 3}
{'短评内容': '不好\u3000', '短评打分': 3}
{'短评内容': '酒店基本设施还行，就是房间隔音效果欠佳，希望能有所改善。。。', '短评打分': 5}
{'短评内容': '定的是无窗特价房，条件还不错，房间虽小，但很紧凑，下次来还会选这', '短评打分': 3}
{'短评内容': '还行，也不是特别的好，杭州这块地方这个价格也就这样了。', '短评打分': 5}
{'短评内容': '这家酒店很干净，所处位置是杭州比较繁华的地段，但是酒店价格不贵。  但是卫生间地面实在太滑了', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 3}
{'短评内容': '还可以，装修比较老气，隔音不太好，早上被退房的人吵醒的。我住的那间空调对着卫生间的门，暖气都吹不到床上来，房间也不算小，就是那个空调装的太差劲了，根本发挥不了作用。环境卫生一般。价格凑合。', '短评打分': 5}
{'短评内容': '房间还可以了，离西湖也很近。就是停车不方便，太远了', '短评打分': 5}
{'短评内容': '除了隔音效果差些，刚进房间会觉得有异味，其他都还好.', '短评打分': 5}
{'短评内容': '酒店的位置还好，房间还是挺新的，酒店的价格还行。环境还不错。', '短评打分': 5}
{'短评内容': '房间隔音效果太差，半夜2~3点钟还能听见隔壁的杂音，根本不能入睡。', '短评打分': 1}
{'短评内容': '十一期间住的，离市中心还算比较近，挺不错的，房间很干净！也很宽敞！值得推荐！就是价格贵了点！', '短评打分': 5}
{'短评内容': '位置倒是可以就在市中心，不过停车不是很方便，价格还是比较便宜，房间一般。', '短评打分': 3}
{'短评内容': '空间太小，性价比不高。而且空气太蒙，电视节目太少，收不到本地电视台。', '短评打分': 1}
{'短评内容': '房间卫生不怎么样，第一个房还出现蟑螂，后来是换了一个房，但还是有蚂蚁，另外的对得起这个价，还有就是被子有味道', '短评打分': 3}
{'短评内容': '好，就是房间有点小', '短评打分': 5}
{'短评内容': '嗯~~不管怎样，应该向客人说明状况~让客人住着就舒服~~\r\n半截再续费，不仅没有说明白~还让我们有种住院收费的感觉~\r\n别的感觉整体不错~\r\n', '短评打分': 5}
{'短评内容': '新开的酒店，环境、卫生、设施、服务相当不错，性价比很高，强烈推荐！', '短评打分': 5}
{'短评内容': '还行，床很舒服，比较大！位置也还行！就是马路边上，有点吵', '短评打分': 3}
{'短评内容': '酒店的位置还行，床睡的蛮舒服的！各方面条件都 还好', '短评打分': 5}
{'短评内容': '不错＇因为有两位老人和小宝宝＇酒店也给换了一个标间＇就是离西湖稍远＇走是走不到的', '短评打分': 5}
{'短评内容': '一般般,卫生间太差,不能上网,外面太吵了,热水也是时冷时热', '短评打分': 1}
{'短评内容': '房间面积还可以，但设施太差。一次性拖鞋都没有。还有虫子。不建议入住', '短评打分': 5}
{'短评内容': '中秋的时候去的，有点贵，位置一般，房间有点小，而且里面的味道有点大，不习惯的人可能一点都住不下去，本来打算住两天的，实在忍受不了，休息了一晚中午就退房了', '短评打分': 1}
{'短评内容': '卫生间很小，床还比较舒服，2张比较大的双人床。电视频道太少了，而且多是新疆的。', '短评打分': 5}
{'短评内容': '新开的，地理位置还算方便，地理位置还算方便，地理位置还算方便，', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
