{'短评内容': '交通方便，环境尚可', '短评打分': 5}
{'短评内容': '很喜欢榻榻米的感觉，房间在11楼，空调很给力，也不会嘈杂，总体来说很满意~~~~~~~~', '短评打分': 5}
{'短评内容': '一直住这家酒店，总体还是不错的\n但是这不知道针对老客户 有什么优惠活动没  比较关心', '短评打分': 5}
{'短评内容': '环境还可以，酒店设施硬件太差了。服务可以', '短评打分': 5}
{'短评内容': '大厅很气派,餐厅,茶社,咖啡厅都不错,就是房间的地毯太脏了.和所谓的4星不匹配', '短评打分': 5}
{'短评内容': '酒店很好，设备齐全，环境整洁，服务快捷。', '短评打分': 5}
{'短评内容': ' 总体还行，榻榻米不舒服。', '短评打分': 3}
{'短评内容': ' 酒店很好 住的很舒服  下次來還住', '短评打分': 3}
{'短评内容': '房间硬件设施都很好，服务态度也不错，就是酒店大堂有装修的味道。推荐', '短评打分': 5}
{'短评内容': '还好，就是性价比一般，并不比直接订房便宜，希望亿龙再接再厉。', '短评打分': 5}
{'短评内容': '还好，就是有些设施旧了', '短评打分': 3}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '总的来说还可以吧,只是后来住进去后和在网上看到的照片情况让我很失望,卫生间里的设施看上去都有些旧了,而且自己住的那间房间的地毯自己觉得挺脏的~&lt;br /&gt;\n自己住的那间房对面正好是过道,感觉有些吵!&lt;br /&gt;\n当初主要是考虑到离景点比较近!所以选择的!', '短评打分': 3}
{'短评内容': '比较正规的酒店，据说是三星，但是我没看到挂牌。里面住好多外国人，我订的新北纬楼单人间，写的小床，我理解为一般的双人床，1.5宽的，住进去才知道，房间好小，床也只是1.2米的，这让我住惯大床单人间的不太好适应。这个样子220的话不太值。而且每天都有小姐打电话，听到是女人接就挂电话，很烦。早晨居然也有人打，非常讨厌。楼下门口的餐厅好象是西餐厅，我去吃了一次早餐，自助西餐，品种不多，但是很贵，40元一位', '短评打分': 3}
{'短评内容': '五一期间入住的,服务还行,感觉里面都住的是韩国人和日本人...', '短评打分': 5}
{'短评内容': '单人间小床,房间不隔音,吵的厉害', '短评打分': 3}
{'短评内容': '北纬楼双人间 的设施是什么样子的，和男朋友同住可以吧？有独立的卫生间和洗澡的地方吗？请速回复lizhenyu00@sohu.com', '短评打分': 3}
{'短评内容': '酒店分两部分，一边是旧楼，一边是新楼，所以要看好，不都是三星级！', '短评打分': 3}
{'短评内容': '从北京站去该宾馆怎么走？ &lt;br /&gt;\n北纬楼双人间 的设施是什么样子的，和男朋友同住可以吧？&lt;br /&gt;\n有独立的卫生间和洗澡的地方吗？请回复：mq-dmd2002@163.com', '短评打分': 3}
{'短评内容': '能否发张该酒店的图片来啊？单人间和北楼豪标的！请速回kristy1205@sohu.com', '短评打分': 5}
