{'短评内容': 'N次入住了，赞一个！', '短评打分': 5}
{'短评内容': '我们一行8人，对这个酒店的设施、卫生等都很满意。\n酒店在岱庙东边200米，早上出发游玩了岱庙再回酒店取行李去泰山，很方便。', '短评打分': 5}
{'短评内容': '整体环境还可以,下次还想去住，服务还可以', '短评打分': 5}
{'短评内容': '距离火车站较近', '短评打分': 3}
{'短评内容': '设施之类的还蛮不错的，对于有些网友遇到的隔音问题我倒是没遇到，可能是因为我去的时候人不是很多吧。前台的接待不错，结账也快。吃饭的地方稍稍有点远，坐4路车的话可以去火车站附近的大众食府，味道很不错。没在店里吃早餐，时间不合适。不过出酒店往左走8分钟左右有家包子铺的包子相当好吃，就在一家麦当劳旁边，当然去麦当劳吃早餐也不错。', '短评打分': 5}
{'短评内容': '房间很大  也很干净  打车到火车站6块钱', '短评打分': 5}
{'短评内容': '房间设施一般，服务很差，从不打扫房间，要自己去叫。服务员态度很不好。不推荐。', '短评打分': 1}
{'短评内容': '酒店位置不错。卫生也很好，正好是岱庙的南门，', '短评打分': 5}
{'短评内容': '今天是第一天，看到房间的时候挺惊讶，毕竟这是第一次在网上订的，房间很干净，环境也不错，对面就是岱庙，晚上也不会很吵呢，宽带速度也不错！总之很满意啦！\n', '短评打分': 5}
{'短评内容': '总的来说，价格经济，物有所值。\n地理位置很不错，楼前有停车场，有保安看车登记，就是房间较小。', '短评打分': 5}
{'短评内容': '地点好，在岱庙对面；有停车场，方便自驾；房间设施还不错。\n隔音效果不是很好。', '短评打分': 5}
{'短评内容': '其他地方都不错，就是这个隔音实在是~~~~！太差!', '短评打分': 5}
{'短评内容': '性价比不错，离岱庙挺近的，就是离泰山的大门远了点，步行肯定是不行了。自驾车有停车场，有人看。', '短评打分': 5}
{'短评内容': '酒店位置很好，房间很大很舒服，唯一不足就是隔音稍差了些。', '短评打分': 3}
{'短评内容': '确实不错,价格公道。', '短评打分': 3}
{'短评内容': '环境很好，服务周到，交通很方便，很卫生，很干净~', '短评打分': 5}
{'短评内容': '宾馆的服务响应很快，整体设施和位置价格还是很有优势的，但是房间的隔音确实有待于加强。', '短评打分': 5}
{'短评内容': '卫生挺不错，房间打扫很干净，床单被子也挺干净整洁，用着挺放心的。', '短评打分': 3}
{'短评内容': '服务上挺友善，房间舒适度还好，位置挺好，出行挺方便。', '短评打分': 5}
{'短评内容': '房间挺干净的，隔音效果挺好，晚上休息的还不错。', '短评打分': 5}
{'短评内容': '挺好，服务挺周到，房间干净卫生，出行还方便，值得推荐。', '短评打分': 5}
{'短评内容': '价格还算合理，服务卫生挺好，房间舒适度还好，整体感觉挺满意的。', '短评打分': 5}
{'短评内容': '服务态度挺好，办事效率也挺快的，卫生做得也挺到位，早餐吃的也不错，价格还不贵，住的挺划算的。', '短评打分': 5}
{'短评内容': '价格上还算公道，服务上有求必应，这点挺好，房间质量挺好，住的也挺舒适。', '短评打分': 5}
{'短评内容': '酒店看着还不错，装修的挺简洁大方，卫生很到位，设施基本齐全，网速不是很慢，用着还算方便。', '短评打分': 5}
{'短评内容': '酒店位于主干道上，周边交通挺便利，酒店价格上也挺合理的。', '短评打分': 3}
{'短评内容': '酒店装修的还好，卫生条件不错，基本设施都有，有宽带能上网，价格还不贵，整体感觉不错。', '短评打分': 5}
{'短评内容': '说实话，价格不低，房间一般！', '短评打分': 3}
