{'短评内容': '房间不错，很好', '短评打分': 5}
{'短评内容': '刚开始在网上订的是特价房，到了那里之后，前台很热情的领着我看了各种房型，最后改了标准间，标准间比特价房好很多，以后去沈阳还会住他家。', '短评打分': 5}
{'短评内容': '房间和网上说的一样很大很干净，经济实惠，服务人员也很热情，地热供暖房间里面很暖和，交通很方便，值得推荐！！！！！', '短评打分': 5}
{'短评内容': '大房间相当不错，住着很舒服。有独立的卫生间，洗浴。下次还会预定。', '短评打分': 5}
{'短评内容': '还可以，就是房间不隔音', '短评打分': 3}
{'短评内容': '   酒店干净整洁，房间也比较大，早餐好吃，价格公道，不错。。。下次还会再住', '短评打分': 5}
{'短评内容': '大班168环境太一般了，对不起这费用，也就值70每天', '短评打分': 3}
{'短评内容': '这次和同事一起入住, 可能宁波北仑最大问题就是Taxi太少.黑车太多.房间还算清洁.拖鞋小了点. 有些不方便.', '短评打分': 5}
{'短评内容': '入住後告知房間沒有窗戶, 會比較暗.房內還算清潔, 不錯. 早餐需付費購買, 餐點還可以. ', '短评打分': 5}
{'短评内容': '房间很大~不错', '短评打分': 3}
{'短评内容': '服务很好，环境优雅，地理位置优越！室内硬件设施很好！还有就是酒店的餐厅饭菜很可口！', '短评打分': 5}
{'短评内容': '，酒店条件一般', '短评打分': 3}
{'短评内容': '和老公出来旅游，住这家宾馆，总体感觉很好  从房间卫生，网速，服务都挺好的。位置在五爱附近，出现很方便，值得推荐！', '短评打分': 5}
{'短评内容': '第2次住了，交通还算便利，出门能打到车，房间环境不错', '短评打分': 5}
{'短评内容': '给朋友预定的酒店，朋友告诉我地理位置很好，房间整体感觉很好，热情的服务让他想家，以后会经常光临这里！！！！！1', '短评打分': 5}
{'短评内容': '地理位置不错，第一次去的时候住的是无窗的108元的，住的挺舒服的，第二次果断继续选择此家，比较惊喜的是108元价格一样，但是给我换到了有窗的房间，挺好，以后还会选择！', '短评打分': 5}
{'短评内容': '在网上第一次预订来这个酒店，一进大堂，前台人员很热情，耐心的给我介绍房间，还带我看了一下房间,住时候床很舒服，性价很高，值得推荐。。。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '环境一般一般一般一般一般一办一般一般一般般一般一般一般一般', '短评打分': 1}
{'短评内容': '宾馆不错', '短评打分': 3}
{'短评内容': '还可以，停车方便，房间不如新大路另一家南苑', '短评打分': 5}
{'短评内容': '满足基本的商务出差要求，还行吧，房间没有附近另一家好，但停车方便。', '短评打分': 5}
{'短评内容': '房间比网上的大    也很宽敞  很安静   服务也很好  很热情                                                                             ', '短评打分': 5}
{'短评内容': '房间很干净  也很安静  服务态度也很好 ，下次还会光顾                                                    ', '短评打分': 5}
{'短评内容': '老板和服务员都很热情还送了我一罐茶叶  房间也还是不错的  就是网速慢点不过不太影响整体效果。订房间的时候最好先说要大窗房 小窗确实不太好。', '短评打分': 5}
{'短评内容': '价位比较给力，网速开始还可以，后来越用越慢，服务不错，房间一般，空间挺大，但整洁感不如如家，但价位也要比如家低。', '短评打分': 5}
{'短评内容': '条件不错，服务也好?', '短评打分': 3}
{'短评内容': '酒店还行，房间比想象的要大，服务也很好，前台接待很漂亮。就是门前停车场太小，没有停车位。。。。。。。。', '短评打分': 5}
{'短评内容': '性价比比较高的酒店，经济实惠。就是早餐比较差对不起这个价格，希望能改进。', '短评打分': 5}
{'短评内容': '地理位置还算可以~房间很大~就是设施稍微有点旧~', '短评打分': 5}
{'短评内容': '环境很好也很舒适，就是空调不怎么好使。以后还会光顾', '短评打分': 5}
{'短评内容': '房间蛮大，就是有点潮，酒店借个多用插座都没有，感觉极差', '短评打分': 5}
{'短评内容': '比较经济实惠，卫生状况也不错,适合出差！！！！', '短评打分': 5}
{'短评内容': '乾淨，停車方便，樓下很熱鬧，買東西比較方便。', '短评打分': 5}
{'短评内容': '酒店很干净', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '不错不错', '短评打分': 3}
{'短评内容': '很好很干净，父母也挺满意的。早点也不错，品种还可以的', '短评打分': 5}
{'短评内容': '住的特价房，在沈阳算是便宜的了，但挨着风道，的确是有点吵，尤其是晚上和清晨，觉轻的不适合住。', '短评打分': 5}
{'短评内容': '入住条件，服务差。', '短评打分': 5}
{'短评内容': '很好！住的地方很方便，卫生条件不错，服务员也很耐心！下次还来~！', '短评打分': 5}
{'短评内容': '各种好各种好各种好各种好各种好各种好各种好各种好各种好各种好各种好各种好', '短评打分': 5}
{'短评内容': '真的很一般，运气太差了还是怎么了，居然停水！！！', '短评打分': 1}
{'短评内容': '上次帮同事定的，性价比蛮好的，同事说很干净的店，住的很舒服，下次去还住', '短评打分': 5}
{'短评内容': '酒店位于五爱市场南侧，交通便利，但是很容易塞车，呵呵。酒店位于韩都烧烤城北侧，喜欢吃韩国料理的还是很方便的。酒店刚刚开业不久，很多出租车司机都找不到。', '短评打分': 5}
{'短评内容': ' 性价比还是不错的，地点坐车很方便，从这里出发去中街太原街都有公交车， 而且不远！', '短评打分': 5}
{'短评内容': '很好找的一家。。就在五愛韓都燒烤旁邊。。服務態度很好。。就是房間有點小。。不過在這個價位上已經是不錯的了。。性價比很高的。。。', '短评打分': 5}
{'短评内容': '我经常出差住酒店。这个酒店是我住过的很人性化的服务很周到的酒店。我会经常来沈阳，来了我一定还会住在这里的。网速有点慢不过跟前台沟通之后就帮我调了一下比刚刚快了很多。交通很便利卫生也很干净。性价比超高我向所有出差的朋友推荐。', '短评打分': 5}
{'短评内容': '优点：房间大设施齐全、价格便宜、服务好。\r\n缺点：房屋有点旧，网速慢，没有香皂，茶叶是收费。\r\n单从价格便宜这一点还是推荐的，同类档次在沈阳价格已经很低了。', '短评打分': 5}
{'短评内容': '位置很好 这是我目前认为的最大优点，服务态度也很好，但是也许我定的特价房。条件较差 屋里没有主灯，相当黑&#183;&#183;&#183;浴室里没有香皂，也没有浴液，喷头倒是很好，两种类型的。', '短评打分': 5}
{'短评内容': '总的来说这家店还是不错的，房间较大，网络也较稳定，服务态度很好，推荐', '短评打分': 5}
{'短评内容': '酒店房间不错,但是很多服务不太好.网速也不错.', '短评打分': 5}
{'短评内容': '酒店设施较差，房间还算宽敞，卫生不太好，有异味，尤其是拖鞋不像是一客一换的，价格便宜，位置还好。', '短评打分': 5}
{'短评内容': '服务质量不错，交通便利，就是吵了点，不错，推荐！', '短评打分': 5}
{'短评内容': '网上预订的酒店很方便，不错，感觉性价比还好！', '短评打分': 3}
{'短评内容': '还行吧，不是很干净', '短评打分': 5}
{'短评内容': '不错，很好', '短评打分': 5}
{'短评内容': '+还可以', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '整体感觉还是很好的，地理位置也不错。坐公交到五爱市场西区下就可以，向前走一点就到。客房还比较干净，气味也还好。\r\n有一点不好的就是说是都有网络，可有的客房网络是坏的，需要上网的要提前确认吧，我住的这个知道网络不能用的时候客房已经满了。', '短评打分': 5}
{'短评内容': '酒店位置很好,交通方便,房间比较一般,卫生条件一般', '短评打分': 5}
{'短评内容': '房间屋顶在渗水，卫生间滴水声一直在响，房间不隔音，前台接待服务一般，特价房可能就这个样子', '短评打分': 5}
{'短评内容': '初次留宿在沈阳的连锁宾馆，该宾馆设施比较齐全，被品干净整洁。前台服务态度非常好。有求必应，地处五爱市场，交通位置便利，唯一不足是电视节目比较少。晚间稍微嘈杂，可能因为我住宿的房间没有提前说明要背向街道的。总之，该酒店性价比非常高。下次来沈还会选择此酒店。故推荐', '短评打分': 5}
{'短评内容': '性价比很高，酒店设置卫生都很好，不过地理位置可能有点偏，离大润发需要走2站路多，总体来说还是很好的，推荐', '短评打分': 5}
{'短评内容': '...not bad....................................', '短评打分': 3}
{'短评内容': '五爱市场性价比最高的酒店，房间一般，马路边上，隔音较差', '短评打分': 5}
{'短评内容': '卫生环境都还可以，服务态度一般。希望有所改进。', '短评打分': 5}
{'短评内容': '沈阳五爱168酒店干净卫生服务太度好，选对了。', '短评打分': 5}
{'短评内容': '酒店很大,房间干净,环境不错.很满意', '短评打分': 5}
{'短评内容': '服务很周到...来这出差一直住这家的..下次还会住', '短评打分': 5}
{'短评内容': '卫生间没排风机，电视机太小，楼层，电梯有异味。', '短评打分': 1}
{'短评内容': '+感觉挺干净，服务态度不错。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，在五爱附近，早上还不会太吵，离沈阳各商圈都很近，推荐.', '短评打分': 5}
{'短评内容': '我觉得最好的是服务，性价比也超级好了~~', '短评打分': 5}
{'短评内容': '酒店一般', '短评打分': 3}
{'短评内容': '感觉卫生情况较差。', '短评打分': 1}
{'短评内容': '极一般。仅离五爱市场方便商客暂居一二夜。别的极一般', '短评打分': 1}
{'短评内容': '楼板确实很薄，不隔音', '短评打分': 3}
{'短评内容': '服务不错，很热情，整体来说性价比较高，推荐！', '短评打分': 5}
{'短评内容': '感觉还不错，不过唯一的缺点就是没有排气扇。服务态度很好，前台姐姐很耐心。', '短评打分': 5}
{'短评内容': '花多少钱，就住什么档次，那里的蚊子估计这个星期都不用吃饭了', '短评打分': 1}
{'短评内容': '在五爱的168住了2晚，是晚上预订的特价房115一宿的。当天到的时候快11点了，酒店方在我对房间不是很满意的情况下积极的进行协调，服务态度非常的好。但是酒店的设施有点旧了，跟我之前住过的一些酒店比还是有点不足的地方。我的屋正对电梯，可住宿环境还是很安静的。距离五爱市场也真的是很近，步行5分钟的样子。入住当天还收到了酒店方赠的VIP卡', '短评打分': 5}
{'短评内容': '该宾馆不错，值得下次再住', '短评打分': 5}
{'短评内容': '总体还可以，但是有蚊子，被咬了好几个包呵呵。', '短评打分': 3}
{'短评内容': '比上次住标间满意很多。房间很大，床很大，卫生间也不错，不算高档但是还不错。床垫不是很舒服，宽带稍差些，网老掉，服务态度很好，很满意，下次还去', '短评打分': 5}
{'短评内容': '很舒适，服务素质很高，离小吃一条街都非常近，交通可以，建议卫生间设施改进点。性价比合理，再去还会住这里的', '短评打分': 5}
{'短评内容': '酒店位置好，服务态度好，干净卫生', '短评打分': 3}
{'短评内容': '房间挺大，还算舒适，距五爱市场很近，房价适中，性价比好', '短评打分': 5}
{'短评内容': '挺不错的！', '短评打分': 3}
{'短评内容': '都还一般吧 住住还可以的', '短评打分': 5}
{'短评内容': '价格适合学生消费。房间真的够大。淋浴也很好。但是没有肥皂。液晶电视不是有雪花。不过床确实非常舒服。唯一的缺点是纱窗坏了，晚上有蚊子。', '短评打分': 5}
{'短评内容': '位置对于北仑来说，算是很偏了，没有在中心，不过如果是在附近办事还是比较方便的\r\n', '短评打分': 5}
{'短评内容': '住这挺舒适的，离繁华的地方都非常近，只是住的人有点杂，可能是离五爱近的原因吧。价格很合理，再去还会住这里的。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '我比较满意的一家连锁酒店，唯一的缺点是空调声音有点大哦', '短评打分': 5}
{'短评内容': '位置十分优越,服务质量很好,并且为顾客的利益着想.下次有机会还会选择入住本酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '服务挺好，换了两次房，工作人员依然很热情!', '短评打分': 5}
{'短评内容': '挺好的 老人很习惯', '短评打分': 5}
{'短评内容': '条件还行，离宾馆不远就有个小吃街，晚上可以去吃点烧烤。就是停车位少。另外就是附近不好打车。', '短评打分': 5}
{'短评内容': '感觉环境一般', '短评打分': 3}
{'短评内容': '非常不错的酒店，物美价廉！', '短评打分': 5}
{'短评内容': '感觉很不错的酒店，挺干净的，服务员态度也很好，性价比蛮好，下次还会光临。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，卫生服务也很好，价格合理适中，位置不是特别方便，在北仑区那边，整体来讲算是比较不错的酒店，值得推荐入住。', '短评打分': 5}
{'短评内容': '地段很好，步行五爱市场五到十分钟。服务态度非常好，卫生也不错', '短评打分': 3}
{'短评内容': '刚进去还不错，就是地方小了点，环境么马马虎虎，房间给开在了一个基本没窗的地方不满。性价比还行，服务也没怎么享受，对于一个连锁酒店来说，普通吧。以为南苑会开的很不错，小小失望。还是怡莱好！', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '总而一直，马马虎虎还可以。', '短评打分': 5}
{'短评内容': '酒店比较新，设施比较齐全\r\n房间也还比较宽敞', '短评打分': 5}
{'短评内容': '酒店位置有些偏,房间里面环境很好,住着比较舒适,物有所值', '短评打分': 5}
{'短评内容': '酒店很新，服务也错。居然还有电脑可以上网，虽然贵了一点，总算还能承担。\r\n总体来说很好\r\n', '短评打分': 5}
{'短评内容': '很干净，且性价比很好', '短评打分': 5}
{'短评内容': '去那边考BEC，住的这家酒店，新开的，酒店设施很新很好很齐全，房间也很大，还送了我们2份早餐，真的太物有所值了,下次去一定还住，真的住的很开心，推荐给大家。', '短评打分': 5}
{'短评内容': '酒店很新,房间比较大,位置不错.服务也很好,整体性价比高.', '短评打分': 5}
