{'短评内容': '套间不错，有家居用品，适合一家人住。', '短评打分': 4}
{'短评内容': '旧一点，但服务不错。\n房间地毯能更勤的洗一洗就更好了。', '短评打分': 5}
{'短评内容': '已和朋友推荐了该饭店。不好的是洗手间的门关不上。', '短评打分': 5}
{'短评内容': 'Very nice Hotel. The two-room suite is really a very opion to families of 3 or 4. The only drawback is that it included only three breackfasts not 4. ', '短评打分': 5}
{'短评内容': '不错,空调一般', '短评打分': 3}
{'短评内容': '酒店性价比很好，还有早餐，------------真的不错。', '短评打分': 5}
{'短评内容': '酒店很好--------------下次还住', '短评打分': 5}
{'短评内容': '酒店不错，电视有点旧，其他都很好。性价比不是很高，离奥体也比较近，下次还住这里', '短评打分': 5}
{'短评内容': '酒店不错，房间很大，尤其是套间。电视有点旧，其他都很好。总体上，性价比不是很高，离奥体也比较近，下次还住这里。', '短评打分': 5}
{'短评内容': '便宜是便宜，但性价比也不高。入住时北京还没开始中央供暖，酒店也没自己的暖气，晚上睡觉会冷！', '短评打分': 1}
{'短评内容': '交通，价格，服务都不错，就是酒店旧了些，单价格不贵也就不能说旧了。', '短评打分': 5}
{'短评内容': '酒店干净，服务态度好！洗手间、柜子等虽是之前的装修，但胜在材质好，反而有一种历久弥新的感觉。重要是地毯都新换了，很不错！', '短评打分': 5}
{'短评内容': '条件可以只是装修有点过时了，不过像过去，能找回些共和国的历史', '短评打分': 5}
{'短评内容': '不错不错，位置价格很合理，太划算了，早餐非常丰盛，下次还来！！！！', '短评打分': 5}
{'短评内容': '不错不错，位置价格很合理，早餐非常丰盛，下次还来！！！！', '短评打分': 5}
{'短评内容': '环境很好，喜欢两室一庭', '短评打分': 3}
{'短评内容': '环境啦服务啦速度啊都让我满意', '短评打分': 3}
{'短评内容': '位置不错，服务尚可，主要是北京中转，只有一天，图个方便。', '短评打分': 5}
{'短评内容': '酒店房间很大，电视有点旧，其他都很好。\n总体上，性价比不是很高，但毕竟首都了，离奥体比较近', '短评打分': 5}
{'短评内容': '房间不隔音，服务一般。', '短评打分': 3}
{'短评内容': '還不錯，就是房間暖氣不夠', '短评打分': 3}
{'短评内容': '酒店房间很大，电视有点旧，其他都很好。', '短评打分': 3}
{'短评内容': '环境非常不错 也很安静 客房部的大姐 很客气 而且办事很有效率 下次还会再去的 ', '短评打分': 5}
{'短评内容': '还不错的，房间内干净舒适。很安静。在四环边上，交通很方便，距离鸟巢很近。', '短评打分': 5}
{'短评内容': '设施较旧，位置很好，免费升级房间，总体ok！', '短评打分': 3}
{'短评内容': '很好，房间很大，很豪华，位置非常好，设施稍微有点老', '短评打分': 5}
{'短评内容': '优点：很不错，房间宽，免费升级\n缺点：设备稍微有点久', '短评打分': 5}
{'短评内容': '套间比较大，但是卫生间太小。总体来说打80分', '短评打分': 5}
{'短评内容': '价格是四星级\n但配套设施有些陈旧\n下回不会入住\n', '短评打分': 1}
{'短评内容': '酒店交通比较方便，设施也比较新，性价比还可以，离客户处比较近，期待下次再过来入住', '短评打分': 5}
{'短评内容': '房间干净、舒适，感觉很好。', '短评打分': 3}
{'短评内容': '相比较亚运村附近的酒店，价格还可以，交通也算方便，就是装修稍微老点', '短评打分': 5}
{'短评内容': '酒店房间设施陈旧', '短评打分': 3}
{'短评内容': '酒店卫生还可以，价格比较合理。', '短评打分': 3}
{'短评内容': '酒店装修比较＇复古＇，房间大，服务好。', '短评打分': 3}
{'短评内容': '有家的感觉！很不错', '短评打分': 3}
{'短评内容': '套房很好，尤其是2房套，满意！\n不过标间却不怎么样。', '短评打分': 5}
{'短评内容': 'room is perfect,atmosphere is fresh!', '短评打分': 5}
{'短评内容': '还不错，这次是第二次入住了，不过午睡时有工作人员敲门并差点进来（我从里面反锁了）说要修客厅的柜子。不知道为什么不在其他时间或客人没入住时修啊。', '短评打分': 5}
{'短评内容': '酒店紧邻北四环  可以看到鸟巢', '短评打分': 3}
{'短评内容': '位置好，性价比高，不错的选择，还有一些是公寓的，也不错，完全符合四星级标准，推荐', '短评打分': 5}
{'短评内容': '性价比不错。地理位置好。', '短评打分': 3}
{'短评内容': '服务态度不错，房间设施稍微有些旧，电视机有点历史了，我订的是一室一厅，给我升级到二室一厅，不过在前台升级的时候前台MM就打电话要服务员锁一间房门，有这个必要吗？房间内上网不太方便，网线只能拉到茶几那里', '短评打分': 5}
{'短评内容': '非常好的酒店！一是服务好，礼宾把行李一直送到房间，问路问事都特别热情周到。二是性价比高，房间非常满意，我定的一室一厅大床房，有厨房有微波炉，还有洗衣机，价格518含早餐，挺实惠！最高兴的是周边不远有好多餐馆，东门出去的巷子口有家巴渝家常菜，味道正宗还不贵，可让我这个四川人满意死了！昨晚就狠狠吃了一顿馋嘴蛙，呵呵，可惜人太少，不能多点。我决定以后常住这！\n   不过有一点需要改进，浴室的洗发膏，包装', '短评打分': 5}
{'短评内容': '房间比较旧,硬件一般,服务很好,主动热情', '短评打分': 3}
{'短评内容': '很漂亮，很舒适，也很方便，服务也很周到，价格也很合理，总之很值得下次再来，很漂亮，很舒适，也很方便，服务也很周到，价格也很合理，总之很值得下次再来，很漂亮，很舒适，也很方便，服务也很周到，价格也很合理，总之很值得下次再来', '短评打分': 5}
{'短评内容': '环境非常的不错。很大。刚开始安排的房间一进去有点潮气，还有淡淡的烟味。我们跟前台沟通了一下，立马给我们升级了，本来住的是两居室，直接给我们换成150多平米的三室。每天来整理房间的服务员们也都非常的敬业，我们出去和回来都跟我们打招呼，很热情。早餐还好，种类也还可以。地脚嘛，还可以吧，反正打车到哪都不贵。下次还来。', '短评打分': 5}
{'短评内容': '酒店地理位置不错 距离鸟巢 水立方 等奥体中心场馆均很方便 房间设施亦可 内有游泳池可供免费享用 早餐种类和质量有待进一步丰富和提高', '短评打分': 5}
{'短评内容': '价格变化莫明其妙，我提前网上预订，最低价是718元/间.天,而同等档次的房，别人当天入住，只要付380元/间.天。', '短评打分': 1}
{'短评内容': '价格高，设施不新，性价比不高，出门就是四环，去外吃饭和娱乐不方便。', '短评打分': 1}
{'短评内容': '非常满意，标准间免费升级成了套房，很大很舒适', '短评打分': 3}
{'短评内容': '我来北京住的选酒店，房价变化快，经常赶不上便宜的时候。(ˇˍˇ） 想蓄两天，房价竟然快翻倍，只好换地儿。', '短评打分': 5}
{'短评内容': '店内设施还行，早餐比较简单，没啥好吃的，窗户面临四环，有点吵', '短评打分': 5}
{'短评内容': '我定的是两室一厅的房间，适合亲友两家人住，性价比很好，设施也很好，离鸟巢走路仅10分钟，总体不错，就早餐不够丰富。', '短评打分': 5}
{'短评内容': '价格太高，出入不方便，互联网收费太高，不提供免费早餐。', '短评打分': 1}
{'短评内容': '不错，不错，就是有点贵，不错，不错，就是有点贵，', '短评打分': 5}
{'短评内容': '一室一厅的房子，应该是以前给外国专家家庭住的，阳台可看鸟巢。尤其适合家庭居住。最大的缺点是位于超复杂的健翔桥东南角，如果想过街，得走较远的路。', '短评打分': 5}
{'短评内容': '服务周到热情，房间布局合理，宽敞明亮，早餐丰富，性价比高。', '短评打分': 5}
{'短评内容': '比较适合有孩子的家庭。孩子们很喜欢，比加床或定两间房都方便，房间设施不是很新但很干净。适合长住，环境比较清静。前门出去就是高速，开车出门很方便。早餐选择不多，但基本的东西都有。总的来说满意，下次来还会再住。 ', '短评打分': 5}
{'短评内容': '北四环内，交通便利，物有所值，值得推荐，下次还来住这儿。', '短评打分': 5}
{'短评内容': '酒店设施比较旧，停车也不太方便，就是离鸟巢、水立方较近。', '短评打分': 1}
{'短评内容': '星级酒店的服务和标准，很不错，房间布置的像家一样。地理位置很好。还会继续入住！', '短评打分': 5}
{'短评内容': '离鸟巢、水立方很近，但打车不太方便。设施有点老，早餐不太丰富。', '短评打分': 1}
{'短评内容': 'I have been staying in this hotel for many time. It is nice to be back.', '短评打分': 5}
{'短评内容': '环境好，服务好，但是现在变成订就用信用卡担保，这个不好', '短评打分': 5}
{'短评内容': '都是居家设备，和适合一家子来住，就是设备老了点', '短评打分': 5}
{'短评内容': '价位合适，设施还行，位置也不错。值得推荐。', '短评打分': 5}
{'短评内容': '餐饮略逊一点，泳池水质不是太好，厨房没有厨具，望能改进。其他都还不错', '短评打分': 5}
{'短评内容': '房间干净、安静、温馨，交通方便，下次还入住！', '短评打分': 3}
{'短评内容': 'spacious and quiet. Good price.', '短评打分': 5}
{'短评内容': '不错，位置好，卫生好，服务不错，价位合理，环境幽雅', '短评打分': 5}
{'短评内容': 'very nice,but too diffecult acroos to water cube', '短评打分': 5}
{'短评内容': '酒店环境很好，价格很合理,下次还会来住。', '短评打分': 3}
{'短评内容': '这家酒店比较适合有孩子的家庭。我们有两个孩子，定了他们的两卧套间，孩子们很喜欢，比加床或定两间房都方便，第二间卧室有两张床和一张大床的选择。房间设施不是很新但很干净。地点上说不是很方便，因只住了两夜一个整天，没有搞很清楚周围的环境。出后门是居民居住小区，感觉很适合长住，环境比较清静。前门出去就是高速，开车出门很方便。我们之前住在王府井，相比起来从购物到吃饭都没有前者方便，但设施好些，也干净些。早餐', '短评打分': 5}
{'短评内容': 'nice place and good price.', '短评打分': 5}
{'短评内容': '设施陈旧，整体还能住，因为安静。交通便利', '短评打分': 5}
{'短评内容': ' 非常好，礼仪部服务相当不错，前台也很好。套房房间设施跟齐全，唯一就是装潢不是太美观。', '短评打分': 3}
{'短评内容': '帮朋友再次订的此地。朋友说是还不错，交通等各方面都还满意。', '短评打分': 5}
{'短评内容': '服务态度不错，位置交通较方便，但设施陈旧了!', '短评打分': 1}
{'短评内容': '酒店内部环境不错，前台服务态度好，出门比较方便', '短评打分': 5}
{'短评内容': '兩罐咖啡在我出門前還老老實實躺在冰箱門飲料架上~~結帳查房就木有了~~~真是專家~~會訛詐客人?~~或是~~你們自己查房者不老實自己給咪走了??不在乎這30元啦`~~就是被人訛的感覺不舒服~~~', '短评打分': 1}
{'短评内容': '该酒店条件不错，性能与价格合理，服务一般。', '短评打分': 5}
{'短评内容': '本酒店距离首都国际机场有40分钟车程，工作人员服务周到，可是客房装修有些陈旧。', '短评打分': 1}
{'短评内容': '酒店很好找，出行很方便，房间很大很舒适，很满意，酒店也很干净。以后会继续住。 \n', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '价格还可以，是套间，非常宽敞，设施比较旧，要是重新装一下应该可以得到更好的住宿体验', '短评打分': 5}
{'短评内容': '帮朋友订的。住了以后说不错，这次是再次订的。', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友说还不错。交通很方便，晚上在鸟巢溜达溜达倒是不错。', '短评打分': 5}
{'短评内容': '交通便利，酒店服务不错，房间整洁，就是有些潮。', '短评打分': 5}
{'短评内容': '已经住了一个多月了，酒店服务还算不错，干净整洁，比较舒适', '短评打分': 5}
{'短评内容': '已如期入住预定酒店', '短评打分': 3}
{'短评内容': '房间很大很舒适，很满意，酒店也很干净。会继续住。', '短评打分': 5}
{'短评内容': '设施比较旧，空调不凉，不太好', '短评打分': 3}
{'短评内容': '很干净很舒适', '短评打分': 3}
{'短评内容': 'the room and location are good ...the only complaint is NO AC in May in Beijing with temp close to 30C on 5/12/11!', '短评打分': 5}
{'短评内容': '早餐不错。由于北京限电，晚上没有空调太热', '短评打分': 5}
{'短评内容': '不像四星酒店，好一般', '短评打分': 3}
{'短评内容': '四星级酒店，住房条件还算不错，价格相对比较便宜，推荐一个。', '短评打分': 5}
{'短评内容': '挺好的，干净。不错。旁边的川菜馆子也不错，好吃，下次还来这里住。', '短评打分': 5}
{'短评内容': 'fadfadfadfadfadfadfadddddddddd', '短评打分': 1}
{'短评内容': '还算不错，就是门口进车入口处偏小，比较安静', '短评打分': 5}
{'短评内容': '位置很好找，很醒目，离鸟巢水立方都很近，这个价位可以接受了', '短评打分': 5}
{'短评内容': '停车位有些紧张，别的还都不错，服务员很热情', '短评打分': 5}
{'短评内容': '物超所值，有家一样的感觉！赞！', '短评打分': 3}
{'短评内容': '交通位置很好，离鸟巢很近，就是唯一入口处有些小，别的还都满意', '短评打分': 5}
{'短评内容': '房间住的很舒适，环境非常好，服务也很周到。网上订房还有优惠~~', '短评打分': 5}
{'短评内容': '超烂的，暖气一点都不暖，下次再也不会来，反应了几次，才给我换间房间，换了房间之后，还是一样。', '短评打分': 1}
{'短评内容': '客户反映不错，下次继续推荐！希望尽快装修完备。', '短评打分': 5}
{'短评内容': '还行,房间够大。', '短评打分': 3}
{'短评内容': ' 酒店早餐太差，不如快捷酒店啊!', '短评打分': 3}
{'短评内容': '专家大厦软硬件都很好', '短评打分': 3}
{'短评内容': '很好 方便干净房间大', '短评打分': 3}
{'短评内容': '该酒店坏境不错，地理位置也很好，朋友来北京都定', '短评打分': 5}
{'短评内容': '位置好，出行方便。早餐一般般，但免费的嘛也不用计较那么多了。不知道是不是在网上订的房间都给安排得那么偏，在走廊尽头，一开始安排的房间有很大的异味，后来给换了一间，高了一层楼，但还是那个位置。老公很不满意，我倒无所谓，安静点也挺好的。总体还是挺满意的，就是价格贵了点。\n', '短评打分': 5}
{'短评内容': '交通方便，酒店服务很好，就是早餐花样很少，不过总体感觉还是很不错的！', '短评打分': 5}
{'短评内容': '感觉不是很好，交通倒是很方便，太严谨，套房的价位到很合理', '短评打分': 1}
{'短评内容': '环境很好，出行方便，酒店的服务态度很好………………', '短评打分': 5}
{'短评内容': '服务周到,环境杨优美.交通便利，下次还来.', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间大，设施偏老，但是离鸟巢很近，交通也方便！', '短评打分': 5}
{'短评内容': '还好，交通方便，价位合理，主要是距离办事地点近', '短评打分': 5}
{'短评内容': '位置好，出行方便。早餐一般般，但免费的嘛也不用计较那么多了。不知道是不是在网上订的房间都给安排得那么偏，在走廊尽头，一开始安排的房间有很大的异味，后来给换了一间，高了一层楼，但还是那个位置。老公很不满意，我倒无所谓，安静点也挺好的。总体还是挺满意的，就是价格贵了点。', '短评打分': 5}
{'短评内容': '大堂里面的商店品种太少，要是购物再方便一些就非常理想了，总体看还不错', '短评打分': 5}
{'短评内容': '酒店环境不粗，交通方便，去机场很是方便，房间设备有些陈旧。', '短评打分': 5}
{'短评内容': '虽然房间有些旧了，但是服务人员的素质很高', '短评打分': 5}
{'短评内容': '客户点名要住外国专家大厦。看来是很不错的。希望更进一步的提高服务与环境。尽快装修好！不要有噪音！', '短评打分': 5}
{'短评内容': '交通便利，卫生良好，酒店内部餐饮一般，但周边用餐方便。', '短评打分': 5}
{'短评内容': '部分客户住了以后，下一次还是要选择外专。看来不错', '短评打分': 5}
{'短评内容': '房间格局还不错，位置也方便出入市区和机场等热点地区。', '短评打分': 5}
{'短评内容': '酒店离鸟巢比较近，大堂装修很好。去机场很方便，打车40分钟就能到。\n\n', '短评打分': 5}
{'短评内容': '酒店环境非常好，房间虽然旧一点，但装修还是不错的，交通也很方便', '短评打分': 3}
{'短评内容': '酒店环境不错，下次还住！', '短评打分': 3}
{'短评内容': '非常不错，早餐也可以，我准备下回到北京的北办事，还会住在这里。', '短评打分': 5}
{'短评内容': '家具有点旧，厨房没有碗碟刀叉，冰箱坏了，没法使用。但是二房室能一家在一起也顶好的。如果你十几个小时都在外边，回酒店只是休息、上一上网，那还是值得的。', '短评打分': 5}
{'短评内容': '该酒店的软硬件都还可以，周边的购物、餐饮也不太远。总体感觉还算可以。', '短评打分': 5}
{'短评内容': '酒店条件不错，位置交通也很方便，建议推荐给其他朋友', '短评打分': 5}
{'短评内容': '离家很近 所以每次客户来北京都是住这家酒店 谈不上特别好 但房间足够大', '短评打分': 5}
{'短评内容': '位置绝对的好，自驾车很方便，酒店设施太老了，服务一般，就是楼下的餐厅还行。', '短评打分': 5}
{'短评内容': '酒店规格很好，设施也很完善。我们入住的是套间，很满意。', '短评打分': 5}
{'短评内容': '酒店整体来说还是不错，交通方便，房间内比较安静，服务也还好。家具、电视等稍显陈旧。此外似乎无可用的互联网，也许我没有找到接口。', '短评打分': 5}
{'短评内容': '客户很满意。艺术的活动也不错，价格能再便宜点更好！', '短评打分': 5}
