{'短评内容': '还不错的酒店哦！很干净。交通也很方便。。。。。', '短评打分': 5}
{'短评内容': '酒店很不错，卫生情况很好，早餐有点简单，但是常州的糕点很好吃\n下次去常州，还住那里', '短评打分': 5}
{'短评内容': '服务很好环境可以早餐也可以推荐入住，很不错。', '短评打分': 5}
{'短评内容': '常州粤海大酒店总台服务热情，房间干净清爽，下次过来，还打算住这家。', '短评打分': 3}
{'短评内容': '地理位置非常好，很方便，一下火车就能很快入住，服务也可以。', '短评打分': 5}
{'短评内容': '这几次是介绍朋友出差时去这家的 ，他们非常满意。。', '短评打分': 5}
{'短评内容': ' 酒店性价比很高，下次还会再来', '短评打分': 3}
{'短评内容': ' 酒店性价比很高，以后会常住', '短评打分': 3}
{'短评内容': '每次出差到这都选择这家，位置和服务都很好。', '短评打分': 5}
{'短评内容': '不错，附近就有超市和小饭馆，离火车站也近，工作人员态度也好~~', '短评打分': 5}
{'短评内容': '不错我很喜欢。', '短评打分': 3}
{'短评内容': '还可以吧，不过从外面看起来有点旧了，交通超级方便，就在火车站旁边，步行不超过10min。', '短评打分': 5}
{'短评内容': '价格适中   地段出色   服务周到  虽然是2006年装修的   但是还是很不错的啊值得前去入住', '短评打分': 5}
{'短评内容': '各方面都挺好的，地理位置好，环境也不错，早餐也蛮好的，下次还会选择入住该酒店！', '短评打分': 5}
{'短评内容': '酒店很不错,价钱很划算,特别是早饭,很丰富,四星级别!', '短评打分': 3}
{'短评内容': '酒点环境真的不错，火车站两步就到了,出门就可以坐公交打的..', '短评打分': 5}
{'短评内容': '很好找 就在火车站旁边\n很划算 还有早饭\n价廉物美', '短评打分': 5}
{'短评内容': '感觉还不错，离火车站近，比较方便，早餐也还好', '短评打分': 5}
{'短评内容': '服务态度不错，交通方便，就餐地点也好，就是靠背有点脏', '短评打分': 5}
{'短评内容': '位置很好，离汽车站和火车站都很近，坐车方便。不过房间里的中央空调没有什么效果，网速很慢。', '短评打分': 5}
{'短评内容': '蛮好的，住过好几次了，到二十个字没啊？！真的没什么说的了！', '短评打分': 5}
{'短评内容': '经济实惠，交通便利，下次还入住', '短评打分': 3}
{'短评内容': '不错，就是洗澡龙头坏了', '短评打分': 3}
{'短评内容': '以前经常住,离火车站很近，综合性价比还行', '短评打分': 5}
{'短评内容': '酒店很好，位置方便，设施齐全，还有早餐券！', '短评打分': 5}
{'短评内容': '离汽车站，火车站很近，房间设施很好，还有早餐券，总的来说不错', '短评打分': 5}
{'短评内容': '不错啊，服务相当好，热情洋溢，给我们介绍了当地的小吃，并告诉我们去的路线。热水不错，空调不错。物有所值啊。', '短评打分': 5}
{'短评内容': '非常不错的一家酒店，性价比很高。酒店位置也很好，距离火车站、汽车站很近，距离市中心打车12块。', '短评打分': 5}
{'短评内容': '，环境还是不错的，就是空间不大，早餐一般般', '短评打分': 3}
{'短评内容': '第二次入住了，环境不错，最好的是可以下午2点才退房，到市中心也很方便', '短评打分': 5}
{'短评内容': '，该酒店的环境还可以，就是服务态度不是很好，', '短评打分': 3}
{'短评内容': '总的感觉还是不错的，价格蛮实惠，清洁、宽敞、隔音还可以，下次去还要住该酒店。', '短评打分': 5}
{'短评内容': '性价比高，准四星，离火车站近，方便。早餐一般不过对得起房价了。', '短评打分': 5}
{'短评内容': '住的次数比较多了，总体感觉没有以前好咯。价格是一贯的优势。服务不是太理想。\n这次搞了个比较戏剧性的插曲，来了很多消防车。实地对孩子进行了一场危险逃生演习和教育，呵呵', '短评打分': 5}
{'短评内容': '不错啊，服务相当好，热情洋溢，给我们介绍了当地的小吃，并告诉我们去的路线。热水不错，空调不错。物有所值啊。', '短评打分': 5}
{'短评内容': '酒店设施不错但是细节做的不好，就是早餐质量有待加强。', '短评打分': 5}
{'短评内容': '酒店房间大就是设施有点老，环境算常州不错的。', '短评打分': 5}
{'短评内容': '酒店地理位置和环境都不错，房间内部设施也很好。早餐不算丰富，也还凑合。', '短评打分': 5}
{'短评内容': '\u3000不得不说这性价比真的挺高。156大床房，地理位置优越，热水挺足。房间应该是18cm。挺满意。空调暖风不足，浴室没有地巾。', '短评打分': 3}
{'短评内容': '态度不错，性价比很高，离火车站很近。上次太急没吃上早餐可惜了。', '短评打分': 5}
{'短评内容': '说实话,确实还不错.前台很热情.酒店也还毕竟干净.离车站也近.除了早餐待提高外,其余的都很好.推荐这家!', '短评打分': 5}
{'短评内容': '再一次入住粤海酒店，依旧很不错吗，客房服务不错，早饭也蛮好，推荐', '短评打分': 5}
{'短评内容': '这已经是第三次住这个酒店了，整体来说性价比还是不错的！交通也方便！要提醒的就是，南一面的房间都是临近马路的，火车站附近客流量也大，所以嘈杂声会比较大一点，尽管酒店在这方面已经尽力了，但是还是有的！需要安静的朋友可以选择北一面的房间！', '短评打分': 5}
{'短评内容': '酒店地理位置不错，就在火车站旁边，走几分钟就能到。叫做粤海之星酒店，外表没有照片那么漂亮，照片应该后期处理过了，大堂还行，前台态度不错，房间挺大的，就是地毯瓷砖有点脏，毛巾也不是很白，总体来说硬件设施还可以，对得起这价格。送的早餐简直太太恶心了，这种东西竟然还叫中西自助早餐，太差劲了，第二天早晨就没去吃早餐了。反正也就这个价钱，要求不高短住的旅客可以考虑一下这家酒店的，还是不错的。', '短评打分': 5}
{'短评内容': '性价比很高哦', '短评打分': 3}
{'短评内容': '该酒店不是太好，房间空调不好，且早餐也不是太好。', '短评打分': 1}
{'短评内容': '距离火车站较近，交通十分方便，客房较为干净，保安也很尽责。早餐不错，但是去晚了就没得吃了。总的来说入住比较愉快。', '短评打分': 5}
{'短评内容': '环境还不错，交通便捷，距离火车站汽车站都很近！房间很宽敞！但卫生有待改进！', '短评打分': 3}
{'短评内容': '基本每月去常州都住这里,房间还不错,交通方便,早餐还不错.下次还去', '短评打分': 3}
{'短评内容': '还不错，离车站挺近的，价格实惠而且很值，早餐也挺不错，下次来常州还住这里。', '短评打分': 5}
{'短评内容': '每次去常州基本都在这里住，离火车站很近。环境还不错，价钱比较经济。', '短评打分': 5}
{'短评内容': '出了早餐需要改进意外，其它的都还不错................', '短评打分': 5}
{'短评内容': '相对而言，房间设施有待提高，枕巾稍微现破一点，但还是比较干净的', '短评打分': 5}
{'短评内容': '酒店有点旧，离火车站很近，随便住住不错', '短评打分': 3}
{'短评内容': '很不错的酒店，性价比很高，干净，还可以免费停车。', '短评打分': 5}
{'短评内容': '不错啊，性价比很高，还有双早餐，就是暖气不给力，这个天暖气调到30°，风量最大了，但还是没效果', '短评打分': 5}
{'短评内容': '上次来过一次、这次又来了、感觉还是那么好、不过设施是陈旧了点、不过蛮好下次再来！', '短评打分': 3}
{'短评内容': '网速慢得出奇，用的中央空调，竟然不能制冷，座椅上有恶心的斑迹。晚上还还会有人往门口的缝隙里塞什么饭店的点菜单，无语', '短评打分': 1}
{'短评内容': '电脑房网速慢的要死，连个网页都打不开。酒店说，因为住电脑房的人太多，没有办法。要调房，也可以，多拿钱，让你住个普通房', '短评打分': 1}
{'短评内容': '在这样的地段，这样的价格绝对超值，设施很不错，早饭相当好', '短评打分': 5}
{'短评内容': '第三次入住,早餐改在一楼的火锅店了,环境好很多,不过房间的毛巾有一条不是太干净,请注意改进.不过,整体上说很好下次还会去.', '短评打分': 3}
{'短评内容': '虽然楼比较旧，但是内部应该都有装修过，房间比较大，干净，服务还可以，早餐差了点。\n性价比高，离火车站就几步路，也比较安静。', '短评打分': 5}
{'短评内容': '浴室设备陈旧，房间地毯和椅子也需要跟换了。现在新招的前台服务人员的业务水平也有待提升啊\n\n', '短评打分': 1}
{'短评内容': '酒店地理位置不错,靠近火车站,周边有大润发超市,早餐实在一般', '短评打分': 5}
{'短评内容': '此酒店地理位置不错,靠近火车站,酒店设施一般,旁边有大润发超市,购物较为方便', '短评打分': 5}
{'短评内容': '当时定的国庆节的158的房间，可是没有了，免费升级，很不错。房间我认为很干净很大很不错，浴室也特别大。这个价位还含早饭，物超所值。我很推荐', '短评打分': 5}
{'短评内容': '性价比很高，交通方便，常州是一坐美丽的城市，下次还来', '短评打分': 5}
{'短评内容': '价格合理，性价比不错，环境也可以，一楼有餐厅，隔壁就是火锅店味道很好！关键是离车站近。不足的就是门锁，不是插卡的是感应卡，老是没反应，服务员也没办法。希望能换成质量好点的，不然开个门都要一两分钟，别人看的我还以为是做贼的！电视不是数字的，还是有线电视，节目数量有限画面还有雪花。最后就是关于前台入住登记的问题，居然不能使用驾照，说驾照不是有效的个人身份证件！晕倒。没带身份证的朋友要有准备，需要陪保安', '短评打分': 5}
{'短评内容': '性价比还高 住的舒适', '短评打分': 3}
{'短评内容': '火车站边上，交通方便，房间还不错。下次还会再去', '短评打分': 5}
{'短评内容': '距离火车站很近的，走路就走不到十分钟，离去恐龙园的公交车站也很近，很方便的，居住环境非常不错，周边吃饭地方什么的很多，还算蛮繁华的。', '短评打分': 5}
{'短评内容': '第二次住,环境还不错,交通也方便,早餐种类少些,随便吃饱也行了', '短评打分': 3}
{'短评内容': '常州粤海宾馆 虽然干净 但显陈旧 茶杯中有一支还掉了一块  13323373553  张锋评', '短评打分': 3}
{'短评内容': ' 服务态度好，房间卫生。', '短评打分': 3}
{'短评内容': '酒店里车站很久只有5分钟路程交通方便，去市中心也很近，总体很好', '短评打分': 5}
{'短评内容': '每次都在这里，不多说了，配套设施要注意检修了，吹风机漏电，305080550', '短评打分': 3}
{'短评内容': '比较好找，离市中心远了点，坐车5站路，有早餐，还有大型停车场，还算不错，记得要选靠内街的房间，否则靠路边的会很吵，总之还值！要是价格能便宜点就更不错了，对面的宾馆108还送早餐哩！呵呵', '短评打分': 5}
{'短评内容': '挺不错的，环境挺好，离火车站近也方便，\n虽然从城铁站下来还是问了人才找到的，\n就是被单有点脏，被套还有破洞。。。\n', '短评打分': 5}
{'短评内容': '个人很失败的一次预订，首先是那张很高的酒店夜景照片，让我以为改店较高档，照片属实，但靠火车站，太嘈杂了，但离大堂门口仅几米就是火车站前的繁华马路，自驾过去进出都不好变道调头。安排入住的宾馆浴巾和毛巾都似麻袋片了，还没有脚垫，安排进去的5楼标间，空调老化到运转的噪音很响！早饭简陋呀，真后悔自己贪便宜了，', '短评打分': 1}
{'短评内容': '一如既往的舒适！！！会推荐朋友们入住的！~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店环境还不错，隔音好，就是浴室没有放地巾，容易滑，总体不错，还送双早 ', '短评打分': 3}
{'短评内容': '总体来讲，这个酒店在这个价位上来讲是很好的。房间里应有的都有，厚重的窗帘，橘黄的床灯，温馨的廊灯，给人一种很舒服的感觉。不过有两点建议改善：1中央空调控温能力不怎么好；2房间顶灯太暗了，亮一点的话会很好。', '短评打分': 5}
{'短评内容': '感觉不错！！还可以啊！！！', '短评打分': 3}
{'短评内容': '酒店不错，挺干净，早餐能吃饱，空间有点小…', '短评打分': 3}
{'短评内容': '＋环境不错。很好……', '短评打分': 3}
{'短评内容': '在常州市性价比很高，交通也非常便利，唯一不足的是当时酒店餐厅改造，早餐不是很好，但相信餐厅改造完就好了', '短评打分': 5}
{'短评内容': '出差偶尔住住还是可以的，说不上什么档次，就是还算方便。\n一个人的话建议睡大床房。\n酒店设施比较陈旧了，也没有什么风格。', '短评打分': 5}
{'短评内容': '很好很干净服务也好比想象中好', '短评打分': 3}
{'短评内容': '酒店房间还是挺大的，标间的床也挺大，不会让人觉得憋屈的感觉。。唯一的缺陷可能是浴室的洗澡间不是很好，洗完澡。。水都跑外面去了。。整个卫生间都弄的水，服务人员很周到，然后叫房间服务给打扫干净了', '短评打分': 5}
{'短评内容': '唯一缺点空调有点不制冷！！其他都挺好的！！！下次还会入住！！！~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店很好、巳入住', '短评打分': 3}
{'短评内容': '环境和设施较好，前台服务还可以，但早餐场地太小、比较混乱。原来的武进宾馆可是三星标准，继续努力吧！\n地理位置极佳，服务再上乘，会客源滚滚的。', '短评打分': 5}
{'短评内容': '地理位置很方便，离火车站很近，酒店虽然比较旧，但房间和卫生间都很干净，缺点是空调效果不好，而且无法调，早餐较差，去的不算晚了，也已经没什么吃的了，不过价钱很实惠，以后如果去常州玩还会住的', '短评打分': 5}
{'短评内容': '房间还行，空调太差，没效果…设施陈旧…也就这个价，前台服务不错！', '短评打分': 3}
{'短评内容': '每次都住这里，还好的。就是早餐太简单，吃了没胃口', '短评打分': 5}
{'短评内容': '位置很好，服务也很好，但是硬件设施过于陈旧，说是四星有点过于夸张了，也就是准三标准，性价比还是很高的', '短评打分': 5}
{'短评内容': '一切都比较满意。价钱也很合理。给90分。', '短评打分': 5}
{'短评内容': '还可以，比较一般的三星宾馆，设施都比较陈旧，好在价格也不贵。', '短评打分': 5}
{'短评内容': '酒店的被子 枕头有一股霉味！应该好久木有晒被子了吧！虽然是单人间但是能住两个人吧，可是为毛只准备一条浴巾呢？！总体来说还挺不错的！', '短评打分': 5}
{'短评内容': '住了好几次了 早上赶高铁的首选 交通挺方便的', '短评打分': 5}
{'短评内容': '还好了，性价比不错的，希望早餐再做好点。室内环境不错的，入住速度也很快', '短评打分': 5}
{'短评内容': '房间还可以，就是东西有点旧，早餐很差，少而且不好吃', '短评打分': 5}
{'短评内容': '不知道是最近天热了，还是当天前台的心情不好。很莫名奇妙的，一位女前台因为重开发票和我叫板~~~', '短评打分': 1}
{'短评内容': '酒店还是很不错的，离常州站就是几步路有机会还会入住', '短评打分': 5}
{'短评内容': '环境服务都很好，下次还会入住的，唯一的小问题是椅子坏了一张，坐着不舒服', '短评打分': 5}
{'短评内容': '酒店位置还不错，火车下来走5分钟就到了，房间一般，但价格便宜，二个问题：1、淋浴房的只能用蓬头，花洒切换不能；2、枕头非常不舒服，太硬太高。还有就是可能是天热的关系空调不够给力。', '短评打分': 5}
{'短评内容': '最近酒店好像开始考虑装修翻新了，是该再装修装修了。', '短评打分': 5}
{'短评内容': '服务态度一如既往，但是感觉酒店在硬件方面是要好好改善了', '短评打分': 5}
{'短评内容': '酒店不错,停车方便.只是早餐平平.有待提高.', '短评打分': 5}
{'短评内容': '酒店比较陈旧，前台服务不是很好，一百多的价格性价比还算可以了', '短评打分': 3}
{'短评内容': '离火车站很近交通很方便，周边吃的东西也不叫多，房间也很大', '短评打分': 5}
{'短评内容': ' 房间不错…就是空调不给力…总体还是不错的', '短评打分': 3}
{'短评内容': '  服务不错，房间挺干净的，浴室也不错，价格也合算。不错，值得推荐。', '短评打分': 3}
{'短评内容': '酒店太破', '短评打分': 3}
{'短评内容': '酒店位置不错，服务态度也很好，虽然设备有些陈旧，下次还来住。', '短评打分': 5}
{'短评内容': '酒店还不错，就是早饭供应不太够，去的时候都没有了，空调也不太够力，被子在夏天太厚了！', '短评打分': 5}
{'短评内容': '价格实惠 环境不错 交通便利 火车站步行 市中心起步价 服务到位 ', '短评打分': 5}
{'短评内容': '一般般，还可以，不过就这个价格，出差住夜晚也行了。', '短评打分': 5}
{'短评内容': '离火车站非常近,去恐龙园温泉打车才18元.非常方便!', '短评打分': 5}
{'短评内容': '房间性价比高，干净，设施全。很不错', '短评打分': 3}
{'短评内容': '环境卫生都不错  就是再有个晾晒衣服的就更好了', '短评打分': 3}
{'短评内容': '环境一般，档次不算高。适合经济实惠的旅客。不过用来招待朋友就不太好了。一分价钱一分货吧。', '短评打分': 1}
{'短评内容': '房间面积还是可以的，就是早餐有点bad，其他还可以，离火车站比较近方便坐车，我们住的大床房只提供一条浴巾，不过你可以向他们要的。貌似其他酒店的大床房都会提供2条浴巾吧。呵呵', '短评打分': 5}
{'短评内容': '外面看起来比较旧,但里面比较新,价格实惠,总体比较好', '短评打分': 5}
{'短评内容': '酒店各方面还行，靠近火车站汽车站，交通也方面，去市中心也近，打的起步价！在房间里睡觉也挺安静，外面的嘈杂声也小，睡觉也安稳！', '短评打分': 5}
{'短评内容': '环境不错 设施挺全的 前台服务也很好 下次还来住', '短评打分': 5}
{'短评内容': '酒店还行，早餐中等，对得起房价', '短评打分': 3}
{'短评内容': '  房间还可以  比连锁的要好多了   宽敞', '短评打分': 3}
{'短评内容': '设施很规范，标准两人间加了一张床和一份早餐一共286，还可以吧。美中不足就是早餐差了些，还不如快捷酒店。', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '难得比较便宜又好的酒店，值得推荐。\n靠近火车站，去南大街也不远', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': 'hao   hao  hao   hao hao   hao hao   hao hao   hao hao   hao hao   hao hao   hao hao   hao ', '短评打分': 5}
{'短评内容': ' 房间挺好，比较宽敞，服务也好。', '短评打分': 3}
{'短评内容': '环境不错，住的也比较舒适。但是浴巾都破了，该换新的。电脑桌边的椅子搬动比较费力，竟然伤了我的脚，比较郁闷', '短评打分': 5}
{'短评内容': '性价比较高，价格比较能接受，环境还可以，交通比较方便', '短评打分': 5}
{'短评内容': '这个档次对得起价格，放在几年前是个不错的酒店，不过陈旧也是一种韵味。\n美中不足的是地毯实在太旧了点，较多污迹。', '短评打分': 5}
{'短评内容': '设备是老一点，但管理还是不错，性价比高，在车站附近的首选', '短评打分': 5}
{'短评内容': '交通，环境都还不错，就是早餐去晚点几乎就没什么吃的了', '短评打分': 5}
{'短评内容': '前台妹妹态度很好，我的房间在6楼，内部陈设还是不错的，沙发很好，窗台很大，适合情侣入住，蛮有气氛的哈。。。但，吃饭极不方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境房间还不错，符合三星标准。但是预订房间的时候碰到一些麻烦，酒店管理似乎有些问题。', '短评打分': 5}
{'短评内容': '条件不错，宽敞明亮，比起其他地方同价位的酒店要高档许多，顶一下', '短评打分': 5}
{'短评内容': '还不错哦  酒店位置不错  房间也大的  这样就可以了  价位也合理', '短评打分': 5}
{'短评内容': '还行吧。就是空调效果有点差啊。希望酒店可以好好的改进下！！！！', '短评打分': 5}
{'短评内容': '综合性价比比较高，不足之处早餐差、设备老化。', '短评打分': 5}
{'短评内容': '综合性价还是可以的，但不足之处早餐差，设备老化。', '短评打分': 5}
{'短评内容': '还不错。挺干净挺大的。挺舒服的。。离市中心有点小距离\n', '短评打分': 5}
{'短评内容': '条件不错，离车站蛮近的。。。。走的话3分钟，下次还住那', '短评打分': 5}
{'短评内容': '设施陈旧，价格便宜。 ', '短评打分': 3}
{'短评内容': '对得起这个价格，就是房间的下水道不是很好。', '短评打分': 5}
{'短评内容': '很不错，性价比很好', '短评打分': 3}
{'短评内容': '设施旧了点空调声音大制冷差，入住前台服务还行，入住发现电视没信号，打前台电话，前台说让服务员来看，也没有来，早餐一般…', '短评打分': 3}
{'短评内容': '地理位置挺好，靠近车站，\n性价比较高，不错，推荐', '短评打分': 5}
{'短评内容': '洗澡水很大，有吹风机挺方便的～就是不开空调唉！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境还可以，比较满意。。。。环境还可以，比较满意。。。。', '短评打分': 5}
{'短评内容': '交通方便，到常州火车站和汽车站都可以，不错！', '短评打分': 3}
{'短评内容': '房间蛮大，还好', '短评打分': 3}
{'短评内容': '如名字一样,港式装潢的酒店,电视节目也可观看凤凰频道.\n\n大床很大,但是房间整体包括浴巾,被子显得脏不干净.早饭极其难吃.\n\n不过地理位置确实优越,离火车站和长途汽车站走过去不远.', '短评打分': 1}
{'短评内容': '很好，房间很大，离市中心近，离汽车站更近，\n周边吃的很多，', '短评打分': 5}
{'短评内容': '位置不错，交通方便，这个价位还是很值的', '短评打分': 3}
{'短评内容': '房间装饰很好  就是不隔', '短评打分': 3}
{'短评内容': '房间够大,有浴缸蛮好的.价格值.\n', '短评打分': 3}
{'短评内容': '就是比较老了。开了很多年了。以前好像叫粤海吧。不知为何现在变成粤海之星了', '短评打分': 5}
{'短评内容': '不错，很实惠。', '短评打分': 3}
{'短评内容': '交通方便，房间大，也比较整洁。前台服务态度好，属于性价比高的酒店。', '短评打分': 5}
{'短评内容': ' 交通满方便的，就是服务态度有点。本来晚上出去之前问客房要了个创可贴，说去找，马上送来的。后来等了15分钟，催了两遍，等不及了去前台问的时候，告知酒店没有创可贴，我说没有不会早点通知啊，我好早点出去买。唉', '短评打分': 5}
{'短评内容': '真的比较的不错的   很好 推荐大家来哦     服务很好  离火车站也不远', '短评打分': 5}
{'短评内容': '酒店离火车站很近 走路5分钟就到了 挺好的 下次去还住这里 ', '短评打分': 5}
{'短评内容': ',房间挺大，但设施比较旧，服务不好！', '短评打分': 3}
{'短评内容': '很不错的 推荐的', '短评打分': 3}
{'短评内容': '酒店挺好，很方便，而且服务也很好的！', '短评打分': 3}
{'短评内容': '给亲戚定的 她说还不错 就在火车站旁边 就是空调不够暖', '短评打分': 5}
{'短评内容': '感觉早餐比以前有点差了，去的晚都已经冷掉了', '短评打分': 5}
{'短评内容': '房太老，早餐差，前几年的人气没了。价格比同级高。', '短评打分': 1}
{'短评内容': '附近有家乐福大超市，比较方便，离火车站也不大远，交通还比较方便。', '短评打分': 5}
{'短评内容': ' 酒店挺好的 干净 舒适', '短评打分': 3}
{'短评内容': '下次出差常州还是会入住粤海的...........', '短评打分': 5}
{'短评内容': '离火车站很近，出行方便。其他也没什么说的，快捷酒店，就是这样啦', '短评打分': 5}
{'短评内容': '不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '非常不错的宾馆，性价比很高的。出行很方便的。', '短评打分': 5}
{'短评内容': '还好。就是遇到突击检查的，很扫兴。第一次碰到这样的事情，一点都不想做了。', '短评打分': 1}
{'短评内容': '离火车站很近，房间也很舒适，性价比不错~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店性价比较高，卫生也好，比较安静，就是早餐较差，没有什么东西吃，但是158元的房价也不错了', '短评打分': 5}
{'短评内容': '距离火车站很近，早餐不错。房间也比较整洁。不错。', '短评打分': 5}
{'短评内容': '交通便利，价格也还合适，配套设施有点老旧', '短评打分': 5}
{'短评内容': '酒店很好，淋浴水特别旺，床很舒服，就是电视频道不太多。', '短评打分': 5}
{'短评内容': 'wedf;lkjhgvtygbhgrtfhgnjhdgbvghnfgtrjfbvcbvcbcdeszgd', '短评打分': 5}
{'短评内容': '酒店很好，淋浴水特别旺，床很舒服，就是电视频道不太多。', '短评打分': 3}
{'短评内容': '一共7间', '短评打分': 3}
{'短评内容': '服务不错，交通方便，卫生也还行，就是设施旧了一些..', '短评打分': 5}
{'短评内容': '地地毯确实不干净 不过房间不错有窗 总体不错的', '短评打分': 3}
{'短评内容': '酒店不错，值得再次入住交通便利，装修风格不错，洗手间很大、', '短评打分': 5}
{'短评内容': '环境不错，市口也很好，每个星期来都是住这里，快成我的“家”了，嘿嘿！', '短评打分': 3}
{'短评内容': '环境一般，服务还行，管理太差，半夜三更，太吵，隔音太差，2点以后一晚没睡，对房间的客户管理实在太差，让人无法入睡', '短评打分': 1}
{'短评内容': '还算干净的就是浴巾什么的比较老了，早饭还行吧', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '服务很快捷', '短评打分': 3}
{'短评内容': '很不错的酒店，服务很热情，地域非常好，值得推荐入住！', '短评打分': 3}
{'短评内容': '酒店较安静，交通方便！就是房间不干静地毯很脏！', '短评打分': 3}
{'短评内容': '房间还行，早餐实在是太差了，不知酒店怎么安排的，连盘、碗都没准备好，还很多事缺口的。', '短评打分': 1}
{'短评内容': '环境不错，比较清静.工作人员服务热情周到.赞一个！', '短评打分': 5}
{'短评内容': '房间不错，指的入住，服务热情，很好！以后威会常住！', '短评打分': 3}
{'短评内容': '空调有点不足', '短评打分': 3}
{'短评内容': '位置不错，离火车站很近，但是暖气很烂，而且热水水流很小。', '短评打分': 5}
