{'descr': '创很大，很舒服，很安静', 'star': 5}
{'descr': '价格很优惠，就是房间比较难订，另外就是卫生间不是很好。', 'star': 5}
{'descr': '找了半天找不到住的地方，后来发现了清沫，确实是给我们提供了方便', 'star': 5}
{'descr': '唯一的方便就是离中央门汽车站很急，20米的样子就到候车大厅了。但是洗手台坏掉，床单和被子比较潮湿。设施很一般，房间窗户是全封闭式的，无法换气、透气。房间稍有气味。和普通的小旅馆差不多。148元一晚这样的标间有点贵了。提供免费双早7点钟才开始，没来得及吃。也就凑合着住吧。', 'star': 5}
{'descr': '酒店位置交通较方便,但房间小,不干净,隔音不好,外面噪音大,送的早餐只有馒头小面包粥和咸菜鸡蛋,吃不饱,不值这价钱.', 'star': 3}
{'descr': '缺点：1、窗户是落地窗，不能打开换空气！2、刚去时前台接待的服务员态度很差，一副爱理不理的样子，服务员没有制服，这种态度和衣着不像连锁店的样子！3、隔音极差，晚上睡觉别说打呼噜了，翻个身都能听的一清二楚！4、空调不知道几百年没清洗过了，开了1个小时，不断的从里面飞出黑乎乎的东西散落在床上！ 优点当然也有，一是就在中央门汽车站旁边，坐汽车到南京的话住宿方便，二是有双份早餐，虽然不咋地，但有胜于无', 'star': 1}
{'descr': '借用了厨房热了菜。  很温馨的感觉，以后还会住', 'star': 5}
{'descr': '浴缸很意外 房间没有窗户 反正还算是可以的', 'star': 5}
{'descr': '隔音不行，位置到是很不错，便捷', 'star': 3}
{'descr': '环境不太好，但宾馆条件还不错。值得入住。', 'star': 5}
{'descr': '酒店价格实惠,房间较小,但还算干净,就是前台服务人员的服务态度太差.', 'star': 5}
{'descr': '＋房间过的去，窗户不给力啊。', 'star': 3}
{'descr': '这个酒店对于我来说有两个优点一是离长途汽车站很近，购票方便。二是马路对过有必胜客，吃饭方便。\n酒店还算干净，就是因为一楼餐厅的垃圾箱停在楼里面，因此楼里的味道非常不好。屋里还凑乎。', 'star': 5}
{'descr': '离汽车站很近，价格公道，但是条件很差，早饭很让人郁闷！', 'star': 5}
{'descr': '交通位置还是比较方便的，就是房间太小了，价格也比较高，可能南京都是那样的价格吧，有机会还是会入住的。', 'star': 5}
{'descr': '  宾馆没有预留房间,系临时调度的,且房间顶蓬有个大洞。服务还算周到。', 'star': 3}
{'descr': '不错的环境，很清雅，价格也很公道！', 'star': 3}
{'descr': '太旧了~早餐太差了~也没电梯~同样时间段不同的价钱都住到准三星的宾馆了。。（准三的价钱才98）说能上网~其实不能上网', 'star': 1}
{'descr': '感觉很好，价格适中，还有早餐，还可以送到房间里，', 'star': 5}
{'descr': '交通还算是方便，去车站，城隍庙，外滩，都方便，服务态度不错。', 'star': 5}
{'descr': '感觉还可以，反正过几天还要过去住的！！！！', 'star': 5}
{'descr': '比湖南路的清沐差多了。。比上次去更差了。。。淋浴龙头坏得。马桶坏得。连墙壁也有洞= =！！！！！', 'star': 1}
{'descr': '不怎么好，尤其是看起来有点破旧，有点不值。', 'star': 1}
{'descr': '服务挺不错的，以前就住过，物美价廉，以后还会选择清沐', 'star': 5}
{'descr': '我订的是标准间A 窗户是打不开的 和没有窗户一样 没有电梯 周围买水都很不方便 设备很陈旧 后悔当初应该订如家的  确实比不了啊  唯一的好处离汽车站近', 'star': 1}
{'descr': '还不错，比想象中的要好，交通很便利，楼下就有公交站牌，房间也挺干净的！', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '选这里主要为了方便。其他好处就是，价格实惠。', 'star': 1}
{'descr': '从居住情况的硬件基本还可以，服务也比较好。满意。', 'star': 5}
{'descr': '设施过旧，床上用品感觉不干净，服务态度还好', 'star': 3}
{'descr': '地方很好，服务也很好！就是靠近汽车站早上有些吵。', 'star': 3}
{'descr': '房间不错价格合理好', 'star': 3}
{'descr': '楼道环境差 房间小 电视还是纯平的 整体不太好', 'star': 1}
{'descr': '还可以吧，早餐有点简陋，不过交通蛮方便~', 'star': 5}
{'descr': '噪音大，卫生差，中午退房到12点人情味不够。', 'star': 1}
{'descr': '还可以', 'star': 3}
{'descr': '虽然隔音效果真的不太好，但总体来说还行~', 'star': 5}
{'descr': '性价比一般，设施有点旧但服务不错，交通也方便。离办事的地方近', 'star': 5}
{'descr': '有点旧,youdianjiu有点旧,youdianjiu有点旧,youdianjiu有点旧,youdianjiu有点旧,youdianjiu有点旧,youdianjiu', 'star': 5}
{'descr': '马马虎虎吧，毕竟也只有这个价格，但里面设施有点点旧，电视只能收几个台', 'star': 5}
{'descr': '就在中央门汽车站内，挺不错的，如果到南京不想多跑路，就住在这里挺不错的！', 'star': 5}
{'descr': '服务很好，很热情，基本上是有求必应，房间很宽敞，布置的很温馨，舒适度很好', 'star': 5}
{'descr': '酒店位置不错，距离地铁站10分钟左右，距离外滩也不远，房间硬件一般，住宿条件还好', 'star': 3}
{'descr': '电视不错，蛮大的，频道很多，房间设施还可以，卫生条件一般，住宿环境还行', 'star': 5}
{'descr': '房间设施还可以，电视不错，频道蛮多的，前台接待不错，还算热情周到，其他都很一般', 'star': 3}
{'descr': '比较一般的酒店，服务还可以，如果出行可以前台订车的，房间卫生条件一般，周边出行还算方便些', 'star': 3}
{'descr': '感觉很一般的酒店，房间卫生条件还好，舒适度不错，前台服务很好，挺热情的', 'star': 3}
{'descr': '酒店地理位置不错，靠近黄浦江，距离外滩较近，环境很好，房间装修的很豪华，物超所值的酒店', 'star': 5}
{'descr': '房间有些小，但是硬件设施很充足，酒店位置很好，走500米就到地铁站了，出行方便', 'star': 5}
{'descr': '环境还是比较差被子感觉也不舒服房间味道也比较大，位置倒是很方便离汽车站很近。服务倒还可以，价格还不错但是和酒店的环境感觉也不是太匹配。', 'star': 1}
{'descr': '房间墙有点脏，最主要是前台服务员晚上10:00左右开始打电话骂街，骂了有一个多小时！素质太低了！', 'star': 1}
{'descr': '靠近中央门车站方便是方便，但是环境很差，屋里味道也很浓，不会再去住。还不如去各燕路的金一村。', 'star': 1}
{'descr': '还不错。。。很干净 就是隔音不是太好~\n离火车站汽车站都很近 很方便~~\n服务态度不错~', 'star': 5}
{'descr': '房间很小，设施有点陈旧，位置不错，性价比低。', 'star': 5}
{'descr': '房间没窗户感觉很闷，厕所不停的有滴水的声音，还有小虫子飞来飞去', 'star': 5}
{'descr': '不错嗯。', 'star': 5}
{'descr': '价格是比较便宜。我说预订价和挂牌价一样嘛！服务员解释说我的是A房，但实际是B房和预订的一样。这个解释太虚，是什么就什么嘛。冲水马桶阀门关不紧，漏水，噪声影响，再加上蚊子咬，一晚上没有睡好。', 'star': 3}
{'descr': '价格是比较便宜。我说预订价和挂牌价一样嘛！服务员解释说我的是A房，但实际是B房和预订的一样。这个解释太虚，是什么就什么嘛。', 'star': 3}
{'descr': '蚊子或小虫太多，没睡着，酒店应该杀杀虫。', 'star': 1}
{'descr': '地理位置十分优越，但是房间设施比较旧。。。\r\n房间的面积也没有网站描述的18-20平米那么大……', 'star': 5}
{'descr': '有窗就更好了，交通还可以，价格还是不错的，还是比较满意的', 'star': 5}
{'descr': '服务比较差，，房间也比较小，就是地点还行，周围吃的地方蛮多的 ', 'star': 5}
{'descr': '不干净、没浴帘，一洗澡就一厕所水。位置不错！', 'star': 3}
{'descr': '怎么说呢。位置好的爆，离南京站特别近，周围还有汽车站，总之呢，是fantastic 但是上楼没有电梯，楼梯又特别脏，放垃圾什么的，刚刚以为是私人小宾馆呢，没给我恶心死。但是上了楼，进了房间，发现是落地窗，除了墙皮受潮变了颜色、地板看起来不干净、洗手间的喷头没有浴帘意外，其他还算可以吧……价钱够便宜的了。推荐吧！', 'star': 5}
{'descr': '空调制冷效果不怎么好，其他不错哦，服务也很到位', 'star': 3}
{'descr': '该宾馆卫生差 ,卫生间更脏,马桶坏,无人修,室内电话没有,夜晚不安静,早餐简直不能吃.', 'star': 1}
{'descr': '就是早餐简单了，且只送到房间。\r\n竟然没有发票，等了一小时才有。', 'star': 5}
{'descr': '空调不太好啊，制冷效果实在不敢恭维，其他的还不错', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '明明住两天，结果第二天我出门在回来时房卡竟然不能用了，总台收我两天钱，差点我就只住一天。\r\n房间与所提供的图片完全不符合。', 'star': 1}
{'descr': '还不错。。就是有点旧。。。', 'star': 5}
{'descr': '房间很闷很湿', 'star': 1}
{'descr': '对于这个价位的酒店来说，房间大小还是不错的，另外，整体布局感觉很舒服，卫生间空间也很大，还有双早和免费宽带服务', 'star': 5}
{'descr': '对于坐长途车的人来说  ，地理位置倒是很好的，就是候车室的楼上。\r\n但是，性价比很不好，前台服务的态度也是爱答不理的，房间的味道很重，墙上也很脏。\r\n洗澡的地方没有隔板，地面比较滑。', 'star': 1}
{'descr': '服务不错', 'star': 5}
{'descr': '酒店就是在整个候车站的上面的房间也不好而且还没有窗户周围的环境确实很不好，里面的卫生和设施很一般，服务态度还不错，价格的话其实也是没有太大优势，很一般的酒店，下次出行的时候我想会换一家酒店了。', 'star': 1}
{'descr': '房间还是挺干净的，设施感觉有些简单了不过都是挺实用的，服务态度也还可以，不过早餐提供不是太好，位置反正出行也还可以不好也不坏，价格其实还是有些偏贵了但是应该是因为当时那边有个什么会议之类的吧所以价格是偏贵了。其他都还不错。', 'star': 5}
{'descr': '不是最好', 'star': 1}
{'descr': '酒店位置很好，靠湖南路、狮子桥美食一条街，非常方便，房间里面设施清爽，比较简单，服务人员比较热情，我去的时候早就把房卡开好了，第一感觉很好！早餐是特别值得表扬的，虽然地方不大，但是品种比较齐全，吃的很舒心。节日期间涨价了，平时性价比还算比较高的，还是值得去的。但是房间隔音效果的确不好，走廊里的声音非常清楚。', 'star': 5}
{'descr': '房间装修很温馨，屋顶上方的圆形镜子加上圆形的大床，感觉很特别，卫生也不错。每种不足的是无窗的房间真的是太闷了，所以有股潮味。早点不怎么样。。这个价格和这个地理位置，。。。性价比还是不错的。', 'star': 5}
{'descr': '马马虎虎，不太干净，不过挺便宜', 'star': 1}
{'descr': '性价比挺高，撮合着住很合适。属于经济适用型酒店。', 'star': 5}
{'descr': '很舒适 靠窗的房间早上稍微有点吵 因为下面是个停车场 不过如果累了应该不会被吵醒', 'star': 5}
{'descr': '交通非常方便，服务态度很好，就是房间有点小，总体挺满意的。', 'star': 5}
{'descr': '早饭太简单 还不是自助的  住宿还可以 房间太闷', 'star': 5}
{'descr': '该酒店本人入住期间洗澡突然停水，用电话联系，电话坏的，头上的洗发露不能清洗，弄的又冷又脏，差点弄感冒了，这种现象我竟然遇到两次，哎！到服务台反映，没什么道歉的言语！！！', 'star': 1}
{'descr': '比较一般\r\n设施过于简单\r\n不过价格便宜', 'star': 1}
{'descr': '不错的酒店', 'star': 5}
{'descr': '不错，感觉很好！', 'star': 3}
{'descr': '吥諎', 'star': 5}
{'descr': '还是挺不错的酒店,房间打扫也很干净很舒适,服务态度也还行,位置还是挺好找的,性价比不错,挺好的一家酒店.', 'star': 3}
{'descr': '地理位置非常好,离汽车站和火车站都很近,出行很方便,但就是房间的设施不齐全有些简单了.', 'star': 3}
{'descr': '不错！', 'star': 5}
{'descr': '不错 前台服务挺好的  让人感觉有种回家的感觉', 'star': 5}
{'descr': '酒店的设施比较陈旧一点，但是还算是比较干净的，服务态度也还行，在这个附近来说算是交通比较方便的，如果还到这个附近办事，还是可以考虑的。', 'star': 3}
{'descr': '房间的被子跟床单根本不是一个颜色，我们的房间还有点漏水，早餐更是太简单了，感觉很一般吧！！性价比还是可以的！', 'star': 5}
{'descr': '这家不如别的几家好，应该还在装修，柜子什么都换了新的，可是地毯和墙面让人看了很反感，不是一般的脏~~\r\n因为住过别的清沐，所以觉得这家不太好~定淮门的就不错~', 'star': 1}
