{'短评内容': '地方好找，装修格调好，服务不错', '短评打分': 5}
{'短评内容': '装修的很有品位，但房间面积不大。水温不稳定，隔音效果也不好。', '短评打分': 5}
{'短评内容': '这家酒店客房比较安静，干净卫生，在繁华的南大街上，交通十分方便，赞一个......', '短评打分': 5}
{'短评内容': '塞纳河还行', '短评打分': 3}
{'短评内容': '已入住条件不错服务也挺好', '短评打分': 3}
{'短评内容': '酒店地理位置好地处西安市中心坐机场大巴方便但房费偏贵大堂象个杂货铺房间地毯很脏', '短评打分': 3}
{'短评内容': ' 大圆床很舒服，网速也很快，最主要还有免费电影看！', '短评打分': 3}
{'短评内容': '位置可以。对面就是顶级大牌。房间很大。装饰还可以。就是早餐差了一点。。不过送餐服务还是挺好。', '短评打分': 5}
{'短评内容': '感觉一般 ,还没有餐厅.大堂都没有.房间跟图片不一样.', '短评打分': 1}
{'短评内容': '好哦.就是进去感觉有点小..厕所很不错...................', '短评打分': 5}
{'短评内容': '酒店很有特色，房间也很干净，性价比较其他一些所谓老字号酒店高出一筹。', '短评打分': 5}
{'短评内容': '和图片相差较大，门面一点不像酒店，早饭是送到房间的，很单调没有水果，另外叫车的保安是猪头', '短评打分': 3}
{'短评内容': ' 蛮有欧洲风格的', '短评打分': 3}
{'短评内容': '卫生一般，第二次不会入住了，前台的速度也很慢 ', '短评打分': 1}
{'短评内容': '一般一般，除了园床没有太大的亮点，卫生真不好', '短评打分': 1}
{'短评内容': '感觉很一般，卫生比较差，唯一比较好的就是靠中心区', '短评打分': 1}
{'短评内容': '交通便利：近南門，近公交車站，附近有很多食肆，對面馬路有華潤萬家超市，距離美倫                      酒店只有15分鐘腳程，方便乘坐遊1往返機場\n房間：乾淨整潔，設備齊全，唯入住當天洗澡時，花酒接駁位突然鬆脫，熱水在我全無防備下突然好像大水柱沖出來，幸好没有大意外\n修理得好快，之後亦没有再出現問題', '短评打分': 5}
{'短评内容': 'xx比较安静，交通便利，只是价格略贵，总之还不错，大圆床很特别', '短评打分': 5}
{'短评内容': '很差，不会再次入住。房间很脏，面盆下水道堵塞，刷牙洗脸的水都在积在盆子里下不去，只好对着马桶刷牙。房间灯光设施不合理，没有床头灯，要不然就开大灯很亮，要不然就只有关掉，对于睡前有看书习惯的人非常恼火。关键是不整洁，清洁度很低，完全影响入住心情。除了圆床还是比较舒服，没有其他推荐了。', '短评打分': 1}
{'短评内容': 'Good location. Close to historic sites and landmarks. Close to foods. The hotel is a bit hard to find. The room is basic and not very clean. The carpet leads to bathroom is filthy and I find it very g', '短评打分': 1}
{'短评内容': '酒店位置很好，但性价比较差。住的是标间，很一般，地毯较脏或较旧显得脏，房间里有下水道的恶臭。早餐是定食送到房间（酒店应该没有餐厅），我订的是中餐，1小碗粥，3个鸡蛋大小馒头，2个鸡蛋，根本吃不饱。', '短评打分': 1}
{'短评内容': '不错~~环境很好~~也很干净~~我们住的是梵高的艺术房间，挺好的~有感觉~~圆形床也不错的~', '短评打分': 5}
{'短评内容': '装潢设计很用心，洁具很有品，小资的你可以选择看看！', '短评打分': 5}
{'短评内容': '真的很不错。很温馨。房内的无线信号也很好。', '短评打分': 5}
{'短评内容': '酒店风格很好  不是第一次住了。热水有问题，牙刷质量一般  太硬。早餐很好吃，最好品种能多些。\n这次住在中午退房的时候，查房超级慢，我对前台小姐说：查好了没！前台之前我就听着叹气，估计是工作上的事，态度很不好对我说：没呢，等等。我说：你催下。前台说：催了也没用 ，服务员比我们还凶。我说：服务员对你凶，你对客人啥态度，你对客人凶？ 她才挤了点笑说：我给你催催，不好意思。又等了半天，查好了 说我吃了客', '短评打分': 5}
{'短评内容': '装修风格独特，环境很好，很干净，但隔音效果不是很好。', '短评打分': 5}
{'短评内容': 'Feel很好。\n热水的问题果然存在,其他都挺不错的。', '短评打分': 3}
{'短评内容': '房子很有感觉~光线很好~窗外就是鼓楼~唯一缺点就是厕所的下水有点不好~有味', '短评打分': 3}
{'短评内容': '地理位置比较好，房间虽然不大，但是布局很温馨，很有艺术气息，洗手间的设施和用品看上去很干净，让人住的放心，以后还会去', '短评打分': 5}
{'短评内容': '设计蛮新颖 环境也很干净。但唯一一点不知道该说是好处还是坏处。冬天暖气实在开得太热了。。外面冷得呼呼的 里面热得像过盛夏一样。晚上睡觉能被活生生热醒。。= = 尴尬', '短评打分': 5}
{'短评内容': '这个酒店很不错，尤其是酒店的园床睡的很舒服，就是这个房型没有窗户，下次还去住', '短评打分': 5}
{'短评内容': 'niu bi aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa', '短评打分': 5}
{'短评内容': '该酒店临近鼓楼，交通方便，离回民街、湘子庙、老城墙也很近，价格合理，性价比高，尤其是大圆床很是舒服，不足之处在于我入住的房间里洗发水和沐浴露有点点发霉，还好自己有带，其他的都很满意，前台服务态度特别好。', '短评打分': 5}
{'短评内容': '不错，位置很好~就是屋子有点窄了！没大门一楼是酒窖', '短评打分': 5}
{'短评内容': '还不错，酒店房间设计很有新意，但不足的是豪华单人房的窗户面对的是墙壁', '短评打分': 5}
{'短评内容': '是一个很不错的酒店，装修很特别狠有艺术感，每一个物件都不同于别的地方，很新颖，大圆床很特别，价格也不贵，下次一定还来这住！', '短评打分': 5}
{'短评内容': '非常好的酒店，值得一去，尤其是那个两米二的大圆床很爽', '短评打分': 5}
{'短评内容': '环境优雅,具有艺术气息,舒适、服务到位。', '短评打分': 3}
{'短评内容': '不错，很有感觉的一家酒店。以后还会继续入住。', '短评打分': 5}
{'短评内容': '距离钟楼比较方便，圆床很好，隔音效果很差。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，距离钟楼几百米，房间环境也舒适，都说好的，我就说2个小缺点1：酒店临街，所以房间外有一点点吵，另外就是打车没有想象中那么容易！', '短评打分': 5}
{'短评内容': '位置还不错，装修挺有特色，比较舒适的............', '短评打分': 5}
{'短评内容': '差差差差差差差差差差差差差差差差差差差差', '短评打分': 1}
{'短评内容': '酒店房间比较小，但是住酒店房间大小并不是很重要，毕竟花的钱不多。另外，酒店的装横风格很舒服，各个细节还是考虑的比较周到的。服务员很热情，就是服务台在一个酒庄里面不大好找。', '短评打分': 5}
{'短评内容': '已入住。', '短评打分': 3}
{'短评内容': '房间不大，冬天卫生间很冷，好看不实用，房间门铃超响，整层楼不论哪间有人按铃，都能把你吵醒', '短评打分': 5}
{'短评内容': '位置还好~~~就是没有空气清新剂~~~如果要入住的朋友尽量选楼层高些的 不然低楼层走廊有饭菜味道~~', '短评打分': 5}
{'短评内容': '大圆床感觉不错，就是整体面积感觉偏小了点', '短评打分': 5}
{'短评内容': '国庆期间门口的路很堵，酒店的热水系统互相干挠得厉害，忽冷忽热，大人还能躲开，烫得四岁的儿子哇哇哭，总台态度很好，可是没有解决问', '短评打分': 5}
{'短评内容': '很有艺术范的酒店，但是前台服务需要加强。大圆床非常棒，很舒服，软硬适中，墙上的液晶电视可以活动，非常方便在床上看电视，还可以点播喜欢的节目。卫生间以红色为主，还扎眼，洁具是美标的，还算上点档次。大堂一层有一部分是酒窖，这点感觉不好，给人感觉不务正业，酒店前台占了1/4，酒窖就占了3/4，这点不好。 ', '短评打分': 5}
{'短评内容': '各方面还好，就是圆床在门旁边有些不适应，觉得怪怪的。', '短评打分': 5}
{'短评内容': '很有特色的酒店，大床房是圆床，我们住的房间是泰戈尔，离古城墙很近。大堂有点小，有个酒窑，早餐是套餐，我们没要。', '短评打分': 3}
{'短评内容': '这家酒店艺术气质很浓，适合小资的人住，离永宁门非常近，属南大街中心繁华地带，还不错！', '短评打分': 5}
{'短评内容': '酒店非常有特色。房间格局比较时尚。体现了浓浓的艺术氛围。酒店干净舒适。个人比较喜欢。', '短评打分': 5}
{'短评内容': '环境，交通都很好，特别喜欢那个大圆床，睡的超舒服啊。装修及布置都蛮好看的。就是水偶尔会变得很烫，但就几秒钟。值得入住，下次我还会选择这家酒店。', '短评打分': 3}
{'短评内容': '环境非常好，交通也很方便，电视还可以点播。喜欢这个大圆床，睡的很舒服。就是水偶尔会变的很烫，不过就几秒钟，整体都很好。服务也很好。下次来还想住。', '短评打分': 5}
{'短评内容': '这个酒店位置非常好，服务态度也很好！因为改变行程，原预备住二晚，只住了一晚。很好。', '短评打分': 5}
{'短评内容': ' 房间布置不错，就是空间略显小，还会再入住', '短评打分': 3}
{'短评内容': '前台服务员态度不友好，表情冷漠。房间忒小，隔音效果很差。', '短评打分': 1}
{'短评内容': '位置好，新开酒店设施较新，圆床舒服，就是桌子小了点，用电脑办公的时候地方太窄。', '短评打分': 5}
{'短评内容': '无线上网挺方便。离钟楼很近。我到的时候没有我订的单人间了，给了我标间。作为补偿，提供免费早饭，也可以了。从机场坐大巴过来到钟楼附近，直接步行过来就可以，挺方便的。', '短评打分': 5}
{'短评内容': '地理位置和好，酒店风格、房间设备和服务都不错，不过房间较小，没有衣柜，洗手间地漏有味道~ 性价比一般吧', '短评打分': 5}
{'短评内容': '订的是豪华单人间酒店安排的是豪华双人间，承诺第二天给换回单人间，但是第二天也没有房间，找到酒店协商后给我减了房价，结果还满意态度也很好，酒店还是需要加强管理。', '短评打分': 5}
{'短评内容': '很好,房间布置和设计很有特点,细节上也不错,配备的一次性用品也好于同档次的酒店,喜欢红酒的人就更满意了，总的来说性价比很好,如果能配上沙发就更好了，下次还会入住。', '短评打分': 5}
{'短评内容': '很好很干净，我住了20天，感觉像家一样了', '短评打分': 5}
{'短评内容': '非常棒的酒店，可以说是在西安的一大惊喜发现。经常经过，但是不知道它其貌不扬的表面下却有着不错的内在。这次无意中的一次入住促使我将会成为这家酒店的常客，我住的是玛歌酒庄，这个房间貌似比较大一点，格局相对要有空间感，房间的IPTV让我感觉很亲切，跟上海的一模一样，卫生间要赞一个，小而不促狭，通过感不错，但是浴室门只能往里开。还有就是空调实在是不给力，不盖被子都会觉得热，尤其是被子还非常厚，但是到后半夜', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '酒店很好，很有艺术气息，再结合红酒文化，有新意。特别是电视节目丰富，房间不大，但安排合理，不觉得局促，如能赶上临街的房就更好了，（我正好赶上） 管理服务蛮到位，很喜欢。推荐！！！', '短评打分': 5}
{'短评内容': '不错，我都是那的老顾客了，我一直都去那里住的。', '短评打分': 5}
{'短评内容': ' 较好。', '短评打分': 5}
{'短评内容': '酒店风格独特，地处市中心，环境优雅，唯一不足就是房间太少，一共只有35间房，去的时候刚好是旅游旺季需要的房间没有腾出，最后调换了一个单人间，还好是2.4米的圆床，一家三口能够住下，整体感觉不错', '短评打分': 5}
{'短评内容': '很有艺术气氛', '短评打分': 3}
{'短评内容': '非常高，性价比很高', '短评打分': 5}
{'短评内容': '真的不错', '短评打分': 5}
{'短评内容': '还不错&#183;&#183;下次可再来看看&#183;~', '短评打分': 5}
{'短评内容': '一级棒，强力推荐', '短评打分': 5}
{'短评内容': '酒店很有个性，很喜欢，如果早餐再改进一下，就更好了。', '短评打分': 5}
{'短评内容': '酒店的床非常舒服，卫生较好，但是洗澡水忽冷忽热，希望改进。', '短评打分': 5}
{'短评内容': '很好的地方', '短评打分': 3}
{'短评内容': '确实很好，很有氛围，下次还住这里啦。', '短评打分': 5}
{'短评内容': '离德福巷很近,回民街步行稍远,但还可以接受,服务态度很好.只是早6,7点钟起床后水不怎么热,早上空调也不冷,显得房间较闷.空调声音有点儿大.电视节目很多.手持花洒出水会突然变热,要当心,大花洒就没这种情况.大圆床还是很舒服的.', '短评打分': 5}
{'短评内容': '市中心，装修很有风格。服务水平比较一般、没有早餐送。总体尚可。', '短评打分': 5}
{'短评内容': '位置非常好了，属于市中心繁华地段，属于比较有个性的酒店，服务水平也很好，只可惜房间受到户型的限制显得比较窄', '短评打分': 5}
{'短评内容': '地理位置不错，房间也比较舒适，只是门口有一个bellboy傻乎乎的，问他回民街在哪儿都不知道，这么著名的地方当地的都应该知道吧，愕然~~~~', '短评打分': 5}
{'短评内容': '设施比较差，服务很不错', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '住了一天正好碰到停电,有点郁闷\r\n\r\n其他还可以', '短评打分': 1}
{'短评内容': '最后一天因为周末人多的关系服务明显差了很多，要什么没什么，送来的吹风机都是坏掉的。。。', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '住了两天，还不错，值得去住', '短评打分': 5}
{'短评内容': '这里的圆床间尤其舒服，地理位置很不错！！酒店的艺术气息不错特别是走廊！', '短评打分': 5}
{'短评内容': '酒店位置相当好，设计的也很别致。但是明显服务跟不上：我们晚上通知服务员第二天一早6点半叫早，因为我们要参加一个旅行团的活动，可是直到7点半服务员才想起来打电话叫我们，差点延误了行程，后来与旅行团协商我们才赶上了。房间里的水几天都没有，说是发完了，那至少通知一下呢。空调始终是不热的，也打不热。我们住的房间，整个房间只有巴掌大的一片镜子。。。。。。。', '短评打分': 1}
{'短评内容': '比较浪漫,适合带女朋友或老婆去住,如果服务员打扫卫生能更及时更干净些,每天记得给房间补两包咖啡和红茶,人气应该更高', '短评打分': 5}
{'短评内容': '标间很经济，房间不大但也不显得局促，干净舒适\r\n服务员都显得很有礼貌，比较专业', '短评打分': 3}
{'短评内容': '豪华观景套房不错，大圆床很舒服，夜景也不错\r\n就是临街，晚上吵一些。沙发休息区那里偏冷，没怎么呆过，有点浪费\r\n早餐价格偏高一点点，但是蛮好吃的 ', '短评打分': 5}
{'短评内容': '酒店装修很有特色，酒窖非常专业，服务态度也很好。但我住的房间临近卫生间的地毯有一米左右居然是湿的，明显浸过水没弄处理好。而且出去了三四个小时左右，再回房间发现有股烟味，不知道是怎么回事，窗户当时都关闭着。', '短评打分': 1}
{'短评内容': '装饰非常棒，就是房间数量太少。', '短评打分': 5}
{'短评内容': '我住的的是298元的单间，房间虽说不大，但特别干净，整个楼道和房间里都充满了浪漫气息，尤其是圆床，我第一次住，怎么翻身脚腿都不会伸出床外面，惬意极了。下次去西安，我还选择这家。', '短评打分': 3}
{'短评内容': '我住的的是298元的单间，房间虽说不大，但特别干净，整个楼道和房间里都充满了浪漫气息，尤其是圆床，我第一次住，怎么翻身脚腿都不会伸出床外面，惬意极了。下次去西安，我还选择这家。', '短评打分': 5}
