{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '酒店比较老,胜在交通方便.', '短评打分': 3}
{'短评内容': '酒店一般，服务态度不错，就是淋浴龙头不给力！', '短评打分': 3}
{'短评内容': '酒店前台的小妹态度很好，使我们一家一到千岛湖就有了良好的心情。（忘记名字了，8月11日下午5点左右值班） 还给我们免费升级到了商务房 酒店就在商业区中心 和著名的鱼味馆前后楼 购物吃饭很方便 当然湖景是没有了 算是性价比比较高的了 ', '短评打分': 5}
{'短评内容': '房间卫生较好，交通也方便，下次还会去住。\n不足之处是早餐较差，希望能够改进。', '短评打分': 5}
{'短评内容': '房间很干净，大小也合适，位置进出很方便，推荐。', '短评打分': 5}
{'短评内容': '该酒店交通方便，离广场坐车很近。标准房房间很大，装修也不错，显得很新，感觉很舒适。尤其是免费早餐的质量很不错，品种多，觉得真是物有所值！\n\n--------------------------------------------------------------------------------\n\n推荐', '短评打分': 5}
{'短评内容': ' 这里交通很方便，酒店服务员帮助联系车去森林氧吧，价格合适，司机人很好', '短评打分': 3}
{'短评内容': '前台小姐的服务态度挺好的，使人感觉很亲切。另外在前台就可以买到景点门票，而且还有折扣，挺方便的。', '短评打分': 5}
{'短评内容': '推荐噢，环境不错，设施还蛮新的。', '短评打分': 3}
{'短评内容': '酒店设施还行,冬天空调不够暖,早餐很差.希望加以改进.', '短评打分': 1}
{'短评内容': '该酒店交通方便，离广场坐车很近。标准房房间很大，装修也不错，显得很新，感觉很舒适。尤其是免费早餐的质量很不错，品种多，觉得真是物有所值！', '短评打分': 5}
{'短评内容': '房间条件很好，离开游玩点也很近，餐厅的饭菜口感太差', '短评打分': 5}
{'短评内容': '缺点：洗澡水流小，窗户锁头损坏无法上锁。优点：内饰很新，床单很干净，床很枕头都很舒服（枕头有点偏高，个人习惯）。', '短评打分': 5}
{'短评内容': '服务非常好，建议住九楼的商务房，那里干净又安静', '短评打分': 5}
{'短评内容': '交通便利。较好环境良好，餐厅用餐不佳，早餐较差。性价比高', '短评打分': 5}
{'短评内容': '很好很好 就是续订价格不稳定前后悬殊100多块钱，希望今后能够一如既往的保持价格稳定。', '短评打分': 3}
{'短评内容': '服务不错,保安的素质很高,能在旅客的角度考虑,谢谢他们.但是早餐差些.', '短评打分': 3}
{'短评内容': '非常好 就是房间价格不稳定 相差有点大 地理位置县城中心 很好找', '短评打分': 5}
{'短评内容': '感觉还行,保安的态度比总台的好', '短评打分': 5}
{'短评内容': '可以的 环境还行 早餐不咋地 地理位置好', '短评打分': 5}
{'短评内容': '外高桥的服务态度是很不错的，所处的地理位置是镇中心，交通便利。推荐大家住外高桥的商务标间，设施很齐全很干净。一般标间的性价比就不怎么高，楼层要住的高，四楼是歌舞厅，上次住五楼的一般标间吵死了都没法睡', '短评打分': 5}
{'短评内容': '服务非常好，酒店也很干净！', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '卫生和设施还不错就是在那个地方条件还是可以的，服务态度也还行，位置还行，酒店价格还是挺便宜的。', '短评打分': 5}
{'短评内容': '这家酒店感觉很陈旧，不管是大堂，还是房间里，都很陈旧的感觉，因为陈旧所以也看不出打扫过。酒店位置还可以，整体感觉性价比不是很好，下次不愿意住了。', '短评打分': 1}
{'短评内容': '对酒店比较满意，卫生环境都很达标，位置出行也比较方便，价格算是合理适中的值得推荐入住。', '短评打分': 5}
{'短评内容': '早餐很查，其他还可以', '短评打分': 5}
{'短评内容': '酒店还不错，干净整洁，离千岛湖游船码头非常的近.', '短评打分': 5}
{'短评内容': '设施有点旧，无性价比可言', '短评打分': 5}
{'短评内容': '酒店还不错，服务环境都好，干净整洁，位置也挺好的，离千岛湖游船码头非常的近，可以推荐一下', '短评打分': 3}
{'短评内容': '性价比有点高,卫生和服务做的还可以.其他方面都OK', '短评打分': 3}
{'短评内容': '服务员不够专业，不能上网，给我找了三次人，每个人都不懂怎么弄网络，', '短评打分': 1}
