{'短评内容': '不带早餐，不过边上很多小吃店', '短评打分': 5}
{'短评内容': '服务很好，房间味道有点大，只能看到到西侧的部分海景，没沐浴露，没浴巾，基本满意', '短评打分': 5}
{'短评内容': '第一次入住，感觉还不错，酒店靠近海边，又在高层，可以去尝试，还有老板人挺好。', '短评打分': 5}
{'短评内容': '挺好的海景房', '短评打分': 3}
{'短评内容': '酒店离海很近，但是内部装修有些沉旧，而且电视能看的频道不多，只有7～8个左右，希望能早点改进！', '短评打分': 3}
{'短评内容': '海景房，很不错。下次还会继续来，服务很好。', '短评打分': 5}
{'短评内容': '价格优惠，周边环境很美！距离栈桥、火车站等很近，交通便利。隔窗望海的感觉不错！', '短评打分': 5}
{'短评内容': '酒店很好，离海很近，服务很好，下次我还住该酒店。', '短评打分': 5}
{'短评内容': '环境卫生都不错，在青岛来说这个价位是比较合算的。昨天晚上去住已换成七天的房卡了，后期可能改成七天的，会涨价的说。。。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '海景很漂亮 早上晨光照在海面上 非常迷人 就是房间设施旧了点', '短评打分': 5}
{'短评内容': '宾馆太差太差太差太差太差太差太差太差太差太差太差太差太差太差太差太差太差太差太服务台在11楼，服务也差，住了2天卫生也不打扫后来住在惠国酒店很好，大家千万不要去雅海阁酒店因为它就是7天连锁店。', '短评打分': 1}
{'短评内容': '这家店非常差，比招待所还差，隔了一个月我才能写这个评论，楼道、墙角、垃圾桶周边、卫生间肮脏，我都不愿意回忆，这个价格和这个所谓的店子，让我一下对网上评论失去信任，性价比太低。', '短评打分': 1}
{'短评内容': '酒店地理位置靠近海边，周边环境较好，附近居民区卖的山东包子味道超好，不过酒店内部环境、卫生比较一般，但酒店经理人很热情。旺季价格有点小贵！', '短评打分': 5}
{'短评内容': '位置不错，交通也便利，但其他方面就真的不太好了，服务、卫生状况等都比较一般，如果要求不高凑合住住的话还行。', '短评打分': 1}
{'短评内容': '房间是帮客户订的，记得旺季时一间房要四五百。本以为应该不错，结果客户没有找到吃饭的地方，不是太满意，以后还是要考虑再好一些的。', '短评打分': 5}
{'短评内容': '我很气愤，这也配叫酒店。\n1：酒店没有大门，是楼道门,或者也许是从墙上掏的窟窿。门口有个扔下的马桶。整栋楼里只有几层是酒店，估计租的。\n2：楼道阴暗，掉墙皮，服务台的工作人员素质极差，退房时找给我一张两半的50元，让他换一张，特不耐烦，说，烦人。。我当时就急了。\n3：我定的3人海景房，进屋后，电话不能用，毛巾没洗，没有卫生纸，没有衣服架\n4：毛巾之类的，叫了3次才送来2条，说洗衣机坏了。', '短评打分': 1}
{'短评内容': '厕所有味,服务很好,经理非常热情,很实在,推荐了很多好吃的地方,确实不错', '短评打分': 5}
{'短评内容': '根本谈不上是酒店，条件极差！还敢标这样的价格，感觉上当。', '短评打分': 1}
{'短评内容': '位置不错,靠近还边,离栈桥、海滨浴场都比较近，到火车站步行也就10分钟，交通方便。但是，房间设施较旧。价格较高，可能旺季青岛就那个样子吧。', '短评打分': 5}
{'短评内容': '海景房视野不错，正对栈桥，就是房间和设施偏旧', '短评打分': 5}
{'短评内容': '酒店外观一般，客房还不错，服务很热情，离火车站很近，走路10分钟，还是很方便的！', '短评打分': 5}
{'短评内容': '还不错呀。海景房，就是房间设施稍差点，但还能接受。', '短评打分': 5}
{'短评内容': '位置很好，房间也不错。', '短评打分': 3}
{'短评内容': '\u300070分,睡得挺舒服\u3000服务一般', '短评打分': 3}
{'短评内容': '酒店设施等都只能属于家庭旅馆的性质，却非要对外宣称三星级，请大家注意，这是一个没有经过审批的三星，地理位置不错，其他都免谈', '短评打分': 3}
{'短评内容': '这不知道是我第多少次评论了，见前面的内容。宿舍出去玩，下了4个订单，所以评论就很多了。', '短评打分': 5}
{'短评内容': '总体还可以。不是正面对着海。但也还可以吧。离海特别近。下楼就是海边。不到100步。吃完饭可以散散心。也挺好。价格也算是非常便宜的。刚开始进去可能不适应。因为感觉有点潮。海边嘛。都是这样的。。呵呵。海风吹的很舒服', '短评打分': 5}
{'短评内容': '基本情况还不错，交通方便，离火车站近，而且去其他地方公交车也直接坐。条件正常，没啥问题。', '短评打分': 5}
{'短评内容': '位置不错，挺干净的', '短评打分': 3}
{'短评内容': '价格不便宜也不贵，应该是7天卖出去的，辈子，钥匙都是7天的标签，住过7天的应该知道啥感觉。房间还是相对来说不是太小。海景房有点扯淡，去了就知道，不要幻想。酒店不是太好找，可能需要问下人。', '短评打分': 5}
{'短评内容': '地理位置不错，有在房间能看到海景。酒店设施不好，卫生较差，服务员服务态度较差。', '短评打分': 5}
{'短评内容': '酒店挺干净的,晚上可以逛夜市。', '短评打分': 3}
{'短评内容': '较满意。', '短评打分': 3}
{'短评内容': '离青岛火车站很近，走过去2分钟就到，就在海边，打开窗户就看到大海，还是不错的。酒店下面就是滨海栈道···很方便看海', '短评打分': 5}
{'短评内容': '位置离火车站近，观海也较方便。酒店经理态度很好，但房间设施一般，较简陋，灯光暗。服务员服务质量差，从第一天去洗手间有烟头，三天后还在。洗澡脚垫一层泥样的东西。没有浴巾。说是酒店，但没有吃饭的地方。应改名为宾馆。用的是“七天”的钥匙牌。应该不是三星级的酒店。希望改善服务设施，提高服务质量。', '短评打分': 5}
{'短评内容': '毛巾太旧，浴巾没有，服务一般。', '短评打分': 3}
{'短评内容': '酒店位置好，交通方便，服务也不错。家庭套房看海景还是相当好的，但房间设施缺失，有的质量也差，标间还好些。希望房间设施能改善一下', '短评打分': 5}
{'短评内容': '酒店位置离火车站很近，1公里，走着就过去了。环境还可以，卫生条件也不错，海景房能看到栈桥，可惜天气有雾，隐隐约约的。基本满意，下次去青岛还可以住这家酒店。', '短评打分': 5}
{'短评内容': '房间不错，就是海景房有些偏，不过总体还是很好的', '短评打分': 3}
{'短评内容': '地点绝佳，出行方便。就是设施旧了些，不过200多元能住海景房，还是值得。', '短评打分': 5}
{'短评内容': '端午节前一天入住的，性价比高，晚上可以看到栈桥夜景，卫生也很干净，离火车站也很近。可以刷卡，总体很满意！', '短评打分': 5}
{'短评内容': '这家酒店卫生很差，苍蝇很多，浴巾也没有。\n服务人员也很不熟练，位置在一座高层楼的后面，门脸很隐蔽，也很尴尬，不大好找。\n还要到11楼办理。估计是某私人老板租下的这座大楼的部分楼层搞酒店。但是赚钱的心理太急切了，酒店设施和服务却跟不上，居然侵权使用7天连锁酒店的钥匙标志。\n不建议入住这家酒店。', '短评打分': 1}
{'短评内容': '位置不错，性价比挺高，可惜不提供浴巾，入住前需要注意哦！~', '短评打分': 5}
{'短评内容': '服务态度比较好，房间条件不太好，灯光暗。', '短评打分': 1}
{'短评内容': '实惠不过毕竟靠近海边，晚上海的声音很响，总体来说还算不错~！！', '短评打分': 5}
{'短评内容': '不错，整体地理位置和价格都满意，服务态度好，环境也还不错', '短评打分': 5}
{'短评内容': '老实说一般话 设施不太全，浴巾没有，空间倒是很大。', '短评打分': 1}
{'短评内容': '酒店离火车站其实很近，不用打车，服务员告知附近一当地饭馆，味道不错，赞一个', '短评打分': 3}
