{'短评内容': '非常优秀的老牌酒店，一直都很喜欢！', '短评打分': 5}
{'短评内容': '价格便宜，位置方便。内有泳池，保龄和健身设施，可以运动和娱乐，酒店内有多个餐厅，中西口味都很不错。住此非常超值！', '短评打分': 5}
{'短评内容': '物超所值，干净卫生，设施齐全，你去潍坊的好去处，', '短评打分': 5}
{'短评内容': '酒店不错，就是位置不是太好，周围商业网点较少；适合商务客人入住！', '短评打分': 5}
{'短评内容': '名不符实，这家酒店挂名五星，从入住以后感觉不到五星的感觉，有点像是三星酒店。', '短评打分': 1}
{'短评内容': '非常棒,推荐入住,价格有点高。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '领导很喜欢，下次还住在这里。性价比很高，位置很好。', '短评打分': 5}
{'短评内容': '旧楼设备有些陈旧了，感觉不够四星的标准。', '短评打分': 5}
{'短评内容': '服务很亲切，要表扬的。\n送的剪纸小礼物，还有房间里面的慢跑地图很贴心。\n但是低楼层装修很老了，电视也很小，早餐不够丰富。中餐味道一般', '短评打分': 5}
{'短评内容': '主楼有些陈旧，电视不是液晶的，早餐还可以。', '短评打分': 5}
{'短评内容': '不错的啦，毕竟是家乡人，每次回来都住这里，每个人都很热情、亲切......', '短评打分': 5}
{'短评内容': '这家宾馆应当是潍坊最好的酒店，这一次一波三折，总算订到了，可能有什么会议，比较紧张', '短评打分': 5}
{'短评内容': '房间有些旧，但是很干净，配的东西也很全。茶叶不是袋泡茶，在铁观音和炒青可以选，还有送的苹果桔子枣吃。酒店的服务人员都很有礼貌，让人觉得很温馨。', '短评打分': 5}
{'短评内容': '住了很多酒店，第一次见到每个房间都有真正的阳台，早晨起来来到阳台，看到的就是富华游乐园的美景，超赞！！！', '短评打分': 5}
{'短评内容': '入住A座512.514房，服务好，整洁，卫生。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间很大，充电不方便，还可以！恩，其他方面都很不错，电视老了点！', '短评打分': 5}
{'短评内容': '酒店尚可', '短评打分': 3}
{'短评内容': '服务人员热情、主动，房间宽敞，面积很大，热水舒适。停车场很大，保安24小时值守，让人很有安全感。周遍环境很方便，旁边还有个老潍县小吃街，很不错。', '短评打分': 5}
{'短评内容': '酒店分新楼和旧楼，不是很方便。旧楼的设施确实有点陈旧的感觉，新楼还不错。                                      ', '短评打分': 5}
{'短评内容': '一如既往的好，每次客人都很满意，价格也不贵。', '短评打分': 5}
{'短评内容': '酒店很好我很喜欢，客人也都挺满意的！下次还会住这里', '短评打分': 5}
{'短评内容': '酒店在潍坊属于高档酒店，每次来客人都会选择住这儿，环境也很好。', '短评打分': 5}
{'短评内容': '服务及设施都很好！早餐很不错，值得入住！！！', '短评打分': 5}
{'短评内容': '酒店太老了。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '早餐比较好，这也是客人选择的原因，房间陈旧，电视用了10年以上了，色彩都失真了，房价奇高', '短评打分': 1}
{'短评内容': '整体来说还可以，就是吃早餐像打仗一样，一片狼藉，可能是接大型活动或会议的缘故', '短评打分': 5}
{'短评内容': ' 环境好，服务好，就是进出要打的。', '短评打分': 3}
{'短评内容': '这个酒店应当是在这个地区我的客人最喜欢的一个酒店，环境卫生都不错，服务也不错，五星这边的餐厅也不错\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '这个酒店应当是在这个地区我的客人最喜欢的一个酒店，环境卫生都不错，服务也不错，五星这边的餐厅也不错', '短评打分': 5}
{'短评内容': '饭店设施与价格相符', '短评打分': 3}
{'短评内容': '服务一贯很优秀，来潍坊一直喜欢住这；下次仍然如此。', '短评打分': 5}
{'短评内容': '三星的，设施比较陈旧，交通方便。\n早餐一般', '短评打分': 5}
{'短评内容': '前台服务较为生硬，没有温馨感；房间设施较为陈旧；电话要求取餐具，一直未上来取；总之，没想象的好。酒店里面环境还算是不错，早餐也不错。', '短评打分': 5}
{'短评内容': '服务 ok........房间够大 .......', '短评打分': 5}
{'短评内容': '给老板定的，他不挑剔，但是估计赶不上别的城市的五星，潍坊这地方就凑合吧。', '短评打分': 5}
{'短评内容': '服务周到', '短评打分': 3}
{'短评内容': 'Good hotel,service is also nice.', '短评打分': 5}
{'短评内容': '房间不错，价格公道，值得推荐！', '短评打分': 3}
{'短评内容': '酒店虽然比较老旧，但是服务还是很周到的，以后还会再来', '短评打分': 5}
{'短评内容': '还不错，有很大的停车场', '短评打分': 3}
{'短评内容': '服务一般 装修确实过时了  作为老潍坊人 小支持下', '短评打分': 5}
{'短评内容': '价位颇高，房间设施一般但干净整洁，服务态度好', '短评打分': 5}
{'短评内容': '4星的标准配置，电视偏小，还是不错的，服务5星的，位置不错，房间大，', '短评打分': 5}
{'短评内容': '不错哦 真的说 干净 物超所值哦不错哦 真的说 干净 物超所值哦', '短评打分': 5}
{'短评内容': '位置好，出门就是富华游乐园。缺陷是空调声音太大，早餐一般。', '短评打分': 5}
{'短评内容': '酒店条件还可以，地理位置也可以，设施比较新', '短评打分': 5}
{'短评内容': '，已入住。', '短评打分': 3}
{'短评内容': ' 设备有些陈旧，电视还是老式太小。其他还可以，比较干净', '短评打分': 3}
{'短评内容': '非常不错，餐饮很好，中餐很有特色，房间热水很好，只是家具有点旧，空调太吵，不够热，还东错。', '短评打分': 5}
{'短评内容': '主要还是方便，机场大巴直接到。环境还不错。', '短评打分': 5}
{'短评内容': '交通比较方便，就是设施有点久。如果早餐能便宜一点就好了。', '短评打分': 5}
{'短评内容': '房间比较干净，老酒店了', '短评打分': 3}
{'短评内容': '环境、早餐都不错。\n某前台服务员缺乏服务意识。本来打出的水单不必打出每个具体电话号码，只是给个电话费总数就行了。提出要求后，服务员不仅话语生硬，而且有侮辱性攻击，真不知道五星级酒店怎么有这样的服务员。', '短评打分': 5}
{'短评内容': '希望服务再改进些，设施在翻新些就好了,以后会考虑。 \n', '短评打分': 5}
{'短评内容': ' 房间很大。里面设施陈旧。电视还是老电视，节目少。洗澡的设备也不太好。地毯陈旧。', '短评打分': 3}
{'短评内容': '这是个最差的假四星级酒店,设施陈旧简陋,且预订时报价单人大床为278元/一日,结算时为305元,当时没时间看发票,多收了27元.', '短评打分': 3}
{'短评内容': '交通环境不错 ，\n北海路福寿街交叉路口，交通便利', '短评打分': 5}
{'短评内容': '酒店还可以，但是可能时间久了些设施还是陈旧了，服务态度是挺不错的，价格还行。', '短评打分': 5}
{'短评内容': '地理位置很好,距游乐场仅一步之遥,设施也很好,早餐和晚餐都很丰富,推荐!', '短评打分': 5}
{'短评内容': '酒店地理位置不错 佳通方便 设施一般 服务态度一般', '短评打分': 5}
{'短评内容': '性价比比错，比较满意。\n服务员态度很好。', '短评打分': 5}
{'短评内容': '很好干净，休闲的好地方，就是离市区较远。', '短评打分': 5}
{'短评内容': '环境很好，就是去的时候费了很大的劲儿，前台指不清楚路，绕了一个小时。', '短评打分': 5}
{'短评内容': '服务员态度很好很专业\n房间水太小，洗澡不舒服；设施比较老', '短评打分': 1}
{'短评内容': '挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好挺好', '短评打分': 5}
{'短评内容': '很好，性价比较高。早餐很丰富。推荐入住。', '短评打分': 5}
{'短评内容': '家具及地毯有点陈旧 房间比较大 整体性价比还不错 早餐不错', '短评打分': 5}
{'短评内容': ' 家具有点陈旧，地毯有点旧。但总体性价比还不错。', '短评打分': 5}
{'短评内容': '我是日本人，每次都是通过朋友入住贵店，很好，以后还会经常入住的', '短评打分': 5}
{'短评内容': 'their restaurant is quite nice.', '短评打分': 5}
{'短评内容': 'it is a bit old hotel in weifang', '短评打分': 5}
{'短评内容': '酒店比较大气，设施有些陈旧，选个低价位的还不错。', '短评打分': 5}
{'短评内容': '传统型高档5星，服务和酒店环境很好，设施稍旧', '短评打分': 5}
{'短评内容': '难以想象的五星级 和我十四年前住的没任何改变 气派的大堂 宏伟的店内设计 ！\r\n但是房间内太差了：25寸老式电视机 羞答答的藏在电视机橱里 肮脏的地毯已分辨不出原本的颜色 墙壁屋顶更崩说了哎。。。。。\r\n658元有种被骗的感觉 人民币在哭泣 我心寒的笑了。。。', '短评打分': 1}
{'短评内容': '服务不错，酒店还凑合吧，主要是离富华游乐园近边。', '短评打分': 3}
{'短评内容': '十不错', '短评打分': 5}
{'短评内容': '+环景一般,设施陈旧。', '短评打分': 5}
{'短评内容': '很不错，挺干净的，能看到乐园内的夜景', '短评打分': 5}
{'短评内容': '酒店还不错，唯一不足的就是水质不是很好，建议带大瓶矿泉水去烧着喝', '短评打分': 3}
{'短评内容': '希望以后能改进服务态度，卫生能跟好一点，一些旧的设施能更换一下。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '很好！环境优美，安静，有一种家的感觉，服务人员态度很好。', '短评打分': 3}
{'短评内容': '酒店还不错，下次还住这里！还要向朋友们介绍这里', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '+谢谢', '短评打分': 5}
{'短评内容': '设施一般，服务人员打扰客人竟然没事一样走了，说明服务意识差，事后道歉尚可。总体印象，不够准四标准', '短评打分': 5}
{'短评内容': '酒店服务一般 房间陈设旧', '短评打分': 5}
{'短评内容': '良好', '短评打分': 5}
{'短评内容': '房间内部布置很舒适，卫生很干净，服务很不错。总体来说非常好。', '短评打分': 3}
{'短评内容': '酒店环境很好，位置不错，交通方便，尤其是早餐非常好。以后会常住的。', '短评打分': 3}
{'短评内容': '服务态度好，宽带速度也不错。其他的没什么特别的感觉', '短评打分': 5}
{'短评内容': '+夏天还用羽绒被，酒店空调也不行，下次不会再住了。', '短评打分': 5}
{'短评内容': '服务态度还可以，早餐品种太少，游乐场不错', '短评打分': 5}
{'短评内容': '总而言之一句话,这个酒店还是蛮不错的,推荐入住.', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '早餐很好 每次来都会住在这里', '短评打分': 5}
{'短评内容': '酒店不错，但是餐厅消费太高', '短评打分': 3}
{'短评内容': '酒店设施太久，价格太贵', '短评打分': 1}
{'短评内容': '离富华游乐园很近，市区远，作为五星，价格还可以', '短评打分': 3}
{'短评内容': '性价比不是很高，虽然设施还可以，酒店吃饭很贵', '短评打分': 1}
{'短评内容': '主要是外宾能吃早餐，不然不回去。 设施很久，价格死贵，隔音很差，卫生一般，服务一般。 应该全面改善一下了。', '短评打分': 1}
{'短评内容': '床挺舒服，装修一般般..外面是工地', '短评打分': 3}
{'短评内容': '潍坊富华大酒店A座环境很好，旁边还有富华游戏乐场，吃完饭后可以转一下，酒店性价比高，是商务客户的首选', '短评打分': 5}
{'短评内容': '房间空气不好，一股说不上来的潮乎乎的味道。早餐太差。\r\n住的地理位置不错，和游乐园连接。', '短评打分': 5}
{'短评内容': '非常好的服务和住宿，环境客人也喜欢。下次还会入住', '短评打分': 5}
{'短评内容': '我住宿富华大酒店后，感觉失望。与其网络宣传相差甚远。', '短评打分': 1}
{'短评内容': '总体不错，下次会定大床房', '短评打分': 5}
{'短评内容': '酒店位置很好，内部设施一般，特别是电视老旧需调换', '短评打分': 3}
{'短评内容': '酒店环境不错，但房间显的空当，电视机老旧', '短评打分': 5}
{'短评内容': '还不错，不过鸢飞现在弄得也不错。要努力了。', '短评打分': 5}
{'短评内容': '设施老了一些， 床挺舒服的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施老了点，服务相当好', '短评打分': 5}
{'短评内容': '在潍坊，富华的条件算是挺好的了，就是房间里没有饮水机，还得自己烧，有点不太方便，总体来说，还是性价比很高的', '短评打分': 5}
{'短评内容': '酒店在北海路上，交通很方便', '短评打分': 5}
{'短评内容': '富华的确非常棒', '短评打分': 5}
{'短评内容': '因为开展会，会馆与酒店非常近。4星级的酒店，能订到188的特价房，性价比非常高，非常满意。酒店的服务也非常不错，总之，很满意。', '短评打分': 5}
{'短评内容': '不管是卫生条件和舒适度都很满意！价位也喜欢&#183;离游乐园很近&#183;交通方便！很漂亮&#183;喜欢&#183;晚上回来会发现小细节做得很好&#183;比如说会把洗澡防滑的浴垫铺在地上！很舒服的！下次还来这里的！', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店正在装修，部分房间陈旧。', '短评打分': 5}
{'短评内容': '补充一下，我住的是二期。', '短评打分': 3}
{'短评内容': '房间设施很陈旧，地毯就像没吸过一样，有脏物。空调就更别提了，吹出的根本就不是暖风啊。害的我晚上睡觉盖了2床被子，半夜都没法起来去厕所，第二天差点感冒。总之，冬天的话就一定不要去住。', '短评打分': 1}
{'短评内容': '潍坊最好的酒店', '短评打分': 3}
{'短评内容': '总体感觉良好。', '短评打分': 5}
{'短评内容': '总体条件在本地是好的，入住结算手续还不够人性化，建议改进。', '短评打分': 5}
{'短评内容': '该酒店堪称国际标准，甚至比欧美国家的5星级酒店还要到位。与东亚有些国家所谓的准五星级酒店软硬件相比，更是高出一截。 如果再含双早就更加完美了。', '短评打分': 5}
{'短评内容': '去潍坊的话是比较好的住处！', '短评打分': 5}
{'短评内容': '睡了两个晚上。做为准4星的二期，有点不够级别。但价格好是挺诱人。\r\n服务生态度很好，只要你提出要求他们会想办法解决。\r\n前台服务也到位。也有地方停车并有认整晚看管。\r\n早餐虽丰富，但是缺乏适应的餐具。我没有找到咖啡杯，用塑料杯喝的。虽有咖啡黄油却没有小茶勺、黄油刀。不过提出之后除了咖啡杯没拿来，其它都送来了。说明服务生还是不错的。这是小事。\r\n不过给那么一点钱的房费，也不能要求太苛刻。床和厕所干净', '短评打分': 5}
{'短评内容': '价格很适中,住着也很舒适,收拾得很干净,基础设施齐全,位置很好交通很方便.', '短评打分': 3}
{'短评内容': '性价比还可以,各方面条件也不错\r\n自助餐有点高,稍差一点', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，电视是很老的那种，电视操作如网友评论所言，操作非常复杂，家具非常陈旧，已经退色，像一个迟暮美人；。酒店环境很好，位于富华游乐园旁边，非常幽静。酒店的餐饮不尽人意，我去的是周日，浦江餐厅只有我一人就餐，而且上海菜很糟糕，最后送的果盘水果全是坏的', '短评打分': 5}
{'短评内容': '很舒适，算是潍坊很棒的酒店了，价格很公道', '短评打分': 3}
{'短评内容': '干净舒适，贵了一点点，但是早餐很不错啊，前面就是富华游乐园。', '短评打分': 5}
{'短评内容': '设施旧了一些,不过里面的卫生和服务还是比较不错的,价格也比较好,地理位置挺方便的,我都挺满意的.', '短评打分': 3}
{'短评内容': '很好，值得推荐', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间大，服务不错', '短评打分': 5}
{'短评内容': '感觉还好，早餐一般。\r\n从青岛机场到潍坊的大巴直接给拉到这里，倒是挺方便的。', '短评打分': 5}
{'短评内容': '设施太落后,相对五星标准感觉太一般...', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '卫生方面不太好,设施很差,太陈旧了,相比来讲价格有些偏高,位置和服务还是不错的,交通比较方面.', '短评打分': 3}
{'短评内容': '房间大而宽敞，非常舒适', '短评打分': 5}
{'短评内容': '关键是性价比合适，但名难副实，四星其实没有啦，尤其是酒店的电源插座，全是欧式的，仅有的连接板在明处，难看得要命。呵呵呵，222元每晚很超值。', '短评打分': 5}
{'短评内容': '酒店的环境配置硬件都还不错，位置出行非常方便，主要是位置比较占优势，当时入住的房型是按照四星级标准建造的房间，感觉不如连锁型酒店好。主要是空调非常差，热到不行。最后恨不得在窗子跟前站一晚。下次不会考虑入住了。', '短评打分': 1}
{'短评内容': '总的来说还可以，最不满意的地方是，上次住的是12楼，可是洗澡的时候水上不去，明显在水压不足，给前台打电话，她们也解决不了', '短评打分': 5}
{'短评内容': '位置环境都不错，但设施一般，服务不错，早餐比较丰富，曾经两入住该酒店，感觉服务有所提高，但房间内卫生与五星级差距较大。', '短评打分': 5}
{'短评内容': '酒店设施太陈旧了,环境硬件设施也很不好,位置出行很方便,但是价格和实施一比较就偏高了,我对酒店很不满意.', '短评打分': 1}
{'短评内容': '住宿价格如果按照星级衡量应该还不错,但是如果考虑到潍坊市的城市地位就有些高了.接待及服务人员的服务态度都能让人满意,可客房的设施很一般.去过不少城市,象这里电视机的操作复杂性还是首次遇到,不知是潍坊电视台的原因呢还是酒店自己的设置?改进的简单些应该不难.特别令人费解的是客房所有的电源插座竟一律是欧式的,尽管配备了活动插排,可是寻找那个唯一的中式双头插座也得颇费一番工夫(需要把电视机的电源插头拔下来', '短评打分': 1}
{'短评内容': '性价比高，地势略偏，服务好，尤其是退房时速度较快。建议入住。', '短评打分': 5}
{'短评内容': '非常满意，舒适卫生，符合自己的要求', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;这个酒店我已入住了3次，真的是不错，虽然房间（4星级的房间）装饰已显露出陈旧，但确实比较实惠，强力推荐大家入住&amp;#183;&amp;#183;&amp;#183;&amp;#183;&amp;#183;&amp;#183;&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '潍坊很好 ，人实在，城市也很干净，不错。谁说菜不好吃了，你是胃不好吧！', '短评打分': 5}
{'短评内容': '我正住在这里，非常好，天天有水果设施够4星，美中不足的是菜一般，潍坊的菜普遍不好吃。', '短评打分': 3}
