{'短评内容': '还不错，干净', '短评打分': 5}
{'短评内容': '一如既往的不错，就是电梯少了点，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '位置優越，房間夠大，整潔。服務好，早餐豐富。有泳池，房價合理。', '短评打分': 5}
{'短评内容': '不错\u3000下次还住在这里', '短评打分': 3}
{'短评内容': '还可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '三水地区高级酒店，但是达不到五星标准，房间电视是29CRT的，有些卫星台还不清楚，床是2米*2米的，要是再长点就好了，早餐一般，品种不够丰富。', '短评打分': 5}
{'短评内容': '环境和设施符合星级水平，下次去三水会继续入住', '短评打分': 5}
{'短评内容': '总体不错，设备良好，但很不明白为什么热水会忽冷忽热的，而且水量太细，与五星级别相去太远了！很败笔！', '短评打分': 3}
{'短评内容': '不错的酒店,很大很舒服，一直住的。恒达的定点酒店', '短评打分': 5}
{'短评内容': '硬件设施和服务都不错，交通也方便，但早餐品种太少，质量有待提高，晚上送的水果也太小气，跟不上五星级这个档次。', '短评打分': 5}
{'短评内容': '环境很不错~~服务很到位~~\n交通便利~~周围很多大型商场~~\n硬件设施很不错~~还有大型的KTV~~\n非常满意~~~\n强力推荐~！！~~', '短评打分': 5}
{'短评内容': '挺不错的酒店，地理位置方便，周围配套完善，就是酒店设施比较陈旧，早饭也不如以前的好。 下次还会住此酒店.\n', '短评打分': 5}
{'短评内容': '是家老酒店，服务卫生设施都不错，位置也比较安静，睡眠比较好，非常喜欢，去海宁必住，早餐尤其不错，房间家俱稍显有点老旧，希望可以改善', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '环境不错，住得挺舒服的', '短评打分': 3}
{'短评内容': '不错啦，各方面都还可以，只是电梯等待时间太长，下次还会再住，也会推荐朋友去，早餐太单调了，能丰富一点就不错', '短评打分': 5}
{'短评内容': 'ok.............................................', '短评打分': 5}
{'短评内容': '该酒店环境舒适、安静、干净，服务态度较好，自助餐厅食物较丰富，价格合理。有点遗憾的是每天下午所送的水果不太新鲜。', '短评打分': 5}
{'短评内容': '不错，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '不错，非常喜欢。酒店软硬件条件均不错，泳池和健身房也很好。', '短评打分': 5}
{'短评内容': '不错，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '来三水一般都住这里，不错，，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店很好，设备、服务都很不错！\n健身和游泳池都开放', '短评打分': 5}
{'短评内容': '不错，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '不错，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '不错，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '不错去玩儿与  123567890123012234567890-', '短评打分': 5}
{'短评内容': '佛山两个好酒店之一,装修有点欧式,跟一般的酒店装修不一样,其它也没感觉有什么特别的.', '短评打分': 5}
{'短评内容': '三水可住的酒店不多，没得选择 才住了 下次 希望好一点', '短评打分': 1}
{'短评内容': '不错，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '装修太陈旧，早餐太差，真没什么可吃的，希望能增加一些', '短评打分': 1}
{'短评内容': '各方面还不错，电梯太少，等待的时间太长，能改善就更好。', '短评打分': 5}
{'短评内容': '酒店的服务比较温馨，能借到手机充电器，房间收拾得也比较得体，还送水果，感觉很好', '短评打分': 5}
{'短评内容': '楼很高，在三水没有多少高楼，算是非常好找的了，离三水广场也不远，吃饭购物均方便', '短评打分': 5}
{'短评内容': '酒店里竟然发现有蚊子，被叮了，设施很不错，隔音不很好', '短评打分': 5}
{'短评内容': '在三水这个地方还真算是不错的选择，大方楼很高，有28层吧查不错', '短评打分': 5}
{'短评内容': '大堂还比较气派，前台和礼宾也比较热情，早餐不是很丰盛', '短评打分': 5}
{'短评内容': '同事很满意，，，，，，，，，，，，，指定酒店了，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '前台的小妹太缺乏培训了，，，什么都不懂，，无礼，，，，，，', '短评打分': 5}
{'短评内容': '房间满意，，就是早餐差点，，电梯也比较少，，，，，，，，', '短评打分': 5}
{'短评内容': '最主要还是离客户那近，开会方便，其他不是很好但也算可以', '短评打分': 5}
{'短评内容': '服务质量有侍提高，性格比不错，值得一住。', '短评打分': 3}
{'短评内容': '一直很满意这个酒店，，员工很用心服务，，IT 肖工值得表扬，，不过前台的小妹相比较倒显得差了很多，，又待提高，，，，', '短评打分': 5}
{'短评内容': '各方面还不错吧，交通也较方便，房间够大，不过冲凉房不是很好，水压太小了', '短评打分': 5}
{'短评内容': '酒店很新,设施很好!房间也很大.只是服务还有待改进.', '短评打分': 5}
{'短评内容': '各方面都还不错，早餐太单调了，能丰富点就更好了。', '短评打分': 5}
{'短评内容': '价格适中,是商务出行不错的选择.酒店较新,房间也不错.', '短评打分': 5}
{'短评内容': '无可挑剔，，，，，不过三水出租车真的是难叫，，，，，，', '短评打分': 5}
{'短评内容': '我每次到三水都会遇上天灾。上次来三水住在花园酒店，电视报道发生冰雹，造成当地人员财产损失；这次来三水，又遇上龙卷风。\n\n不过，住在花园酒店没有感受到冰雹和龙卷风。只感受到温馨周到的服务', '短评打分': 5}
{'短评内容': '环境优美，酒店高档，交通方便，就是离禅城太远了，去广州的话可以直接有高速。下次考虑中。', '短评打分': 5}
{'短评内容': '1234565666666ffsdfdfdsfds', '短评打分': 1}
{'短评内容': '酒店在三水算是不错了 就是房间的隔音太差 很是困扰', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 3}
{'短评内容': '每次到三水，我都选择花园酒店。一则因为离我办事的地点比较近，不用穿过整个市区，避免交通拥堵。二则花园酒店无论硬件或者服务都具备了我所要求的出差办事基本要求，性价比比较高。我个人感觉住花园酒店有一种放松随意的舒适感觉。\n\n但是，我对花园酒店的早餐比较有意见。这种早餐只适合应付旅行社游客，而不适合三天以上的出差办事的客人。由于旅行社游客一般只住一宿，只在花园酒店吃一顿早餐，吃过就走，不会再在同一地点吃', '短评打分': 5}
{'短评内容': '很好的酒店，早餐需要再丰富下，下次来还会住。', '短评打分': 5}
{'短评内容': '帮朋友订的，地理位置不是很方便，但是因为靠近客户公司，也还算好。其他设施都好可以', '短评打分': 5}
{'短评内容': '早餐太单调， 要是能改善一下就更好，其它各方面都还不错。', '短评打分': 5}
{'短评内容': '酒店位置可以，房间也还算可以，总体来讲还不错吧。', '短评打分': 5}
{'短评内容': '应该算得上三水最好的酒店之一，欧美人很多，服务不错', '短评打分': 5}
{'短评内容': '每次出差都住这里，内部配置有点老，没有无线网络。出行很方便', '短评打分': 5}
{'短评内容': '酒店装修看起来还可以，可是服务实在太差了，送餐服务人员敲门后一句话不说，拉着脸进门，你说谢谢他都懒得回答，放下餐食后，磨磨蹭蹭的也不马上离开你的房间，第一次看到星级酒店有这种服务的，还以为自己倒霉正好遇上个心情不好的，结果发现是这个酒店的普遍现象，东西做的也很难吃，不会再来。', '短评打分': 1}
{'短评内容': '位置好，性价比较高，早餐太单调，能改善一下就更好', '短评打分': 5}
{'短评内容': '这间酒店性价比较高，但是电梯太少，等的时间较长，这点能改善就更好', '短评打分': 5}
{'短评内容': '这间酒店的性价比较高，但是电梯太少，有时要等很久，觉得这方面不是很合理。', '短评打分': 5}
{'短评内容': '房间够宽够明亮，冲凉房也挺宽的，五星级的标准。出行方便。', '短评打分': 5}
{'短评内容': '很不错的一家酒店，性价比也较高，各方面都还不错', '短评打分': 5}
{'短评内容': '环境服务都非常好，性价比很高。。。。。。。。。给力', '短评打分': 5}
{'短评内容': '酒店的整体感觉不错，地理位置好，出行很方便。', '短评打分': 5}
{'短评内容': '酒店就在三水市中心，位置非常好。酒店的设施一般，但总体感觉性价比还是很好的。', '短评打分': 5}
{'短评内容': '称得上是三水最好的酒店。地段比金太阳方便，价格不金太阳实惠，感觉比金太阳更温馨。\n本打算今天离开三水回公司，所以一早就退房了。可是因故需要推迟离开，下午上网想重新预定回到花园饭店，可惜已经订不上了，只好改住别的酒店了。', '短评打分': 5}
{'短评内容': '酒店性价比很高，已经多次入住。早餐也很好，很不错的酒店。去广州机场 有机场快线(1 小时）。', '短评打分': 5}
{'短评内容': '在三水还算比较不错的酒店。交通也比较便利。', '短评打分': 5}
{'短评内容': '环境舒适，在市区内很方便。服务好。但设施有点陈旧。', '短评打分': 5}
{'短评内容': '房间设备太陈旧了，需要改进了，网上预定的房间前台小姐也搞不清楚，不过也没办法，三水也就这么几个酒店了', '短评打分': 5}
{'短评内容': '挺不错的酒店，地理位置方便，周围配套完善，就是酒店设施比较陈旧，早饭也不如以前的好。', '短评打分': 5}
{'短评内容': ' 酒店设施服务都不错，隔音有待改进', '短评打分': 3}
{'短评内容': '不错的酒店，设施都还不错，隔音有待改进。', '短评打分': 5}
{'短评内容': '位置，环境都不错的酒店，以后有机会还会入住此酒店', '短评打分': 5}
{'短评内容': '不错，住的好吃的好，是儿子到三水指定要住的酒店！', '短评打分': 5}
{'短评内容': '  三水花园酒店设施完善，交通方便，价格合理，但感觉房间装修旧了一点。', '短评打分': 5}
{'短评内容': '空调制冷比较慢.房间是新装修的,有些布局不太协调.性价比很一般,不过三水的确没什么好酒店选择了.', '短评打分': 5}
{'短评内容': '位置较好，方便，房中有蚊虫，换房后解决。', '短评打分': 5}
{'短评内容': '三水花园酒店的房间里可以选择播放音乐，环境不错。客房送餐的分量很大，味道也不错。', '短评打分': 3}
{'短评内容': '网上预定的性价比很高的一家酒店，以后去三水首选入住\r\n', '短评打分': 5}
{'短评内容': '这个酒店很漂亮，总体感觉不错。酒店的服务很好。', '短评打分': 3}
{'短评内容': '酒店的位置很好，出行很方便。酒店的饭菜味道不错。', '短评打分': 5}
{'短评内容': '我入住的时候，发生一件事，早上醒来房间的电源都没了，灯也不亮了。打电话才知道是电箱里的什么开关出问题了，不过等了一段时间就来快速修好了。各方面都不错，推荐。', '短评打分': 5}
{'短评内容': '位置好，价格适中。', '短评打分': 5}
{'短评内容': '三水算最好的酒店，第二次住了，一楼的自助餐65/位非常好，每晚都在这解决了温饱问题', '短评打分': 5}
{'短评内容': '入住此酒店多次了，性价比真的不错！但今天check out花了20分钟！无言！如果能改善一下效率，会更好！', '短评打分': 5}
{'短评内容': '这个酒店不错，虽然只住一晚，来不及更多体验，但第一感觉非常好，下次会再来住。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '总的来说还不错,就是被子不够柔软.', '短评打分': 5}
{'短评内容': 'nice place...good', '短评打分': 3}
{'短评内容': '早餐要是再丰富点就好了', '短评打分': 5}
{'短评内容': '整体性价比还行', '短评打分': 5}
{'短评内容': '服务和设施都很好，交通方便', '短评打分': 5}
{'短评内容': '位置好，但欠缺地下停车场。', '短评打分': 5}
{'短评内容': '床非常的软，就是相匹配的水会没有广告上面介绍的那么牛逼', '短评打分': 5}
{'短评内容': '是我最珠三角喜欢的酒店，其他都很好，就是早餐稍微有些贵。', '短评打分': 5}
{'短评内容': '三水档次最高的酒店', '短评打分': 5}
{'短评内容': '高酒店档次，价格不贵。', '短评打分': 3}
{'短评内容': '房间舒适，卫生条件很好，早餐也很好，地点离高速较近。', '短评打分': 3}
{'短评内容': '总体相当不错，，几个小问题，电梯没有楼层显示，门童让他叫个出租车居然和我在一起远远的招招手，我是有行李没法出去叫，，这样的服务是不行的,,最最不好的是洗澡水忽冷忽热！！！！', '短评打分': 5}
{'短评内容': '感觉非常好。下次还会来住', '短评打分': 5}
{'短评内容': '佛山最好的酒店。', '短评打分': 5}
{'短评内容': '这家酒店的整体感觉还不错，位置还行，出行是比较方便的，房间的卫生和设施也不错，服务也还好，性价比挺好的', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '在三水市是一流的酒店。', '短评打分': 5}
{'短评内容': '我对这酒店很满意', '短评打分': 5}
