{'descr': '位置特别好，酒店就是七天如家差不多', 'star': 4}
{'descr': '离工体不远，旁边有小饭店和稻香村，吃早餐挺方便的，前厅有两台电脑可以免费上网，房间有点小但是设施还齐全。挺好的。', 'star': 5}
{'descr': '卫生间小了点  不过还算不错  干净  离地铁口也算不远   推荐', 'star': 5}
{'descr': '超棒！！工体看球很方便！离地铁站比较近了！干净的很！！服务也很热情周到呢！！问我们抽不抽烟！还给安排在了无烟楼层！衣服撑子给前台一个电话直接送上来！要几个给几个！床和被子枕头哇都很舒服！！第一次住完还送了会员卡！！', 'star': 5}
{'descr': '酒店还不错，干净，位置方便', 'star': 3}
{'descr': '    位置不好找，但环境还可以吧，安静。房间没有说的那么大...如果去看演出什么的话，还凑合，', 'star': 5}
{'descr': '性价比很好，只是房间很小，喜欢住大房间的不合适。如果有一个放旅行包的地方更好。', 'star': 5}
{'descr': '小巧精致 设施干净整洁，就是洗澡时候噪音有点大～ 以后去北京一定还住这家～', 'star': 5}
{'descr': '服务太好太周到了！！！房间虽小但很干净 地理位置也很好', 'star': 5}
{'descr': '房間很乾淨地點也很好離2號線不遠適合出差旅客', 'star': 3}
{'descr': '非常精致小巧的酒店，像去日本时住过的小旅馆，设施很新，单人间虽小设计简约又高档。房间没衣架于是问服务生，马上送来几个木质衣架，很好。', 'star': 5}
{'descr': '房间不大，寝具还可以，其他的也就是锦江之星的水准。\n房间不送水，还要出去买。', 'star': 5}
{'descr': '服务还可以,就是房间有点小,不过送了张会员卡,据说下次来可以赠送早餐', 'star': 5}
{'descr': '我感觉相当不错哦， 房间很干净 内部环境也很好，最重要是服务人员好！ ', 'star': 5}
{'descr': '四楼的房间比一楼大。服务还是很好。\n早起打车不方便，不知道能不能改善。', 'star': 5}
{'descr': '服务很好，地方太小了', 'star': 3}
{'descr': '很不错的酒店，很舒服，干净，卫生，就是窗户有点小喔，虽然房间不是特别大桥，真的感觉比许多连锁酒店要舒服喔，强烈推荐，交通，吃饭都很方便，离工体也很近，走着就到了。以后有机会还住这。', 'star': 5}
{'descr': ' 不错！很干净！设施齐全！工作人员服务态度也好！推荐！', 'star': 3}
{'descr': '酒店很实惠，非常厚道，服务员的态度都非常好，半夜了还给我送东西，感动，住着也很舒服，很干净的。', 'star': 5}
{'descr': '厚道酒店服务态度很好，房间得干净，厕所是整体安装的，赞一个！只是大床房的窗户较小。', 'star': 3}
{'descr': '除了不好找，还行。房间有点小了，局促之间无其他弱项，外面挺豪华。', 'star': 5}
{'descr': '房间不大却相当的干净，晚上也不吵，离工体15分钟路，性价比高', 'star': 3}
{'descr': '酒店很好，就是隔音不好，睡下听到别人打呼噜，但是设施都很好，也很干净，服务态度超级好。门口吃饭有点不方便，要走一小段路到闹市区', 'star': 5}
{'descr': '房间太小环境还行', 'star': 3}
{'descr': '酒店位置特别好，离工体超级近，而且环境设施什么的太赞了，感觉很新~下次去工体一定还订这家。', 'star': 5}
{'descr': '房间还挺干净，就是太小了，与网站上的描述有出入，大概10平方不到的样子。', 'star': 5}
{'descr': '周边的酒店都看了 这家还算是很好的 装修不错 服务业很好 唯一缺点就是房间太小', 'star': 5}
{'descr': '什么都好  就是打车不方便  北京的惯例都是这样  司机牛的不行  呵呵', 'star': 5}
{'descr': '比较喜欢这家酒店了  因为价格   地段   卫生  服务   都还不错   还有提升的空间', 'star': 5}
{'descr': '胡同里的宾馆，司机师傅都不太认识。\n宾馆工作人员的服务态度很好，推荐。\n卫生间确实太小了，洗澡转身不方便。\n其他都不错。\n另外，宾馆周围100米左右就有2家24H的7-11，再往北走点儿就有很多烤串店，适合夜宵。', 'star': 5}
{'descr': '不错！干净，舒适，温馨，价格小贵，房间稍小。价格再下调一些，就更具性价比了。', 'star': 5}
{'descr': '簡約、乾淨，房間比照片小一些，整體算不錯了。', 'star': 5}
{'descr': '出行便利，环境好，房间设计很人性化，干净卫生，是不错的选择。', 'star': 3}
{'descr': '交通便利，服务也不错，性价比还行。就是停车不好停。', 'star': 5}
{'descr': '外国人点名要住这个酒店  没的说   给中国人争光了', 'star': 5}
{'descr': '不错  不错   比上次住感觉好了    希望保持', 'star': 5}
{'descr': '还算不错  服务比上次有很大的改进  希望能保持下去', 'star': 5}
{'descr': '房间很干净，感觉还不错。去法国文化中心考试的同学可以选择，很方便！', 'star': 3}
{'descr': '\u3000很喜欢这酒店。干净。下次再来。', 'star': 3}
{'descr': '环境还可以，很干净，就是空间小了一点！服务水平还可以，无线上网很好。。。', 'star': 5}
{'descr': '酒店总体来讲还算不错，只是对于员工的培训有待加强，门上挂了请勿打搅，服务员还是敲门说要打扫房间，取电卡插着，并告知不要拔下，还是将取电卡拔下了。造成了电脑不能继续工作。虽然前台的主管前来道歉，也表示了抱歉。但是还是要将员工的培训工作做在前面，以免类似的事情继续发生。环境还算干净。洗澡水很大很舒服。就是打车不是很好打。', 'star': 5}
{'descr': '简单，整洁，还不错！', 'star': 3}
{'descr': '位置不错，在二环边上。 酒店是新装修的。 服务不错。', 'star': 5}
{'descr': ' 酒店位置方便，房间整体可以，清静，好。', 'star': 3}
{'descr': '酒店比较小，整洁明快。房间小。那天隔壁做XX时，吵得我们烦。总之，还可以。', 'star': 3}
{'descr': '喜欢新开的酒店,不过最近涨价了呢?优惠也没有了啊!', 'star': 5}
{'descr': '只要宜必思没地方就会选择厚道,成了每月必去的地方了!', 'star': 5}
{'descr': '服务态度不错，不过，希望下次不要把我预定的房间材料没有看到，把我的客人搞得很尴尬，两个人睡一张大床，很尴尬。', 'star': 5}
{'descr': '安静，干净卫生，房间偏小，服务不错，大厅整洁。', 'star': 5}
{'descr': '很好很干净服务好位置好但是没有停车位有些不方便，总体不错', 'star': 5}
{'descr': '酒店不错，住了一个星期。服务很好，服务员都很热情。不错。下次去还会住这的。但是有一点小不足，最后一天早上前台打了好几个电话问同一个问题，今天是否退房。我最少回答了4遍。不知道是服务员交班没有问清还是催我退房。除了这一点别的都很好。', 'star': 5}
{'descr': '麻雀虽小，五脏俱全，住的单人间，非常好，以后还会选择', 'star': 5}
{'descr': '酒店真棒，比想象中的好很多，前台热情，内部卫生，以后还会住', 'star': 5}
{'descr': '地理位置不错，去三里屯和朝阳门地铁站都很近。酒店给人感觉很温馨，服务态度好', 'star': 5}
{'descr': '房間確實小了點 但其他各方面都不錯 最大缺點是隔音差 老覺得有人在耳邊說話', 'star': 5}
{'descr': '房间不错就是太小。', 'star': 3}
{'descr': '酒店干净，整洁，位置也算不错，服务员很有礼貌', 'star': 5}
{'descr': '服务态度很好，对人很有礼貌，居住环境也不错，干净，整洁，唯一需要改进的是房间暖气不足', 'star': 5}
{'descr': '房间小道除了一场单人床什么都放不下，淋浴小到要坐在马桶上。\n态度还好，就是房间太小了', 'star': 1}
{'descr': ' 喜欢这酒店。以后再去。', 'star': 3}
{'descr': ' 新酒店 干净 以后再入住', 'star': 3}
{'descr': '所谓的豪华大床房不超过12个平米，和图片描述完全不相符。服务态度倒是还不错。', 'star': 1}
{'descr': '又是我来评论，我不是枪手，只是每次都住这里，呵呵，一切都很好', 'star': 5}
{'descr': '不用多说了，每次都住这里，很干净，很方便，服务也好，而且很安全', 'star': 5}
{'descr': '酒店附近设施都很方便，地铁站，公交站，饮食，购物一应俱全，酒店很干净，很温暖，服务不错，就是稍微有点点贵~', 'star': 5}
{'descr': '离工体很近，位置挺好的，酒店外观和大厅布置不错，挺温馨的感觉。房间不大，但该有的都有，由于开张时间不久，东西挺新的，床很舒服哦，对得起这个价位，下次有机会还会入住。', 'star': 5}
{'descr': '酒店很干净, 服务不错\n就是房间里有个衣柜就更好了', 'star': 5}
{'descr': '快捷酒店，因新开，还算干净。', 'star': 3}
{'descr': '没早餐、没衣柜、室内设置简单到家了，只住一晚还OK,再久就不方便了', 'star': 3}
{'descr': '服务尚可，客房面积小，没有餐厅不方便，装修比快捷酒店好，总体可接受', 'star': 3}
{'descr': ' 非常好。下次还住。   非常好。下次还住。   非常好。下次还住。', 'star': 5}
{'descr': '位置很好，但在小区里，比较难找，服务很热情，面积略小了', 'star': 5}
{'descr': '在地理位置优越的朝阳门，能找到这么一家性价比高的真不容易，不足之处在于面积略小，隔音还是差些', 'star': 5}
{'descr': '酒店服务不错，也算干净，就是停车比较麻烦，小睡一下性价比还是不错的。', 'star': 5}
{'descr': '挺干净很满意', 'star': 3}
{'descr': '酒店很不错, 地理位置挺方便的', 'star': 3}
{'descr': '不错，就是难找了点，房间比较干净，服务比较好！', 'star': 5}
{'descr': '这酒店真的很好，卫生优秀，地理一般，服务很好的', 'star': 5}
{'descr': '住这很多次了，卫生优秀，服务优秀，地理一般，总体很好，因为新酒店', 'star': 5}
{'descr': '这家酒店我很满意, 房间很干净, 服务态度也很好。 还会再来的', 'star': 3}
{'descr': '酒店很干净，清洁工阿姨很热情。。。。。。。。。。。。', 'star': 5}
{'descr': '适合到使馆区办事，停留时间不长，缺点是房间隔音不好，还遇上对面居民楼两口子吵架，声音大啊', 'star': 5}
{'descr': '交通比较方便，市区近，服务人员态度好，房间还行\u3000\u3000\u3000\u3000\u3000', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '订了一个单人间，房间虽然小，但硬件设备非常新，很干净。价格在相同地段比较有优势。', 'star': 5}
{'descr': '酒店位置在朝阳门地铁附近，但是安静，便利，新开的酒店，房间干净!', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '隔音效果太差，设施较新，服务不错', 'star': 3}
{'descr': '酒店很新，很干净。位置不太好找，地图上搜索不到。十一期间入住房源很紧，等了很久。不过店主人很好，服务不错。', 'star': 5}
{'descr': '酒店环境很不错，服务员态度很好，就是位置有点偏僻，不太好找。卫生间有点小但很有特色，只是好像没有洗澡用的塑胶拖鞋。', 'star': 5}
{'descr': '酒店位置还算好找，房间虽然不大，但设施很全，还有wifi，真有点意料之外。\n前台服务态度也不错，好像整个北京的服务态度都很友善、亲切。\n只有一点不太舒服，连住3晚，第二天的客房整理只是补充了部分洗漱用具、简单整理了床铺，好像连床单和枕套都没更换，因为我发现前一天枕套上原有的污渍还在；喝水的杯子和卫生间的杯子也没清洗，早上出去是什么样的晚上回来还在那放着，这些都是天天最基本要用到的，不收拾、清理怎么', 'star': 5}
{'descr': ' 房间有点小 服务挺热情 干净', 'star': 3}
{'descr': '还不错，就是房间太小了，房间大点就完美了。。很干净，', 'star': 5}
{'descr': '酒店很新，服务态度很好，地理位置也不错，离地铁站不远', 'star': 5}
{'descr': '不错的店，定的豪华大床房，干净，只是房间有点小。。。其他的都还不错的~还送了会员卡，下次如果在附近办事还会来的~', 'star': 5}
{'descr': '非常干净！很不错！', 'star': 3}
{'descr': '酒店很好找，环境很好，服务很好，网速超快，地理位置也不错。', 'star': 5}
{'descr': ' 很差! 不值这个价, 厕所比动车组里的还小! 卫生还不错!', 'star': 3}
{'descr': '288的房价来说。房间确实有点小。但是很干净，环境很好，交通也很方便。2号线地铁走路15分钟， 去工人体育场非常近~~', 'star': 5}
{'descr': '房间虽小，因为是新旅店，所以很干净，位置也不错，下次还会住这里。提个小建议，不知道是不是住的一楼紧挨工作人员休息的地方，有点嘈杂，应该注意一下。', 'star': 5}
{'descr': '  环境不错，服务态度很好，就是有点不好找……', 'star': 3}
{'descr': '干净清静也方便，酒店很新设施不错，工作人员服务也不错。下次来我还会选这家。楼下就有稻香村，不过楼下的饭店都很难吃', 'star': 5}
{'descr': '刚开业的酒店 非常整洁干净 床和枕头都很舒服 唯独没有免费的停车。。。\n如果有朋友希望推荐这里 有吃的有喝的 距离工体很近\n       ', 'star': 5}
{'descr': '很不错，很干净，服务好，不错不错不错不错不错，还会去住。就是交通邮电不方便。总体来说还是很好的。不错不错不错不凑不错不错不错不错不错', 'star': 5}
{'descr': '这个是我帮朋友预定的，不知道为什么酒店说没有我的预定信息，不过最后还是帮朋友解决了一个房间，希望以后这样的事情不要再发生了，会很麻烦，我自己前几天住的还是不错', 'star': 5}
{'descr': '门面就做得很好，进门就有清香剂的味道。放着两台电脑任顾客用。房间很干净，就是没有图中的这么大。厕所很干净。每天都会进房打扫，服务很不错。', 'star': 5}
{'descr': ' 房间环境都不错', 'star': 3}
{'descr': '很干净的酒店，周围很便利，主要是距离我的目的地很近很近，周围买火车票机票都很方便，酒店的服务很好，就是房间稍微有点小，但是不影响，不错的酒店', 'star': 5}
{'descr': '很好  新开的酒店  环境啊设施啊服务啊都好的没话说  就是窗户小了点  屋里不开灯就有点暗  原先定的单人间好小好小  就一个单人床 浴室 没有多余的地方  后来选择了贵80的大床房  住得很舒服  如果大家不差钱就去享受享受吧   坐地铁吃饭逛超市做按摩足疗都很方便  我喜欢 下次去还是首选', 'star': 5}
{'descr': '朋友来北京办事帮朋友定的，朋友很满意，周边环境很好，非常安静和干净，附近去商业区也很方便，价格也不贵，值得推荐！', 'star': 5}
{'descr': '主要就是窗户小 其他都挺好的 离地铁不止500米啊。。 附近没什么大型超市也可能是我没发现 没什么饭店 总体还可以吧', 'star': 5}
{'descr': '对这家酒店很满意，建议去北京法国文化中心考试或者面签的外地同学入住，不但距离很近，步行5分钟，而且酒店设施很新，服务也挺好，总之性价比挺高', 'star': 5}
{'descr': '绝对优秀的酒店，绝对推荐的酒店，干净，安全，地理方便', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '精致、、干净。这个价格在北京不错的了。。。。。。。。。。。', 'star': 5}
{'descr': '优点：干净，舒适，地点好，服务员态度可嘉\n缺点：一楼太潮，房间隔音效果不太好，酒店内部应该是有些地方在装修，早上8点就开始施工，声音很吵\n', 'star': 5}
{'descr': '在我公司附近，因为坐晚班飞机，不愿意回家折腾，就选了一个比较便宜价位的酒店，没想到酒店还真很不错，很干净，设施也很新，下次晚班飞机还去那里入住', 'star': 5}
{'descr': '酒店位置很好，交通方便，而且刚开业不久，很新很舒服！', 'star': 5}
{'descr': '除了停车不方便，其他都非常好，服务员很负责任的。', 'star': 5}
{'descr': '酒店干净整洁，房间虽小但很温馨，我和喜欢。位置挺好，可步行去秀水，大约30分，离工人体育馆很近。门口就有饭店，挺方便。服务态度好。', 'star': 5}
{'descr': '确实很不错…地理位置，价格，卫生，基本都符合我的要求…', 'star': 5}
