{'短评内容': '酒店一般，早餐不好吃，', '短评打分': 5}
{'短评内容': '曾在去年住过，感觉不错：干净、安静。去年是世博期间，价格有点贵，今年下来了，性价比还不错。', '短评打分': 5}
{'短评内容': '地理位置很好，离地铁站只有一站地。住宿条件不错，性价比很高，服务态度非常好。下次到嘉定还住这里！', '短评打分': 5}
{'短评内容': '很好的酒店，干净卫生，价格低廉，还包含早餐。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错，就是特价房怎么订不到了~?希望以后还能有啊', '短评打分': 5}
{'短评内容': '房间很宽敞，窗户很大，地毯家具维护的也很好，交通便利11线走过来也就10分钟，到市中心也很方便没事的时候可以出去逛逛，但是电视不是液晶，不过还好了，早餐蛮合胃口的和家里吃的差不多，总之我觉得值得推荐！性价比很高的', '短评打分': 5}
{'短评内容': '性价比很高，相比同等的宾馆价格低，房间也很大，这个价格很值啊~', '短评打分': 5}
{'短评内容': '干净整洁是这个酒店最大的优点，而且早餐虽然简单但是很清爽。', '短评打分': 5}
{'短评内容': '房间挺干净，就是有点偏！明明住了4个晚上，却只算我一天！', '短评打分': 5}
{'短评内容': '电视太差了，在郊区外也太远了！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '房间比较干净', '短评打分': 3}
{'短评内容': '不错 很安静 房间很大 下次还会选择入住该酒店', '短评打分': 5}
{'短评内容': '菊苑宾馆房间空调不够热', '短评打分': 3}
{'短评内容': '宾馆比较干净!可以 .', '短评打分': 3}
{'短评内容': '虽说会推荐，但还是要看价格能否再低些（入住时正值SB期间，或许现在能降下来些，若能在200以下就更好了）。房间还是不错的，比较大，交通也比较方便，离开地铁公交一站多路，走走也十几二十分钟，早餐也都过得去。', '短评打分': 5}
{'短评内容': 'nice hotel,good price and good breakfast.', '短评打分': 5}
{'短评内容': '设施陈旧，不能拉卡，早餐像农家乐，六楼又有一个棋牌室，到了晚上有点吵。总之感觉不是很好。', '短评打分': 1}
{'短评内容': '希望房间内的床单选用更好的布料，因为睡着不太舒服！', '短评打分': 5}
{'短评内容': '菊苑宾馆交通方便 .有停车场.就是右左没有餐厅.', '短评打分': 3}
{'短评内容': '宾馆房间比较清洁 ,早餐严可以.', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '价格还可以，房间也比较干净，服务人员态度不错！', '短评打分': 5}
{'短评内容': '短住还不错，至少不贵，挺方便，设施还算齐全。但是洗发精和沐浴露实在是不怎么样。。。。', '短评打分': 5}
{'短评内容': '服务员态度非常好，卫生做的很干净 离地铁站不远 走走10分钟左右。离嘉定镇中心也还好 因为在医院旁边打的十分方便 而且挺安静的。比起我住过的格林豪泰之类的都好。很中意。价格也很合理。', '短评打分': 5}
{'短评内容': '能有房就很开心了                                                                              ', '短评打分': 3}
{'短评内容': '服务、设施、等很好，虽离市区远，但交通很方便，且离地铁口很近。下次去上海还住那里。', '短评打分': 5}
{'短评内容': '这个时间，这个地方，这种交通，这种设施，这个价格，很不错了好吧，早餐鸡蛋、牛奶、粥、包子、都有，很满意啦！', '短评打分': 5}
{'短评内容': '服务挺好，位置不错，出行挺方便，早餐也不错，整体感觉性价比还可以。', '短评打分': 5}
{'短评内容': '服务不错，挺热情，房间布置也不错，感觉挺舒适，价格也合适。', '短评打分': 5}
{'短评内容': '酒店位置不错，周边交通挺便利，出行挺方便。', '短评打分': 5}
{'短评内容': '房间挺干净，设施也还行，服务挺周到，出行也方便，住的比较满意。', '短评打分': 5}
{'短评内容': '不错很方便', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '位置，服务很好，和价位匹配，早餐还行，非常方便。', '短评打分': 5}
{'短评内容': '位置好方便出行,而且室内的条件也不错,就是服务上略有不足.不过综合条件还可以.', '短评打分': 5}
{'短评内容': '酒店位置太偏了，设施也旧............\r\n', '短评打分': 1}
{'短评内容': '说的是3星， 其实是2星， 很一般的酒店', '短评打分': 1}
{'短评内容': '按照上海现在这么火的情况来说，已经非常不错了，价格也合适。', '短评打分': 5}
{'短评内容': '房间挺大的，内还有小冰箱，这点非常好，就是空调有些老，卫生还是不错的，总体满意~！下次还会入住~！', '短评打分': 5}
