{'短评内容': '还可以，希望多搞特价', '短评打分': 5}
{'短评内容': '很一般的酒店，卫生其实很不干净。我住的房间带麻将桌的，地毯很脏（厚厚的一层灰尘），麻将桌周边的地毯上都是香烟头烧过的痕迹。\n刚入住时房间里有很重的异味。只是房间内家具的颜色比较淡、也还算新，所以让人感觉不会太脏。早餐也不好。\n不过在萍乡这种地方，这家酒店有这么高的评分应该也是正常的。', '短评打分': 1}
{'短评内容': '酒店位置不错，装修老了店，酒店大门不在主路上，早餐不好，ELONG价格也不给力！', '短评打分': 5}
{'短评内容': '此酒店地理位置及房间都不错，整体是个不错的酒店，建议入住', '短评打分': 5}
{'短评内容': '酒店装修不错，隔音也好，服务员很热情，可惜管理水平低，如不改进，二年后就是招待所水平。另外，酒店大堂入口太窄，很难找。', '短评打分': 3}
{'短评内容': '房间比较新，但是前台服务人员的素质有待提高，站在他们面前，都没人有搭理，连最基本的“您好”都没有。', '短评打分': 5}
{'短评内容': '客运电梯内安全检测卡上显示下一次安全检测日期2011年8月。10月2日入住。不符合特种设备管理规定。', '短评打分': 3}
{'短评内容': '订了套房结果给的是单间,因为有小宝宝床太小,最后终于换了间坏电视充满烟味的套房,郁闷...', '短评打分': 1}
{'短评内容': '在萍乡这种三线城市，这个酒店算不错了，就是酒店外部装修比较陈旧，服务员素质需要提高。', '短评打分': 5}
{'短评内容': '价位还可以，内部装修不错，但酒店大楼外观陈旧，位于市中心，比较嘈杂。萍乡军分区大喇叭比较烦人。', '短评打分': 5}
{'短评内容': '舒服  舒服  舒服 舒服  舒服  舒服 舒服  舒服  舒服 舒服  舒服  舒服 舒服  舒服  舒服 舒服  舒服  舒服 舒服  舒服  舒服 舒服  舒服  舒服 舒服  舒服  舒服 舒服  舒服  舒服 舒服  舒服  舒服 舒服  舒服  舒服 ', '短评打分': 5}
{'短评内容': ' 酒店不错，很干净!', '短评打分': 3}
{'短评内容': '这是我在江西住过的性价比最好的酒店，价钱不高，但里面的设施很好，装修也比较精致', '短评打分': 5}
{'短评内容': '第一次到萍乡，这个酒店位置和设施还可以，早餐一般。可以推荐。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '条件不错。很舒服！\n卫生也可以!下次还会再考虑！\n', '短评打分': 5}
{'短评内容': '我订的豪华单人间到去了没有了，这点让我很不满意。最后只开了一个标准间。', '短评打分': 5}
{'短评内容': '                 酒店还不错，环境很棒，就是店面感觉有点不好', '短评打分': 5}
{'短评内容': '在200元以下的酒店里，个人觉得可能是萍乡最好的了。', '短评打分': 3}
{'短评内容': '地段在萍乡是比较好的！交通也方便，对面就是一个大众餐厅，比较方便。早餐一般般，不够理想。服务还需要更进一步。', '短评打分': 5}
{'短评内容': '服务意识不到位，硬件差一些\n其他都很不错', '短评打分': 5}
{'短评内容': '比较整洁 还不错\n交通便利 \n处于繁华商业街\n购物 游玩都不错', '短评打分': 5}
{'短评内容': '外表不怎么漂亮，房间还不错\n价格在打完折后相当实惠啊', '短评打分': 5}
{'短评内容': '  硬件还好,软件离四星还有差距', '短评打分': 3}
{'短评内容': '酒店位置好，环境舒适，房间内卫生清洁，服务态度不错。值得推荐。', '短评打分': 5}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '也是在市中心酒店出行是很方便，价格也很合适。因为也是新开业的房间装修还是蛮新的。前台态度也不错。', '短评打分': 5}
{'短评内容': '环境很好，房间很干净，在萍乡最热闹的地方。很不错', '短评打分': 3}
{'短评内容': '   满意', '短评打分': 3}
{'短评内容': '条件还不错，位置也好比较适合商务出差，整体条件还可以.', '短评打分': 5}
{'短评内容': '酒店整体装修风格还好.位置比较好出门打车都挺方便的.而且服务人员也很热情周到，整体来讲条件不错.', '短评打分': 5}
{'短评内容': '前台反映很慢，我站在她们面前1分钟都没有一句话。与其对话，反映迟钝，是否你们都是鸟人？没有下次入住了', '短评打分': 1}
{'短评内容': '非常不错，很安静的酒店，卫生也很好，服务很好。', '短评打分': 5}
{'短评内容': '该宾馆很新很好。', '短评打分': 3}
{'短评内容': '17', '短评打分': 3}
{'短评内容': '房间还是很一般的，位置出行还是挺方便的，价格还行。', '短评打分': 3}
{'短评内容': '该酒店真的很好，很新，很干净，上街又很近。', '短评打分': 5}
{'短评内容': '1，电视节目不够清晰\r\n2，无线无法上网。当然房间里有台式电脑可以上网。\r\n3，性价比非常高。\r\n', '短评打分': 5}
