{'descr': '交通比较方便，但是设备设施比较老旧', 'star': 4}
{'descr': '舒适 安静 适合疲惫的身心好好休整放松！', 'star': 5}
{'descr': '房间新装修，很温煦。  晚上也不吵，服务员态度也很好。值得推荐！', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '还不错，性价比比较高，便宜是选择的首要原因，设施明显差点。', 'star': 5}
{'descr': '不错 值得推荐 呼呼 环境还行 网速再给力点就更好了 ', 'star': 5}
{'descr': '服务还可以，整洁干净，标间床有点小，其它的配套设施还行！', 'star': 5}
{'descr': '阳光很充足，这点很好，晒着太阳很舒服，还可以环境', 'star': 5}
{'descr': '离城市候机楼三公里多点儿，打车九元钱，住宿条件不错', 'star': 5}
{'descr': '吃、住、行相对与所处位置都比较方便，房间楼层较高，感觉安全方便比较好', 'star': 5}
{'descr': '离火车站打车十一元，公交出行比较方便，购物餐饮有点儿远，出门左行大约五至十分钟能到大市口‘热闹区’', 'star': 5}
{'descr': ' 离市中心满近的。饭店硬件设备还不错，比我想象的要好，这个价格值了', 'star': 3}
{'descr': '标间房间较大，楼层虽高且临街但不太吵', 'star': 3}
{'descr': '周边很热闹，交通也方便，房间十一楼，光线很亮，挺好的', 'star': 3}
{'descr': '性价比还是不错的，就是房间有点太旧，而且没有大床不怎么舒服，其他还不错。', 'star': 5}
{'descr': '住宿条件尚好，性价比还可以，有停车场很不错。', 'star': 5}
{'descr': '地方有点偏，服务员态度一般，里面环境到时很好，比较温馨很干净，', 'star': 5}
{'descr': '地理位置佳，设施一般。', 'star': 3}
{'descr': '环境还可以,但窗户太老漏风,而且镇江5路公交上全部是京谷80元特价标准间,有上当感觉!', 'star': 3}
{'descr': '一般稍差,但经济', 'star': 3}
{'descr': '要求不能太高，随便住住，性价比应该还算过得去。', 'star': 5}
{'descr': '房间收拾的很整洁，服务很到位，酒店是新装修过的，住宿环境还是挺好的', 'star': 5}
{'descr': '条件一般,房间较旧,不能要求太高,随便住住还过得去.', 'star': 5}
{'descr': '除了床比较小，隔音较差外，其他都还不错。', 'star': 5}
{'descr': '经济实惠，交通便捷，服务也不错。觉得有一个地方弄的挺好的，就是空调下面放了一个架子，可以吹吹衣服。就是入住的是时候是年初四晚上，初五凌晨都在放烟花，影响了睡眠，总的来说还是不错的。值得入住。', 'star': 5}
{'descr': '房间蛮大的，也很安静的，隔音效果不错，就是床太软，睡的不习惯，空调到下半夜也不给力了，下次还住那', 'star': 5}
{'descr': '地理位置比较好，市中心很热闹，有停车场，住的是138的标间是新装潢的，环境不错，干净，还有网线可以上网，空调下装了个毛巾架是个特色，洗点内衣可以放在这里用空调吹干，很实用的创意！这几天在装电梯，只运行一部有点不方便。', 'star': 5}
{'descr': '地理位置不错，服务态度也很好，价钱也合理，就是门卡太旧了，用的很是不方便！', 'star': 5}
{'descr': '房间一般,比较混乱', 'star': 3}
{'descr': '不错，就是晚上堵车有点厉害，打车有点不方面其他还好', 'star': 5}
{'descr': '房间整洁，服务热情，交通便捷，从火车站可乘2、4、5、k218路到此，我们打的用10元，宾馆二层有饭店，对面是解放军359医院，这次旅途感冒发烧就是在这个医院开药治好的。', 'star': 3}
{'descr': '住宿条件不错，谢谢！', 'star': 5}
{'descr': '总的来说 钱不多 看MIDI够了...............', 'star': 5}
