{'短评内容': '酒店 不是北湖宾馆的主楼 是副楼，还可以，价格也实惠', '短评打分': 5}
{'短评内容': '酒店的服务实在跟四颗星星的级别不相符！我要的房型，介绍上说的是11楼以上的楼层，我订房时也备注了要高楼层的，前台给我的却是7楼，还说只剩这一个了，没看到有备注。我到前台办入住几分钟，就遇到两起客人说提前电话定好了房间，可到了前台却说没房了……酒店在市区，深夜清晨都不安静，第二天早上10点左右，房间的附近搞装修，很是无语.', '短评打分': 1}
{'短评内容': '卫生间很小\u3000不淌水\u3000酒店地段好虽然在中心\u3000还算安静', '短评打分': 3}
{'短评内容': '老牌酒店，硬件不错，早餐也比较丰盛。地理位置在市中心，交通极为方便。', '短评打分': 5}
{'短评内容': '作为老牌酒店，位置很好，设施齐全，性价比较高。', '短评打分': 5}
{'短评内容': '总的说来还行。', '短评打分': 3}
{'短评内容': '到南充就住这家,老店了,管理规范,住了放心,没有骚扰,这次手机忘在房间就退房了,隔了6个小时才想起,电话联系后,宾馆已登记保存,核实后退还,自己感到幸运.如果不规范就拿不到东西了,在这里赞扬南充北湖宾馆.希望大家放心住.', '短评打分': 5}
{'短评内容': '在南充还算是不错了。在市中心交通购物比较方便', '短评打分': 5}
{'短评内容': '其他都好就是停车费太高', '短评打分': 3}
{'短评内容': '环境不错，老住这里了。', '短评打分': 3}
{'短评内容': '房间有点旧了', '短评打分': 3}
{'短评内容': '酒店位置不错，，，房间也很干净。。。。洗澡也很舒服', '短评打分': 5}
{'短评内容': '环境不错，地理位置不错。值得推荐，大家如果去南充的话，北湖宾馆是可以推荐的地方', '短评打分': 5}
{'短评内容': '酒店比较老了。设施比较陈旧，确实很一般。顶多算二星级。唯一觉得比较好的就是酒店位置比较好，停车方便！', '短评打分': 3}
{'短评内容': '服务态度可以', '短评打分': 3}
{'短评内容': '前厅和餐厅的接待人员服务态度差，\n房间陈旧，\n房间里总觉有股味。', '短评打分': 1}
{'短评内容': '挺好的酒店,环境很好,旁边有一个北湖公园,不错,不错.', '短评打分': 5}
{'短评内容': '这是靠近北湖公园的宾馆，周围嘈了点，房间卫生还行，但早餐有特色，美味的牛肉米粉让人十分喜欢。品种很多。至此，酒店外观的破旧就使人释然了。出门打车5元去大西门那儿有天下最好吃的羊肉米粉，汤浓汁白，米粉嫩滑，羊肉香而片薄。翠绿的香菜在红辣椒油的映衬下，令人食欲大开。', '短评打分': 5}
{'短评内容': '在南充酒店还是很不错的，服务很好，卫生可以。', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 3}
{'短评内容': '1、电视节目单告知的节目没有；\n2、房门安全拴早就坏了，但未重新安装，一晚上睡得提心掉胆；\n3、早餐客人进餐处成了宾馆工作人员餐厅；\n总之管理差，根本达不到四星级水平。', '短评打分': 1}
{'短评内容': '环境比较舒适，算咱们这边条件比较好的了，不错。', '短评打分': 5}
{'短评内容': '酒店服务环境都挺好的我喜欢每次来南充都住这里，有一种家的感觉。', '短评打分': 3}
{'短评内容': '1北湖宾馆', '短评打分': 3}
{'短评内容': '位置不错 窗子隔音还可以\n就是设施有点旧\n开车的千万不要停在酒店过夜 住店客人都要收费￥20！简直就是抢钱 停对面的家乐福下面就好了\n进电梯的人很多都是叼着烟进去的 电梯里永远都有很重的烟味 酒店也没人来管\n早餐一般', '短评打分': 5}
{'短评内容': '再次入住北湖，感觉还是一样的好', '短评打分': 3}
{'短评内容': '＋服务挺好 地道不错', '短评打分': 3}
{'短评内容': '己入住', '短评打分': 3}
{'短评内容': '算是南充的高档酒店了，设施还可以，可办理入住手续时两个前台小姐只顾自己说话，对客人的询问置之不理，与四星级的标准严重不符，服务有待提高。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，旁边就是北湖公园。楼下还有个小吃街', '短评打分': 5}
{'短评内容': '在当地算是比较好的酒店了，边上是个公园，早餐一般', '短评打分': 5}
{'短评内容': '很好。房间很宽敞，干净。服务业挺好的。地理位置也很好。距离火车站超级近。下次还住这里', '短评打分': 5}
{'短评内容': '该酒店环境挺不错的 ，我住的房间洗手间有点小，早餐比较丰盛，就是橙汁跟白开水似的还有一股子咖啡味。', '短评打分': 5}
{'短评内容': '酒店较旧，房间是异形较小', '短评打分': 3}
{'短评内容': '位置好，环境好！特别是被子很舒服，特别的软，非常适合觉觉！', '短评打分': 5}
{'短评内容': '酒店的卫生还不错，床单被褥都非常的整洁干净。', '短评打分': 5}
{'短评内容': '风景环境很好的一家酒店，挨着北湖公园，环境舒适，空气清新。', '短评打分': 5}
{'短评内容': '酒店的服务很周到，员工素质都很好态度热情。', '短评打分': 5}
{'短评内容': '酒店位于市中心，出行很方便。环境也很好，房间干净整洁，价格能优惠些比较合适。', '短评打分': 5}
{'短评内容': '服务周到细致，交通也方便，环境蛮不错的。', '短评打分': 5}
{'短评内容': '环境还可以.室内的设施还可以.空间比较狭小.隔音效果也不好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '酒店的硬件设施有点陈旧，尤其是镜子有点地方感觉很花了，格调还是可以的，价格觉得还是有点贵了的，位置到是很方便，后面有个休闲地方（湖泊）', '短评打分': 5}
{'短评内容': '入住的特色房间实在不怎么样,房型太小,一个4星级酒店,房间里连吹风机都没有,比起东莞那些3星级的酒店差远了', '短评打分': 1}
{'短评内容': '服务差', '短评打分': 1}
