{'短评内容': '还行，价格较合适，早餐质良待提高，网络也不给力。', '短评打分': 5}
{'短评内容': '又来住了一次，感觉没什么变化，性价比一如既往的高，早餐还是一样的差，如果能把早餐改善一下就比大多数连锁酒店的条件好了', '短评打分': 5}
{'短评内容': '总的来说还可以，大堂明亮，前台也还可以，房间也很大，只不过洗手间的热水非常的不稳定，洗到一半就变凉了，洗发水如果用更好一点的就更好了\n', '短评打分': 5}
{'短评内容': '环境不错，干净整洁，房间也很大，性价比高', '短评打分': 3}
{'短评内容': ' 房间太小。', '短评打分': 3}
{'短评内容': '酒店环境和房间不错，挺舒适。但前台的态度不是很好', '短评打分': 3}
{'短评内容': '免费升级到主楼，但我住的房间太小，新风系统太噪，空调关了也照旧，房间气味太重。', '短评打分': 1}
{'短评内容': '虽然地处比较偏僻，但是环境卫生还是可以的，离我办事地点也近，所以经常入住。早餐有待提高。', '短评打分': 5}
{'短评内容': '副楼没电梯真的不方便，而且因为是副楼，所以竟然连床单枕套什么的都是脏的旧的，还说什么因为房价低，所以用旧的，无语了。。。', '短评打分': 5}
{'短评内容': '酒店设施一般，装修程度一般，不过很干净。价钱比较便宜。比较适合追求性价比的朋友。', '短评打分': 5}
{'短评内容': '重新装修过还行，就味道有点重！总体还是不错的。', '短评打分': 5}
{'短评内容': '酒店环境还不错，闹中取静，周边设施 比较薄弱；另外，前台的服务有待加强，我入住时打不开房门，客房服务说是卡脏了，换张卡就好，前台死不肯，硬说卡没问题是锁的问题，可以换房间，就是不换卡，害我来回跑了4次3楼，等于12楼了，最后还是换卡后好了，幸亏我那天心情还不错，不然。。。', '短评打分': 5}
{'短评内容': '都挺好的，大堂有个自动售货机，不过都是没用的东西，如果改成饮料会省我很多事。房间冰箱里没有饮料', '短评打分': 5}
{'短评内容': '住的全是主楼，感觉还不错，好像还有个附楼，外面装修看着还可以不知道里面怎么样', '短评打分': 5}
{'短评内容': '洗发水的味道我不太喜欢，能换个好点的就好了，早上洗澡有时候热水不热，希望能有改善，其他都挺好的', '短评打分': 5}
{'短评内容': '窗户面对马路稍微有点吵，晚上外面的灯光特别亮；离长风公园很近，但吃饭的地方附近没有多少，等国丰酒店旁边的商业配套好了应该就会有所改善', '短评打分': 5}
{'短评内容': '深夜到店，还有一个同事的身份证忘了，前台坚持原则不许入住，但是给出了解决办法：去派出所登记开证明；让人印象深刻。', '短评打分': 5}
{'短评内容': '性价比超高的经济型酒店，就是电视的台数少一些', '短评打分': 5}
{'短评内容': '离公司近，方便，只是客房是中央空调，功能少了些，', '短评打分': 5}
{'短评内容': '环境还不错，。                                             \n经济实惠，服务态度也不错。', '短评打分': 5}
{'短评内容': '房间很干净，服务也很好，不足的就是客房没有电吹风机借，其他的都很好！和长风公园也很近，下次去上海还住那里！', '短评打分': 5}
{'短评内容': '离长风海洋公园非常近 适合带着家人小孩去玩\n住的2号楼 设施需要检修了', '短评打分': 5}
{'短评内容': ' 酒店环境不错，前台服务人员态度稍微有些冷漠。', '短评打分': 3}
{'短评内容': '房间还可以，临街的有些吵，蹲便器太高。', '短评打分': 3}
{'短评内容': '酒店还可以，房间里空气一般，上网速度很慢，而且不稳定，有时又会断线。', '短评打分': 5}
{'短评内容': '环境比想像中好,房间整洁,价格合理,值得推荐', '短评打分': 3}
{'短评内容': '位置及服务皆不错，环境优美，只是餐饮需进一步改进。', '短评打分': 5}
{'短评内容': '经常出差到附近办事，已经习惯住这了。还是可以吧，还要住的。', '短评打分': 5}
{'短评内容': '住在副楼。感觉干净 整洁；晚间安静。价格还算可以，有时会优惠活动，非常便宜。', '短评打分': 5}
{'短评内容': '环境还可以，服务态度差的没话说。最不能忍受的是没有热水。本来打算住两天，但是一天就走了。床单上还烂了个洞。', '短评打分': 1}
{'短评内容': '闹中取静，房间不算小，长风公园边上。很不错，下一次还会再去。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '这家酒店因为离我办事的地方很近,所以我每次都住这家.卫生很好,相对干净,价格也很实惠,就是早点很差,希望改进一下就好了.', '短评打分': 5}
{'短评内容': '干净 整洁，价格不高，出行比较方便，环境相对安静。', '短评打分': 5}
{'短评内容': '这次来定房发现有很大优惠，希望下次还能够有这么好的运气呀', '短评打分': 5}
{'短评内容': '经常来住的酒店，因为经常来附近办事，中规中矩，只是有时密码箱给前个客人锁上不能用', '短评打分': 5}
{'短评内容': '交通方便,附件餐厅多,朝街的房间比较吵,建议挑背街的', '短评打分': 5}
{'短评内容': '交通方便,在长风新区,离虹桥中心很近,一切都可以', '短评打分': 5}
{'短评内容': '在大上海,这样的价格已经是非常便宜了,值得再来', '短评打分': 5}
{'短评内容': '环境好，对面就是长风公园，闹中取静，房间也够大。', '短评打分': 5}
{'短评内容': '4干净整洁舒适,我喜欢的风格!', '短评打分': 3}
{'短评内容': '先说说优点：\n\n1. 酒店的位置还是不错的，大渡河路近金沙江路的路口，很安静。\n    前面有朋友说附近没有什么吃饭的地方，大概是您没找对路线，金沙江路上吃饭的地方还是不少的。\n2. 酒店是新开业的，房间干净清爽，在上海算是比较实惠的价格了。\n\n只是，我住的那个房间有比较诡异的，我总感觉衣柜那一块的地方是歪的，不平\n\n', '短评打分': 5}
{'短评内容': '酒店离2号线有两战地，店内服务不错，也干净，有一个房间有烟味，换了一个房间就好多了，建议酒店把有烟和无烟房严格分开。六楼走廊有很大异味。', '短评打分': 5}
{'短评内容': '非常干净的一家酒店，而且离办公室又非常的方便。', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，前台服务不是很好，总体来说很一般！', '短评打分': 5}
{'短评内容': '设施有些陈旧，前台服务不是很好。卫生还可以！', '短评打分': 5}
{'短评内容': '地理位置很不错，酒店也非常干净。就是建议浴巾什么的可以更换了，比较旧，比较黄，有的已经有洞了。', '短评打分': 5}
{'短评内容': '酒店很静很舒服环境也不错，住的的是特价大床，房间很宽敞，值得入住，中山公园打车过来15块', '短评打分': 3}
{'短评内容': '服务态度一般，周围的商业环境还没有开张。', '短评打分': 1}
{'短评内容': '很安静很舒适 价格也是比较合理的 房间干净比其他连锁大\n', '短评打分': 5}
{'短评内容': '干净卫生整洁，下次有机会还在这住。', '短评打分': 3}
{'短评内容': '还是很好，一直住在他们家，环境，吃饭，停车都非常方便', '短评打分': 5}
{'短评内容': '环境很好，一直住那里', '短评打分': 3}
{'短评内容': '环境幽静，周边的交通也非常方便，工作人员的服务态度好，以后还会入住', '短评打分': 5}
{'短评内容': '一个一无是处的旅店 其结果只有一个 倒闭！', '短评打分': 1}
{'短评内容': '离公司很近，环境又很不错，是性价比挺高的酒店，下次会继续支持的~', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '环境不错，房间宽敞，设备齐全，下次还会考虑入住凯博佳豪的。', '短评打分': 5}
{'短评内容': '地点有点偏，其它的不错，也有家的感觉。环境靠长风公园，只是附近配套的差了点儿。', '短评打分': 5}
{'短评内容': '每次都会住这里，就餐方便，房间比较干净，只是副楼没有电梯', '短评打分': 5}
{'短评内容': '这里是金沙江路站附近适合外宾住的宾馆，离3，4号线出租起步价，酒店里换外币也很方便，附近还有个药房。房间里蛮干净的，空调也很暖，浴间里热水蛮大的。\n只是副楼没有电梯，卫生间换气扇开着但是还是有淡淡的烟味，大概是外面有人吸烟？\n酒店的内部餐厅味道不错，但是晚上经常被包桌，附近又没有什么饭店，这个有点不便。\n总的来说还是推荐的。\n', '短评打分': 5}
{'短评内容': '环境还可以，就是空调力道小了一点，以后值得改进', '短评打分': 5}
{'短评内容': '房间整洁，晚间安静，特价真是实惠，还可以网上预定，非常方便。', '短评打分': 5}
{'短评内容': '不错的环境.满清爽的...就是价格稍微高了一点点哦，但是总的还可以,房间最主要满干净的', '短评打分': 5}
{'短评内容': ' 房间没有主灯光 2号楼没有电梯 早餐特别差 不但品种少 味道也很差 不推荐', '短评打分': 3}
{'短评内容': ' 感觉很好 性价比高 ', '短评打分': 3}
{'短评内容': '，环境不错，安静', '短评打分': 3}
{'短评内容': '环境一般，不过价格倒不贵。', '短评打分': 3}
{'短评内容': '超棒的酒店.房間溫馨.也滿大的.餐廳菜色不錯.價錢公道.下次會再去.', '短评打分': 5}
{'短评内容': '房间清洁可以，但是服务很一般，特别让我无法接受的所有的浴巾和面巾完全是破旧的，无法想象这是一个星级酒店，还是一个老旅馆。', '短评打分': 1}
{'短评内容': '比较安静，距离地铁还是比较远，环境不错适合居住。', '短评打分': 5}
{'短评内容': '世博期间价格张的太多了，附近在修地铁有点乱有点脏', '短评打分': 1}
{'短评内容': '酒店地理位置还可以,也很安静,主楼一楼的餐厅的菜还可以.晚餐吃的还不错,两个人150块.房间大小能接受,就是电视节目少了点,还有最不能忍受的就是毛巾最垃圾,都是破的旧的.不管怎么说 还是推荐的', '短评打分': 5}
{'短评内容': '环境还可以，设施一般，服务一般吧，蛮安静的', '短评打分': 5}
{'短评内容': '周围环境不在闹市，房间及设施很新。属于比较舒适的。价格也不高。', '短评打分': 5}
{'短评内容': '环境可以有点偏', '短评打分': 5}
{'短评内容': '还算不错的，就是最近涨价了哦！副楼没有电梯，要爬楼梯的！', '短评打分': 5}
{'短评内容': '位置有点偏，打的师傅用导航才找到的。。。酒店离金沙江站蛮近的。一个起步价就差不多了、酒店还算舒适的。和同一价格的如家相比感觉内部设施好很多。房间野蛮宽敞的，床也蛮大的。就是预定的是特价房然后就在最里面那间。。。还有就是酒店毛巾有点脏，黑黑的。总体而然对于SB会这一期间的酒店价格还是很核算的、', '短评打分': 5}
{'短评内容': '酒店不错，比较新，也比较宽敞，性价比好。', '短评打分': 5}
{'短评内容': '环境很好，卫生也不错。就是附楼的一些硬件设备建议能够更新下，呵呵！总的来说还是不错的，值得推荐！', '短评打分': 3}
{'短评内容': '网速很慢，等死人。洗浴品太少，还不全。沐浴用品差，洗了不舒服。', '短评打分': 3}
{'短评内容': '性价比不高，不值得住。地段偏，没有早饭，副楼没有电梯，有的房间踏脚板还不好，空调的声音比较大。墙面和顶面有的房间还有污渍。', '短评打分': 1}
{'短评内容': ' 酒店还可以…服务不错！', '短评打分': 5}
{'短评内容': '酒店的位置还不错，房间简单有老上海的那种味道。服务也算可以，是一家性价比较好的酒店。', '短评打分': 3}
{'短评内容': '在世博会还能定到这样价格的酒店，的确感觉很惊喜。酒店是老式建筑的那种感觉。虽然住2号楼，是居民楼改造的，但还是不错的，房间比较简洁，老上海的那种感觉，干净。位置也不错。总的来说挺舒服的，性价比较高。', '短评打分': 5}
{'短评内容': '这是第二次入住了，虽然没第一次那么幸运能免费升级为豪华大床房，但副楼的房间没有想象中的那么差劲，就是楼梯爬了累了点，觉得380的价格还是偏贵，但很安静，以后还是会选择去那里入住的。', '短评打分': 5}
{'短评内容': '牙具、梳子等用品没必要每天一换，太浪费，除非客人明确要求，否则可以多使用几天，这样也符合环保理念。\r\n另外，早餐品种太少，建议能适当增加。', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '设施不错，也比较干净，就是房间太小了，488的房间和价格不太相衬，另外毛巾也该换了', '短评打分': 5}
{'短评内容': '+不错房间很大!只是没电梯!', '短评打分': 5}
{'短评内容': '不错，还可以。不错，还可以。不错，还可以。', '短评打分': 3}
{'短评内容': '原本预定的房间可能是被安排在凯博佳豪宾馆的副楼的。。看评价都说房间又小，还要爬楼梯，性价比很差。没想到当我到达前台时却被告知由于副楼的房间已经住满了，所以免费帮我升级到主楼的房间，当走进523号房间时，觉得真是对得起380元这个价钱，格局干净利落，或许因为是在大楼转角的房间，空间特别大，浴室里也是干干净净的，还有浴缸和淋浴间两个洗澡的地方~与世博会期间水涨船高的房价和不成比例的狭小房间来对比，真是', '短评打分': 5}
{'短评内容': '酒店很好，很温馨', '短评打分': 5}
{'短评内容': '还不错，服务态度个人很喜欢。门口有公交站，去2号地铁站很方便。但希望改善浴室的毛巾质量', '短评打分': 5}
{'短评内容': '前往上海出差，组织方安排的是这个酒店，因顺便带家人去看世博，自己订了一间房；世博原因涨价了，可以理解，酒店环境还不错，比较满意；需要指出的是副楼的单体空调声音太大，应该是室内机没有安装好！我住的主楼是中央空调，还行！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店前台态度极其恶劣，副楼又脏又没电梯，性价比低，不推荐。', '短评打分': 1}
{'短评内容': '很干净很新的一家宾馆 我下次还回去的', '短评打分': 5}
{'短评内容': '蚊子忒多了！', '短评打分': 3}
{'短评内容': '蚊子忒多了！', '短评打分': 5}
{'短评内容': '这个酒店总体来说还不错,离虹桥机场近,离地铁只有不到两公里,房间设施也很好,就是貌似是新开的酒店,一般出租司机都不认识,而且从机场到这里只花不到40块钱出租车费,司机也不爱拉,怨言比较多，时间长了可能就好了~~~', '短评打分': 5}
{'短评内容': '应该说 卫生还可以 停车方便 比较安全 没有吹风机不方便', '短评打分': 5}
{'短评内容': '一个还算温馨的酒店，', '短评打分': 5}
{'短评内容': '酒店较新，干净', '短评打分': 5}
{'短评内容': '总体很不错的，比较干净整齐。位置还算好，就是要走段路，没有直通的车子到火车站。酒店附件还有个夜市，很热闹！值得推荐！', '短评打分': 5}
{'短评内容': '不错，还可以。', '短评打分': 5}
{'短评内容': '酒店外观风格还不错，环境也算安静幽雅。但前台服务人员素质不高，态度很差，影响客人心情。打扫房间的阿姨服务态度倒蛮好。', '短评打分': 1}
{'短评内容': '地點較偏,但上海現在沒有提前很久就預定,很難找地方住,所以只好做此選擇.', '短评打分': 1}
{'短评内容': '房间干净整洁，性价比高，位置稍偏。', '短评打分': 5}
{'短评内容': '因为公司位置的关系，觉得还不错～～性价比较好', '短评打分': 5}
{'短评内容': '比较中规中拒，主楼还行', '短评打分': 5}
{'短评内容': '附楼的性价比很高，房间挺大，卫生间、浴室、电脑间都独立分开。交通也方便。', '短评打分': 5}
{'短评内容': '比较不错  出差一般都去那住', '短评打分': 5}
{'短评内容': '位置很偏，吃饭的地方少，豪华大床房房型很差，空调声音大。\r\n卫生比较好，装修风格我很喜欢，酒店的安保工作做的很好。\r\n性价比一般啦。', '短评打分': 5}
{'短评内容': '真的还不错！环境优雅！舒适！', '短评打分': 3}
{'短评内容': '性价比还不错！', '短评打分': 3}
{'短评内容': '酒店外观条件不错！在上海这个价格也还不错！我们入住的为附楼标准双人间。房间卫生、服务都还不错！就是附楼没电梯！很不方便！', '短评打分': 5}
{'短评内容': '设施不错', '短评打分': 3}
{'短评内容': '比较适合的一家宾馆，将会继续安排客人住在这边。', '短评打分': 5}
{'短评内容': '非常不好,尤其是服务非常差,完全没有任何职业素质,大概这些人都没有接受过培训', '短评打分': 3}
{'短评内容': '把客人的东西送到别的房间,还欺骗客人,以各种理由推脱责任,实在是素质差到极点', '短评打分': 1}
{'短评内容': '性价比不错，满意～～', '短评打分': 5}
{'短评内容': '简单说下酒店硬件表面还行 但空调一直不制热 同时住的是套房 但一台电视还是坏的 \r\n\r\n服务则是一踏糊涂了 因为稍微睡晚了点 12点多一点了 下去结帐时迷糊签了字 最后没想到多出的那十分钟让我多付了半天房费,而且酒店都没有提前电话我.问我是否结帐等.真的是心情被弄的很差\r\n\r\n所以以后再也不会入住了 ', '短评打分': 1}
{'短评内容': '很干净舒服的酒店。就是冰箱后面的插头形同虚设啊', '短评打分': 5}
{'短评内容': '比较不错', '短评打分': 5}
{'短评内容': '性价比很好，往上海西面出行很方便，如有合适机会会再考虑。', '短评打分': 5}
{'短评内容': '酒店很舒适，性价比高', '短评打分': 5}
{'短评内容': '一家不错且值得推荐的好酒店！', '短评打分': 5}
{'短评内容': '是家不错的酒店,酒店外围风格欧化,内部也不错,性价比很高.', '短评打分': 5}
{'短评内容': '干净，安静，还不错', '短评打分': 5}
{'短评内容': '酒店的地理位置比较偏,不过交通还可以,从酒店到南京路也就35分钟左右,还是很方便.酒店的环境很不错,房间大小在上海来说,还是可以了,不过电视频道太少了,另外周围吃饭和超市很少,不过酒店有优惠,住两个晚上只付一个晚上的价钱,性价比就相当相当的高了.总体来说,很好,下次还是会选择住这里.', '短评打分': 5}
{'短评内容': '基本都还可以，就这个价钱来说，但早餐和服务人员需提高', '短评打分': 5}
{'短评内容': '这家酒店很喜欢，虽然涨价了一次，但是性价比还是相当高的，推荐大家去住！！', '短评打分': 5}
{'短评内容': '价格与酒店内外环境都不错，前台服务仍需更加专业。', '短评打分': 3}
{'短评内容': '酒店价格很实惠，内外环境也不错，只是地理位置略偏，出行往市中心略有不便，总的来说会想朋友推荐，如果今后有合适的出行安排也会考虑选择。', '短评打分': 5}
{'短评内容': '总体来说不错，卫生干净，设施完善，地理位置交通方便，服务热情周到，性价比不错', '短评打分': 3}
{'短评内容': '总体比较不错  就是中央空调不好  制热效果不佳   ', '短评打分': 5}
{'短评内容': '主楼的价格从2009年中的198涨到238，再到现在258（比上海的房价涨得慢），但仍觉得很不错。', '短评打分': 5}
{'短评内容': '硬件设施不错，前台感觉不专业，有出错，沟通比较费劲', '短评打分': 5}
{'短评内容': '位置很好,离我办事的地方很近,而且周围也安静,住着很舒适,卫生服务方面也都不错,但就是楼里没有电梯,不太方便,而且没有有线,电视台很少.', '短评打分': 3}
{'短评内容': '环境，服务都不错', '短评打分': 5}
{'短评内容': '经济实惠，性价比可以', '短评打分': 3}
{'短评内容': '房间大小适中，酒店环境不错，晚上很安静，服务也还行，就是离地铁稍远，第一次去本想锻练一下身体用步行的，谁晓得地铁出来走了半个多小时，建议从地铁出来的还是选择打的方便点，一个起步费。', '短评打分': 5}
{'短评内容': '环境不错，就是门缝大点，隔音效果不好， 价格是比较优惠的', '短评打分': 3}
{'短评内容': '位置不是很好，价格很好。出行交通不是很方便，性价比倒是很好，可以考虑入住的酒店。', '短评打分': 3}
{'短评内容': '性价比比较高，虽然不是市区，但酒店环境不错。', '短评打分': 5}
{'短评内容': '设施很新，安静而优雅。就是位置稍微有些偏。', '短评打分': 5}
{'短评内容': '比较舒适。', '短评打分': 3}
{'短评内容': '性价比好，可是坐地铁不方便，每次打车多花不少钱', '短评打分': 5}
{'短评内容': '酒店性价比很高,刚刚住进去有些灰尘,好像很长时间没人住过自己得擦一擦,位置很偏很安静,要是坐车走15分钟才能到车站.但是价格超便宜.', '短评打分': 3}
{'短评内容': '性价比比较高，服务也不错，入住还送饮料，房间的布置比较温馨有点家里的感觉，除了电视没有IPTV这个小小的缺憾，其它都比较满意', '短评打分': 5}
{'短评内容': '这家酒店有点偏，周围是过去的工业区。酒店附近没有什么可以消费的地方，只能呆在房间里上网。但酒店设施与服务不错，与价格相比还可以。', '短评打分': 5}
{'短评内容': '酒店环境还挺好的，也很干净，服务人员态度也很热情，就是酒店周边吃饭或者娱乐场所相对少一些，不错的酒店值得推荐', '短评打分': 3}
{'短评内容': '整体来说酒店的设施和卫生状况都挺令人满意的，就是离地铁有点远，位置偏了点。如果你选择的主要交通方式是坐地铁，那你要打个的，起步价就到了。附楼的房间带阳台，这点我觉得挺不错。', '短评打分': 5}
{'短评内容': '我住的负楼里面没有电梯很不方便,酒店里面很干净,设施齐全,位置很好靠近办事地点.', '短评打分': 3}
{'短评内容': '主楼不错，副楼不能开窗，有点闷，新装修空气不佳。', '短评打分': 3}
{'短评内容': '地理位置不错、服务也可以让人满意，房间蛮干净，设施比较新。停车方便，绿化不算多，但小环境还算雅致。', '短评打分': 5}
{'短评内容': '交通便捷', '短评打分': 5}
{'短评内容': '住了不少次了，很不错，环境很不错。', '短评打分': 5}
{'短评内容': '位置有点偏,酒店里面没有电梯,不太方便,房间里面的环境和条件都不错,住着挺舒适的.', '短评打分': 5}
{'短评内容': '内部环境清幽，楼也很漂亮，就是离市区太远，晚上想逛南京路的要考虑，推荐给对宾馆环境卫生要求高的人', '短评打分': 5}
{'短评内容': '不错哦。。。', '短评打分': 5}
{'短评内容': '卫生很好,但是室内有点异味,建议宾馆方多开窗通风.性较比较高,安静.是不错的选择.注,仅对主楼评价.', '短评打分': 5}
{'短评内容': '感觉酒店还可以，挺干净的，不过酒店有好几栋楼，上次住的那栋楼是没有电梯的，有点不方便，别的还不错，价格也比较实惠', '短评打分': 5}
{'短评内容': '换老板后服务差的一塌糊涂！交通也不方便！房间就是公房改造的，而且没电梯！！\r\n\r\n情愿住莫泰168也不住这里！', '短评打分': 1}
{'短评内容': '印象不是太好,服务太差了,新装修设施还可以,洗涤用品不是很好.床单洗完以后很硬,不舒服.', '短评打分': 1}
{'短评内容': '设施环境都不错，性价比很高。但是豪华略欠方便。', '短评打分': 5}
{'短评内容': '酒店位置太偏僻了，而且房间面积也比较小，不过还是变新的，性价比也挺高的', '短评打分': 5}
{'短评内容': '比较干净合理，内部环境不错，而且也很安静，酒店经济实惠，如果在附近办事这家酒店是很好的选择', '短评打分': 5}
{'短评内容': '新装修的酒店很干净，自驾过去规模不大，很漂亮的酒店。周围环境很简单，酒店内部没有早餐，餐厅暂时还没有开。附近出租车也没看见。很安静的酒店。这家酒店对我来讲都是非常满意的，适合自驾的客人，适合情侣。我很喜欢的酒店类型。', '短评打分': 5}
{'短评内容': '蛮不错的酒店 位置不是很偏 长风公园不远 性价比很高', '短评打分': 5}
{'短评内容': '新装修的漆味道很厉害，原来居民楼改造的。家具甲醛味道超级厉害。建议有过敏的别去，会死的很难看的。', '短评打分': 5}
{'短评内容': '酒店除了位置偏了点，其他都不错', '短评打分': 5}
{'短评内容': '酒店环境好。卫生好。', '短评打分': 5}
{'短评内容': '酒店设施新，房间布局比较时尚，豪华间有淋浴和浴缸。免费上网，网速很快。大液晶电视机，还有HBO等卫星频道能有中文字幕就更好了。如果房价能再优惠些性价比就更高了。周边大型餐饮少，最近的商业圈要开车出行2公里。', '短评打分': 5}
{'短评内容': '酒店的服务卫生都不错，性价比非常不错的酒店所以经常入住。', '短评打分': 5}
{'短评内容': '酒店的环境设施都还不错,为生服务也很好,就是位置太偏了出行不方便.尤其是购物.酒店建筑也不是很明显不是很好找.', '短评打分': 5}
{'短评内容': '酒店在上海郊区，离繁华地区远，因为当时我在那附近办事，一般情况不会住这家酒店，感觉档次低，服务跟不上', '短评打分': 1}
{'短评内容': '酒店设施比较新价格也很优惠.', '短评打分': 5}
