{'短评内容': '设施齐全，很不错 下次还来', '短评打分': 5}
{'短评内容': '交通方便,去西安医院很近.\n毛巾啊被子啊都超级新~很软~\n但是热水每次都是要放好久的水才有,而且地漏需要及时换啊,两次住的地漏都堵了=.=\n硬件的确是超四星的,但是能把莫名其妙的骚扰电话和这些热水神马的再弄好就完美啦~\n\n', '短评打分': 5}
{'短评内容': '地理位置优越，酒店环境好，房间整洁，出差商务建议选择', '短评打分': 5}
{'短评内容': '杯子上有条裂纹\u3000说是顾客弄的\u3000下次再也不住了……', '短评打分': 1}
{'短评内容': '很好的位置，办事情很方便。', '短评打分': 3}
{'短评内容': '卫生间下水有问题，房间很臭，长时间住在这里会氨气中毒！', '短评打分': 1}
{'短评内容': '还可以，厕所间异味重', '短评打分': 3}
{'短评内容': '很高级的酒店，在展会期间入住还是很合适的，价格很优惠，客户很满意，下次还会考虑', '短评打分': 5}
{'短评内容': '房间就是大，位置好，早餐也简单，卫生啥的很一般一般，', '短评打分': 1}
{'短评内容': '卫生不好', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '规模挺大，档次挺高，服务挺好，是个不错的入住目的地。\n', '短评打分': 5}
{'短评内容': '房间还行，厕所太小，周边环境还不错，酒店大堂看不出四星的感觉，没什么服务，总的来说500一晚的性价比不高。', '短评打分': 3}
{'短评内容': '房间非常大，设施也好，交通便利，去陕博、大雁塔，大唐芙蓉园都很方便。', '短评打分': 5}
{'短评内容': '性价比一般，胜在地理位置不错。昨天附近下水道爆裂，整个大厅弥漫恶心的味道，好在及时修复。', '短评打分': 5}
{'短评内容': '周围很热闹和方便，酒店性价比也很高，很赞！', '短评打分': 5}
{'短评内容': '距离医院很近，交通比较方便，在西安属于性价比不错的酒店了。', '短评打分': 5}
{'短评内容': '位置方便，四星的大酒店，各方面都还不错，下次还会住这儿。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '感觉不错，比上次(去年10月)感觉要好', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '很不错的酒店 服务蛮到位 下次来一定还住', '短评打分': 5}
{'短评内容': '陕西阳阳国际酒店可以！下次可以考虑一下！', '短评打分': 5}
{'短评内容': '客房硬件设施都挺不错。就是淋浴间小了点。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '第一天房间非常热，第二天半夜冻醒两次，无语了。。。。。', '短评打分': 1}
{'短评内容': '酒店房间有异味,而且我还发现了一只蟑螂,实在于4星酒店不符', '短评打分': 1}
{'短评内容': '早餐厅里客人还在吃饭，服务员就开始为了午饭翻台，换桌布扑扇扑扇的，让人觉得卫生环境极差，并且餐厅服务员面部没有任何笑容，住过西安酒店里餐厅服务员最差的一家酒店。房间也不太干净，床单怪怪的颜色。', '短评打分': 1}
{'短评内容': '房间一般般，楼下老人家唱歌跳舞到很晚，晚上酒店询问是否需要客房服务。', '短评打分': 1}
{'短评内容': '1，屋里居然有小强，还是好几只。开始只是觉得房间不干净，但是没有想到会这么差。吃了一个小水果罐头，之后出门，办事归来，看见3只小强在瓶口信步，顿觉头皮发痒，生平恶心的东西不多，小强便算一件。。。以至晚上睡觉不敢关灯，到了凌晨4点多方能入睡。第二天赶紧退房，办完事马上飞走。\n2，洗手间不下水，洗澡和泡脚是打包的。把水关了洗身上很冷，一直开着水洗，就一直泡着脚，最后水索性漫过了门槛，流到了洗手台，感觉', '短评打分': 1}
{'短评内容': '酒店一般', '短评打分': 3}
{'短评内容': '+优点:交通方便，缺点:卫生间洗手池反味，', '短评打分': 5}
{'短评内容': '价格公道，干净舒适，服务周到，出行方便。', '短评打分': 5}
{'短评内容': '酒店设计的很高档，房间面积较大，交通很方便，从酒店到大雁塔走路20分钟左右就可以到，蛮方便的', '短评打分': 5}
{'短评内容': '房间很宽敞，很干净，设施很好，洗漱用品质量也很，住的很舒适。', '短评打分': 5}
{'短评内容': '酒店位置很好，出行方便，房间卫生条件很干净，附近出门打车都方便，如果自驾过来，酒店有内部停车场，很大，停车不成问题。', '短评打分': 5}
{'短评内容': '酒店离大雁塔挺近的，内部环境很干净，显得很新，服务也很周到，值得推荐一下。', '短评打分': 5}
{'短评内容': '房间打扫的很干净，整洁，采光和通风效果都很好，房间装修不错，设计的比较大方简洁，住宿环境很好', '短评打分': 5}
{'短评内容': '酒店非常好，显得很高档，卫生服务都能到达四星级标准，感觉很舒适。', '短评打分': 5}
{'短评内容': '+总体挺差，服务态度不好，电梯少且慢，卫生间属脑残设计，维一值得肯定的是房间有电脑，算是意外惊喜', '短评打分': 5}
{'短评内容': '房间还行在西安来说应该算是比较不错的，位置还好，价格的话还是有些偏高了。', '短评打分': 5}
{'短评内容': '停车场是公用的，要收费而且车位少，很不方便，房间还比较干净，服务一般，性价比较高，下次还会入住。', '短评打分': 5}
{'短评内容': '更换床单，被子不积极，卫生间过小。其他都不错。', '短评打分': 5}
{'短评内容': '新酒店，很干净，就是厕所小，早晨起来30楼有炒菜的味道', '短评打分': 5}
{'短评内容': '空调外挂机有声响，大床房洗手间太小了，转身都费尽。', '短评打分': 3}
{'短评内容': '空调外挂机有声响，大床房洗手间太小了，转身都费尽。', '短评打分': 5}
