{'短评内容': '非常好，宽敞明亮，还可以晾衣服。', '短评打分': 5}
{'短评内容': '老板啊，我住的306，鼠标是坏的，热水器喷头是坏的，还有卫生间跟房间中间的那个灯也是坏的，还不时一闪一闪，这些我表示很无语，觉得有点对不起咱这价格吧，最关键本来定的下午走，结果温州动车事故搞的我买的那趟车取消了，行程提前，早上七点钟去退房还以为有车送到车站呢，结果也是说没车了，跟来的时候相比是不是有点虎头蛇尾啊。。。。不过老板态度很热情的，房间条件也还行，还有你们家小宝宝很可爱的哦，(*^__^*', '短评打分': 5}
{'短评内容': '客栈位于东栅和西栅之间，卫生条件尚可，房东热情且可接送，相对于住在西栅里可省下一半的费用，但只满足睡觉，无任何夜景可欣赏。', '短评打分': 3}
{'短评内容': ' 厕所蛮大,还有接送.', '短评打分': 3}
{'短评内容': '一般吧..感觉地点有点偏 不是很方便 门面有点小 老板人还不错 房间很一般', '短评打分': 1}
{'短评内容': '好，物超所值！', '短评打分': 3}
{'短评内容': ' 房间很干净，服务也好，性价比不错', '短评打分': 3}
{'短评内容': '就是前台有点小，酒店里面还是很好的，隔音效果不是很好，民居房而已，价格N贵，服务也好。', '短评打分': 5}
{'短评内容': '房间还是不错的，就是不开发票，价格不点不符合房价，服务也好。', '短评打分': 5}
{'短评内容': '老板一家人很Nice，初到乌镇不知道怎么去客栈，老板亲自驾车接送我们去汽车站。客栈卫生和环境都很不错，出乎意料的是还有电脑，给我们的出行带来不少方便，走的时候还买了7罐杭白菊和2小箱胡萝卜干和青瓜干带回深圳。下次再来乌镇还会来这家客栈，给我们留下了深刻的映像', '短评打分': 5}
{'短评内容': '老板很热情，但是宾馆条件一般，和想象的客栈不太一样', '短评打分': 3}
{'短评内容': '老板人很好，性价比很高。距离东栅步行也就5分钟，距离西栅15分钟。旁边有个很大很隐蔽很好的小吃，里面很多土菜小馆，味道很好还很便宜。', '短评打分': 5}
{'短评内容': '环境优雅，满意度良好', '短评打分': 3}
{'短评内容': '总体感觉性价比比较高', '短评打分': 3}
{'短评内容': '确实离西栅景区很近，房间比我想象中要好，老板服务周到', '短评打分': 5}
{'短评内容': '价格比较实在，地段不错，就在东栅边上，老板也很实在，我们走的时候还送我们的到目的地，就是卫生间很大很冷，哈哈', '短评打分': 5}
{'短评内容': '环境卫生都还可以，就是热水不太好，老板人挺热情的', '短评打分': 5}
{'短评内容': '还不错，各方面都还过得去，房间不大；老板人不错，很热情', '短评打分': 5}
{'短评内容': '不错，不错。性价比高，在东栅和西栅之间，方便。老板不错。', '短评打分': 5}
{'短评内容': '位置不错，在东栅西栅之间，卫生总体还行，就是躺在床上抬头看到灯上有蜘蛛网，热水壶线短，烧水不方便，要用卫生间的插座。卫生间很大，也干净。总的来讲性价比蛮高的。', '短评打分': 5}
{'短评内容': '位置还行出行交通不错，里面环境看起来也很好，房间虽然简单但是比较干净，服务态度很好，价格也差不多也是算适中。', '短评打分': 5}
{'短评内容': '从地图上看挺好找的店主也过去接的我们，房间还是比较简洁干净，服务也挺热情老板很好，价格还是稍微有些贵了节假日可能稍微有些高了。酒店的环境是挺不错的。', '短评打分': 5}
{'短评内容': '还不错啦，挺干净的，景区很近，而且老板人很好的。', '短评打分': 5}
{'短评内容': '满干净的,房间里还有电脑能上网,离乌镇两个景点也很近~老板人超好,接送都免费~但大清早外面有卖菜的,稍微有点吵~总的来说还是不错!', '短评打分': 3}
{'短评内容': '很不错，接送业务很方便，屋子很干净，浴室不小，下次还来！', '短评打分': 5}
{'短评内容': '客栈很干净，老板人也很好，接送站、介绍景点，真的很不错，下次去还会住那儿！', '短评打分': 5}
{'短评内容': '老板人很好，很热情。客栈位置很好，处于东西栅景区中间，步行15分钟到西栅，步行5分钟到东栅。总之很方便了。', '短评打分': 5}
{'短评内容': '＋锦杭河客栈不错，地理位置好，老板还去车站接客', '短评打分': 5}
{'短评内容': '卫生间排水不畅', '短评打分': 5}
{'短评内容': '+老板很热情', '短评打分': 5}
{'短评内容': '不错，老板人很好', '短评打分': 5}
{'短评内容': '这是一家客栈.并不是星级酒店,不过客栈很有特色,古香古色的...而且老板人超好.服务很到位.', '短评打分': 5}
{'短评内容': '在乌镇这家酒店很有特色,古式的窗绫格子大堂也很有韵味.室内的卫生条件也非常好,很到位.', '短评打分': 5}
{'短评内容': '房间挺干净的，老板也很热情接送哦，还不懒啦～', '短评打分': 3}
{'短评内容': ' 环境还可以', '短评打分': 5}
{'短评内容': '房间挺干净，早上有点吵哦，老板热情接送哦。', '短评打分': 5}
{'短评内容': '这个不是很好 唯独就是可以接到酒店去但是好像这的酒店都可以接的 ', '短评打分': 1}
{'短评内容': '乌镇锦杭河客栈干净、舒适、有家的感觉,到西栅景区也很近,不错,下次来还住这儿。', '短评打分': 5}
{'短评内容': '离景区位置很近不行5分钟，老板很不错，老板自己去车站接送', '短评打分': 5}
