{'短评内容': '比较一般吧', '短评打分': 4}
{'短评内容': '周边环境还好，很安静。许多设施不开放，未达到五星的服务。早餐品种不多。', '短评打分': 5}
{'短评内容': '服务员态度很好，周边非常安静，就是吃饭不是很方便，总体还是不错的', '短评打分': 5}
{'短评内容': '环境不错 能看到湖景 睡得也舒服\n早餐没有去吃 不知道怎么样', '短评打分': 5}
{'短评内容': '酒店总体情况较好，周边风景也不错，出门就是夏都公园。房间也比较安静，美中不足是地漏渗水较慢。', '短评打分': 5}
{'短评内容': '酒店环境比较安静，服务较好。下次去延庆，还是住这里！', '短评打分': 5}
{'短评内容': '第一印象就是小，硬件感觉是十年前的标准，不过还算挺干净的，而且一进屋就热气扑面。价钱不用预定也是280。窗外就是湖景，感觉不错。', '短评打分': 3}
{'短评内容': '环境和设备以及卫生条件都不错。比较满意', '短评打分': 3}
{'短评内容': '酒店卫生不错,周围也非常安静。', '短评打分': 3}
{'短评内容': '房间比较小，卫生还好。开车几分钟就到县中心了，总体还行。坐车的话不方便', '短评打分': 5}
{'短评内容': '酒店的环境不错，卫生差些。总的来说还算是可以', '短评打分': 5}
{'短评内容': ' 房间很干净，暖和，住得很舒服，不错', '短评打分': 3}
{'短评内容': '干净，但不是挂5星，房间很不错，使用的洗漱用品很一般', '短评打分': 5}
{'短评内容': '酒店的环境不错，比较干净，但是离市区有大概3-4公里，没有自备交通工具的话，吃饭、购物不太方便！', '短评打分': 5}
{'短评内容': '酒店还不错,大部分地方还在装修,期待再次入住的话会有惊喜', '短评打分': 3}
{'短评内容': '卫生热水都不错，但就是人气比较差些，人很少，早餐就两个人吃', '短评打分': 5}
{'短评内容': '早餐有点差，周边好像没有麦当劳或肯德基的调剂一下。不过去旅游点还是比较方便的。', '短评打分': 5}
{'短评内容': '酒店地处市中心，除了吃饭不是太方便，去旅游地很方便。住主楼的条件还是不错的。', '短评打分': 5}
{'短评内容': '酒店环境还不错，客房设施还有待改进。找客房服务也不是很方便。。。免费早餐也就凑合吃吃', '短评打分': 3}
{'短评内容': '夏都会议中心觉得物有所值：住宿房间还可以，外加免费保龄，台球，壁球，羽毛球，健身等等！非常好！', '短评打分': 3}
{'短评内容': '所谓4星级，实在是名不符实。外观富丽堂皇，房间里的卫生和设施可不怎么样。', '短评打分': 3}
{'短评内容': '房间基本满意', '短评打分': 3}
{'短评内容': '邦朋友代订的酒店，回来反映还不错。就是酒店部分地方在维修，稍有些不方便，但在订时已有提醒，所以也没太大问题。服务可以，环境不错。', '短评打分': 5}
{'短评内容': '是邦朋友代订的，较满意。酒店部分在维修，稍有点不方便。但在订前已收到提醒，所以也没有太大问题。服务可以，设施也可以。', '短评打分': 5}
{'短评内容': '周边环境不错，房间干净，但早餐太差，急需改进', '短评打分': 3}
{'短评内容': '房间和服务基本凑合,只是晚餐太差了-- 80元/人的自助,在王府井40元估计也只有冤大头去吃.', '短评打分': 5}
{'短评内容': '1号楼旁在装修有点乱，属于郊区，比较安静。虽然有公交站，但车很少，没车不太方便，走着去沃乐玛超市半个小时吧', '短评打分': 5}
{'短评内容': '  酒店外观和外部环境很好，客房内部一般，房间有点小', '短评打分': 3}
{'短评内容': '环境条件很好，但价格较高，服务设施齐全，总体不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店总体感觉不错，位置在县城内，交通比较方便，可能是春节期间客人较少的原因，部分房间的暖风不太好用。', '短评打分': 5}
{'短评内容': '没什么人入住，很冷清。吃喝不方便。', '短评打分': 3}
{'短评内容': '夏都会议中心的环境非常好，很大气，欧式建筑风格。\n酒店房间可能不一样，差不多还行。\n没在酒店里用餐，离延庆县城不远，饭店挺多的。\n延庆周边玩的地方很多，要自驾会方便很多。', '短评打分': 5}
{'短评内容': '卫生干净，就是有点冷，前台热情接待，还提供景点路线', '短评打分': 5}
{'短评内容': '可能是因为刚进入冬季，暖气有点问题，冷啊', '短评打分': 5}
{'短评内容': '安静而空旷，酒店的餐饮太贵了，而且到晚间就没有了', '短评打分': 5}
{'短评内容': '真不知道说不好的人心里怎么想的。\n我们几个人报着很不好的心情去的！结果，真的是意外的好！！！\n环境没得说，位置没的说，酒店非常的美。住的房间也很好，正对延庆的伪水河！有两个房间还非常的大！\n还有意外惊喜，每个房间送了一张免费康体卷，可以打三局保龄或健身不限时！真的很棒！打球的时候好心的工作人员还送了我们一局！！\n美好的旅程！下次肯定还住这里！！', '短评打分': 5}
{'短评内容': '环境很不错 房间稍小，卫生间也很干净,值得推荐', '短评打分': 3}
{'短评内容': '总的来说很不错，尤其是酒店的建筑和地理位置，周边的景点很多，如果不在酒店里用餐，到延庆去就餐也非常方便。', '短评打分': 5}
{'短评内容': '乾淨又大，1號樓還可以看到媯河，很好的地方，而且人也不多價位不錯。', '短评打分': 5}
{'短评内容': '早歺与星级不符不是一般的差，由其是南方人。明眼人一看就知道国营的可能服务质量入住率与收入不挂钩吧。卫生还可以交通较方便，可能是门前修路的原因赶上停一天水，你们想想玩一天了洗不上澡…。看着烧出来的热水颜色比茶水还深没有说明没有道歉没有补救。', '短评打分': 1}
{'短评内容': '夏都会议中心环境非常好,服务也好,距离景点比较近,很方便,还有早餐.不错', '短评打分': 5}
{'短评内容': ' 房间不错，门口正在修路不太方便', '短评打分': 5}
{'短评内容': '环境很好，性价比很高', '短评打分': 5}
{'短评内容': '偏僻但幽静，晚了您就别想吃饭啦，夏天来这里一定感觉非常凉爽', '短评打分': 5}
{'短评内容': '不错清静,适合会议和散心', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '设施、服务不错，在延庆区，环境不错！如果去附近景点，是个不错的选择！', '短评打分': 3}
{'短评内容': '酒店环境很好~硬件显得很上档次~隔间稍差~性价比极高', '短评打分': 5}
{'短评内容': '还不错，就是和这个价格有点儿不相称，谈不上五星级。', '短评打分': 5}
{'短评内容': '细节做得不够，比如房间里缺很多东西，比如火柴、睡袍、拖鞋质量一般。', '短评打分': 5}
{'短评内容': '本来定的2号楼（房间好，南向），到前台就给换成了3号楼（西向，潮的不行），前台告诉没房，等到下午想换房还告诉没房，让亿龙客服打就说有房，忽悠客人啊，时间问题最后也没换上，前台不地道啊。服务员倒是还比较负责', '短评打分': 1}
{'短评内容': '酒店的位置靠近一个夏都公园很好，也很安静。就是房间不大，地毯有点旧。酒店的建筑很好。', '短评打分': 5}
{'短评内容': '房间很舒适，安静，干净，周边环境很好，有一个很大的公园，就是房间面积稍小了点，服务员很少，一般找不到，不过有事情给客服打电话很快就能解决', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '7月10日去得延庆，当晚就到了这家宾馆，外观上看有点欧式风格，环境也不错，很清静，靠近妫水河畔！客房里面很干净，服务人员态度也很好，唯一不足的就是效率不高！总体来说还是比较满意的！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店内部的环境还是很不错的，性价比一般，下次如果在附近出行还会选择一下。', '短评打分': 5}
{'短评内容': '酒店内部的环境还是很不错的，性价比一般，下次如果在附近出行还会选择一下。', '短评打分': 5}
{'短评内容': '卫生设施挺不错的，房间的舒适度也不差，位置也很好找。，服务态度和价格还是很好的，位置确实很不错出行都很方便，还算是很不错的酒店。', '短评打分': 5}
{'短评内容': '卫生设施挺不错的，房间的舒适度也不差，位置也很好找。，服务态度和价格还是很好的，位置确实很不错出行都很方便，还算是很不错的酒店。', '短评打分': 5}
{'短评内容': '房间小了点，但是价格不错。\r\n早餐贵了点，但是可以不吃。\r\n\r\n酒店的建筑很欧范儿，挺漂亮的，推荐！', '短评打分': 5}
{'短评内容': '当时入住时正好换季。太冷了，空调酒店说断了，不开了，给我冻坏了，房间到是很卫生，服务还好，设施这块要改进啊，价格偏高，其他都还好。', '短评打分': 5}
{'短评内容': '总体来说还可以，就是房间的取电出有些吓人。后来还跳了闸，是电工过来修后，拿硬纸塞住那才有了点，有点受惊。', '短评打分': 5}
{'短评内容': '环境非常棒，清静又雅致，空气也很清新，晚上很安静，非常舒适。', '短评打分': 5}
{'短评内容': '配套设施不怎么样，比如餐厅之类的，感觉不够规范，有些设施比较陈旧，价格偏高了些，卫生一般，性价比还凑合。', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '周围很漂亮。环境很好。', '短评打分': 5}
{'短评内容': '房间不小，冬季不适合住，冷', '短评打分': 3}
{'短评内容': '环境还好，没有吃早饭的地方', '短评打分': 3}
{'短评内容': '环境还好，就是洗澡水不热', '短评打分': 5}
{'短评内容': '安全性很高，实际是司法部门的培训中心，应该有3星以上，198元的就是房间小一点，早点很好，38元一位，住宿含双早后，房价仅为122元，性价比很高，去延庆的首选。', '短评打分': 5}
{'短评内容': '这里里有豆腐宴,我们吃的蘑菇宴开车十五分钟可好吃了,价格适中', '短评打分': 3}
