{'短评内容': '不错！比想象中的好许多，下次去还会选择他们家\n', '短评打分': 5}
{'短评内容': '＋蛮差劲，墙面受潮的起皮子，像疮一样', '短评打分': 3}
{'短评内容': '很好，很满意', '短评打分': 3}
{'短评内容': '不错，不错！感觉挺不错的！以后需要在上海订房的话，还会选择这家,经济实惠！', '短评打分': 5}
{'短评内容': '服务态度差，房间设施有待改进，较陈旧，                     隔音效果也不好，没有以前的环境好了，各个方面', '短评打分': 1}
{'短评内容': '整体居住条件不错。价位合理，离方特和火车站都很近。很方便。', '短评打分': 5}
{'短评内容': '很不错，环境还好，离方特非常的近，这是我第二次在这地上住了', '短评打分': 5}
{'短评内容': '环境还不错，很干净，交通也很方便，离方特一期很近，周边超市饭店也有不少', '短评打分': 5}
{'短评内容': '房间有点旧，其他还好。地理位置还不错，服务态度不错。', '短评打分': 5}
{'短评内容': '重新装修了 还不错  服务员态度不太好 爱理不理的 其他还都不错 空调不太制冷', '短评打分': 5}
{'短评内容': '总体还行 对得起价格 大大大大大大大大大', '短评打分': 5}
{'短评内容': '其他都可以将就，就是某些服务员的态度着实不能忍受~', '短评打分': 5}
{'短评内容': '比较干净，环境不错，交通便利，最主要的是价格很公道', '短评打分': 5}
{'短评内容': '还好离方特比较近，比较便宜吧.也算方便吧.', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '抽水马桶堵的，淋浴支架坏的', '短评打分': 3}
{'短评内容': '优点：房间真是很宽敞，地处一家单位的院子，停车较方便，交通也方便。\n缺点：设施有些旧了，网线不好，纱窗破了，厕所的瓷砖有几块有裂缝，浴室墙上的小架子锈了。服务人员不太热情，随意性较强。晚上马路上很吵。', '短评打分': 1}
{'短评内容': '挺好的，离方特也很近，附近也有个欧尚，很方便。', '短评打分': 5}
{'短评内容': '酒店离方特一期的南门特别近，离火车站和市区也很近，打车十元左右。并且酒店对面就有道方特二期的40路公交车，非常方便，大约40分钟公交车程即到二期。酒店不远的地方有一家规模中等的超市，超市一楼有味千拉面和肯德基，并且附近有很多小饭店，所以就餐也很方便，是到芜湖游玩方特的非常好的选择。', '短评打分': 5}
{'短评内容': '还可以，就是有点旧。服务态度是很好的！\n还可以在此订去方特的票。', '短评打分': 5}
{'短评内容': '房间挺干净的，也比较宽敞，这个价位还是比较推荐的', '短评打分': 5}
{'短评内容': '还不错 挺干净的  也挺方便的  服务态度也挺好的 以后再来也会选这儿住的', '短评打分': 5}
{'短评内容': '地理位置还不错，离方特欢乐世界很近，卫生条件一般~', '短评打分': 5}
{'短评内容': '除了酒店房间用的是瓷砖地面，其他总体还行~值得推荐', '短评打分': 5}
{'短评内容': ' 很好的环境', '短评打分': 3}
{'短评内容': '还行吧 装修有点怪怪的 瓷砖的地板 整体色调比较简洁 ', '短评打分': 5}
{'短评内容': '还挺好的，离方特很近，价钱也便宜，就是硬件虽然都很全但还有待加强啊', '短评打分': 5}
{'短评内容': '地理位置不错，离方特很近，去市区也较方便，卫生条件也很好', '短评打分': 5}
{'短评内容': '去的时候，她们把我定的房间给忘记预留了，经过查询只有单间，我说定的是标间肯定是需要的，前台的接待员马上脸色沉了下来，说话脾气十分不好。早上起来的时候还没有热水，实在无法忍受！服务员说等。。。。。。无语！', '短评打分': 1}
{'短评内容': '一点也不好，里面的门都是地板的，半夜睡的好好的还有检查的，，烦死了。。热水要放好久才有，浴帽也没有，毛巾都是脏的，也没厕纸', '短评打分': 1}
{'短评内容': '离方特很近!虽然房间相对有点旧但是还是比较干净的！', '短评打分': 5}
{'短评内容': '服务员服务态度不错。房间装修不错 下次如果再来会再选择入住', '短评打分': 5}
{'短评内容': '去芜湖方特玩，很好的住处~很喜欢。总体很满意', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，停车方便，而且不会被马路上的车声吵到，还会入住。', '短评打分': 5}
{'短评内容': '床超级舒服，离方特也很近，虽然装修看起来是有点旧，但是客服服务态度超好。我们住两天他们也会来打扫卫生，东西全部换新的。好评一个！', '短评打分': 5}
{'短评内容': '不错啊。。。离方特比较近，比较方便，也比较干净，会推荐的', '短评打分': 5}
{'短评内容': '很不错 离方特很近，房间很简单舒适，是个不错的选择', '短评打分': 5}
{'短评内容': '想去方特欢乐世界的朋友就住在这吧，步行10多分钟，而且有卖团体票的，非常不错', '短评打分': 5}
{'短评内容': '状况还可以 还行吧 就是服务员不厚道 太土了。。。。', '短评打分': 1}
{'短评内容': '环境不错，干净。', '短评打分': 5}
{'短评内容': '值得推荐，下次去还住。离方特很近，价格便宜', '短评打分': 5}
{'短评内容': '离方特很近   如果去方特玩的朋友  建议住在这里', '短评打分': 3}
{'短评内容': '很实惠，安静，性价比很高，不错！！！！！！！', '短评打分': 3}
{'短评内容': '主要是去方特玩的，只要走一会就到了，很方便，酒店人员也不错，下次去还住这', '短评打分': 5}
{'短评内容': '已经是第二次入住。房间比较大，地理位置也很好，环境优美，性价比高', '短评打分': 3}
{'短评内容': '挺好的                                            ', '短评打分': 3}
{'短评内容': '比较干净比较正规，总的来说就是离方特游乐场非常近，是去方特玩入住的好地方。', '短评打分': 5}
{'短评内容': '  挺好的', '短评打分': 5}
{'短评内容': '还算不错的快捷，要是再配个电吹风什么的就更好了。\r\n隔音效果有待加强', '短评打分': 5}
{'短评内容': '住了两次，位置好，离方特很近，环境优美，房间比较大，值得推荐', '短评打分': 5}
{'短评内容': '还行吧 呵呵 一般化 凑合额 外形还不错 不过门口停的X6和我家的一样 我不太喜欢 ', '短评打分': 3}
{'短评内容': '挺好的，一切都还不错。就是装修简单了点 啦啦啦', '短评打分': 3}
{'短评内容': '＋七星房间面积蛮大的，就是服务态度不够热情，夏天蚊虫有点多，床舒适度还不错', '短评打分': 3}
{'短评内容': '房间面积蛮大，条件还不错，就是夏天蚊虫有点多', '短评打分': 5}
{'短评内容': '酒店位置及环境很好。但酒店内部整体较陈旧，不过这样的价位应该还可以吧', '短评打分': 5}
{'短评内容': '还不错，除了房间装修的比较简单以外    ', '短评打分': 3}
{'短评内容': '还行吧，就是装修的比较简单。然后离方特很近，但是每天中午要重新刷一下房卡比较麻烦。  ', '短评打分': 5}
{'短评内容': '情况还不错哦 卫生还行 价格ok了 呵呵', '短评打分': 5}
{'短评内容': '离方特近，环境还好。就是早餐太差。不过，我下次去了，我还会选这家，因为离方特近，呵呵', '短评打分': 5}
{'短评内容': '位置还可以,离巨勇车站比较近,去合肥比较方便.', '短评打分': 3}
{'短评内容': '全部都很好的 我觉得很不错哦 哈哈 性价比高', '短评打分': 3}
{'短评内容': '设施有点儿陈旧了。。。水的冷热不能调节 呵呵\r\n不过还行吧', '短评打分': 5}
{'短评内容': '环境好  实惠的快捷酒店 而且靠方特很近 步行10分钟即到', '短评打分': 3}
{'短评内容': '整体装修老化，好在便宜，距离方特游乐园很近。', '短评打分': 1}
{'短评内容': '环境不错，离方特很近.吃饭不是很方便.', '短评打分': 5}
{'短评内容': '早餐太雷人了，其他都特别满意，到方特很方便。还可以免费寄存东西。', '短评打分': 5}
{'短评内容': '很不错的酒店   里方特特别近  出门右转步行5分钟左右', '短评打分': 5}
{'短评内容': '房间比一步之隔的汉庭酒店大一倍，价格也便宜', '短评打分': 3}
{'短评内容': '离方特很近，卫生还不错，设施一般。', '短评打分': 5}
{'短评内容': '都是蚊子 晚上睡觉 蚊子就把你咬起来聊天', '短评打分': 1}
{'短评内容': '综合感觉不错。', '短评打分': 5}
{'短评内容': '毛巾改换了。房间较大，网速也快。', '短评打分': 5}
{'短评内容': '数码房的电脑不能用，其他还行', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '位置不错，，离方特很近，但是那个数码房真的不敢恭维，90年代的一体机，根本用不了，性价比一般吧，条件还可以', '短评打分': 5}
{'短评内容': '还不错 去方特玩很方便\r\n周围的设施很齐全啊', '短评打分': 5}
{'短评内容': '房间挺宽敞，卫生也不错，离方特挺近。前台服务一般', '短评打分': 5}
{'短评内容': '服务一般，其余还行，离游乐场很近，步行5分钟到了  ', '短评打分': 3}
{'短评内容': '感觉还可以.离巨勇车站比较近,去和县比较方便', '短评打分': 5}
{'短评内容': '很宽敞，环境也不错，就是前台服务人员态度不好', '短评打分': 5}
{'短评内容': '离方特很近 交通很方便 各方面都不错', '短评打分': 5}
{'短评内容': '性价比很高呢  离方特 那个叫近啊&#183;&#183;&#183;走过去3分钟OK   ', '短评打分': 5}
{'短评内容': '蚊子好多，电脑房电脑根本不能用，早餐还要八块钱一个人比较垃圾，关键去方特还下雨，所有项目停开', '短评打分': 1}
{'短评内容': '主要是离方特近，图个方便', '短评打分': 5}
{'短评内容': '整体还行', '短评打分': 5}
{'短评内容': '离方特 很近 5分钟路程', '短评打分': 5}
{'短评内容': '房间很大还有绿色植物室 内。不错', '短评打分': 5}
{'短评内容': '第一天住的是510房间，由于电梯不能直达，上到四楼再走一层，拿的东西比较多，有些不方便，而且上楼的楼梯非常滑，结果要求三次不给换，态度也非常推委，我要求换酒店才勉强答应给调到319房间，第一天调到319房间卫生间的水管因年久失修就爆了，麻烦不断。一共住了四天，中间进去打扫卫生的时候只是整理床铺，地上和桌子并不清扫，问服务人员相关问题，态度漫不经心，整体感觉特别不舒服。总之不推荐。', '短评打分': 1}
{'短评内容': '不错，好', '短评打分': 3}
{'短评内容': '不错，去方特很方便！', '短评打分': 3}
{'短评内容': '各方面都蛮好，就是隔音不大好，马路上的噪音有点大。不过总体性价比很高。下次还会去的', '短评打分': 5}
{'短评内容': '离方特近，房间隔音不太好，其他都一般，性价比还可以。', '短评打分': 5}
{'短评内容': '除了位置离方特近点，找不出什么好的，房间里蚊子好多，而且不提供驱蚊的东西，服务人员居然说夏天有蚊子是很正常的，无语。。。 早餐更是垃圾，8块钱的早餐不是外面2块钱吃的好，而且感觉还是隔天的食物。性价比真不怎么地', '短评打分': 1}
{'短评内容': '距离方特的位置很近（步行5分钟即到），房间简洁大方，性价比较高~', '短评打分': 5}
{'短评内容': '还可以，就是隔音效果有点太差', '短评打分': 5}
{'短评内容': '环境较好,卫生条件也不错.服务到位.只是硬件设施有点简陋.\r\n\r\n', '短评打分': 3}
{'短评内容': '环境较好,卫生条件也不错.服务到位.只是硬件设施有点简陋.', '短评打分': 5}
{'短评内容': '距离方特近，还不错', '短评打分': 5}
{'短评内容': '服务和房间的整体都很好，就是位置觉偏', '短评打分': 5}
{'短评内容': '总体还是非常不错的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店不错，很舒服，离方特很紧，步行五分钟就到了...', '短评打分': 5}
{'短评内容': '我要说的是这家宾馆离方特比较近，酒店门前的停车场也很大，开车的朋友很方便，还有就是网速非常快，最快的时候我达到9M/S，已经很多年没有下载的这么爽了', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '蛮好的   .......电脑上的很爽', '短评打分': 5}
{'短评内容': '噪音太大', '短评打分': 3}
{'短评内容': '服务比较好,设施一般,算是比较干净吧', '短评打分': 5}
{'短评内容': '反正就是睡起来蛮舒服', '短评打分': 5}
{'短评内容': '总体是不错的，就是没什么吃饭的地方', '短评打分': 5}
{'短评内容': '还不错，虽然离方特还有点距离，但是也算方便了，就是周围没什么商店和超市', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比可以', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '交通还算便利 卫生比较干净 服务还好 舒适度比较好', '短评打分': 5}
{'短评内容': '隔音效果有点太好，尤其是靠马路的那边', '短评打分': 5}
{'短评内容': '真的很一般', '短评打分': 1}
{'短评内容': '................', '短评打分': 5}
{'短评内容': '总体环境还是可以的,房间也比较大设施还是挺齐全的卫生也比较不错,但是就是卫生间的拖鞋不是一次性的要是换成一次性的拖鞋那就更好了,酒店的服务态度也还是挺不错的,性价比还可以.', '短评打分': 3}
{'短评内容': '出行还是很方便的，在干道上，很好找，房间的卫生和设施也还不错，服务也可以，整体感觉这家酒店的性价比还是比较高的', '短评打分': 3}
{'短评内容': '汉爵阳明酒店的斜对面 步行就能到 很方便 附近就有个殴尚超市  ', '短评打分': 3}
{'短评内容': '酒店服务态度很好，很温馨，下次去的话还是会住的。', '短评打分': 5}
{'短评内容': '卫生还可以很干净，设施完善，地理位置交通方便，服务热情周到，性价比还可以', '短评打分': 3}
{'短评内容': '位置不是很，不是在市区的，有点偏远，不过交通还行，道路比较畅通，另外设施方面觉得太简单', '短评打分': 3}
{'短评内容': '在这个价位来说，他们的设施条件算是比较不错的，服务也挺好的，位置交通我觉得很方便，挺不错的。', '短评打分': 3}
{'短评内容': '酒店的位置是不错，但是服务一般，而且设施太过简单，不过还是可以考虑，毕竟他的位置很不错。', '短评打分': 3}
{'短评内容': '靠近游乐园的，位置很好，价格也便宜，另外房间的窗户该修修或都换一下了，当时去正刮风，窗子直响，还漏风，休息不是很好！', '短评打分': 3}
{'短评内容': '酒店的设施条件还是挺不错的，而且价格挺便宜的，房间干净，就是服务态度不好，我刚开始到酒店他们还告诉我没有房间，不让住，后来说了半天还是让住了，这样的服务实在不行。', '短评打分': 3}
{'短评内容': '我觉得房间空间还是蛮大的，也比较干净，价格也比较合适，我还是比较满意的', '短评打分': 3}
{'短评内容': '房间气味比较大。房间卫生打扫的不是很彻底。酒店的位置还可以出行交通也比较方便，价格合理适中。还是可以考虑入住的酒店。', '短评打分': 3}
{'短评内容': '酒店的位置交通挺方便的，价格又不贵，可以接受，内部的条件和服务我觉得也可以，还是比较不错的。', '短评打分': 3}
{'短评内容': '房间的设施有些老旧了,尤其是卫生间,卫生还可以,位置很好,本来襄樊地方也不大很好找.', '短评打分': 3}
{'短评内容': '这家酒店就是位置比较好,出行很方便的.', '短评打分': 3}
{'短评内容': '非常不错！！', '短评打分': 5}
{'短评内容': '房间挺大的,总体的环境卫生还挺不错的,价格还是比较适中,打车的话也很方便,离方特欢乐世界也很近,总体还是很满意的.', '短评打分': 3}
{'短评内容': '性价比还可以，房间比较干净，位置也方便，值得推荐 ', '短评打分': 3}
{'短评内容': '整体来讲还是一家不错的酒店,位置就位于市中心,交通很方便了,服务也是不错的,就是房间的设施有些陈旧了.', '短评打分': 3}
{'短评内容': '还可以,设施有点旧,酒店的位置还是比较不错的,在市中心那块,出门打车也挺方便的,服务也还可以,性价比还是比较高的一家酒店.', '短评打分': 3}
{'短评内容': '现在一般的连锁酒店都可以14：00前退房，但该酒店还是要求12：00前退房。', '短评打分': 5}
{'短评内容': '环境卫生都一般，服务挺热情的。', '短评打分': 1}
{'短评内容': '房间很干净舒适,位置很好出行很方便,前台接待很热情,唯一一点不好就是早餐不太和口味.', '短评打分': 3}
{'短评内容': '当时到酒店之后竟然给我说没有房间,我是18:00之前到达的,在前台交涉一会,说有一个没有收拾的房间没办法因为太累当时就入住了,虽然平常住的还比较满,我是已经提前预定好的还要受到这种待遇,真郁闷,要走的时候因为晚了十五分钟,前台的工作人员竟然要收我一个小时的房费,太不公平了,既然你要收你就应该在入住之前告知一下,而且房卡上也明确注明晚于18:00退房的才会加收半天房费,后来给经理叫出来说了一下,这才', '短评打分': 3}
{'短评内容': '酒店房间比较大，环境比较不错，很安静，很舒适，地理位置也挺好的，交通很便捷', '短评打分': 3}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店。', '短评打分': 3}
{'短评内容': '酒店性价比不错价格优惠,卫生服务很一般,设施比较简陋.', '短评打分': 3}
{'短评内容': '位置的确OK 很方便啊  哈哈 服务也比较好!！！！', '短评打分': 5}
{'短评内容': '酒店的硬件设施和服务还算可以，位置也还挺好的，价格优惠，在芜湖来说算是不错的。', '短评打分': 5}
{'短评内容': '离方特很近，服务态度也很好，就是要按照给的门牌号寻找这个酒店有点麻烦，他的号和那个路段上的门号有点对不上', '短评打分': 5}
{'短评内容': '酒店性价比还可以，位置也比较方便，就是房间内电脑不能用', '短评打分': 5}
{'短评内容': '酒店各方面条件都还是不错的,环境也还可以,入住期间没有遇到过什么问题,还是比较不错的.', '短评打分': 5}
{'短评内容': '酒店位置很不错,价格比较合适,卫生也不错.周边环境也很好总体感觉很好地酒店.', '短评打分': 5}
{'短评内容': '酒店里的装修设施非常不错，我感觉很舒服，而且服务也挺好的，价格适中，位置方便。', '短评打分': 5}
