{'短评内容': '房间干', '短评打分': 5}
{'短评内容': '条件不错，打车去机场15km，步行到地铁约20分钟。如果花38元办会员卡，会比在网上订多送个早餐。', '短评打分': 5}
{'短评内容': '恩，这个价格来说 真的很值！房间硬件都不错，以后迪斯尼造好肯定就不是这个价格了。希望以后去迪斯尼玩还能再住一次！', '短评打分': 5}
{'短评内容': '房间感觉非常温馨，和图片一模一样  就是水不热  旁边就有家乐福 肯德基 还是非常方便的', '短评打分': 5}
{'短评内容': '很好！房间很干净 离超市也很近 很方便！离机场也不远！打车50左右！下回来还会考虑', '短评打分': 5}
{'短评内容': '酒店隔音不好，半夜走廊上面一直有好些人在大声喧哗，好像是酒店的工作人员。没有休息好。', '短评打分': 1}
{'短评内容': '我是第一次住在这家酒店，他们的环境不错！服务都很不错！', '短评打分': 5}
{'短评内容': '感觉还不错,上海转机临时入住的,位置稍微偏僻了点。', '短评打分': 5}
{'短评内容': '趕搭浦東機場早班飛機,住這不錯,旁邊就是家樂福. 房間也行,網路速度很快', '短评打分': 5}
{'短评内容': '位置好，距离浦东机场比较近，乘坐地铁也很方便.软件方面都比较好，性价比高.', '短评打分': 5}
{'短评内容': '酒店很好，房间很干净', '短评打分': 3}
{'短评内容': '酒店硬件不错，但因为刚开业，配套设施和人员管理很不配套\n', '短评打分': 5}
{'短评内容': '酒店还不错，就是早晨没有车子去机场', '短评打分': 3}
{'短评内容': '很不错。价格中道，经济实惠，就是人太多，不够晚上睡觉还是挺安静的，其他的设施活动没有跟上。', '短评打分': 5}
{'短评内容': '很不错的酒店，住宿环境很好，价格公道，服务态度热情周到，房间卫生条件不错，干净整洁，舒适度很好', '短评打分': 5}
