{'descr': '房间卫生一般，服务好，周边环境好。', 'star': 3}
{'descr': '挺不错的，就是热水器不太给力阿。而且隔音效果不太好。', 'star': 5}
{'descr': '服务很好，我很满意。', 'star': 3}
{'descr': '性价比挺高的~挺干净的，虽然小乐一点，但是很对得起价格', 'star': 5}
{'descr': '干净服务好,房间太小,经济实惠', 'star': 3}
{'descr': '空间狭小，卫生尚可，各个设施使用不算方便', 'star': 3}
{'descr': '其实就是家庭旅馆，虽然很小，但是很干净。被褥很舒服。', 'star': 5}
{'descr': 'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '很好！', 'star': 3}
{'descr': '挺实惠的,而且地方也不偏,离地铁很近的', 'star': 3}
{'descr': '还算不错，就是不通风、、在北京这么便宜的算是条件比较好的吧', 'star': 5}
{'descr': '很失望 果断退房了 竟然一进门映入眼帘的就是蟑螂', 'star': 3}
{'descr': '总体来讲还不错，中等偏上。不过没有独立卫生间和淋浴。', 'star': 5}
{'descr': '入住国瑞之星真的很不错.干净,服务态度也好.下次我还要住这里', 'star': 3}
{'descr': '卫生还不错，就是要公共洗浴...', 'star': 3}
{'descr': '干净，位置好  离地铁站步行即到，去北京站也可步行。  \n就是太小了  没有窗户。\n总体还不错，价钱便宜么  以后还会住吧', 'star': 5}
{'descr': '酒店位置较为偏僻，难找。设施也一般。房间又小，网络较慢。只适宜于凑合过一晚的往来客人。\n从北京站到酒店步行得10来分钟。快捷型酒店但是没有吃饭的地方。\n不值200元', 'star': 1}
{'descr': '宾馆环境不错，很干净。前台服务态度很好，十分热心。房间中等大小，性价比比较高，如果对星级要求不高，推荐入住', 'star': 3}
{'descr': '位置不错。距离崇文门和同仁医院很近。酒店服务好，干净，卫生。下次还会入住。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '酒店装修干净整洁 地理位置也不错 但二楼公共卫生间脏了些 还有服务员清洁房间不积极 望有待改进', 'star': 5}
{'descr': '距离崇文门很近，但是价格偏高，房间太小，设施很不齐全，性价比不高。我们住的标间很挤，部分房间连桌子都没有，就连毛巾、衣架、水杯等必需品还得跟前台索要才会给你。', 'star': 1}
