{'descr': '这大冷天 屋里冷 要床被子告诉我没有  电吹风告诉我要押金！潘家园布丁我是上礼拜住的 屋里暖和 什么都有 还给免费升房间   这里真的太让人失望了  不会再来了', 'star': 1}
{'descr': '不好，酒店小而且服务员的态度奇差无比。还有就是厕所奇臭无比。', 'star': 1}
{'descr': '挺好的 出行真的很方便 管理也很好 有一点不好就是我的那间喷头坏了没修', 'star': 5}
{'descr': '小房间，独立卫生间，可谓麻雀虽小，五脏俱全。房间较干净，但通风较差。交通、购物、吃饭超方便，性价比超值。', 'star': 5}
{'descr': '确实很迷你，空调声音大。', 'star': 3}
{'descr': '这是第三次入住了，房间虽然小，但是出行很方便，周边也有许多餐厅。选择经济性的朋友可以考虑。', 'star': 3}
{'descr': '房间还可以，管理的也很严格，应该够安全，热水很舒服，地铁和周围购物游玩环境都很好，物有所值', 'star': 3}
{'descr': '   这家酒店的店面不太大，但是由于字幕滚动屏就挂在门外，所以还算比较好找。位于崇文门，交通方便，出门就是五号线，过马路就是车站。周围环境比较安全，饭店、水果、小型超市、面包店都是有的，所以，对于我这种穷游的人来说，储存粮食是很轻松的。再来这里的住宿条件也算不错了，麻雀虽小，但确实是五脏俱全，就拿我住的迷你间来说，进门就是床，床旁边大约一平方的距离就是厕所，厕所虽然小，但是配备也是齐全的，水压、水', 'star': 5}
{'descr': '性价比还不错，周围吃的很多，服务也不错！！！！！！！！', 'star': 5}
{'descr': '不错环境好', 'star': 3}
{'descr': '真的很迷你，一进门有好大一股烟味。是无窗房，感觉有点闷。如果只住一晚，比较划算~', 'star': 1}
{'descr': '交通方便，崇文门地铁站就几步路远，超市银行餐厅就在楼下。房间是比较小，但这个价位还是能接受。唯一觉得不满意的就是隔音不行，当隔壁房开水龙头时水管发出很大的水流声，让人无法入睡。个人认为比较合适到北京旅游入住。', 'star': 5}
{'descr': '很满意！麻雀虽小五脏俱全说的很贴切！', 'star': 3}
{'descr': '一般吧   卫生不是很好', 'star': 3}
{'descr': '便捷', 'star': 3}
{'descr': '因为有亲戚来北京看病，考量到距医院的距离和成本等，选择了这家酒店，真的很不错，而且对面就是新世界百货。刚开始订的时候看到一些对该酒店不好的评价还挺犹豫的，但是入住了以后真的感觉很满意。就是卫生间稍微有点小，但是出门在外，这条件已经足够了。', 'star': 5}
{'descr': '蟑螂= =  蟑螂占着床，人没地方睡。唯一好的就是空调，因为房间小所以顶点用。卫生间有些脏。  前台的，服务态度巨不好，就不知道什么叫待客之道，甚至基本人情味都没。额，不主观评价，自己感受咯~\u3000\u3000祝各位心情开朗。', 'star': 1}
{'descr': '我入住（预订）的是迷你单人间，除了因为无窗，出去游览一天回来，感觉有点潮湿外（在房间时打开卫生间的排气扇会好些），其他设施、卫生条件还行，还有服务态度，个人认为还不错啦！至于交通：出门200米左右就有地铁2号/5号线，大马路上也有十多条公交线。', 'star': 5}
{'descr': '有的房间还行，这回住的不好，刚住进来就看见两只小强。', 'star': 3}
{'descr': '不错！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '住了一晚，性价比高，服务态度有待改善，房间最好装个放行李的平台。', 'star': 3}
{'descr': '性价比高，下次来首选这里。', 'star': 3}
{'descr': '房间太小，但是交通方便，清洁卫生，但是噪声蛮大，不过这个价位在这个位置，算是合适的了.', 'star': 1}
{'descr': '  价格还行,就是房间比较小!一个人住还是够的!', 'star': 3}
{'descr': '单人房一个人住还行，两个人太累了。价格实惠，好歹也在市中心。有充裕的热水资源。宽带网速不怎么好。', 'star': 3}
{'descr': '房间太小，距离崇文门很近，交通便捷。适合不太讲究，过1,2夜没问题。', 'star': 5}
{'descr': '环境舒适', 'star': 3}
{'descr': '麻雀随小五脏俱全，迷你间什么都有，24小时热水，地段也不错……卫生条件一般……', 'star': 3}
{'descr': '门头太小的，不好找，但还算干净！这个价格在北京还是很便宜的。', 'star': 5}
{'descr': '舒适。快捷。', 'star': 3}
{'descr': '方便，快捷！', 'star': 3}
{'descr': '房间有点小，但是离地铁近', 'star': 3}
{'descr': '每次来北京都住这里，便宜，地点好，卫生干净，样样具备。', 'star': 5}
{'descr': '还可以，离天安门近', 'star': 3}
{'descr': '只要没有太多要求的 爱干净的最好不要选 周围吃的很多 崇文门地铁站出来很好找 离的很近 总体很不错 住的很开心', 'star': 5}
{'descr': '卫生条件一般般，地上墙边会有小蚂蚁什么的；洗澡时候的水会流到外面，那个台儿不起什么作用；最重要的是，竟然没有吹风机……哭死了……总体来说对得起这个价钱，凑合一两晚还是可以的~', 'star': 5}
{'descr': '房间小了点  服务还不错  有空调热水 洗澡方便 ', 'star': 5}
{'descr': '嗯，还是比较满意的，他家三楼四楼都很好，二楼因为说是刚从别家转过来，我这次住的那间就没穿衣镜，比之前的两间感觉更狭窄一些，超~迷你的，呵呵', 'star': 5}
{'descr': '干净，麻雀虽小五脏俱全啊~很满意。我住的是最小的单间，除了没有窗户，其他完全没有意见。', 'star': 5}
{'descr': '比较优惠， 交通非常方便。 网速太慢，太慢， 基本不能用。 基本住一下， 问题不大', 'star': 5}
{'descr': '还不错，每次来北京都住这里。', 'star': 3}
{'descr': '和家人去同仁医院看病猪的这家酒店，在网上看了说是不错价格还是可以接受的配套设施比较齐全，有独立卫生间横沟洗澡，我定的是138元的大床房B，总体还是不错的很干净服务态度也不错，周围超市吃饭很方便的，楼下就有订火车票的，对房间面积不要求的可以推荐', 'star': 5}
{'descr': '酒店位置非常好，逛街方便，吃饭方便，不错!', 'star': 3}
{'descr': '服务还可以，但宽带网速太慢，不能使用信用卡落后了，交通方便，购物也方便。', 'star': 5}
{'descr': ' 酒店还不错', 'star': 3}
{'descr': '环境还行，就是158的也没有窗户，电视机好像有些问题，不能看，也没找他们', 'star': 5}
{'descr': '酒店很好，就是桌子好小，电视台很少…', 'star': 3}
{'descr': ' 很干净，房间也不是很迷你，就是电视台比较少， 整体来说不错！', 'star': 3}
{'descr': '交通方便   大床房 房间有点小 但是两个人将就一晚还是可以的', 'star': 5}
{'descr': ' 有些闷,没有手机信号,其它的都还不错,适合短住.', 'star': 3}
{'descr': '刚刚入住.和网上网友们评论的一样.小的可怜.挺干净的,感觉有点热,服务态度确实有点不热情,住一晚看看再说', 'star': 3}
{'descr': '酒店还不错，我每次出差都住这里。', 'star': 3}
{'descr': '太小了', 'star': 3}
{'descr': '怎么说呢，在北京崇文门附近100的价格想找个舒适的酒店似乎不太容易，这个酒店价格可以，但确实不是那么舒服。房间很小，虽然有独立卫生间，但是设施真是相对简陋啊，我住的房间水池还坏了勉强用的，洗澡热水的水压根本就不行 。房间除了床基本就没什么地方了，我放了个拉杆箱，空间就更小了。我住的房间还好有窗户，注意是朝走廊的窗户，不是朝外面的，最气人的是房间有空调，服务员说要使用需要再加10块钱！他家居然还是什', 'star': 1}
{'descr': '还不错啦 团购很划算 房间很干净 如果有朋友去同仁医院看病的话 住在这里是不错的选择', 'star': 5}
{'descr': '的确迷你，但这价格不能要求什么。还好，关键离火车站进，休息一晚坐车方便。', 'star': 5}
{'descr': '除了便宜，没有优点。暖气热得要命，空调还要单独加钱。为了省钱，没办法才回来。', 'star': 5}
{'descr': '房间可用面积太小，一张床几乎紧邻卫生间，活动空间小，如果有电脑的话基本没地方隔。这也许就是价格较便宜的原因吧。。', 'star': 3}
{'descr': '地理位置好，交通方便，就是房间小，确实迷你，不过一个人住足够了。', 'star': 5}
{'descr': '确实是很迷你。。面积很迷你，桌子椅子，电视都很小。。。不过价格低，还有独立卫生间，可以洗澡。很实惠', 'star': 5}
{'descr': '房间小但是电视暖气淋浴更衣镜都很全，自带电脑可以上网，99元的价格真的很便宜，房间手机信号几乎没有，房间是刷卡式，总的来说还可以', 'star': 3}
{'descr': '酒店位置很方便，离地铁也近，新世界也近，就是小点，不过短期出差，购物，游玩，对住宿要求不高，完全可以选择。', 'star': 5}
{'descr': '还好   第二次住了   但是这次房间小点   服务很不错   热水也好好   关键是交通很方便   下次还会选择', 'star': 5}
{'descr': '在那样的地理位置，价格还是可以的。就是房间有点小，房间收拾的挺干净。\n要注意的就是，走廊的灯太亮了，晚上休息不好。建议，晚上12点后可以关掉几个或者换些暗些的灯泡。', 'star': 5}
{'descr': '不错，迷你酒店，物美价廉，内部环境整洁，99元的单人床房间除了无窗外没什么缺点（虽然隔音不是太好，但我的要求不高），麻雀虽小，无脏俱全了，卫生间，热水，淋浴，空调，暖气，上网都具备，非常适合节俭时尚的年轻人住，值得推荐！', 'star': 5}
{'descr': '便宜，位置不错，崇文门地铁站出来走个几分钟就到了。楼下饭馆、工商银行都挺方便。', 'star': 5}
{'descr': '挺暖和的，交通真是方便，房间确实迷你的很，但在这种地段也值了', 'star': 5}
{'descr': '还行吧  最近在装修   楼道里有装修材料的味道  房间太小 很闷 凑合吧', 'star': 1}
{'descr': '这里挺好的！卫生不错，很安静', 'star': 3}
{'descr': '小酒店很迷你，哈哈，也很暖和，还算不错，就是隔音差点', 'star': 5}
{'descr': '周围吃饭购物方便，地铁口也近。住的小间，卫生和服务还行。', 'star': 3}
{'descr': '太小了住过最小的酒店，楼层服务员太差了，不会再住这个酒店了。。。。。。', 'star': 1}
{'descr': '还算蛮不错的啦，离北京著名的景点都很近。态度也还蛮不错的。', 'star': 5}
{'descr': '便宜，离市中心近，交通方便，但是酒店环境很差，很小，建议住单间，100元以下是可以接受的，200元左右就建议住三环外了。', 'star': 1}
{'descr': '出差的人住还行，卫生一般，就是房间小了点', 'star': 5}
{'descr': '房间很差，没窗户透气不好手机没信号，房间格局不合理，卫生间太小异味大！马桶没有马桶圈，床单上有可疑的黑色印记！服务态度也很差！', 'star': 3}
{'descr': '不错，还可以，只是房间太小了，房门比较旧。', 'star': 5}
{'descr': '差，服务态度很差。内部装修很差。还很大的霉味', 'star': 1}
{'descr': '预订时知道房间小，但完全没想到小到如此地步，在床与墙之间快速转身都困难...', 'star': 1}
{'descr': '非常超值，离地铁近！有独立卫生间还！很划算', 'star': 3}
{'descr': '房子太旧了，隔音又差，设施也旧.不太建议你们入住', 'star': 1}
{'descr': '说实话，在崇文门这个地方除了迷你找不到这么便宜还带独立卫生间的酒店了。虽然说房间确实不怎么样，但对比周围的繁华和交通其实真的就还好了。经济条件好当然可以住如家之类的，但如果想省钱也没什么好嫌弃人家脏啊或者隔音不好什么的。', 'star': 5}
{'descr': '这个酒店还行，', 'star': 3}
{'descr': '太小，有味，隔壁声音听得到，设备破旧，反正不舒服', 'star': 1}
{'descr': '服务还可以 真的是很迷你 水壶不干净 厕所马桶是坏的 有味 房间比较潮', 'star': 5}
{'descr': '除了地理位置特好之外，其他一般，房子特别的小，好窄好窄的···', 'star': 1}
{'descr': '我订的是特价单人间，真是够迷你的，卫生间又脏又小，转身都很困难，墙角还掉灰，电视也不清楚，连个窗户都没有，还好只睡一晚上，闷都闷死了。但优点是交通极其方便，周围都是大商场，挺好找的。', 'star': 1}
{'descr': '才入住就发现一只小强', 'star': 3}
{'descr': '这个酒店的服务员不够热情，酒店的设施很差劲，有异味。', 'star': 1}
{'descr': '房间超级闷，下水沟味道实在太大了，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '地理位子好 房间环境不太好 赶时间住一个晚上也就这样啦', 'star': 5}
{'descr': '    房间虽小，五脏俱全，喜欢廉价的朋友可以考虑入住，环境还可以，交通方便，离地铁近，下次资金不足的情况下会首选，祝生意兴隆！', 'star': 5}
{'descr': '脏了点，很小，很方便，很旧，很不隔音，要是图舒服建议不住，要是图便宜，就晚上可以洗个澡睡个觉的话，可以住', 'star': 3}
{'descr': '位置好，虽然房间很小，但是东西都齐全，该有的都有~安全也不错，入住包括访客必须有身份证~唯一问题是马桶每次冲水会漏的满卫生间水，还有冲凉的喷头掉了', 'star': 5}
{'descr': '现在是晚上十一点多 被这屋里气味薰的几乎要窒息了 真想马上逃离这个鬼地方 一进来发现马桶是坏的 隔音很差 真希望明天快点到来', 'star': 3}
{'descr': '＋能接受，不过下次想换一家', 'star': 3}
{'descr': '有点小，但适合两人住，环境还行，卫生较差，特别是卫生间，房间总体可以，希望下次住的时候可以帮忙选好点的！', 'star': 5}
{'descr': '差评，房间内到处都是蟑螂，简直忍无可忍，晚上10点钟就退房了。再也不会预定迷你酒店了。', 'star': 3}
{'descr': '太小了，房间也不太干净，卫生间两个人站不下，唯一好的就是离地铁站很近。。。', 'star': 1}
{'descr': '地理位置方便，洗澡水不错的！适合背包族，米不太多的，每晚和小强作斗争，需要足够的勇气。', 'star': 5}
{'descr': '房间太小       有点潮         比较旧', 'star': 1}
{'descr': '再也不要来这个\n垃圾一样\n什么东西啊 服务差得可以', 'star': 1}
{'descr': '只能用一个垃圾来形容 大家再也不要去那住了 服务态度那叫一个差 又脏又小\n什么也不说了 不要去就对了', 'star': 1}
{'descr': '确实很迷你，但在这种地段儿，这个价钱绝对值了。房间里只有对走廊的窗户，味儿很大，很潮，空调滴水直接滴到被子上床上，房间卫生间都很小...走道里摆有架子上面是一次性用品，可以随便取，虽然没用过......', 'star': 5}
{'descr': '房间价格很适中，只是厕所的味道的确是浓了点，其他都挺好的。 出门交通也挺方便。', 'star': 5}
{'descr': '整体还是不错的，就是隔音实在是太差，迷你房没有说的那么差，东西都很全，地段真不错', 'star': 5}
{'descr': '环境舒适  交通便捷 位置优越 设施老化', 'star': 5}
{'descr': '优点：周边购物便利，交通出行方便。\n缺点：房间小的两人站都转不过身子来，空调漏水床都湿了，卫生间小到必须开着门洗澡（灯也不亮），房间插座全坏，最最关键是服务冷淡，态度极差。\n总结：脏乱差。', 'star': 1}
{'descr': '很好，交通方便，洗澡水很好，累了回宾馆洗个澡很舒服，服务也好，隔音稍差些', 'star': 5}
{'descr': '整体说来位置比较好，但是不房间真的是很迷你。        ', 'star': 5}
{'descr': '环境很好，位置也不错，卫生条件还可以。值得推荐。', 'star': 5}
{'descr': '比较满意的酒店，适合自助旅游,穷游人，交通很方便，就是服务可以更热情一些', 'star': 5}
{'descr': '特价房麻雀虽小五脏俱全，还有空调，原来看了一些不好的点评,有心理准备或许会遇到一些不好的情况,但入住后比想象更好，是性价比较高的房间', 'star': 5}
{'descr': '不错，地理位置真的不错，距离地铁和天安门都不远啊', 'star': 5}
{'descr': '地理位置比较好，服务态度也好，房间小了点，还有蟑螂~~', 'star': 5}
{'descr': '地理位置比较好，交通比较便利，但是床不太舒服，总的来说还行吧~~~~', 'star': 5}
{'descr': '交通方便，房间够小，前台服务员态度要改善', 'star': 5}
{'descr': '很有信益的酒店，同网上描述的一样，价格合理，满意极了！会介绍同事朋友来，自己也会再来！', 'star': 3}
{'descr': '一直没有时间上为评，这家太差了，小得连转身的地方都没有，墙上都掉灰了。电视不知是什么年代的。以后决这 不会住这家。', 'star': 1}
{'descr': '酒店真的很小很迷你，干不干净就见仁见智了，个人感觉还是对得起百元内的价格的。最大亮点是地理位置好，交通便利，可以推荐这预算不高的旅行者', 'star': 5}
{'descr': '房间很小，很适合单人住，经济、卫生。唯一不足是隔音效果差', 'star': 5}
{'descr': '这个房间还可以。嗯@不错不错！', 'star': 3}
{'descr': '不干净！墙上都是血渍！', 'star': 3}
{'descr': '位置很不错，地铁附近，旁边有商场，地铁公交一站到北京站，几点到前门。房间很小，没有窗户，价格适中，值得一住', 'star': 5}
{'descr': '服务态度很好，酒店很小，但是很温馨，也很干净。。。酒店位置也很好，性价比很高。。。下次还住。。。', 'star': 5}
{'descr': '环境差，服务极差，房间小，卫生不干净，洗漱用品还要自己主动要，质量就不用说了，差到极点。没有一点好印象。', 'star': 1}
{'descr': '屋子很小，东西很全，但有点旧，不过这个价格也算可以了，地点很好！', 'star': 5}
{'descr': '挺干净的', 'star': 3}
{'descr': '虽然房间不大，但是地理位置很好，不错，值得推荐  ', 'star': 5}
{'descr': '新装修，味有些大，可以接受，迷你的，交通便利。', 'star': 5}
{'descr': '不知道大房间怎么样，迷你房还是不要住了，又小又脏，洗手间的下水道还反味。', 'star': 1}
{'descr': '地理位置很方便，就在地铁站附近。附近还有超市。酒店设施还挺全的，虽然屋子有点小，但毕竟是迷你酒店。第一晚定的房间没有了，让我住了大的房间。', 'star': 5}
{'descr': '已入住.', 'star': 3}
{'descr': '房间虽小，但可用，卫生间配套齐全，总体还好。', 'star': 3}
{'descr': '环境不错位置也不错比较方便', 'star': 3}
{'descr': '房间小', 'star': 3}
{'descr': '地理位置比较好，交通方便，大概走15分钟就是地铁5号线磁器口站（其他地铁站可能更近，但是我不知道，也没问），购物方便，对面就是新世界购物中心。房间较小，我住2楼，房间有臭味，因为以前住都是公费，大酒店住惯了，还是有点不习惯，不过仔细想下，这个地理位置，这个价位，性价比应该还是不错，24小时热水很不错的哦', 'star': 5}
{'descr': '交通特别的方便，2号线，5号线，地铁快，不堵车，崇文门内公交站点也是到哪去都基本不用倒车，直达动物园，欢乐谷，故宫……酒店设施还可以，在二环内价钱这么便宜，交通这么便利就不错了，虽然墙体有的地方被水泡的发霉，但是并不影响你的居住，空调，电视，独立卫生间，24小时热水洗澡，排风，你还想要什么？也就别奢求那么多了，有的床单会有洗不掉的污渍，有点闹挺，但是是干净的！', 'star': 5}
{'descr': '酒店环境一般 不是很满意', 'star': 3}
{'descr': '整体一般。就是我睡的410房间空调竟然漏水。全滴在我床上了', 'star': 1}
{'descr': '信号差', 'star': 3}
{'descr': '垃圾啊垃圾\u3000小强啊小强\u3000各位驴友千万不要住这家破旅馆\u3000感觉还不如住招待所\u3000\u3000', 'star': 1}
{'descr': '环境蛮干净的价格也不贵,不错', 'star': 3}
{'descr': '很经济，很实惠，交通也很方便，就是有些吵闹。', 'star': 5}
{'descr': '不可以寄存包裹，这一点不好。头一次遇到这个情况。', 'star': 5}
{'descr': '性价比很高~~房间虽然小，但五脏俱全~~~很值这个价钱~~~上网空调什么的都不错~~周围有新世纪百货~逛街很方便，交通也很便利~~~下次还回来~~', 'star': 5}
{'descr': '还不错，主要是位置好，很迷你。但是该有的还是都有的。', 'star': 5}
{'descr': '房间有点小地点不错', 'star': 3}
{'descr': '就是房间小了点，其他的到时还没什么问题，通风一般。还是听不错的一家酒店', 'star': 5}
{'descr': '房间特别小  而且隔音效果很差  除了地理位置好点   别的一无是处  别坑了啊', 'star': 1}
{'descr': '还可以,所在位置不错,交通便利!', 'star': 3}
{'descr': '总体来说还不错，续住了3天！离地铁站近，购物方便。房间设施齐全！下次还选这里！', 'star': 5}
{'descr': '很不错，因为住得好，所以又续住了！下次来北京还选这里，交通方便！', 'star': 5}
{'descr': '房间很小，但设施齐全，虽然没窗，但有手机信号，下次来北京还住这里！离地铁近，购物方便！', 'star': 5}
{'descr': '地点确实不错，房间小而全，但是卫生情况确实不怎么好，还有小强，价位便宜24小时热水', 'star': 3}
{'descr': '很好方便谢谢', 'star': 3}
{'descr': '酒店位置很好，在这么繁华的地方性价比还是比较高的。需要改进的是卫生间的异味，还有网络端口的位置不太舒服', 'star': 5}
{'descr': '迷你酒店实在是迷你,最难过的是客房下水道的味道太重了,', 'star': 3}
{'descr': '卫生还成，别的都一般般！！\n一切设施都迷你迷你迷死你！晕！！', 'star': 1}
{'descr': '位置不错，交通方便，购物也方便。就是房间太小。', 'star': 5}
{'descr': '位置很好，但现在里面的设施要更换了，这次去，329的马桶是烂的，电视没遥控。', 'star': 5}
{'descr': '酒店位置不错，离地铁很近。周围商业多，出行方便。', 'star': 5}
{'descr': '位置不错，离同仁医院、北京医院、新世界百货都很近。就是房间太小', 'star': 5}
{'descr': ' 性价比很高。还算正规。旅游落脚挺合适。', 'star': 3}
{'descr': '不好。一夜都没有睡着。太差了。简直就是招待所。吵，小，臭，热。要是夏天，更是没法居住。', 'star': 1}
{'descr': '房间太小，真的是太迷你了，卫生间人进去都不能开门和转身了。', 'star': 1}
{'descr': '房间没有想象的那么小，里面该有的都有，感觉很好。', 'star': 3}
{'descr': '卫生间极小，不通，水溢到外面，发水了，浴巾破烂不堪，脏极了。定的是无窗房闷死了，一个房间就放下一张床，到处都是破败的样子。房门感应不好，房卡一不小心烂了个角，也不知道是否原本就有问题，还赔了20元，服务员态度极为恶劣，', 'star': 1}
{'descr': '位置优越，服务不错，就是各方面条件太差，凑合一宿还行。', 'star': 5}
{'descr': '千万别为了省钱住这。从地铁D出口出来好像不合适，找了将近1个小时没找到。房子小不说，服务也很差劲，像是进了繁华都市的贫民窟。', 'star': 1}
{'descr': '房子与房费有差距。一般般。', 'star': 3}
{'descr': '房屋设施一般，浴巾不干净，床比较硬，感觉不是很舒服。', 'star': 1}
{'descr': '住了一晚上了,整体感觉还是可以,至少是性价比还行,就是有点味儿,有点吵', 'star': 3}
{'descr': '还不错~', 'star': 3}
{'descr': '经济实惠', 'star': 3}
{'descr': '空间太小！设备简陋！晚上睡觉外面的声音太嘈杂', 'star': 1}
{'descr': '小，不是一般的小，名副其实的迷你…………\n隔音也不好，厕所还反味…………\n暖气给的非常足，以至于第二天就感冒了…………', 'star': 1}
{'descr': '我已入住,条件差,不过位置还行', 'star': 3}
{'descr': '交通便利旅馆设施一般', 'star': 3}
{'descr': '位置不错，房间超级迷你', 'star': 3}
{'descr': '我认为这家酒店很好，很暖和，交通特别方便，附近的好吃的也特别多，下次还会去的', 'star': 5}
{'descr': '从地铁崇文门站出来后步行约5分钟即可到达，此酒店不是很好找，在新世界商场的侧门处。我住的是302房间，有一股非常刺鼻的味道，不过可以换房间。客房内可以上网，网速一般。没有入住的客房很多都是敞开大门的，显得很不正规，好在门是可以从里面反锁起来的，还算安全，单人间价格是99元，需要押金100元，都不能刷卡，只能支付现金，我认为这里适合对居住条件要求不高的人，而且胜在地理位置好。', 'star': 5}
{'descr': '环境挺好的，实施也很人性化，是个不错的选择！！！！', 'star': 5}
{'descr': '空调不好使，而且卫生间反味儿，特别难闻。。。。被子薄，一晚上没冻死。。。。第二天早上7点半，就听见抡大锤的声音。。。8点多就退房啦。。。。', 'star': 1}
{'descr': '只能说是麻雀虽小但五脏俱全,酒店的设施就有点旧,不过还算干净，不过酒店的地点不错，交通方便。', 'star': 5}
{'descr': '很方便的一个地方，但是迷你酒店真的很迷你。我1米9的个子在房间里面只能坐着。太小了，门都开不开。', 'star': 1}
{'descr': '地理位置不错，环境也还可以。值得学生一族去住。', 'star': 5}
{'descr': '设施和招待所差不多，但位置较好，为赶行程忍一宿还可。', 'star': 5}
{'descr': '定的房间没有，加钱升级房间，房间很旧，隔音也不好。只是离地铁站近。', 'star': 1}
{'descr': '房间太小啦 虽然说是特价房 但是 99元的房费与 7 8米的房间相比还是显得那么苍白', 'star': 1}
{'descr': '迷你客房小而强大,还不错,地段好,出行方便', 'star': 3}
{'descr': '就一句话，不要钱也不住这了，没毛巾、椅子、，电话机也没有', 'star': 1}
{'descr': '住房可以，交通便利是最大优点，就是里面设施有些旧，花洒是坏的', 'star': 3}
{'descr': '迷你，便宜', 'star': 3}
{'descr': '总体还行吧，确实很迷你，洗漱用品自己在工具架上拿，挺方便', 'star': 5}
{'descr': '唯一缺点就是闷，其它都行，适合怕冷的朋友。', 'star': 3}
{'descr': '小宾馆挺不错的,干净,电视信号也不错,顶一下!', 'star': 3}
{'descr': '不错的小酒店，适合自己住,就是有些地方还需要改进的地方。', 'star': 5}
{'descr': '房间确实迷你的不行 空气根本无法流通 附近倒是有很多好吃的 这点很好', 'star': 5}
{'descr': '很不好。窗户无法上锁；床单很脏。换了一个房间，还是一个样子。', 'star': 1}
{'descr': '迷你就是迷你，设施简单。不过这个地段这个价钱算起来也物超所值了。', 'star': 5}
{'descr': '新世界这个地方这个价格算不错的了，就是地方不好找，前台和“陕一居”饭馆在一起…', 'star': 3}
{'descr': '面积挺小，但便宜。没有梳子、没有一次性鞋子。其它都有。', 'star': 5}
{'descr': '环境不好房子很闷的慌 空气不好 憋屈\n网线放的地方很我人\n', 'star': 1}
{'descr': '卫生条件极差，服务态度太烂，简直都不如一个农村的小旅馆，太恶心了。绝对不会再次去这里', 'star': 1}
{'descr': '定的99特机房，没窗户，太小了。。。就一张床的大小。。。不过这个地段这个价格。。。也就凑合了，不过卫生真不咋样。。。看着到处都脏脏旧旧的，床单一看就不干净。。。黑乎乎的。。。', 'star': 5}
{'descr': '酒店地理位置还可以，就是房间太小，隔音也不好，尤其是服务员态度太差，下次不想再来...', 'star': 1}
{'descr': '？迷你酒店房間真的只有一張雙人床那麼大，洗手間倒是挺方便的。屋里暖氣很足，所以店主干脆把空調控制都收了。？整體一般吧。价格優勢！', 'star': 3}
{'descr': '离北京站很近，这是最值得推荐的，晚上的火车去别的地方就很难了，这个很方便，房间虽小五脏俱全', 'star': 5}
{'descr': '这儿房里的暖气简直能蒸包子啊，还不给用空调，热的我整晚光扇风了，一秒钟都没合眼。想挑战这里的各位建议还是等夏天吧……', 'star': 1}
{'descr': '一分钱一分货吧。~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '交通方便，地理位置不错。就靠近地铁出口，在万怡酒店的斜对面。设施还可以，房子很暖和，不用再开空调了。酒店下面有一家山西面食，还是很不错的。我喜欢。下次接着来住。', 'star': 5}
