{'descr': '房间靠马路，隔音差，比较吵', 'star': 3}
{'descr': '重庆市政府正在装修酒店的外墙，所以打的去的话你可能会找不到。不过，总的来说，这样价位的酒店，也真是没得说了。主要是地点很靠近市中心，出门50米就有公交车站，再走上一些有轻轨，交通非常的方便，服务员的态度也不错，就是对外国游客的护照处理有些慢。还是推荐的。', 'star': 5}
{'descr': ' 房间很合适,服务也不错', 'star': 3}
{'descr': '客栈大厅楼道很温馨，客房一般吧，窗户很小，打开窗户发现是几栋楼的夹角，卫生太差了，又臭又脏，但是店内还不错吧，电视小了点，服务人员很热情，有免费矿泉水送。早餐没吃，没起来呵呵呵，位置据解放碑不算远，但是左拐右拐的也不算方便。性价比还行吧', 'star': 5}
{'descr': '重庆品逸快捷酒店房间整洁干净，房间还是比较大', 'star': 5}
{'descr': '整体感觉不错，离解放碑较近，方便，以后还会入住', 'star': 5}
{'descr': '房间够大，门头太小，紧邻繁忙的红黄，噪音较大。', 'star': 3}
{'descr': '标房的客房很大,有网线,卫生间和里面的淋浴间都挺大的,早餐品种不多,但很干净,茶叶蛋味道不错', 'star': 3}
{'descr': '酒店位置很好，卫生条件干净，最大缺陷就是临界很吵', 'star': 5}
{'descr': '经济实惠型★★★离解放碑和朝天门也比较近，只是外墙在搞什么市政工程，出入不太方便。', 'star': 3}
{'descr': '便宜是选他的最好理由，房间内饰一般，环境一般', 'star': 1}
{'descr': '酒店环境不错，干净整洁，服务员态度很热情，下次还会入住。', 'star': 5}
{'descr': '这家酒店的交通比较方便，卫生、舒适度都不错，价格适中。唯一美中不足的是，我住的时候，外墙正在装修，进出酒店不太方便。如果满分为100分的话，我打85分。', 'star': 5}
{'descr': '环境舒适 。就是中途没有扔来打扫卫生。其它胡灰还不错。下次再来', 'star': 5}
{'descr': '还不错,交通很方便，走十分钟就到解放碑商业区', 'star': 5}
{'descr': '房间挺大的，干净，就是临街噪音大，建议睡眠好的可以入住。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '房间挺大的，干净，就是临街噪音大，建议睡眠好的可以入住。', 'star': 5}
{'descr': '床挺干净的，离解放碑也满近的，就是房间有霉味，不过这是重庆特色啦，呵呵', 'star': 3}
{'descr': '太破了.......................', 'star': 1}
{'descr': '价格比较合理，卫生环境一般，离解放碑比较近！~~~总的来说还是不错的！~~\n\n.', 'star': 5}
{'descr': '酒店本身还不错，干净宽敞，只是没有电梯，不过服务员挺不错，帮我们把行李搬上了楼。所处位置在市中心交通堵塞，也是预先无法估计的问题。', 'star': 5}
{'descr': '环境挺好的，也挺干净的。离解放碑很近。不错。', 'star': 5}
{'descr': '设施还不错，房间也挺大的，比较干净，就是位置稍微难找了一些，网页上给的地址不够具体。', 'star': 3}
{'descr': '住宿条件一般，湿度大原因，房间气味较大。', 'star': 3}
{'descr': '干净卫生整洁，在市中心，价格便宜，服务周到。', 'star': 5}
{'descr': '靠街边房间的很吵，因为在修路，靠里面的窗外是有很多垃圾，开窗户会很臭，不过这个价格、这个地段就这样了', 'star': 5}
{'descr': ' 客栈还算干净，就是没有电梯，不是很方便', 'star': 3}
{'descr': '临街太吵了，基本没怎么睡！窗户虽然很厚，但是隔音很差。', 'star': 1}
{'descr': '满意', 'star': 3}
{'descr': '环境不错，服务很周到，就是靠马路有些闹~', 'star': 5}
{'descr': '服务还行，卫生也过得去，只是临街房太吵。位置较好，步行10分钟可到解放碑和洪崖洞', 'star': 5}
{'descr': '临江客栈卫生还行，服务态度过得去，只是临街房间太吵', 'star': 3}
{'descr': '房间布置、设施各方面都可以~！\n最主要是离我办事的地方比较近，经济实惠~！\n服务态度很好~！', 'star': 5}
{'descr': '我订的是家庭套房，房间还比较大，很干净，感觉不错！就是离马路很近，睡觉有些吵，离解放碑和洪崖洞都很近。', 'star': 5}
{'descr': '浴液这些东西确实不是很好哦，希望改进一下下吧，谢谢了', 'star': 5}
{'descr': '非常好', 'star': 3}
{'descr': '位子算是不错，房间也很干净，住的三人间很不错！', 'star': 5}
{'descr': '卫生环境还不错，服务特别的好。电脑房也非常的超值。', 'star': 3}
{'descr': '房间环境还行，门口暂时在修路，影响不大~！\n下来来重庆出差办事，还会选临江客栈~！！！', 'star': 5}
{'descr': '酒店还可以，但是恰逢修路，很糟糕…不过还是给个好评', 'star': 3}
{'descr': '第一晚住的临马路的，那个吵啊。第二天申请换到不临街的，好多了，建议后入住的一定要住不临街的哦。房间很好，性价比高，大。值得推荐。', 'star': 5}
{'descr': '还不错，交通方便，周边餐饮也多，物有所值。', 'star': 5}
{'descr': '由于外边修路一整夜吵的根本无法入睡，要个吹风机还得自己下楼去取，没有电梯', 'star': 1}
{'descr': '客栈总体很不错，住的挺舒服，下次继续入住', 'star': 5}
{'descr': '房间宽敞干净,交通方便,服务好。', 'star': 3}
{'descr': '很喜欢，不错的酒店，还送咖啡呢，浴室也蛮干净的，值得入住。', 'star': 5}
{'descr': '服务态度很好，处在山坡上。交通还是挺方便的，虽然住着临街的一面但是晚上还是比较安静。最好还是住临街的因为比较向阳，背面有点潮湿的感觉。总的来说还是不错的。', 'star': 5}
{'descr': '还不错，服务比较周到，条件卫生也比较好，离解放碑也比较近，值得关注', 'star': 5}
{'descr': '物有所值,环境干净整洁，靠窗一方稍微有点吵，早餐不是很丰盛,总体比较满意!', 'star': 3}
{'descr': '干净，住着很舒服，只是希望下次来能够打折。', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '房间多数无窗，但干净', 'star': 3}
{'descr': '性价比较高，但离商业街有一点远,交通一般', 'star': 5}
{'descr': '房间比较大，强纸也比较漂亮，，', 'star': 3}
{'descr': '环境很不错.离解放碑这些地方也很近.但是隔音效果可能差了点.不够总的来说不错.', 'star': 5}
{'descr': '不错 酒店比想象的更干净 总台服务态度也很好 就是电吹风太少了 呵呵', 'star': 5}
{'descr': '不错 比想象中的更加干净 前台小伙态度很好 下次去重庆还会光顾的', 'star': 3}
{'descr': '房间还是比较大，周边馆子比较多，不错，唯一缺点是房间临街有点吵', 'star': 5}
{'descr': '位置还不错，环境稍差。', 'star': 3}
{'descr': ' 临江客栈很干净温馨，性价比高。', 'star': 3}
{'descr': '挺好的，交通便利，环境比较好，水很热，也很干净，性价比比较高。', 'star': 5}
{'descr': '条件还可以，就是没有停车场，太不方便了。', 'star': 3}
{'descr': '房间虽小但还算精致，性价比还行。', 'star': 3}
{'descr': '这已是第2次的入住了，很不错，很舒服温馨，但还是希望对隔音措施再弄的好一点，那就很不错的拉', 'star': 5}
{'descr': '环境不错，位置比较偏，周边商店不是很多，交通也不是很方便', 'star': 5}
{'descr': '酒店还是比较小，位置不怎么样标志也不是很清楚，感觉住着也不是太安全，价格还差不多。但是酒店确实不怎么好。', 'star': 1}
{'descr': '环境不错，只是隔音效果不好，服务还算可以。', 'star': 5}
{'descr': '一般一般一般一般一般一般一般一般一般一般一般一般', 'star': 5}
{'descr': '其他还好,就是隔音效果太差,晚上很吵,整晚都听到路上的汽车声音', 'star': 5}
{'descr': ' 房间还行，外面装修的差了点。', 'star': 5}
{'descr': '位置很方便，但是刚好这次修路有点吵。', 'star': 3}
{'descr': '房间很宽敞！确实不错哦！就是对初次去重庆的人来说，地理位置可能不是很好找！', 'star': 5}
{'descr': '很小的旅店，而且刚好碰到酒店前修路很吵，下次不会考虑住这家！', 'star': 1}
{'descr': '我订的豪华单间，房间面积很大，有窗比较明亮，但噪音较大，晚上没有什么可以玩的地方，还算不错吧', 'star': 5}
{'descr': '不错,有点噪', 'star': 5}
{'descr': '房间烟味很重！热水水温不稳定！其它方面还是可以的~', 'star': 1}
{'descr': '房间小了点..别的也没什么.东西倒很干净..就是大堂小了点.不过这个性价比还可以了.', 'star': 5}
{'descr': '总体还是一般，地方不是很好找，隔音效果不佳', 'star': 5}
{'descr': '100元的房子再加上返我的20元卷，性价比还是不错的。', 'star': 5}
{'descr': '酒店不错，位置也可以，周围小餐馆较多', 'star': 3}
{'descr': '不错的快捷酒店，房间很大很舒适，但是晚上有点吵。。。。。床、电视、卫生间都还可以，而且是落地窗，就是不大好找，在加油站旁边', 'star': 5}
{'descr': '非常满意', 'star': 5}
