{'短评内容': '服务态度很好  离景区很近 附近美食多！', '短评打分': 5}
{'短评内容': '这是一家优缺点都很明显的店。\n优点：1、独立院子，安静；2、院内有30个位的停车场，比旁边御街上的所有便捷店强；3、门前的路到晚上是小吃街，种类很多；4、免费网络；5、前台服务员动作很快。\n缺点：1、晚六点到凌晨两点夜市时间段门前那条路禁止通车，交通不便；2、房间里没有衣橱，没有行李架；3、没有吹风机；4、没有电蚊香片；5、网速奇慢。', '短评打分': 5}
{'短评内容': '住在楼梯口，经常听到服务员来来往往说话做事，隔音很不好，其他都不错。', '短评打分': 5}
{'短评内容': '还不错，离河坊街很近，小吃一条街尽在咫尺，建议自驾游的朋友可选择住此酒店。', '短评打分': 5}
{'短评内容': '非常满意，离河坊街和西湖都不远，河坊街走着去没几分钟，而且酒店出门就是美食街，有饭店，晚上还有大排挡，离鼓楼很近，离火车站打车就是起步价，如果以后有机会去杭州还会住这里，位置简直太完美了。唯一的缺点就是：是不是吹风机太少了？我住了三天，催了三天，都被借出去没人还回来，我三天都没排上号啊。。。早上都是湿着头发出门去游玩。', '短评打分': 5}
{'短评内容': '酒店闹中取静，交通便利，不管是去河坊街购物还是去西湖游玩都很方便。服务人员态度友善，房间干净卫生，国庆住了三天每天早上都有人打扫更换毛巾用品。', '短评打分': 5}
{'短评内容': '  酒店有点小  但是还是蛮温馨的 喜欢', '短评打分': 3}
{'短评内容': '如家鼓楼店环境不错，室内不让吸烟，没有烟残味道。热水足。环境卫生。位置离食街近，方便', '短评打分': 3}
{'短评内容': '地段很好，出去就是河坊街鼓楼一带，晚上门口有小吃街。宾馆本身的房间很小，隔音极其不好，空调液晶显示屏的亮光照得人睡不着觉。院内可以停15辆车左右，很安全。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '应该是刚刚改建加盟的，还算干净，性价比一般但出行方便。', '短评打分': 3}
{'短评内容': '位置离湖滨不远但公交没有去那边的得转一趟车，酒店门口就是小吃街以烧烤为主也有饭店但有点小贵。酒店房间小但卫生不错，主要是服务跟不上。我一家住了4天一次性用品还是来时那套，最后一天连每天都送的两瓶水也取消了。打到前台质问竟说是你没叫打扫房间的事。那你垃圾桶怎么天天清啊？还好后来又送来了。服务跟锦江之星不是一个级别的。另外该店开在一个（好像）小区里二楼也无防盗窗搞得不敢在房内放东西,只好存前台。', '短评打分': 1}
{'短评内容': ' 感觉非常温馨,就是房间稍微有那么一点点小,其他的都蛮不错!', '短评打分': 3}
{'短评内容': '我觉得还不错，位置也还好，房间比较大，相对来说服务要差点', '短评打分': 5}
{'短评内容': '如家快捷酒店（杭州河坊街鼓楼店）是新装修的，有3栋楼，环境还不错。房间内环境也可以，有绿色的或粉色的床单，淡黄色的墙面，比较温馨。一开始住的一家空调不制冷，服务台马上就换了一间。效率很快。附近就是小吃街，步行街。非常的方便，价格也非常的公道啊~~', '短评打分': 5}
{'短评内容': '服务态度很好,地理位置很好,一出门就是河坊街吃和购物都很方便.就是可能是正是旅游季节人很多,我的房间没有打扫就让我入住,卫生间沐浴间下水口还有长头发,纸篓里还没倒,和前台说过马上有人来打扫,但还是有点让人不大舒服.', '短评打分': 5}
{'短评内容': '新装修的酒店，挺好的，房间宽敞，床上用品整洁。位置极佳，就在鼓楼外。', '短评打分': 5}
{'短评内容': ' 新改造的酒店，位置好，在御街旁边，离火车站也不太远、室内卫生、干净、冷气给力；不足：没有早餐、在一个院子里感觉有些乱。', '短评打分': 3}
