{'短评内容': '位置离地铁站很近 隔音不错的', '短评打分': 5}
{'短评内容': '店面不错，跟网上的图片是一样的，感觉还不错，很温馨。', '短评打分': 5}
{'短评内容': '酒店服务员态度好，出行交通也方便。第一次住这种连锁酒店，不方便的是预定打折酒店早餐另计费。\n', '短评打分': 5}
{'短评内容': '除了是在大马路边车的声音很吵外，别的挺好的', '短评打分': 3}
{'短评内容': '服务态度好，只是房间隔音不怎么好，有点吵。', '短评打分': 3}
{'短评内容': '一直住这家店的。位置很方便。早上打电话去确认的时候。前台小姐耐心很好。下次继续定。', '短评打分': 5}
{'短评内容': '郁闷啊！订房时说有房间，过去了又没有了，然后送另外一个店。', '短评打分': 3}
{'短评内容': '特大床果然很大，房间很清爽，推门进的时候掉下很多卡片。。', '短评打分': 5}
{'短评内容': '酒店交通挺方便的，环境和服务也都不错。就是房间比较小', '短评打分': 5}
{'短评内容': '总体还不错，性价比较高，就是靠近马路，比较吵。', '短评打分': 5}
{'短评内容': '2012年做的第一件错事就是住了这个酒店，脏、乱、旧！跟90年代的招待所不知道有什么区别，电视是21时的老旧款，还是叫不出名字的山寨货；空调是烂的，设置了半天都不知道怎么搞；床铺小而硬；其它的无法形容了，干脆无语……', '短评打分': 1}
{'短评内容': '酒店的服务、设施都挺好，周边交通也很方便。', '短评打分': 5}
{'短评内容': '酒店离火车站较劲，房间设施、服务都挺好。', '短评打分': 5}
{'短评内容': '预定时房间显示的图片跟酒店实景不同，挺失望的。', '短评打分': 1}
{'短评内容': '房间挺大的，总体不错，性价比比较高吧！就是写字桌在窗户那边，晚上有点冷。', '短评打分': 5}
{'短评内容': '整洁卫生，宽敞，交通方便，就是临街的房间太吵，网速很慢，同样的电脑前一晚在其他宾馆上网很快', '短评打分': 5}
{'短评内容': '房间墙皮脱落，有异味，隔音效果差，晚上马路上得车声特别的大，根本让人睡不着。', '短评打分': 1}
{'短评内容': '床舒服 、网速高、较正规、比较吵、交通好\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '环境还好，挺卫生的', '短评打分': 3}
{'短评内容': '里面的环境很一般，和这个价格不相称，价格稍微贵了点', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '服务不错，有地免费停车，就是靠近高架桥的一边比较吵', '短评打分': 3}
{'短评内容': '房间很小，房价也很高，而且管理方面一般，房间内有很多不健康广告名片塞入门缝中', '短评打分': 1}
{'短评内容': '不是亲自住，给朋友订的，朋友说还不错，住了2天，', '短评打分': 5}
{'短评内容': '房间面积太小、隔音效果不好，床单好像不是很舒服！', '短评打分': 1}
{'短评内容': '去了之后说没房了，换到了很近的朝晖二店，可是朝晖二店像刚装修的，还有气味，可是设施很简陋。3年前我住一店，感觉还可以的，所以才订的，以后估计不会了，在杭州还是住好一点酒店好，尤其是出来旅游的。在高架边上，双层玻璃也是很吵', '短评打分': 1}
{'短评内容': '不错 很干净 服务业很好 就是停车位少了点', '短评打分': 5}
{'短评内容': '旧，但干净', '短评打分': 3}
{'短评内容': '三楼的特价房，不大，挺小的，浴室一面透明的玻璃，凑合住，椅子有点不好使', '短评打分': 3}
{'短评内容': '酒店服务很到位，环境也不错。尤其是所在的位置很好，去西湖等旅游景点很方便。', '短评打分': 5}
{'短评内容': '离西湖距离还在接受范围内，国庆期间价格较高，但很干净。最不好的是小卡片很多，总体来说还可以', '短评打分': 5}
{'短评内容': '离西湖蛮近的~附近吃的也多~服务不错·就是房间蛮小的', '短评打分': 5}
{'短评内容': '好小好旧一个！！本来还蛮喜欢汉庭的！实在无法忍受唉！：', '短评打分': 3}
{'短评内容': '入住了汉庭，比想像的好，设施挺全的，房间也听干净的，不错', '短评打分': 3}
{'短评内容': '房型有点小，有点吵，服务态度还可以', '短评打分': 3}
{'短评内容': '酒店打扫卫生的阿姨很热情！感觉很好！就是卫生间的洗漱台上面老是很湿！会把衣服弄湿！总的感觉不错！', '短评打分': 3}
{'短评内容': '我定的是一间大床房，不错 很宽敞，干净整洁 给人回家的感觉，服务热情，全5分。\n\n下次出差还会住这家。', '短评打分': 5}
{'短评内容': '位置很好找，在武林广场吃到撑，然后花二十分钟走回去，休息，很惬意。\n因为是特价房，床不是很大，交通神马的都比较方便。\n推荐推荐！', '短评打分': 5}
{'短评内容': '房间很小，在路口停车有点不方便。服务还行。', '短评打分': 3}
{'短评内容': '挺好的 房间宽敞干净 本来看到有些评价不是很好 还在犹豫呢 但是住进来才发现真的挺不错的 窗子很大 洗手间也有很大的窗户  光线很好  本来椅子坏了 但是服务人员很热心的帮我处理好了 以前出差去广州的时候也住过汉庭 几次下来的印象都挺不错的 就是房间太紧俏了 而且活动价格跟上浮价格差距太大 如果活动价格入住还是非常值得的', '短评打分': 5}
{'短评内容': '＋还可以，继续住！', '短评打分': 3}
{'短评内容': '＋卫生整体不错，只是卫生间前面的玻璃不干净！', '短评打分': 3}
{'短评内容': '总体感觉还行，就是靠高架这边挺吵，隔音方面还有改善空间', '短评打分': 5}
{'短评内容': '还可以，就是有点小。不在市中心。入住的人需要坐车近40MIN才能到市中心。', '短评打分': 5}
{'短评内容': '离高架太近,面对高架的房间太吵了.问酒店要朝里的房间,只有三间,就给了老人.', '短评打分': 1}
{'短评内容': '感觉没隔壁的二店好，房内也不能无线上网了，隔音依旧不好，依旧有广告名片，无语', '短评打分': 5}
{'短评内容': '前台服务态度很好 值班的男经理也很周到。', '短评打分': 5}
{'短评内容': '服务态度不好，房间太小，房费还能算错，性价比太差', '短评打分': 1}
{'短评内容': '我们住在七楼，窗外有杂音，房间小了点，卫生情况一般。', '短评打分': 1}
{'短评内容': '服务还可以帮我保留到蛮晚,就是地下停车场太小了', '短评打分': 3}
{'短评内容': '房间小哦，在杭州也只能这样咯。', '短评打分': 3}
{'短评内容': '还好，高架有点吵，小卡片过多，，，，，，，，环境有点旧了，309墙壁开裂了', '短评打分': 5}
{'短评内容': '交通很方便，位置也很好，靠马路的房间有点吵，', '短评打分': 5}
{'短评内容': '1.地理位置很好,距离市中心武林广场真的很近 而且楼下就是自行车租用点 很方便旅行的游客\n2.房间很不错,虽然不大 但是卫生 格局好 朝高架的一面还可以欣赏夕阳西下的景色,晚上睡觉也不会太吵\n3.酒店人员服务很热情 ', '短评打分': 5}
{'短评内容': '比较象家庭旅馆，作为快捷酒店相应设施还是差了些。隔音太差，半夜隔壁打电话听得清清楚楚，房间塞了各种色情广告卡片，让人对酒店管理和安全性产生质疑，住了一晚后换了酒店。', '短评打分': 1}
{'短评内容': '还行吧，小卡片太多，那天我进去头上掉下来，吓我一跳', '短评打分': 5}
{'短评内容': '该酒店位置不错，性价比也比较高，值得推荐！', '短评打分': 5}
{'短评内容': '很不错，交通很便利，环境还可以', '短评打分': 3}
{'短评内容': '女朋友去住的，应该还行吧，具体我也不知道', '短评打分': 5}
{'短评内容': '前台动作很快\n设施不错，符合这个档次的酒店标准\n', '短评打分': 5}
{'短评内容': '就是房间小了点，其它都不错', '短评打分': 3}
{'短评内容': '房间还不错', '短评打分': 3}
{'短评内容': '什么酒店，态度差，房间差，反正什么都不好，', '短评打分': 1}
{'短评内容': '地理位置不错，不过感觉附近的朝晖一店大厅更漂亮些。房间内设施还可以吧', '短评打分': 5}
{'短评内容': '房间还算干净、毛巾是新的。早餐还不错，地理位置还行。呵呵', '短评打分': 5}
{'短评内容': '房间虽然小了点~但是还算干净整洁，房间对着高架有点吵~~浴巾很新，用起来很舒服，不像其他酒店感觉就是很旧的那种', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '房间很安静，基础设施不错，就浴室是玻璃窗的，有点不习惯。同等价格下，还是不错的选择', '短评打分': 3}
{'短评内容': '还不错，服务态度挺好的。\n就是隔音效果，老问题了', '短评打分': 5}
{'短评内容': '各种服务卡片真的是超级多，希望能进行管理啊', '短评打分': 5}
{'短评内容': '整体都挺舒服的，就是周围打车不方便啊\n牙刷的毛有化纤气味，我都用自己的了', '短评打分': 5}
{'短评内容': '交通较方便，可是周边环境太吵，还有就是门口老有杂七杂八的卡片服务，比较乱脏', '短评打分': 1}
{'短评内容': '很不错的宾馆，又便宜，又舒适。地方也还好找的，如果这种一百的房间经常有就好了', '短评打分': 5}
{'短评内容': '周边还行，房间还可以。服务态度欠佳。其他都OK。', '短评打分': 5}
{'短评内容': '除了有小名片塞进房间，其他都还不错，前台值班经理那个男孩很热情，相对来说那女孩就很凶了，我们都不敢和她说话', '短评打分': 5}
{'短评内容': '我定的新年百元房,比我想象中的好,房间整洁大方,旅行首选', '短评打分': 3}
{'短评内容': '很干净，不错，就是酒店提供的早餐能在丰富一些就好了。', '短评打分': 5}
{'短评内容': '交通蛮方便的，周围吃饭的地方也很多的，就是停车不方便。', '短评打分': 5}
{'短评内容': '还不错,设施齐全,只是有小广告,而且很多呢.', '短评打分': 5}
{'短评内容': '第二次入住,挺好的,结帐的时候多收了钱,再我指出的情况下马上改正了', '短评打分': 5}
{'短评内容': '这次入住的感觉是价格好混乱，三个渠道出了三个价格。。。还好最终是最优惠价格给了我，特表扬下前台的服务精神', '短评打分': 5}
{'短评内容': '交通方便，服务人员很客气，态度友好，感觉不错。\n就是高架旁边，可能有点吵，喜欢安静的朋友还是选其它的酒店吧。', '短评打分': 5}
{'短评内容': '色情广告很多，空调声音特别响！不值得入住', '短评打分': 1}
{'短评内容': '__+++++++_________))))))))+++', '短评打分': 5}
{'短评内容': '还行吧...小广告多了点 汉庭还不错 汉庭还不错', '短评打分': 5}
{'短评内容': '房间面积不大，隔音效果不好，但还算整洁，晚上有人来发色情卡片，有点郁闷。交通蛮便利的，在酒店斜对面直接有公交车去西湖的，离酒店300米左右还有个大型超市，购物什么的很便利。', '短评打分': 5}
{'短评内容': '适合出差人士入住，临街房间有些吵。每晚门口都是一堆小卡片，宾馆的副业么？', '短评打分': 5}
{'短评内容': '位置相对不好点   去河坊街还有点小远  因为是中秋  西湖附近的酒店都订不到了  \r\n酒店床很大  就是厕所和浴室设计的不大好 不是独立出来的  明显为了节约空间  不过服务还行', '短评打分': 5}
{'短评内容': '房间太小了，没有空间，桌子超级小东西都没地方放，卫生间关个门都困难。', '短评打分': 3}
{'短评内容': '房间好小阿，行李都没地方放，空间小，卫生间也小，入住快，前台态度好。', '短评打分': 5}
{'短评内容': '位置好，来杭州在市中心住住既方便又实惠，还是十分推荐入住的，这已经是第四次入住了', '短评打分': 5}
{'短评内容': '很不错，还是比较推荐的，就是两个汉庭在一块儿，容易让人搞错，哈哈', '短评打分': 3}
{'短评内容': '一直比较喜欢汉庭的房间，宽敞，整体感觉很舒适。这次住的这个店发现就在高架旁边，所以有一面的房间会比较吵点，所以入住的时候一定要先说明不要靠高架的一边。。。。', '短评打分': 5}
{'短评内容': '对于这个价格来说，房间还是可以的，就是小卡片太多，给人不安全的感觉。', '短评打分': 5}
{'短评内容': '只能说还可以 ，饭店旁边就是高架。就餐很方便，什么都有', '短评打分': 1}
{'短评内容': '一般吧，房间有点小', '短评打分': 5}
{'短评内容': '其他都没得挑，就是房间实在是小', '短评打分': 5}
{'短评内容': '電梯讀卡不能；第一天電視播放不能；隔音效果不甚好 時常有鋸東西/說話聲傳來 ..還有約9點多時會有人從門縫下塞特殊服務紙片進來.很詭異\r\n舒適度尚可 服務質量有待提高 不過從價格角度而言也不能太過要求了\r\n\r\n另提議將浴巾和手巾的位置更改一下 至少不要放在便器的正上方', '短评打分': 1}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '装修已结束了，现在入住比较安静多了。', '短评打分': 5}
{'短评内容': '太吵了，晚上睡不着觉。', '短评打分': 1}
{'短评内容': '总体还可以的。', '短评打分': 5}
{'短评内容': '还不错哦', '短评打分': 5}
{'短评内容': '交通便捷，设施和卫生都还可以接受。', '短评打分': 5}
{'短评内容': '为了考试，预定了一件大床房，里面布置比较紧凑，感觉不错，就是价格贵了点', '短评打分': 5}
{'短评内容': '窗子临高架桥，吵', '短评打分': 5}
{'短评内容': '房间各方面还可以，就是酒店门口的不方便', '短评打分': 5}
{'短评内容': 'cfghh', '短评打分': 5}
{'短评内容': '性价比很不错，交通便捷，虽近高架，但还好，不算很吵．', '短评打分': 5}
{'短评内容': '有点贵，临街有点吵，定退房速度很快，交通餐饮方便', '短评打分': 5}
{'短评内容': '还可以吧，那家去过很多次，就是里面的设备稍微陈旧了点，还有就是窗外的高架有点吵', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '该酒店位置很好，但目前在装潢中，噪音比较大。', '短评打分': 3}
{'短评内容': '目前酒店正在装潢中，噪音比较大，也比较乱点。', '短评打分': 1}
{'短评内容': '总体感觉都还不错', '短评打分': 5}
{'短评内容': '靠近高架太吵了！', '短评打分': 5}
{'短评内容': '地理位置挺不错的，房间也挺大的，到市中心很方便。只是房间靠着高架桥的旁边，有点吵', '短评打分': 5}
{'短评内容': '房间蛮小的~一个人住住还好~没有免费早餐~', '短评打分': 5}
{'短评内容': '好。满意~', '短评打分': 3}
{'短评内容': '此家汉庭位于高架桥下，较嘈杂，来往车声明显，且单人房空间极狭小，淋浴的地方水也很小，设施也很一般。', '短评打分': 1}
{'短评内容': '酒店不错 干净 服务态度好 就是房间有点小', '短评打分': 3}
{'短评内容': '房间很简单，说实话二楼的房间实在住不得，相当不舒服。还有电视信号很差，有一半的台卡死了~~下次应该去试试朝晖二店，看起来新一点，应该不错', '短评打分': 1}
{'短评内容': '卫生条件可以！房间蛮干净的', '短评打分': 5}
{'短评内容': '位置不错，到杭州各地都很方便', '短评打分': 5}
{'短评内容': '好~', '短评打分': 5}
{'短评内容': '没有数字电视，，，失败！！', '短评打分': 3}
{'短评内容': '好~', '短评打分': 5}
{'短评内容': '1、这个豪华大床房卫生间是开放式的，没有门，但厕所气味会冲到房间来的，太恶心了！既然做不到开放式的效果，就不要做开放式，至少应该加扇门啊！\r\n2、卫生间的蓬头是坏的，水管破裂，水不从喷头出从水管上喷，虽然勉强可以洗，但是从来没有洗澡洗得那么不舒服！\r\n3、房间外面的空调水滴滴答答的声音很响，可以把人从梦中吵醒！\r\n4、酒店没有矿泉水卖，太不人性化了！\r\n5、酒店为了省电费，居然还设定电梯只能刷房卡', '短评打分': 1}
{'短评内容': '整体不错，可惜没有数字电视和无线网络！', '短评打分': 5}
{'短评内容': '交通便利，周边饮食多。', '短评打分': 5}
{'短评内容': '地址位置不错，吃也方便。', '短评打分': 5}
{'短评内容': '整体感觉一般，和别的连锁酒店都差不错，经济快捷', '短评打分': 3}
{'短评内容': '临高架，但是只要不是朝高架这面的房间，晚上还是不吵的。 房间很干净，东西也很新， 性价比不错。', '短评打分': 5}
{'短评内容': '比较干净 地理位置优越 去大厦购物方便', '短评打分': 5}
{'短评内容': '位置很好,离市中心很近,出行很方便,房间的卫生和设施方面也都不错,唯一一点就是房间稍微有点小.', '短评打分': 3}
{'短评内容': '有可能是我到的太早了，早上八点，我提前预定有留时间的，结果到了之后没房间。随便给我们找了一间凑合了，前台告诉我们这间会吵得。但是当他不能换，换的话得花30元清洁费。他们房间里的设施太老旧了。墙皮都掉了，晕死。下次不住这里了。', '短评打分': 1}
{'短评内容': '该酒店周五和周六有提价，但是ELONG得的系统只有从周五订才看得到。', '短评打分': 5}
{'短评内容': '还比较干净，就是隔音差点', '短评打分': 5}
{'短评内容': '噪声稍微高了一些，但是地理位置不错，价格合适。', '短评打分': 5}
{'短评内容': '还算可以，餐厅不提供中晚餐，但是门口餐饮店较多，而且交通便利，即使去杭州一些偏僻的开发区或软件园，主要转一次车即可到达。', '短评打分': 5}
{'短评内容': '比较干净，不错的', '短评打分': 5}
{'短评内容': '酒店各个方面都蛮不错的，位置也方便，我觉得蛮好的，值得推荐 \n', '短评打分': 3}
{'短评内容': '房间小了一些而且里面的设施用起来不是太方便,位置倒是好找,服务还不错,性价比还是有些差价格还是有些高了,总体感觉还是挺不错的.', '短评打分': 3}
{'短评内容': '太吵', '短评打分': 1}
{'短评内容': '相对杭州的高房价而言，这家酒店200以内的房间，总体来说还是及格了。性价比相对一般。', '短评打分': 5}
{'短评内容': '房间很小,', '短评打分': 1}
{'短评内容': '很不错，位置很好，很方便', '短评打分': 5}
{'短评内容': '地理位置不错,到西湖景区的交通也非常方便,尤其是一下高架就到了.早餐一般,上网速度有点卡/慢.其他都还算不错', '短评打分': 5}
{'短评内容': '位置挺好，但是同一条路有两家汉廷，很容易搞混。', '短评打分': 5}
{'短评内容': '就是房间楼道隔音效果太差', '短评打分': 5}
{'短评内容': '电视摆放位置欠佳，应该换成液晶的挂在墙中央。', '短评打分': 5}
{'短评内容': '酒店的性价比还是蛮高的,感觉蛮物有所值的,环境也很舒适,而且人员服务也很到位,挺满意的.', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较不错，卫生服务也很好。卫生服务也很不错，价格合理适中。不过二店的那家条件会更好，那家酒店比较新，设计更加现代一些。还是可以考虑入住的酒店。', '短评打分': 5}
{'短评内容': '总体评价还可以,设施不是很新,但住着还行,就是停车位太少,我住进去后就不敢开车出去了,听管理员讲你要是开出去就不能保证你回来时有车位,所以都是打车出去的,还好这位置好,与我要去的地方都较近.', '短评打分': 5}
{'短评内容': '酒店的房间面积比较小的，服务卫生以及设施都还可以的，酒店的位置以及周边的交通很方便的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '感觉酒店各方面都挺一般般的,没有什么特别的地方,但是位置不是很理想,离西湖比较远.', '短评打分': 1}
{'短评内容': '总体觉得还不错，就是它的洗手间里洗澡的地方下水道不畅通，水流太慢，洗完澡了，下面还都是肥皂沫子，其他的都还不错，价格是挺优惠的', '短评打分': 5}
{'短评内容': '房间还不错，但是空调是坏的，前台也不知道这个事情，后来就要求他们调换，他们也比较痛快的调换了', '短评打分': 5}
{'短评内容': '感觉酒店还不错，挺干净的，服务也不错，而且位置很方便，值得推荐 ', '短评打分': 5}
{'短评内容': '靠高架的一边 晚上你睡觉会发现噪音非常大，也不知道他们怎么想的，也不弄的隔音设施。你会发现你关上窗还是很崩溃！！', '短评打分': 1}
{'短评内容': '总体感觉良好。交通还算便利。', '短评打分': 5}
{'短评内容': '这次的房间很老旧.洗脸盆有裂痕.洗浴间密封条老掉,冲水马桶也有点问题 其实这家酒店的性价比蛮高的..单建议整修下', '短评打分': 1}
{'短评内容': '酒店的环境不错，硬件设施还可以，地理位置也还不错，整体来说还算可以的。', '短评打分': 5}
{'短评内容': '总的来说是不错的...满喜欢那种布置的...但是设施有点问题...电视看不了电影....电话打不了总台.我当时住的是房间号8618....设施有点问题.总的来说在那家里面性价比还是相当的高.不过满喜欢浴室是透明的而且百叶窗在外面..满有情调的...', '短评打分': 5}
{'短评内容': '房间比较干净，服务也不错，上次去的时候是五一，价格稍微有点高 ', '短评打分': 5}
{'短评内容': '还行！', '短评打分': 1}
{'短评内容': '酒店的整体环境都非常好的,卫生以及酒店的设施都很好的,服务也很好的,酒店的性价比不错,值得推荐的', '短评打分': 5}
{'短评内容': '酒店老有男人来敲门安全感不够,已经和酒店反映过了,其它卫生服务设施这些还是挺不错的,性价比比较高,下次还会选择这家酒店.', '短评打分': 5}
{'短评内容': '在高架桥旁边太吵了,酒店内部环境还可以,比较干净.周末的时候入住的,价格高了点儿.', '短评打分': 1}
{'短评内容': '价格很不错,周末还有特价房；酒店的环境和卫生也很好,交通也比较方便,性价比还是比较高的；', '短评打分': 5}
{'短评内容': '预定的大床房，感觉比较小，但还整洁卫生；旁边就是高架，清晨就被吵醒，这点比较不好；交通一般，很多景点公交不能直达；好又多、肯德基、pizza就在附近，这个比较方便；汉庭的前台都有免费电脑上网，这个很好！', '短评打分': 5}
{'短评内容': '住的是超大床房，床真的很赞，就是空间略显小，茶叶要楼下自己拿，偶懒得动，所以喝的白开。', '短评打分': 5}
{'短评内容': '服务很好，地理在高架旁，外部环境有点吵，住的大床房间挺舒适的', '短评打分': 5}
{'短评内容': '已经是第三次入住此酒店,但这次的感觉不是太好,浴室玻璃渗水,导致地板上花,马桶堵塞,空调效果不太好。\r\n楼层服务员很礼貌，见面都问好。交通方便，出门就是公交车。', '短评打分': 5}
{'短评内容': '杭州这家酒店的环境硬件设施都还不错,位置出行相当方便,价格也比较合理.', '短评打分': 5}
{'短评内容': '选择这家酒店因为位置出行很方便,环境硬件设施也还好.价格设施环境硬件成正比.', '短评打分': 5}
{'短评内容': '地理位置实在是...高架旁...每天早高峰和晚高峰都是个汽车喇叭声,换酒店实在是嫌麻烦,如是到杭来游玩的,不建议住此.休息不好,会影响白天的游玩的.', '短评打分': 5}
{'短评内容': '不错，酒店挺精致', '短评打分': 5}
{'短评内容': '感觉挺好的，酒店位置特别好，购物逛街都特别方便。', '短评打分': 5}
{'短评内容': '酒店整体还可以，价格非常优惠，住的比较舒适。', '短评打分': 5}
{'短评内容': '酒店因为是在高架旁边,所以比较吵,其他方面都还可以,性价比挺高的', '短评打分': 5}
{'短评内容': '还可以，离市中心不算远，比较适合去杭州公干住宿。到杭州旅游的还是找个离西湖近点的好。\r\n超市和公交站离得都很近，这一点挺方便的。', '短评打分': 5}
{'短评内容': '总体感觉还不错，干净卫生，服务、设施一般，地理位置不错（酒店车位较少），到西湖，商业街区很方便\r\n', '短评打分': 5}
{'短评内容': '当时订的是特价房，价格非常实惠，而且在这个价位上，他们的硬件设施还是不错的，而且交通也比较方便，服务态度非常好。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错,位置出行交通方便,价格很优惠.', '短评打分': 5}
{'短评内容': '比想象当中差好多，洗澡水跟本不热，问了前台说是锅炉坏了，大冬天洗冷水澡啊！连个储物柜都没有！很失望', '短评打分': 1}
{'短评内容': '服务和设施很一般，价格还算是很便宜的，卫生方面还行', '短评打分': 5}
{'短评内容': '感觉还不错的', '短评打分': 5}
{'短评内容': '这个位置的酒店和高架太近了.晚上车子的声音很大,不是很安静!其它都不错!', '短评打分': 5}
{'短评内容': '酒店的干净，经济实惠', '短评打分': 5}
{'短评内容': '酒店的硬件不是很好房间不隔音面积比较小,不是在市区交通倒是很方便的.', '短评打分': 5}
{'短评内容': '离火车站很近，一辆车就可以直达。去市中心地带，打地也只要起步费左右，总体还是很不错的，下次去还会选择住在那里。唯一不足的就是周遍没什么超市，买东西有些不方便。', '短评打分': 5}
{'短评内容': '服务不错，早餐也不错，房间还行，挺干净的。浴室，厕所，和卧室都是一体的，挺方便，但很不习惯，尤其是那个全玻璃透明的浴室，在床旁边，觉得怪怪的，不习惯。厕所的墙壁不太干净。总体感觉还不错，隔音效果一般。', '短评打分': 3}
{'短评内容': '我因为12.15日要考雅思，所以14号选了一个离考点比较近的宾馆。我明明在要求里写明不要靠高架的房间，酒店也已经给我回复确认。可是去check in的时候，却告知我去的太晚，没有房间可以挑了。我认为这根本不是理由，你既然给我确认消息，就是你也看到我的要求并能满足我啊，若是不能满足可以让我换其它酒店啊。我被分进6楼靠高架的一间房，声音超级大，害得我一个晚上都睡不着，而且房间的隔音效果也很差，隔壁房间', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '隔音效果真不好 隔壁的XX都能听见。。。。而且开窗就是高架 比较吵 别的都不错', '短评打分': 5}
{'短评内容': '在市区内,价格比较合理! 还不错!!', '短评打分': 3}
{'短评内容': '我在杭州出差已经住过几次了， 房间舒适, 干净, 网速够快, 楼下还有可供上网的电脑, 唯一就是前台服务特慢, 态度特不好!', '短评打分': 5}
{'短评内容': '价格公道，房间睡睡觉也不错，总的来说，物美价廉，下次如果单身出差，可能还住', '短评打分': 3}
{'短评内容': '结帐的速度太慢了,要求开发票,等了很长时间,说是发票被锁了,拿不到...房间用品还是蛮干净的,洗手间太小了!', '短评打分': 3}
{'短评内容': '这个酒店还是不错的，周边交通便利，房间比较干净，隔音还可以，最起码比边上的和居速8隔音要好，前台的服务也比较热情。在经济型酒店里应该说性价比还是比较高的，不足的就是周边没什么娱乐的地方，好一点的饭店也没有。好在不远处有一个好又多超市，从那买吃的回酒店解决。&lt;font face=&quot;宋体&quot;&gt;Sample Text&lt;/font&gt;&lt;font size=&q', '短评打分': 3}
