{'descr': '位置很好，服务贴心！', 'star': 4}
{'descr': '酒店很好找，我定的家庭房，挺大的，特别是大床很舒服。附近的餐饮很多也很方便，下次还会来住的', 'star': 3}
{'descr': '酒店很安静，离学校很近', 'star': 3}
{'descr': '快捷酒店么，，就是那样子咯，，不能期望太高', 'star': 5}
{'descr': '这个价位房间还可以了 停车位小了点 房间干净的 就是床单毛毛的 睡的不算舒服', 'star': 5}
{'descr': '汉庭一直都不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '蛮好找的，在最热闹的地方，也很安静，非常舒服，服务也很好，房间很大，很干净。', 'star': 5}
{'descr': '在市中心地段，比较安静，还不错。服务员很热情，有礼貌。卫生条件还行', 'star': 5}
{'descr': '房间干净。服务快捷。\ngood,good,good,', 'star': 5}
{'descr': '酒店没拖鞋  ，下床洗个澡什么的不方便 ，屋子太严密，手机一直没信号，想打电话得出去   。', 'star': 3}
{'descr': ' 环境不错  挺舒服的', 'star': 3}
{'descr': '在闹市区，去步行街很快，而且在巷子里，不会很吵', 'star': 5}
{'descr': '很好的酒店。。地理位置很好、、就是隔音效果太差', 'star': 5}
{'descr': '房间非常干净、安静，暖气足，值得推荐。性价比高。', 'star': 5}
{'descr': '房间非常干净、安静，暖气足，值得推荐。交通方便', 'star': 5}
{'descr': '房间干净、出门方便', 'star': 3}
{'descr': '无锡汉庭酒店非常好很安静设合 旅游入住', 'star': 3}
{'descr': '地理位置不错，市中心闹中取静，出门吃饭方便，旁边就有超市和药房，服务态度和很好。不足之处是房间隔音不好，隔壁讲话声音响点就听得很清楚。总体还不错。', 'star': 5}
{'descr': '相当不错 推荐  你值得咯哦了我你路7你给你几个 理解能力几楼', 'star': 5}
{'descr': '还不错，家庭房大床很大', 'star': 3}
{'descr': '地处商业区， 各方面都比较方便， 舒适卫生', 'star': 5}
{'descr': '一般的商务酒店，价格偏高，自助早餐价格有点高', 'star': 5}
{'descr': '不错,房间很好,就是没有延时退房服务', 'star': 3}
{'descr': '很不错。。交通很方便，，出门就市中心。。。', 'star': 5}
{'descr': '地段非常好，晚上十分安静，也很干净，值得推荐', 'star': 5}
{'descr': '还不错，地理位置比较好，很安静。就是打车不太方便，只有走到西边大街上打车才容易些，回来时因为等半天等不到车差点误了火车。', 'star': 5}
{'descr': '不错很干净。', 'star': 3}
{'descr': '还是不错的，环境满好，交通比较方便。就是不是很醒目，不是很好找。', 'star': 5}
{'descr': '\u3000又续租了一天，整体感觉还行', 'star': 3}
{'descr': '房间很舒服\u3000但是隔音一般\u3000半夜有人在隔壁乱吼\u3000郁闷……', 'star': 3}
{'descr': '很好经常住', 'star': 3}
{'descr': '酒店的位置很好，距离无锡火车站步行20分钟，王兴记小笼，八佰伴近在眼前，客房很干净，我们共六人，订了2个家庭房，床很大，睡的很舒服，总之以后有机会再去也会选择的。', 'star': 5}
{'descr': '来了好多次这家酒店了，依然是那么的好，支持', 'star': 5}
{'descr': '  房间不错还有吹风机,就是路旁边有个菜场挺吵的', 'star': 3}
{'descr': '该酒店在中学旁边放学时候周边很混乱,酒店位置很好就是在小区里面没有显目的标识', 'star': 5}
{'descr': '不错，第二次入住了，出入较方便，是出差在外的首选。', 'star': 5}
{'descr': '很安静。很舒适，床很软，去过很多家汉庭，这家我最满意，以后我还会去', 'star': 5}
{'descr': '这次是我在汉庭最差的一次体验 浴房门关不了 弄的房间全是水 几次差点滑倒 夜里有人施工 还是怎么的 整夜没睡好', 'star': 3}
{'descr': '酒店位置很好，逛街很方便。', 'star': 3}
{'descr': '我是因为学习才住这家酒店，距离八佰伴很近，很方便，而且汉庭的服务态度非常好！卫生比较干净！面积很适中！是出差的最佳首选！', 'star': 5}
{'descr': '服务员都很友善，房间干净，周边有很多小吃店，出差住非常好', 'star': 5}
{'descr': '酒店挺干净的，交通还算方便，总体来讲还是不错的~', 'star': 5}
{'descr': '很舒适经常来', 'star': 3}
{'descr': '房间卫生很干净！服务态度很好！要是有网络电视或数字电视就更好了！', 'star': 3}
{'descr': '挺干净的，也很安静。早上出门就是早市，买东西很方便也很便宜。就是早餐有点贵，不如上早市上吃，非常便宜还好吃。', 'star': 5}
{'descr': '位置较好，条件不错，就是停车不方便，服务一般。', 'star': 5}
{'descr': '还好了，市中心闹中取静的地方，竟然房价还含早餐。好像特别适合逛商场的旅客。', 'star': 5}
{'descr': '靠近无锡八佰伴商场，交通较方便，因在一小巷内，夜晚较安静。但早上会因相邻的学校吵醒。汉庭的早餐一般，比如家、锦江种类少，但比7天要稍好点。', 'star': 5}
{'descr': '靠近无锡八佰伴商场，交通较方便，因在一小巷内，夜晚较安静。但早上会因相邻的学校吵醒。', 'star': 5}
{'descr': '地段很好，闹中取静，经济实惠的便捷酒店。附近逛街饮食都方便，还有钱钟书故居。', 'star': 5}
{'descr': '条件不错，价格适中，位置较好，早餐有待改进。', 'star': 5}
{'descr': '相当不错的地段，窗口正对学校操场不过还好不是很吵，周边有好吃的，“卜岩”老店，面点好吃哒哒滴！', 'star': 5}
{'descr': '酒店设施比较新，非节假日140块钱的价格性价比比较高。\n\n比较难找，酒店总机和我说八佰伴那边建设银行旁边的小弄堂里面进来。结果八佰伴附近两家建设银行，跑了个反方向，最后问了好几个当地人，才找到的，到酒店的时候真是又饿又累。\n\n如果找到了，出来逛商店，吃王兴记还是很方便的。', 'star': 5}
{'descr': '旺中带静!装修还是比较新!早点去有特价房就是没窗', 'star': 3}
{'descr': '不错，很舒服', 'star': 3}
{'descr': '位置不错，就是刚进门房间有些许的气味，其他还可以。', 'star': 5}
{'descr': '不错。环境很好，很舒适的·········', 'star': 5}
{'descr': '地段不错。就是打车太难打了~~~价格二百以下还可以。超二百就性价比不高了~算是很干净', 'star': 5}
{'descr': '酒店不错，很干净，床很舒服。', 'star': 3}
{'descr': '位置很好 内部设施也不错 但是早餐太不理想了', 'star': 5}
{'descr': '如家就是如家，真心好！服务人员的态度非常亲和，周围很安静，又挨着西清公园，早上晚上散散步很方便又惬意~', 'star': 5}
{'descr': '在无锡市中心,出行比较方便，周围有好多小吃，价钱合理，只是住我隔壁房间的房客太不自觉，深更半夜大叫大喊比较扰民，影响睡眠，隔音不好，强烈谴责这些扰民分子．素质太差．建议多住些高素质客人．', 'star': 5}
{'descr': '这家酒店很好，环境也不错，旁边有超市，还一家卖凉皮的，超好吃', 'star': 5}
{'descr': '位置不错，靠近八佰伴，价格挺实惠的，我定的是家庭房，还有2份早餐赠送。房间蛮干净的。', 'star': 5}
{'descr': '太吵~~~~！！  靠着学校的。  遮光不是太好，隔音太一般', 'star': 1}
{'descr': '地方虽然有点偏，但是环境还不错~里面的设施也不错~这次出去住了三家不同的连锁店，这个应该算比较好的了~', 'star': 5}
{'descr': '不错，舒适', 'star': 3}
{'descr': '干净温馨 早餐还可以 咖啡再浓一点就更好了   刚才对服务是按错键', 'star': 3}
{'descr': '挺好的,服务也不错很干净', 'star': 3}
{'descr': '位置很好，在小巷内，出巷子就是中山路，闹中取静。。。房间也干净没有怪味道。。。无烟房也是真正的无烟房。。。非常满意这次的房间。。。', 'star': 5}
{'descr': '百元房有窗的，很干净，房型也不小。地处市中心，交通方便，闹中取静。前台服务也很好。下次去无锡还会住这家店。', 'star': 5}
{'descr': '酒店位置很好，离八佰伴，东方百货很近。还有一个步行街。\n酒店干净整齐，服务人员有礼貌。比我们住的其他3兴酒店还好。\n早餐虽然简单，但很可口，喜欢喝粥吃红咸菜，再吃两个鸡蛋，很舒服。\n管早餐的阿姨很负责任，看房卡作记录，很好', 'star': 5}
{'descr': '这家就在八佰伴对面,交通还是比较方便的,定的是家庭房,一张1.2的床,一张1.8的床,和之前在苏州订的汉庭,基本没什么区别,但价苏州格便宜了将近二分之一,卫生间还是比较干净的,房间空间不大,但感觉很干净,还送了早饭,推荐一下....', 'star': 5}
{'descr': '还不错，市中心，价钱便宜，交通方便，位于小马路上，但出门就是闹市，吃饭和购物的地方很多，另外，很靠近钱钟书故居', 'star': 5}
{'descr': '很干净很便利，闹中取静，推荐', 'star': 3}
{'descr': '位置中心，交通也比较方便，离无锡火车站公交大约十分钟的路程。房间设施还可以，前台服务比较专业，就是周边环境较差，就其价格而言信性价比还是比较高。', 'star': 5}
{'descr': '十卫生、环境都还可以，就是床垫稍微软了些(对于睡板床的人来说)。', 'star': 3}
{'descr': '新店就是好啊，没有各种味道，就是浴室设置的不是很好，水流的很慢，然后门关不严，水会洒出来，跟服务员反应了，她说她也没有办法，确实，不过新店就这样实在有点说不过去啊，还是快点给个解决方案吧', 'star': 5}
{'descr': '酒店还可以,服务也好,房间装饰还可，电视机该淘汰了，网速不够快。出行比较方便,就是早餐太差了,品种太少了.', 'star': 5}
{'descr': '地理位置方便逛街，房间风格简约，浴室水大洗澡舒服，这些我喜欢。免费早餐不行，特别是停车困难，本人外地到无锡旅游，求管车的师傅给找个停车地，可他没理会，幸亏运气不错，很快在酒店另一侧外墙根下找到空间，老婆说卫生不过关，抽水马桶和床单不是非常干净。赞一下打扫房间的大姐，我的打火机没油了，酒店又不提供火柴，热心的大姐给了我一个她收拾到的打火机，让我立刻满足了烟瘾。', 'star': 5}
{'descr': '环境不错很舒适，就是难找了点，附近还有家汉庭，错到那家了，柜台服务态度不错，询问之后，找到了，电视机有点就了，建议换换', 'star': 5}
{'descr': '这家店位置在市中心，闹中取静。房间非常干净，服务员的态度非常好。赞一个。', 'star': 5}
{'descr': '汉庭酒店房间设施还可以,但是晚上蚊子太多,望改进。', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '服务很好，周围买东西很方便。遇到的困难前台帮助解决了，非常感谢。', 'star': 3}
{'descr': '位置方便，房间干净，交通便利，可以满足在无锡市中心看看的需求，只是在修地铁，打出租车会塞车', 'star': 5}
{'descr': '性价比比较高，上网速度太慢，希望能够改进，下次还回来', 'star': 5}
{'descr': '不错的酒店。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '很不错 价格便宜 位置在市中心,很方便.', 'star': 5}
{'descr': '定的家庭房 很舒服 房间大 有家的味道！门口有个卖水果的 那里的西瓜太好吃了 呵呵呵 推荐！', 'star': 5}
{'descr': '住的很舒服 安静 干净 交通方便 前台那个年轻的女服务员热情的帮我们出游 很感谢 房卡还可刷咖啡喝 很温馨 吃饭也方便 总之挺好的 实惠 推荐', 'star': 5}
{'descr': '一般吧，房间太小，卫生打扫的不够仔细。尤其是洗澡没有护发素很别扭', 'star': 5}
{'descr': '房间还可以！地点也蛮好！总体还可以啦！支持！下次有机会还会选择他！', 'star': 5}
{'descr': '地理位置不错，但因订的家庭房，感觉空间小了一点。', 'star': 5}
{'descr': '还不错，挺安静，干净的，位置在市中心，比较方便。', 'star': 5}
{'descr': '位置就在八佰伴对面 ，房间很小，但是十分干净，也很安静，价格便宜，还会去的~', 'star': 5}
{'descr': '这家酒店地理位子及服务都是不错的，下回去无锡还住这', 'star': 5}
{'descr': '因为是无锡人啊，所以地方一找就找到了，就在东林初中旁边。房间么还行，前台办理手续的时候也不错，就是尼玛网速怎么这么慢！！！！！！！！！！！！！！！！！！！！！！DOTA延迟200++有木有啊！！！！！！！！！！！！！！！！！！！！！！！！打个CF都延迟300多啊！！！！！！！！！！！！！有木有啊！！！！！！！！！丧心病狂啊！！！！网速敢不敢给点力啊', 'star': 5}
{'descr': '性价比OK,餐厅的菜OK,房间算大,适合出差人事住住', 'star': 5}
{'descr': '房间挺干净', 'star': 3}
{'descr': '环境还算幽静，换了几次房，服务态度还行。餐厅的饭菜做得不错，也实惠！', 'star': 5}
{'descr': '床很大，；也很安静，睡得很好。实惠的酒店。。', 'star': 5}
{'descr': '，酒店的地理位置很方便，家庭间的设置很好很舒服，也很干净！', 'star': 3}
{'descr': '因为在弄堂里所以打车有点难找，如果从八佰伴中山路对面的弄堂进去马上就能看见，就在东林中学的旁边。走到八佰伴、王兴记、三凤桥、南禅寺都很近。\n由于身处弄堂中因此晚上比较安静，房间装修类似宜必思等，很整洁，房间不是很大，但是家庭房有一张单人床和一张双人床还是蛮舒服的。卫生间空间较小，淋浴的水很大也能够恒温，还是很不错的。房间内有2处网线可以连接上网的地方。电视机蛮旧的。\n大堂里面可以使用WIFI，也可', 'star': 5}
{'descr': '地方有点背，环境一般，感觉汉庭都一个样。小巷子里比较难找。快捷酒店就不要谈服务了吧。', 'star': 1}
{'descr': '位置不错，逛街很方便,离火车站也很近。服务态度一般。', 'star': 5}
{'descr': '地点便利，在市中心，房间中规中矩，但早餐太差。', 'star': 5}
{'descr': '服务态度不错！！！不过应该把房间物品应该查验清楚。', 'star': 5}
{'descr': '挺好的环境', 'star': 3}
{'descr': '酒店地理位置很好，虽然第一天出了点小问题，但是服务员态度都很耐心。', 'star': 5}
{'descr': '在小巷里，第一次来会不太好找。不过环境还是不错滴', 'star': 5}
{'descr': '环境还好,但隔音不是一般的糟.服务员下午收拾东西和隔壁客人夜里四点的喧哗直如在耳边,无法入睡.', 'star': 3}
{'descr': '很新的宾馆干净而且就在闹市区很方便床很大睡得蛮舒服的', 'star': 3}
{'descr': '位置不错,在市中心,很新,挺干净,但房间太小了', 'star': 3}
{'descr': '缺点：有点小贵189元，卫生间隔音不好，总能听到楼上的水声，房间太小，早点12元很一般\n优点：服务周到，热情。门口就可以直接买火车票，省了去车站排队了这点方便，', 'star': 1}
{'descr': '这家酒店已经住了很多次了,环境很好,服务很给力!', 'star': 5}
{'descr': '酒店住了很多次了，尤其是冰天雪地的时候，房间很暖和，服务态度也好，现在入住还有优惠券，下次还住这里。', 'star': 5}
