{'短评内容': '不错！方便', '短评打分': 5}
{'短评内容': '有点太旧，环境不错', '短评打分': 3}
{'短评内容': '好地方，没有很好地维护，冤枉了准四星的标准', '短评打分': 1}
{'短评内容': '没觉得特别安静，早上晨练的音乐很吵的。不过房间算是干净整洁，价位稍微有点高。', '短评打分': 5}
{'短评内容': '应该住临近公园的位置\r\n', '短评打分': 5}
{'短评内容': '还可以的。。。。。网速很快。。', '短评打分': 3}
{'短评内容': '赞一个,靠近人定湖,环境很不错,安静,能感受北京的生活气息.\r\n虽然有些老,不过房间气味还是很清新.\r\n离积水潭地铁站不远,打的到奥林匹克公园很就十几分钟.', '短评打分': 5}
{'短评内容': '还可以的。。。', '短评打分': 5}
{'短评内容': '去北京办事，基本上都住这个酒店，挺好的', '短评打分': 5}
{'短评内容': '还可以的。。。。', '短评打分': 5}
{'短评内容': '这里离我办事的地方挺近的，环境还不错，挺安静的，附近也能找到便宜实惠的小饭店', '短评打分': 5}
{'短评内容': '环境很好，再公园里，装修有点旧，价格不贵，还是可以推荐的', '短评打分': 5}
{'短评内容': '这是我住过的最安静的酒店，地处北京安定湖公园，在一个德胜桥旁边的小胡同里。虽然安静，但位置还算不错，打车很容易。\r\n房间有点小，但很舒适，空调噪音也不大。\r\n早餐一般，种类比较少，但煎蛋还挺不错。\r\n', '短评打分': 5}
{'短评内容': '我定了两个房间，其中一个房间暖气不热，有点冷，不适合冬天住', '短评打分': 5}
{'短评内容': '很安静的宾馆', '短评打分': 5}
{'短评内容': '住得很舒服，而且一点也不吵，挺安静的\r\n周围有很多小店，可以吃到实惠的饭菜，很方便', '短评打分': 5}
{'短评内容': '酒店位置很好，周遍环境很好，可惜酒店比较老了，房间太小了，隔音太差了！', '短评打分': 3}
{'短评内容': '房间隔音太差，走道上走路声，声声入耳，搞的我很 郁闷。\r\n\r\n早餐质量一般，都是凉的 。同样的 馒头，质量稍微提高一点，就可以让客人有满足的感觉。这点要向锦江之星学习了 ！', '短评打分': 5}
{'短评内容': '环境幽静，大厅很有书香，住着很舒服', '短评打分': 3}
{'短评内容': '环境幽静，居住舒适', '短评打分': 5}
{'短评内容': '位置性价比都不错。', '短评打分': 5}
