{'短评内容': '房间干净整洁，晚上很安静，老板很热情', '短评打分': 5}
{'短评内容': '老板很客气周到，旅馆的位置也还不错，从巷子穿出去就是西街，走没几步就是环秀桥。不过酒店的环境不太理想，空间狭小、配置简陋，仅供勉强落脚过夜而已。其实西塘很小，完全可以跳出古镇，选择环境更好性价比更好的酒店。', '短评打分': 1}
{'短评内容': '老板非常热情，住宿很舒适，住宿四周很安静，清早没有吵的感觉', '短评打分': 5}
{'短评内容': '环境 价格 服务什么的都很好 性价比很高', '短评打分': 5}
{'短评内容': '房间很大，各项设施都很好，唯一遗憾的是卫生间下水不太好，冲个澡水都漫进客厅啦', '短评打分': 3}
{'短评内容': '房间不错，很大很新，舒服。一出去就是石皮弄和西街。主人也很好，有耐心，帮我很多。', '短评打分': 3}
{'短评内容': '院子很小房间很小，院内说话听的一清二楚，不过院外声音传不进来。', '短评打分': 3}
{'短评内容': '很舒服。', '短评打分': 3}
{'短评内容': '客栈不错，很干净，每天更换床单，老板娘刘阿姨人很热情。洗澡水是太阳能的，简单洗没问题，就是洗头可能会感到不尽兴，反正就住一天，可以免洗头了。', '短评打分': 5}
{'短评内容': '老板娘刘阿姨很热情。客栈很干净，每天客人走后老板娘都会更换床单等。客栈到景区很近，几步路就到了。还可以免费接送客人。', '短评打分': 5}
{'短评内容': '硬件设施比较新，老板的服务都不错。但是细节方面做得还不够好。如：马桶没水，冲不了厕；没有漱口用的杯子，只能一个杯子既喝水又漱口；蜘蛛，蟑螂等虫子与你共眠（叫人怎么睡得安稳）；最难受的是大床够大就是不扎实，一转身就会唧唧作响。总的来说提供不了一个舒适安稳的睡眠休息环境，希望日后能作改善。', '短评打分': 1}
{'短评内容': '价格实惠,就在景区内,不用门票.就是一楼,这个时节晚上还是有点冷...', '短评打分': 5}
{'短评内容': '房间还是挺大的，直接给升级的复式房，但是一点遗憾就是房里放了一个破凳子，很影响心情！', '短评打分': 5}
{'短评内容': '老板娘人非常好，屋子也大，也干净，还帮我们寄了明信片', '短评打分': 5}
{'短评内容': '虽然靠近繁华的烟雨长廊但是很清静，出去右转步行10米左右就是迎秀桥了，是在西街上。老板娘也很热情。', '短评打分': 5}
{'短评内容': '第一眼感觉不如想像中好，后来发现整个西塘都是这种模式也就释然了。老板娘很热情', '短评打分': 5}
{'短评内容': '嗯 很好的店家 房间很干净 当地民居么 很符合当地的感觉 店家很好的 接送买票都很到位，服务很好的。', '短评打分': 5}
{'短评内容': '环境卫生，很满意', '短评打分': 3}
{'短评内容': '房间挺小的，但是很干净，临时住一晚也够了。空调热水都很充足。之前还担心140cm的床会太挤，结果好像也还好。在景区内的，出入很方便，就是有点难找。不过店家服务很热情，值得推荐啊', '短评打分': 5}
{'短评内容': '服务很好，酒店里设置也挺好的。离景点近，出门便是了', '短评打分': 5}
{'短评内容': '老板娘很热情，会安排接送，景区也比较近！推荐！', '短评打分': 5}
{'短评内容': '老板娘很热情，有接送服务很方便。住的环境还不错，离景区特别近。', '短评打分': 3}
{'短评内容': '还可以，就是房间的隔音效果不是很好。。晚上被旁边的人吵到了。。。', '短评打分': 5}
{'短评内容': '位置不错，靠近长春市内的景点，离市中心也不远，服务也不错', '短评打分': 5}
{'短评内容': '老板人挺好，免费车接送，离烟雨长廊都比较近。作为民宿客栈，还可以。不能拿大的宾馆或住宿比了~', '短评打分': 5}
{'短评内容': '还算可以吧，屋里温度不太好，洗澡的地方有点小，总的来说还可以', '短评打分': 5}
{'短评内容': '弄堂好长啊 但也算闹中取静 房间虽然小 但很温馨 无线网路 高清电视样样都有 价格也实惠 关键老板人很好  ', '短评打分': 5}
{'短评内容': '非常不错的酒店，地理位置还算可以，性价比比较高，就是停车有点费劲，去晚了根本没有地方，地下停车场也有问题，为了防止客人一卡多刷，每次都叫保安带着去，好麻烦的，不过我喜欢房间的环境，总体来讲还是可以的，旁边就是刘老根大舞台，哈哈', '短评打分': 5}
{'短评内容': '总得来说总体上还不错，就是洗澡的地方小点，附近吃饭的地方没有。价钱和环境还算成正比。', '短评打分': 5}
{'短评内容': '环境很干净 ，服务态度不错，以后还会去。', '短评打分': 5}
{'短评内容': '房间还算干净，服务不错', '短评打分': 3}
{'短评内容': '酒店给人整体感觉不错,有回家的暖意.', '短评打分': 3}
{'短评内容': '识体不错，就是停车有点闹心，地下停车不发卡，每次都要叫保安，麻烦死了', '短评打分': 5}
{'短评内容': '离烟雨长廊非常近却非常安静，穿过狭窄的里弄就到了，比沿河客栈好许多，就是房屋太小，不过西塘有大房屋的客栈吗', '短评打分': 5}
{'短评内容': '，房间的温度和湿度不成比列。太干躁！早餐不好。品种单一。其它环境不错。整体评价在优良之间。', '短评打分': 3}
{'短评内容': '房间太差了。房间很小，卫生也不好。不太好，不如如家。', '短评打分': 1}
{'短评内容': '房间很干净,装修色调很活泼,空间很小,整体还可以.', '短评打分': 3}
{'短评内容': '订的复式房，设施比较新，有厨房，性价比不错', '短评打分': 5}
{'短评内容': '房间挺大，性价比不错，就是周边环境有点乱', '短评打分': 3}
{'短评内容': '房间在一楼蚊子很多！其它还好！', '短评打分': 3}
{'短评内容': '宾馆很一般.很普通，就是平常旅社.和想象中的不一样.老板还算热情。', '短评打分': 3}
{'短评内容': '刘阿姨很热情，亲自到车站接我们，一到就帮我们买好返程的车票，给我们介绍西塘的路线，还送花灯给我们晚上放，临走送我们去车站。服务态度好好。唯一不是特别好的就是，房间不是太隔音。', '短评打分': 5}
{'短评内容': '一般。停车场太小，如果去晚了很难有车位。地下停车场收费', '短评打分': 5}
{'短评内容': '  房间宽大清洁,设备-有线宽带齐全,服务态度很好.', '短评打分': 3}
{'短评内容': '挺好的，住过很多次了，有时间还会去的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好的，楼挺大的，屋里还算干净，设施也差不多挺齐全，只得下次光临，楼下就是刘老根大剧院，看那个也挺方便的。。。。。', '短评打分': 5}
{'短评内容': '房间特别大，但是屋里有股问道，没有无烟房，做无烟处理也没做好，对于早出门的人来说早餐太晚，得7点半开始，', '短评打分': 1}
{'短评内容': '半年前来过泰玖嘉期，这次是为了留念半年前的回忆而来，酒店附近新天地美食城里的酸辣粉特别好吃，也是为了吃上次吃的酸辣粉而住在这儿，不过酒店的服务还有酒店的设施都很棒，房间超大，很不错的地方。', '短评打分': 5}
{'短评内容': '总的来说可以，但是网站上和现实入住时说法有些差距，我定的是麻将房网上说是80-120平方米，可是真正入住时没有这么大。如果是网上发的有问题建议及时改正。', '短评打分': 5}
{'短评内容': '有朋自远方来，自然要带去古镇体验下不一样的风情。周末西塘住宿略显紧张，尤其是在网上有些口碑的客栈，房源更是紧俏。网上搜索了下，定了静雅居的雕花大床房。老板娘很热情，亲自到古镇外迎接。客栈隐藏于上西街边的小巷内，闹中取静，出门步行5分钟，就能到古镇中心，无论是去酒吧一条街，还是老品芳、钱塘人家、天下第一面都还是比较方便的。', '短评打分': 5}
{'短评内容': '这家酒店很好，性价比高。不足之处就是电梯太小，从16楼到1楼等了6分钟', '短评打分': 5}
{'短评内容': '经济实惠，家庭房有特色。卫生做的不是很干净，如果能提供无烟房就好啦', '短评打分': 5}
{'短评内容': '酒店的房间比较大，性价比还可以，服务人员的态度很好；该酒店离火车站、黄河路汽车站、伪满皇宫都不远，旁边就是刘老根大舞台，酒店地理位置还可以；周边环境较差，交通比较拥挤，附近街区吃饭的地方很少；步行一刻钟到新天地购物公园，那里有不少快餐店。', '短评打分': 5}
{'短评内容': '    酒店卫生和服务不错，价格合理，离火车站四站路，公交方便。就是附近环境杂乱一些。', '短评打分': 5}
{'短评内容': '房间宽敞，地理位置好，拖鞋很有特点，值得一住。呵呵～～～～', '短评打分': 5}
{'短评内容': '上次服务很好，本次体验一般。', '短评打分': 3}
{'短评内容': '前台服务差，其它很一般。', '短评打分': 3}
{'短评内容': '很干净，不错。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '地点好，交通方便，房间也宽敞，早餐不详，本人起得晚了。', '短评打分': 5}
{'短评内容': '好吃的饭菜，安全的环境，良好的隔音，相当不错。', '短评打分': 5}
{'短评内容': '餐厅的饭很好吃，送餐服务也不加钱。推荐。', '短评打分': 5}
{'短评内容': '餐厅好吃，房间够大，住着安全，客房服务反应快捷，推荐。', '短评打分': 5}
{'短评内容': '优点：餐厅很好吃，还送餐且不加服务费，隔音好，屋子大，拖鞋十分舒服，闹市之中比较安静，窗子可以打开，而且是双铰链的，两种开关方式，对于带孩子住高层的来说很安全；\n缺点：服务员略显冰冷，房间打扫不干净，屋子里有洗菜盆、油烟机、电磁炉却没有锅，我很想亲手做点饭的说。', '短评打分': 5}
