{'短评内容': '处于繁华市中心，位置好', '短评打分': 5}
{'短评内容': '卫生,环境幽雅', '短评打分': 3}
{'短评内容': '比较干净整洁的宾馆，还是很推荐的。', '短评打分': 5}
{'短评内容': '卫生,舒适.环境幽雅以后出差还住这里.', '短评打分': 5}
{'短评内容': '没的选择了，第一次住如家。感受很“震撼”，卫生条件处于意料的好，很舒服。早餐也很不错。比枣庄大酒店好多了！！！', '短评打分': 5}
{'短评内容': '还不错，住的不靠马路的房间比较安静', '短评打分': 5}
{'短评内容': '经济型酒店的特征，方便卫生', '短评打分': 3}
{'短评内容': '位置不是太好,动车不太好赶', '短评打分': 5}
{'短评内容': '那个地方，这种价格偏贵。', '短评打分': 5}
{'短评内容': '干净卫生，交通还可以', '短评打分': 5}
{'短评内容': '晚上有时候有当地的人还是怎么着 都12点过后了 太吵。。。隔音效果不好', '短评打分': 5}
{'短评内容': '温馨这家经理对员不错当时住进去的时候他们在楼下的会议厅开PARTY', '短评打分': 5}
{'短评内容': '价格便宜，位置好，就餐方便，有停车场', '短评打分': 3}
{'短评内容': '房间大，环境好，就餐方便', '短评打分': 3}
{'短评内容': '服务不错，价格也还可以，是枣庄比较好的酒店了。', '短评打分': 5}
{'短评内容': '房间大，环境位置可以，方便，价位低', '短评打分': 5}
{'短评内容': '不错，下次出差还定如家。', '短评打分': 3}
{'短评内容': '每次来枣庄出差，都选择如家住，不错，干净方便。', '短评打分': 5}
{'短评内容': '一直住这儿，觉得不错', '短评打分': 5}
{'短评内容': '还可以接受吧!', '短评打分': 5}
{'短评内容': '一直住这儿，觉得不错', '短评打分': 5}
{'短评内容': '总的来说还不错，就是位置太偏了，出去找吃饭的地儿走出去好远都没有找到像样的饭店。', '短评打分': 5}
{'短评内容': '非常干净舒适，已经是第二次住了，很喜欢。', '短评打分': 5}
{'短评内容': '不错，下次出差来枣庄还会选择住在如家的', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我觉得酒店环境不错，位置也离我办事的地方近，挺方便的，我比较满意', '短评打分': 3}
{'短评内容': '酒店的服务很不错，卫生清洁也挺好的，但是房间隔音不好，早上打扫卫生的声音比较打，除了这点其他都还是不错的，位置挺好比较方便。', '短评打分': 3}
{'短评内容': '位置地点还可以，对面是个市场，旁边有小饭店和点心店。\r\n但是打扫卫生时噪音比较大', '短评打分': 5}
{'短评内容': '此酒店和其他如家连锁店差不多，区别不大，位置较好，交通方便。酒店对面是龙头农贸市场，买水果很方便。对面还有一家报刊亭，买报纸也很方便。', '短评打分': 5}
{'短评内容': '为什么说舒适度差呢，因为我睡午觉的时候，打扫其他房间的服务员用吸尘器的声音相当大，简直是极大的噪音，说明房间的隔音效果相当不好，为什么现在的酒店都这么偷工减料呢，草', '短评打分': 1}
{'短评内容': '酒店的地理位置还可以,但是价格稍微贵了点,其他方面也都还是不错的,和其他的连锁酒店都差不多', '短评打分': 5}
