{'短评内容': '暖气超暖，水很热，设施还可以', '短评打分': 4}
{'短评内容': '已经多次入住，感觉不错，接送机服务及住宿环境很好，会向朋友推荐。', '短评打分': 5}
{'短评内容': '不咋地不咋地不咋地不咋地不咋地不咋地不咋地', '短评打分': 1}
{'短评内容': '价格一般，服务一般，条件一般，唯一的好处是离飞机场近啊', '短评打分': 5}
{'短评内容': '接机、送机服务很到位，房间很干净。只是早餐能否在6点提供，否则乘早上7点多的航班来不及就餐。', '短评打分': 5}
{'短评内容': '挺好的就是没有独立的卫生间', '短评打分': 3}
{'短评内容': '民航招待所在机场宾馆后身，宾馆北侧小路步行即到。适于航班周转。', '短评打分': 5}
{'短评内容': '已经入住过很多次！很满意，特别是接送服务，住宿环境很好！', '短评打分': 5}
{'短评内容': '还行吧、、、赫赫。  就是有点小 、、、', '短评打分': 5}
{'短评内容': '对于做早班飞机的人来说是最好不过的选择,价格也比较便宜', '短评打分': 5}
{'短评内容': '是机场周围最干净的一家了，环境不错，餐也不错。。就是上厕所有点麻烦不是室内的。。有空调所以提醒女孩子们注意皮肤保湿，会有些干燥。。', '短评打分': 5}
{'短评内容': '服务周到，离机场近，有送到机场的服务，真好！', '短评打分': 5}
{'短评内容': '怎么网线不能用啊 ', '短评打分': 3}
{'短评内容': '总的来说还可以，就是没有独立卫生间…其余的都还行…价格方面也挺实惠…还可以免费无线上网。', '短评打分': 3}
{'短评内容': ':我已入住,谢谢!', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '宾馆还可以，就是没法洗澡', '短评打分': 3}
{'短评内容': '不错.离机场很近,房间还可以 ', '短评打分': 3}
{'短评内容': '机场附近不错了     下次到机场还来这家宾馆    有接机  送机服务', '短评打分': 5}
{'短评内容': '一般.............................', '短评打分': 1}
{'短评内容': '挺好挺干净谢谢', '短评打分': 3}
{'短评内容': '卫生条件可以，相对兰州市区同等宾馆偏贵了些', '短评打分': 5}
{'短评内容': '服务很好！离机场很近，接送及时，态度不错，就是房间小了点。', '短评打分': 5}
{'短评内容': '价格便宜，房间虽小可设备还比较齐全。总的来说是一间不错的酒店。', '短评打分': 5}
{'短评内容': 'We stayed there for just one night to catch an early flight back to Beijing. Tidy and clean, except that the breakfast is a little unbearable.', '短评打分': 5}
{'短评内容': '我们一行一共9人，都比较满意。价格也公道', '短评打分': 5}
{'短评内容': '挺不错的，离机场很近，只是早餐实在是稍微简陋了点', '短评打分': 5}
{'短评内容': '离机场很近，有车接送机，服务态度很好，就是卫生间的热水不太好', '短评打分': 5}
{'短评内容': '服务很到位，接送及时，离酒店超级近，非常方便！', '短评打分': 3}
{'短评内容': '晚上12点才到兰州机场，为了方便选的这家，不过条件实在是很一般！到了才知道，原来是没带卫生间，没带卫生间就算勉强接受吧，可是公用的卫生间脏的厉害，而且还有工人在施工。。。很无语。。。房间还有一股味道，估计是长时间没住人。。。反正很一般，如果不是离机场近，我看这种房间基本不会有人去住。地理位置很有优势呀，离机场几分钟就到了，还有接送机服务，这点不错。', '短评打分': 1}
{'短评内容': '招待所离机场很近，有车免费接送，很方便，服务员很热情，较满意。', '短评打分': 3}
{'短评内容': '\u3000还不错,挺干净实惠,能上网网速可以,早饭比较寒酸.', '短评打分': 5}
{'短评内容': '服务挺热情，也比较安静，离机场很近，赶早班飞机非常方便，稍稍贵了点', '短评打分': 3}
{'短评内容': '离机场很近，比较方便，服务也挺热情的，以下为凑字数', '短评打分': 5}
{'短评内容': '订了一个普间,感觉很不错.前台服务热情,还提供叫醒,早餐和送机服务.房间很宽敞,有公共洗漱间和卫生间,只是没公共洗澡间.', '短评打分': 5}
{'短评内容': '赶早班飞机。也许我比较倒霉，床单都是发霉的。135的房间是普通间，没有洗手间，但是有早饭，还可以。', '短评打分': 5}
{'短评内容': '服务态度好!离机场近', '短评打分': 5}
{'短评内容': '服务态度很好，就是位置有点难找。预定好了房间，很晚到的，还有服务人员热情招待，留下了深刻的印象。', '短评打分': 5}
{'短评内容': '＋民航招待所有车辆免费接送，很方便，服务热情周到，房间也蛮干净，较满意。', '短评打分': 5}
{'短评内容': '接机和叫行服务都很好，离机场很近，适合过夜转机。虽然没有独立卫生间，公共洗漱间有热水，公共厕也还可以，房款含早餐，但早餐很一般。这个价格来讲，性价比很高了。', '短评打分': 5}
{'短评内容': '离机场很近~我们是夜里到的~打个电话给前台很快会就车来接~ ', '短评打分': 5}
{'短评内容': '  很好， 需要赶早班飞机， 再好不过那 ！就在机场对面！', '短评打分': 5}
{'短评内容': '比较贵，没有独立卫生间，就是一张大床，屋子很宽敞', '短评打分': 5}
{'短评内容': '对于转机的人士算是比较方便早晨有车送到出发大厅,环境卫生还行-一楼的房没卫生间', '短评打分': 5}
{'短评内容': '房间里面也没有卫生间也不方便洗漱，主要是离机场近但是里面的环境一点都不怎么样，房间也很简单而且价格也不便宜，', '短评打分': 1}
{'短评内容': '还可以吧，不过这里肯定比市区的价位要高点', '短评打分': 5}
{'短评内容': '转机的好去处，房子还可以，比较干净，就是没有卫生间', '短评打分': 3}
{'短评内容': '态度很好，离飞机场2分钟就到了，有车接送，房子很干净，很大，安全。', '短评打分': 5}
{'短评内容': '离机场近。其他没有什么优势。酒店特别小。还好晚上到的时候有接机服务', '短评打分': 1}
{'短评内容': '如果你不是转机，请不要入住，非常不方便，一楼没有卫生间，开票必须的买东西，不然不开票，吃饭很贵，没有地方吃东西', '短评打分': 1}
{'短评内容': '+酒店条件还算舒适，离机场近且有送机服务，很方便。', '短评打分': 5}
{'短评内容': '地理位置不好找，过来后问了半天才知道原来在旧航站楼广场前。 还有一点，网线需前台领取，速度还是蛮快的，也有无线提供。总体来说还不错。', '短评打分': 3}
{'短评内容': '地理位置不好找，过来后问了半天才知道原来在旧航站楼广场前。 还有一点，网线需前台领取，速度还是蛮快的，也有无线提供。总体来说还不错。', '短评打分': 3}
{'短评内容': '地理位置不好找，过来后问了半天才知道原来在旧航站楼广场前。 还有一点，网线需前台领取，速度还是蛮快的，也有无线提供。总体来说还不错。', '短评打分': 5}
{'短评内容': '很干净，早上叫醒和送到机场不错', '短评打分': 5}
{'短评内容': '干净、舒适、服务好、还有专车接送往返机场候机楼，真的很不错，下次到兰州也会预定的。', '短评打分': 5}
{'短评内容': '我已入住，不错', '短评打分': 5}
{'短评内容': '很干净的地方，服务态度特别好', '短评打分': 5}
{'短评内容': '接送服务非常周到。由于机场距离市区70公里远，所以在这里入住时间上安排好。', '短评打分': 5}
{'短评内容': '方便，接送也比较及时把，时间就是金钱么，其他还可以接受咯。', '短评打分': 5}
{'短评内容': '干净方便干净方便干净方便干净方便干净方便', '短评打分': 5}
{'短评内容': '感觉还是很不错的，除了没有独立的卫生间有些遗憾外，其他的，包括早餐，卫生，干净整洁等，都还不错。另外有一点特别要提醒大家：我当天晚上将近11点才到的招待所，已经没有饭吃了，我到附近转了转，就发现有个烧烤店还在营业，就在那吃点东西，结果那个男的老板，真是奸诈之极，大家一定要小心了，我点的时候给我一份菜单，结账的时候拿了另一份菜单，价格高了许多，明明是0.6元一串的豆腐皮变成了1.5元，所有价格都高了', '短评打分': 5}
{'短评内容': '有送机~适合赶早班飞机的人', '短评打分': 3}
{'短评内容': '酒店性价比一般，比市区的要贵不少。但服务态度好，到候机楼有专车接送，3分钟即到。感早班机建议选择。', '短评打分': 5}
{'短评内容': '坐早班机住在这里非常方便，车接车送服务到位，前台接待人员与司机都非常热情！', '短评打分': 5}
{'短评内容': '水很大，地理位置也不错。早上有早餐，还有人接送。不错！', '短评打分': 3}
{'短评内容': '离机场近，方便', '短评打分': 5}
{'短评内容': '方便快捷', '短评打分': 5}
{'短评内容': '此店位于候机楼不远的对面院内，且有接送服务，是乘早班起飞或晚班到达航班旅客的较好选择。', '短评打分': 5}
{'短评内容': '服务态度很好&#183;&#183;', '短评打分': 5}
{'短评内容': '干净整洁，设施比较好。有送早餐，及免费送机场。适合赶早机的人。', '短评打分': 5}
{'短评内容': '服务态度很好，房间热水来得很快，水很猛！早餐还行！', '短评打分': 5}
{'短评内容': '离机场很近，而且有车接送。很方便。', '短评打分': 5}
{'短评内容': '最好的是离机场很近，而且有车接送。我之前就是大巴到机场，然后给他们电话，就会来接了。第二天一早，也有车送去机场。当然 ，很近，只要两三分钟就到了。', '短评打分': 5}
{'短评内容': '之前在网站看到是双标，那知道去到只是只有2张床，没带独立的卫生间，而且也没有公共的浴室，只有公共的厕所和洗漱间。而且对面有一个锅炉房，晚上睡觉提心吊胆的。而且地方不好找，是机场收费站的人带路才能找到。\r\n不过的真的离机场很近。', '短评打分': 1}
{'短评内容': '前台服务很好  接送也很好 ', '短评打分': 5}
{'短评内容': '为了赶飞机可以考虑', '短评打分': 1}
{'短评内容': '应该是机场边上最好的酒店了吧~~在机场只要一个电话宾馆的人就会来接，而且服务超级好。房间很干净，而且我的房间还有电脑可以上网~早饭也很不错。。总之很赞，值得再去', '短评打分': 5}
{'短评内容': '酒店的服务比较赞，包含免费接送到机场的服务，很方便。', '短评打分': 5}
{'短评内容': '没有独立卫生间，收费较贵，没网，电视只有20个频道，水也不好', '短评打分': 1}
{'短评内容': '感觉还不错', '短评打分': 5}
{'短评内容': '标间怎么就没有两张床的了呢？不太合理。', '短评打分': 5}
{'短评内容': '各个方面都很满意，性价比蛮高的，下次还会入住。', '短评打分': 5}
{'短评内容': '便宜，物有所值                                    ', '短评打分': 5}
{'短评内容': '都挺好的，就是价格有些贵，普通间还130多，主要是沾了位置的光，不过飞机晚点或要早飞的话，机场附近还就是这个好些。', '短评打分': 5}
{'短评内容': '如果不是万不得已~最好还是不要住了 = = \r\n真的很招待所,都没有独立卫生间~', '短评打分': 1}
{'短评内容': '我为了赶第二天造成的飞机，早一天到了招待所住宿。\r\n\r\n遇到很恶心的事情：\r\n1、毛巾、浴巾等都没有，问前台，说是没有运上来，他们也没有办法；\r\n2、无线不能用，问前台小姐和大爷，说他们也不懂。不过确实不懂，我估计前天她们还在家里种田呢。\r\n3、第二天，早餐说是6：30供应，结果到了6：30，人影都还见不到，你想吃早餐，估计前天剩下的残羹剩饭。', '短评打分': 1}
{'短评内容': '按价格、所在城市来说还算可以', '短评打分': 5}
{'短评内容': '还不错，环境挺好，靠近中川机场，转机方便，性价比合适', '短评打分': 3}
{'短评内容': '房间没有提供热水,服务态度一般,位置还是比较好找的在机场对面出行挺方便的,性价比还是一般的,挺一般的酒店.', '短评打分': 3}
{'短评内容': '服务态度不错，也比较干净，就在机场旁边，适合赶飞机的朋友。', '短评打分': 5}
