{'短评内容': '环境优美不错', '短评打分': 5}
{'短评内容': '酒店地理位置不错，早餐比较丰富，室内干净卫生，服务人员的态度也很不错', '短评打分': 5}
{'短评内容': '是不错的酒店，一直都住那，最新发现是有个花市就在附近，很方便，到时回家可以一直去花市买点花了。', '短评打分': 5}
{'短评内容': '酒店位置还行,商务房设施齐全,干净卫生,下次到昆明还会继续入住', '短评打分': 5}
{'短评内容': '酒店还卫生，但是有点远，去机场不太方便。', '短评打分': 5}
{'短评内容': '很好的酒店。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还是不错。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是房间空间小了点。。。。。。', '短评打分': 5}
{'短评内容': '房间干净，服务也不错，晚上还有水果和小点心送。', '短评打分': 5}
{'短评内容': '每次来云南都住这里，真的是不错哦。。。。。。。。。。。。。。。推荐', '短评打分': 5}
{'短评内容': '很不错的一个酒店，早餐是我在云南吃过最好的了，下次还会来~~', '短评打分': 5}
{'短评内容': '很好啊。。。。。老住客了。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店整体一般，居住设施还好，比较安静，在当地应该算不错了', '短评打分': 5}
{'短评内容': '酒店停车场蛮大,早餐品种较多,设施齐全,不过吹风机功率太小,网线也太短,房间有点小,酒店整体感觉不错', '短评打分': 3}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '很好很强大', '短评打分': 3}
{'短评内容': '基本满意，觉得价格合理，设施按照这个价钱来看是不错的，唯一的缺点就是隔音真的不好，不是说墙的隔音差，是房间门与走廊之间的隔音真的不好。其他的都挺好的，还是会再去的', '短评打分': 5}
{'短评内容': '酒店位置還可以，房間設施有點陳舊。服務員的態度比較好。', '短评打分': 5}
{'短评内容': '交通比较方便， 房间也还舒适， 就是打的不太方便', '短评打分': 5}
{'短评内容': '很好，已经住过很多次了。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还是暖气的问题，还有我朋友背疼想拔个罐，但酒店康体中心只有洗脚，服务还是要加强呀。', '短评打分': 5}
{'短评内容': '还是不错的，就是暖气要晚上7点才开，太小气了，白天也很冷的。', '短评打分': 5}
{'短评内容': '酒店设施不错 位置也很好 非常不错的酒店', '短评打分': 3}
{'短评内容': '酒店空调不起作用，进入大堂感觉特别冷,房间也很冷。不要住房间尾号为1的房间，因为它紧靠电梯，电梯的噪音很大，且房间隔音不好。还有房间入户门隔音更差，走道的声音十分清晰。不过酒店房间的内部装潢和设施还算不错。酒店的性价比不高。', '短评打分': 1}
{'短评内容': '性价比不高  服务一般  不知道怎么上的4星  房间硬件还好。', '短评打分': 3}
{'短评内容': '硬件到位了 但是服务基本没有。 位置不理想 ', '短评打分': 1}
{'短评内容': '非常不错的酒店，在这里夸奖一下，酒店入住非常舒适，装饰的很清新，配置设施也很全。', '短评打分': 5}
{'短评内容': '位置不错，和机场打车也就15分钟，但是早餐不合口味，种类也偏少。这样的性价比不高。', '短评打分': 1}
{'短评内容': '很不错，下次还来住！！！很不错，下次还来住！！！很不错，下次还来住！！！很不错，下次还来住！！！很不错，下次还来住！！！', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 3}
{'短评内容': '老客了', '短评打分': 5}
{'短评内容': '卫生设施都还不错，就是交通不是很方便，价格和服务基本上还可以，如果价格再低一些更好。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，卫生很干净，设施比较完善，下次如果有出行还会入住的。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，卫生很干净，设施比较完善，下次如果有出行还会入住的。', '短评打分': 5}
{'短评内容': '硬件和软件设施都不错，位置非常好，周边出行特别方便.酒店挺不错的', '短评打分': 5}
{'短评内容': '性价比不算太好的酒店，原来统计局宾馆改建的，有点老。房间设施在昆明酒店中还算可以，早餐差了点，餐厅地方很小。离翠湖比较近，可以饭后打个车去散步，起步价左右。', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '不错，很新的酒店', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '性价比太低', '短评打分': 1}
