{'短评内容': '早餐丰富，位置好，服务好', '短评打分': 5}
{'短评内容': '陈旧的设备，冷漠的服务，没啥可吃的早餐。绝对不会再住第二次的。唯一算是好的地方可能是被套比较干净，柔软。', '短评打分': 1}
{'短评内容': '环境很一般', '短评打分': 3}
{'短评内容': '＋大庆宾馆很一般', '短评打分': 3}
{'短评内容': '酒店尽管价格不是很高，但是服务不太好，帮助叫1辆出租车都不愿意！', '短评打分': 1}
{'短评内容': '交通便利，房间还卫生可以，房间比较大，就是硬件设施一般，很陈旧。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '我十年前住这家宾馆时是三星级，现在成了四星级，但设施和服务没什么大变化，服务还是那样比较生硬，尤其是二楼的“酒吧”，整个就是一小饭馆。', '短评打分': 1}
{'短评内容': '硬件设施有些陈旧.前台刷卡结帐时POSS机还坏了.导致无法刷卡结帐.其它各方面也比较一些.尤其是室内的环境.', '短评打分': 1}
{'短评内容': '因为是老宾馆，硬件设施一般，但房间还是很大，卫生状况可以，洗浴有浴池。中央空调。服务水平可能是体制和管理原因，不是很规范，为顾客服务意一口气略差些，前台提出的问题不能及时解答，也不能尽快处理。而是把内部调查放在第一位，把顾客感受放在第二位。经过强烈要求最终结果还是有很大改进。', '短评打分': 3}
{'短评内容': '服务行业最重要的是规范服务，只有规范服务才能确保不出现工作差错，前台人员仍需培训，领导处理问题的能力也有待提高。', '短评打分': 1}
{'短评内容': '性价比蛮好的酒店，房间很干净，硬件设施齐全，下次还会住的。', '短评打分': 5}
{'短评内容': '整体感觉很不错的酒店，房间干净，设施完善，服务周到，下次还会住的。', '短评打分': 5}
{'短评内容': '酒店位置不错，离秋林挺近，赶火车也很方便的，购物交通都很便利。', '短评打分': 5}
{'短评内容': '位置不错挺方便出行的，在大庆我每次都住这家酒店在当地算是最好的一家，所以各方面服务和设施都比较到位.', '短评打分': 5}
{'短评内容': '实话说，这家宾馆的硬件设施太老了......房间小，地毯旧，标间的床也小，而且居然不用插房卡取电....幸亏服务还是不错的，保持了四星级酒店应有的水准。\r\n值得称赞的是免费的自助早餐，非常丰盛，还有当地的特色食品，炖粉条、炒酸菜、蘸酱菜，好吃的不得了！早餐吃的饱，中午喝酒战斗力就强，在大庆的三天，每天泡在酒里，却不觉得太难受，大庆宾馆的早餐居功至伟！\r\n酒店的价格不便宜，但入住率却非常高，可能跟大', '短评打分': 5}
{'短评内容': '酒店安全性很高，服务也很周到，住的很放心。', '短评打分': 5}
{'短评内容': '我感觉这家酒店在当地来讲还行。房间卫生打扫的挺感觉，设施方面也还可以，酒店位置也不错，周边出行比较方便，整体感觉性比也不错的，值得推荐。', '短评打分': 5}
{'短评内容': '房间很干净，设施很完善，布置的挺温馨，有种家的感觉。', '短评打分': 5}
