{'短评内容': '服务态度非常好，感觉不错', '短评打分': 5}
{'短评内容': '酒店的房间超小，特别是洗手间。服务还是不错的。是绵阳近市区且硬件比较好的酒店了。', '短评打分': 3}
{'短评内容': '酒店的房间不错。层高够高，空调很好，房间内装修和配套都不错。早餐一般般，餐厅的服务员没有什么服务意识。客房的服务员很负责，门没关好路过楼层还过来查看。退房后，把眼镜忘在房间，客房部还特地打电话告知，并答应快递给我，很贴心!', '短评打分': 5}
{'短评内容': '感觉一般，房间有点小，性价比不如旁边的王子酒店，自助餐不错，早餐比较简单。', '短评打分': 5}
{'短评内容': '硬件可以。\n前台服务人员很不专业，很龌龊。前台人员，除了穿黑色衣服的，其它都不会简单的问候，看人的眼光也很猥琐。退房时，还是前台，不管客人，彼此自顾评价丝袜。缺乏最基本的培训。\n12点退房，竟然11点就开始打三次电话敦促，感觉一流的环境但是用了一批素质很低的管理者。', '短评打分': 1}
{'短评内容': '酒店不错，父母很满意。\r\n不错，父母很满意。\r\n酒店,父母很满意。', '短评打分': 1}
{'短评内容': '酒店非常舒服,是绵阳最好的酒店. 早餐也不错! 推荐!', '短评打分': 5}
{'短评内容': '酒店位置不错 房间状况很好 四星级水平 早餐水平一般勉强说的过去', '短评打分': 5}
{'短评内容': '还可以吧，一般，没什么出彩的地方。还可以吧，一般，没什么出彩的地方。', '短评打分': 5}
{'短评内容': '床很舒服，环境也很好，就是卫生间小了点点', '短评打分': 5}
{'短评内容': '不错，很干净，挺新的，下次还会来这里住的', '短评打分': 5}
{'短评内容': '标间比小套房要宽敞舒适得多。整体不错，床品舒适。', '短评打分': 5}
{'短评内容': '设施挺新的，床很软，很舒服，算是绵阳最好的酒店了', '短评打分': 3}
{'短评内容': '每次来都住，硬件软件不错 每次来都住，硬件软件不错', '短评打分': 5}
{'短评内容': '非常不错，装修、早餐都非常好，值得推荐。', '短评打分': 5}
{'短评内容': '好的方面:房间比较舒适卫生,服务还不错,交通比较方便,差的方面:房间的大小和价格相对比东莞这边的贵点!', '短评打分': 5}
{'短评内容': '绵阳当地较好酒店，设施设备较好。但宽带网络速度较慢', '短评打分': 5}
{'短评内容': '酒店很干净，环境好。外出就餐也很方便。坐大巴车和火车就更不用说了，很近很近。呵呵。 \n', '短评打分': 5}
{'短评内容': '硬件很不错，服务也到位！只是住店的酒店停车场也要缴费有点不爽。自助早餐也很丰盛，环境OK，总体不错，给满分！', '短评打分': 5}
{'短评内容': '每次来必住～～～绝对推荐。早餐是所有二级城市酒店最棒的～～～房间舒服，洗澡尤其舒服～～～～每次来必住～～～绝对推荐。早餐是所有二级城市酒店最棒的～～～房间舒服，洗澡尤其舒服～～～～\n', '短评打分': 5}
{'短评内容': '非常喜欢~房间大~出入也很方便~！不错，以后会再次入住的~', '短评打分': 5}
{'短评内容': '房间也不错。就是每天打扫房间的员工有点认真过度，扔到柜子上的脏衣服也叠的整整齐齐放床脚，让人有点哭笑不得。', '短评打分': 5}
{'短评内容': '质量不错，在绵阳就确实算是最好的酒店了。紧靠火车站，周围吃饭娱乐的地方都比价多，唯一就是早上打车不便，可能是绵阳整个的问题。', '短评打分': 5}
{'短评内容': '让我觉得非常干净的酒店 服务很好 喜欢卫生间的格局 ', '短评打分': 5}
{'短评内容': '该酒店服务员很热情，处理问题也比较有人情味。我们一行本来打算上午应该可以早早办完公事，没料到因为讨论的问题比较多而延误了退房，与酒店商量以后，统一我们延迟到下午两点退房，因此感觉该酒店服务上很不错。酒店业非常干净。', '短评打分': 5}
{'短评内容': '不错的酒店，价格稍高，但还会去住   .....................................................................................................', '短评打分': 5}
{'短评内容': '房间很干净，加上绵阳本来就很干净舒适\n所以住的时候很舒服\n非常不错，早餐也很丰盛\n交通很便利，离火车站和汽车站都很近', '短评打分': 5}
{'短评内容': '每次来必住～～～绝对推荐。早餐是所有二级城市酒店最棒的～～～房间舒服，洗澡尤其舒服～～～～每次来必住～～～绝对推荐。早餐是所有二级城市酒店最棒的～～～房间舒服，洗澡尤其舒服～～～～', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 3}
{'短评内容': '有两个电视，不错', '短评打分': 3}
{'短评内容': '很不错，下次还住，就是价格稍贵。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '一个新的酒店，在绵阳来说，很不错了。值得住', '短评打分': 5}
{'短评内容': '位置很好，硬件不错，服务还行，出行方便，房价稍贵，总的说来值得推荐。', '短评打分': 5}
{'短评内容': '酒店很干净，环境好。外出就餐也很方便。坐大巴车和火车就更不用说了，很近很近。呵呵。', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '在绵阳算数得上的酒店了。内部配置符合四星级标准。就是餐饮贵了点。不过附近吃饭的地方很多，算是个弥补！', '短评打分': 5}
{'短评内容': '环境尚可,价格稍高。', '短评打分': 3}
{'短评内容': '服务还可以。', '短评打分': 3}
{'短评内容': ' 内容', '短评打分': 3}
{'短评内容': '很好的酒店，房间舒服，早餐也挺好，品种较多，下次去还会住。', '短评打分': 5}
{'短评内容': '酒店位置还不错，交通便利，适合出差住宿的选择。', '短评打分': 5}
{'短评内容': '酒店不错，是四星级的标准。就是在酒店内用餐太贵了。不过好在周边有很多吃东西的馆子。也无所谓了。', '短评打分': 5}
{'短评内容': '在绵阳算不错了。基本上每次都住。在绵阳算不错了。', '短评打分': 5}
{'短评内容': '很新，特别喜欢他们的大床。服务周到特别满意～～～', '短评打分': 5}
{'短评内容': '酒店硬件还不错，个人感觉性价比不错。离火车站很近，不行几分钟就能到，', '短评打分': 5}
{'短评内容': '酒店硬件不错，有问题能及时解决', '短评打分': 3}
{'短评内容': '该酒店早餐一般，毛巾是湿的，打车有点不方便。', '短评打分': 5}
{'短评内容': '酒店硬件绝对算4星级，但软件最多2星。入住时说房间刚清理出来需要打扫，但打扫房间居然要1个半小时。这还是酒店在明知客人在等待的情况下的效率。', '短评打分': 1}
{'短评内容': '绵阳星级酒店,数这一家可以,早餐自助餐,款式丰富,地理位置邻近火车站和汽车总站步行就到了,可方便,值得推荐', '短评打分': 5}
{'短评内容': '巴登酒店好。', '短评打分': 3}
{'短评内容': '在绵阳巴登酒店是不错的。', '短评打分': 3}
{'短评内容': '垃圾酒店!服务那么差还敢说同四星!', '短评打分': 3}
{'短评内容': '在绵阳还算是不错了,酒店位置不错,价格偏高,早餐可以.', '短评打分': 5}
{'短评内容': '酒店位置不错，装修很好。但服务水平有待提高，早上退房时，接待只有两个人，要等很久。PS：早餐还很不错，希望继续保持。', '短评打分': 5}
{'短评内容': '总的说来软件跟不上硬件，员工素质有待提高，尤其是酒店大门的伺服生，...\n', '短评打分': 5}
{'短评内容': '床很舒服，就是房间小了点。价格还是有点高，除非整个协议价什么的还差不多', '短评打分': 5}
{'短评内容': '总的说来还行，如果能够提高服务水准，将是一家不错的酒店。\n门庭服务生还不知道应该为客户开车门，服务员在打扫房间时细节注意不够。', '短评打分': 5}
{'短评内容': '很新，硬件不错。这次比上回有改善，游泳池可以免费一位，但又没带泳裤来了。。。', '短评打分': 5}
{'短评内容': '酒店位置尚可，房间内环境好，空间开阔，较为安静，早餐不错……值得推荐！', '短评打分': 5}
{'短评内容': '酒店服务实在有点问题。我早上11点到，告知没有房可以。叫我两小时后到。我中午1点到酒店，告知房间还是没有好。叫我等，时间未知。我在酒店大堂使用无线上网也无法工作，一直等到两点房间卫生才打扫好。我无法理解，当酒店客人到了，是否可以先打扫一间房间，让客人住下来。\n\n另外当天酒店前台服务员口气实在太差，我在国内出差从来没有看见这样服务的酒店。\n\n大概附件绵州酒店装修，附近没有酒店可以住了。', '短评打分': 1}
{'短评内容': '地段临街，还是会有点吵。酒店很新，房间小了点，其他的都不错', '短评打分': 5}
{'短评内容': '总体感觉很不错，新！\n但娱乐设施有点少，想理发都不得不出门去。', '短评打分': 5}
{'短评内容': '非常不错的一家酒店\n在绵阳绝对是顶级的\n以后还会来住的', '短评打分': 5}
{'短评内容': '      服务很好，房间非常干净，下次来绵阳还住在巴登酒店。', '短评打分': 3}
{'短评内容': '+很好！', '短评打分': 5}
{'短评内容': '酒店很新，硬件不错。但位置在火车旁边，前面马路后面铁路，有点吵。性价比还是不错的。', '短评打分': 5}
{'短评内容': '各方面都不错，就是通过网站定的房间楼层和位置要比直接前台定的差点', '短评打分': 3}
{'短评内容': '几个小问题：楼道间隙太窄，不够档次；水仿佛有油漆味道；浴池和淋浴切换困难；我住的小套房比较好，液晶电视有两个，沙发齐全，比较好。位置更好，就在绵阳主干道上。', '短评打分': 5}
{'短评内容': '…早餐不太好', '短评打分': 5}
{'短评内容': '酒店很新，自助餐性价比不错。但好像隔音效果一般，呵呵。', '短评打分': 5}
{'短评内容': '酒店整体感觉不错，除了刚装修还有点味道，其他的都还不错 ', '短评打分': 3}
{'短评内容': '好像位置不是太好，服务什么的还行了～～服务什么的还行了', '短评打分': 3}
{'短评内容': '房间小，网速特慢！！！！！！！！！！！！！！1\r\n其他都很好', '短评打分': 5}
{'短评内容': '住三天换了三个房间，因为不断在房间里发现蟑螂、小虫子。这么新的酒店，还住在高层，居然还有虫子，可见卫生管理之差。期间还遇到过电梯突然故障，住客被困的情况。总之，以后到绵阳不会再住这家。', '短评打分': 1}
{'短评内容': '酒店还不错哦，房间很大很宽敞，卫生间和浴室是隔开的， 环境也很舒适。', '短评打分': 5}
{'短评内容': '服务一流!酒店很大气!早餐很好!', '短评打分': 3}
{'短评内容': '洒店不错!装修豪华!早餐一流!', '短评打分': 5}
{'短评内容': '顺辉这家酒店刚刚开业不久硬件设施很不错，配置硬件都很新。', '短评打分': 5}
{'短评内容': '酒店距离火车站很近，出行交通很方便，环境硬件都很不错。', '短评打分': 5}
{'短评内容': ' +给人感觉很干净,不错', '短评打分': 5}
{'短评内容': '酒店很好，还不错，卫生也好。就是只住了一晚上，时间短了点', '短评打分': 5}
{'短评内容': '新装修,所以室内有些味道. 不过住起来不受影响,位置好方便我出行办事.性价比不错.', '短评打分': 5}
{'短评内容': '还不错～～', '短评打分': 3}
{'短评内容': '还不错的酒店～～推荐～～', '短评打分': 5}
{'短评内容': '前台经验不足,显得不够专业.可能是新酒店的原因吧.其它各方面条件都挺不错的..', '短评打分': 5}
{'短评内容': '位置好，新张不到2个月，各方面条件都不错。', '短评打分': 3}
{'短评内容': '新装修的房间,但没有什么气味这点挺好,酒店硬件条件还不错.被褥很高档.睡起来很舒服.性价比蛮高的.', '短评打分': 5}
{'短评内容': '缺点：功能不完善，没有美容SPA、美发服务，会议设施比较差。', '短评打分': 5}
{'短评内容': '酒店环境和价格比较符合的，卫生设施还不错，位置也还可以，毕竟是新酒店设施各方面酒店做的还是比较不错的。', '短评打分': 1}
{'短评内容': '位置很好找，卫生和设施很好，服务还行吧因为也是新酒店可能有些服务还不是很到位办理手续的时候都挺慢的估计以后应该就会好了吧。', '短评打分': 5}
{'短评内容': '位置很好找，卫生和设施很好，服务还行吧因为也是新酒店可能有些服务还不是很到位办理手续的时候都挺慢的估计以后应该就会好了吧。', '短评打分': 5}
{'短评内容': '新酒店硬件设施总得来讲还不错，就是服务人员略有些显得对工作生殊.不够专业.其它各方面都不错.', '短评打分': 5}
{'短评内容': '总的来说酒店很不错，早餐也很丰富。酒店房间环境感觉很舒适', '短评打分': 5}
{'短评内容': '2010年新开张，装修高档，无异味。舒适。', '短评打分': 5}
{'短评内容': '给人感觉温馨舒适有档次哈！下次去一定还住。', '短评打分': 5}
