{'descr': '每次回家，都住这里！一直很棒', 'star': 5}
{'descr': '一直都是如家的忠实客户，极力推荐！从连云港东站打车10元到酒店门口！沿酒店往北走，第一个路口向右转，就能看到夜市摊！晚上可以去吃宵夜哦！', 'star': 5}
{'descr': '靠海边很近，订的早价格不贵还很舒适，周末压根就无房可订，环境卫生一如既往的好', 'star': 5}
{'descr': '比较干净，服务态度不错。关键是在eLong订房间一是在入住高峰可以保证有房间，二是价格比门市价更优惠，非常好。', 'star': 5}
{'descr': '房间满大的，也很舒服，周边购物＼吃饭也方便，可以一住', 'star': 5}
{'descr': '地理位置不错，交通也挺方便的', 'star': 3}
{'descr': '交通便利附近有很多小吃', 'star': 3}
{'descr': '离连云港火车东站很近，坐33路公交车到八一广场，很方便，洗澡水特舒服。', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '还行 隔音 卫生都不错 周围交通挺便捷 就是连云港不咋地..', 'star': 5}
{'descr': '离海鲜一条街只有十几分钟步行的路程，附近还有苏果和肯德基，走过去都是十分钟左右，附近商务酒店也蛮多的，看了网上评价选了这家，服务态度不错，效率也很高，入驻和离店都没花太久时间。晚上沾床就睡了，窗户是双层的，晚上也没听到外面街道多吵。房间内没有自带吹风机不怎么人性化，还有门口停车没有人管理，停车场地也不是很大，我们回来的时候只好把车停在隔壁酒店停车场了。总的来说这次旅行很愉快，下次有机会还会去的。。', 'star': 5}
{'descr': '十503', 'star': 3}
{'descr': '不好，没有汉庭好！', 'star': 3}
{'descr': '房间不错，地理位置也很好。五一可以全国酒店都调价一天，就那天高，2号就调到正常价位了', 'star': 5}
{'descr': '已经入住，感觉不错。谢谢！', 'star': 3}
{'descr': '不錯！非常好！！強力推薦！！不錯！非常好！！強力推薦！！', 'star': 5}
{'descr': '酒店位置不错交通方便服务态度也好，如家酒店是联锁的其它都差不多。', 'star': 5}
{'descr': '还可以吧，但特价房和标间差不多条件觉得标间就不划算了', 'star': 3}
{'descr': '噪音大，其他OK~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '位置不错，靠近大海', 'star': 3}
{'descr': ' 不错', 'star': 3}
{'descr': '感觉还可以......感觉还可以......感觉还可以......', 'star': 5}
{'descr': '交通方便，价格便宜。服务良好，是个不错的经济连锁酒店', 'star': 5}
{'descr': '以前还行，现在的服务越来越差了。不会再去住。', 'star': 1}
{'descr': '位置很好，每次去都是首选。房间整洁干净，前台结账也非常的快。', 'star': 5}
{'descr': '位置方便，交通便利，服务到位，服务人员态度温馨', 'star': 5}
{'descr': '不错的酒店，位置不错，离景区都都很方便，值得推荐', 'star': 5}
{'descr': '干净卫生，印象特别深的是，几乎每天都是爆满，好像来入住的客人非常多，前台服务人员不是特别的热情，但是总体说来还算不错，门口有几家饭馆也是口味很棒，尤其加工海鲜。前台服务人员的亲和力有待提高。', 'star': 5}
{'descr': '位置非常好，特别推荐去连云港旅游的人，呵呵，距离连岛非常近哦。房间卫生很好，服务也很好，就是有点小贵', 'star': 5}
{'descr': '房间很宽敞.交通业很方便,去各个景点超级便捷.服务业不错', 'star': 5}
{'descr': '环境不错，出行方便，离闹市比较近，总的来说值得推荐', 'star': 5}
{'descr': '如家在 快捷酒店中一直我很喜欢的一家,他家的位置还可以 出去右走一段路就是一个购物区了有很多饭店，方便些', 'star': 5}
{'descr': '性价比不错，离繁华地段近，坐车也比较方便，值得推荐', 'star': 3}
{'descr': '算是当地性价比比较高的了，离繁华地段也不算太远，晚上可以出去逛逛', 'star': 5}
{'descr': '比当初入住之前想向的要好,值得推荐给朋友', 'star': 5}
{'descr': '房间实在是小巧玲珑，大床房没有双标大，不过位置蛮好。附近也有蛮多酒店的，价格便宜点。', 'star': 5}
{'descr': '    还不错，临街的有点吵', 'star': 5}
{'descr': '性价比还不错，，会向您的朋友推荐这家酒店。。', 'star': 5}
{'descr': '酒店环境很不错，交通便利，房间里很安静，就是厕所里时间久了有股味道。', 'star': 5}
{'descr': '房间有点小 另外整个设施感觉有点老  毛巾什么的用起来不舒服 该换一下了 被子也不是很干净  住了两天 床单不能换 不喜欢', 'star': 3}
{'descr': '前几天来过一次啊  中秋节又来了 人比较多  旁边就是派出所 比较安全 旁边的八一市场 去里面买点水果 不错  八一市场旁边的高丽烤肉很不错  哈哈 到墟沟吃海鲜的一般都是外地人 本地人都是在新浦吃的  我对海鲜不敏感  就没去吃', 'star': 3}
{'descr': '整体还行吧！就是感觉房间特别小，窗户靠内院早上有点吵！', 'star': 5}
{'descr': '地段还可以 不过临近公路  能听到马路上的声音--- 就住了一晚上  也没别的感觉了', 'star': 1}
{'descr': '到连云港玩，住在如家墟沟店挺合适的。1.位置好，主要是离海边近，打车到连岛跨海大堤起步价，到火车站（连云港东）起步价，附近购物吃饭都方便，宾馆正对面有一个“川连海鲜饭店”，估计是四川人开的，用四川口味做海鲜，吃着不错，而且价格便宜，我们四个人要了5个菜（3个海鲜，2个家常菜）一共才105元。要是住在连岛上，房价贵，家庭旅馆便宜，但是条件太差；在岛上晚上没地方逛街。要是住在新浦市区，离海边太远，到连', 'star': 5}
{'descr': '饭店位置不好！服务也不好，房间及设施已经老化，而且价格也高。', 'star': 1}
{'descr': '门口的小饭店还不错，100元吃了个饱，而且有爬虾，饭盒大的蟹，程子，吃不完了', 'star': 3}
{'descr': '＋可以', 'star': 5}
{'descr': '不错，地理环境优越，乘坐公交车方便，室内装饰温馨', 'star': 3}
{'descr': '早餐很差..还需要15元一个人.房间确实小.不过住的还算舒服!', 'star': 3}
{'descr': '整体上感觉还是不错的，干净，卫生，看着很舒服，更重要的是各方面设计很人性化，比如卫生间的淋浴房，比起其他酒店的老旧浴缸要强很多，用起来也舒服；还有就是房间里的插座很充足，工作台前面的墙上一排好几个，现在需要充电的设备太多，笔记本、手机、相机、摄像机，夏天房间还要插电蚊香，少了真不够用。房间里没有吹风机，但可以跟前台借，不过一般需要自己去取，不然等服务员就不知道要等到什么时候了。。。\r\n楼前有几个停', 'star': 5}
{'descr': '早饭实在是非常不怎么样&#183;住的大床房竟然也不送早点的.15一个人自助的.实在难吃...房间有些小.不过还算可以.', 'star': 5}
{'descr': '交通：出门50米就有公交车站，去连岛（33路）和渔湾（111路）都很方便。周边生活方便，超市、餐饮一应俱全。下次还会选择入住。', 'star': 5}
{'descr': '其实也不是第一次入住如家，还是一贯比较温馨的风格，地理位置也不错，去连岛，渔湾，花果山都在半小时车程内！！就是停车比较困难！不过我想说这个酒店的员工技能有待提高！！居然我住2天让我交了两次押金！而且态度真不怎么样！！希望以后的朋友注意了！！！！！！', 'star': 1}
{'descr': 'hao\\haohaohaohaohaohaohaohao', 'star': 5}
{'descr': '地理位置比较好，去连岛浴场和渔湾都比较方便，一车即可到达。卫生条件也比较好，就是房间小了点。', 'star': 5}
{'descr': '挺不错的,地方很好找,交通方便', 'star': 5}
{'descr': '地方比较的干净，我订的是商务大房间，虽然靠路边，可是店家很细心，窗户的玻璃是双层的，基本没有马路嘈杂的声音！而且店址非常的中心，无论吃饭、游玩都非常的方便，虽然有些宾馆可以看见海景，到了晚上还是不方便啊！如家到中华西路吃放只要走5分钟就到，真的非常的方便！', 'star': 3}
{'descr': '不错,非常的干净!真正的象回家,不大却整齐干净五脏具全!下次无论到哪旅游都会选择如家,经济实惠地势也很好哦!', 'star': 5}
{'descr': '总体来说不错，但是隔音效果较差。此外，餐厅太小--用早餐时较挤，停车位只有10个，回来迟了只能停人行道了---保安提醒早晨八点前须开走否则会被抄牌。', 'star': 5}
{'descr': '位置很好，早餐不如日照如家的味道好，小孩三岁还要收费（半价），服务很好！床上用品不如日照如家。', 'star': 5}
{'descr': '交通很方便 环境也不错 卫生状况良好 服务态度也挺好的', 'star': 5}
{'descr': '隔音实在差，12元早餐也欠佳，其他皆可。', 'star': 5}
{'descr': '很干净，房间色调很温馨，就是小了点！不过还是满意的！', 'star': 5}
{'descr': 'GOOD ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '整体不错，建议订商务大床房，多10元，性价比更高，更舒服', 'star': 5}
{'descr': '+干净，床垫硬，还不错。好评吧。', 'star': 5}
{'descr': '第一次自己花钱住店 虽然比起带星酒店硬件上差了一些 但是也总算对得起这个价钱了 而且难得的是 每当我遇见服务人员 都会得到一声问好 让人倍感温馨吧 ！！第一印象很好 以后还会再来！！', 'star': 5}
{'descr': '还好', 'star': 3}
{'descr': '经济型酒店么，小则小了，还是比较干净的', 'star': 5}
{'descr': '经济型酒店么，小则小了，还是比较干净的', 'star': 3}
{'descr': '酒店好像是新建的东西都比较新,喜欢粉色的床单和黄色的瓷砖.', 'star': 5}
{'descr': '房间很干净，设施也很好，比如热水一开就有，服务员态度一般般。房间确实像网友说的很小。', 'star': 5}
{'descr': '这次的酒店比较满意，房间很大，也很干净，不错，下次去还会继续住那里。', 'star': 5}
{'descr': '很好啊。第二次住', 'star': 3}
{'descr': '挺好的 价格实惠 嘿嘿&#183;～很有礼貌`', 'star': 5}
{'descr': '挺好的！', 'star': 3}
{'descr': '住的商务大床房，房间挺小的，床很大', 'star': 5}
{'descr': '前台服务员一个个都跟傻子似的，穿衬衫的应该算大堂经理了，问33路公交车站还给指了个错的地方，我找了半个小时都没找到，害我花冤枉钱打车去的海边。回去时候问的前台火车站是否有海（我从地图上看的），他拍着胸脯告诉我有而且很美能做一下午等火车，结果我一打车人家司机跟我说火车站半年前就造了新的在一片荒地上，结果我孤零零的做了一下午。再说房间，我都转不开身，早餐都是苍蝇飞啊飞，本来地方就笑容纳不了那么多人，还', 'star': 1}
{'descr': '感觉很不错，', 'star': 5}
{'descr': '酒店前台服务热情，邮宾至如归的感觉！', 'star': 3}
{'descr': '位置离墟沟海棠路海鲜一条街和连岛都不远，中华路上吃喝玩乐的也有，车位太少了，住这个店的大部分都是开车的，晚上回来经常车没地方停', 'star': 3}
{'descr': '位置离墟沟海棠路海鲜一条街和连岛都不远，中华路上吃喝玩乐的也有，车位太少了，住这个店的大部分都是开车的，晚上回来经常车没地方停', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '服务不错，价格有点贵。', 'star': 3}
{'descr': '靠马路有点吵，窗朝西有点晒', 'star': 5}
{'descr': '非常棒！', 'star': 3}
{'descr': '虽然在路口，但很安静，服务也非常棒，我出差就喜欢住如家', 'star': 5}
{'descr': '还不错，价格浮动蛮多的哦，走的时候变成174了', 'star': 5}
{'descr': '还可以吧', 'star': 5}
{'descr': '此酒店干净，价格贵了点。', 'star': 5}
{'descr': '地段还可以 就是卫生间漏水，一晚上都是哗哗的声音', 'star': 5}
{'descr': '卫生服务等情况不错 就是临街的房间有些吵 总体情况很不错', 'star': 5}
{'descr': '各个方面都还不错，但唯一遗憾的是吹风机太少，一直到退房的时候还是没有，希望能多备一些！', 'star': 5}
{'descr': '不错的地方，交通也挺方便', 'star': 5}
{'descr': 'bucuo', 'star': 3}
{'descr': 'keyi', 'star': 5}
{'descr': '性价比高，卫生整洁，我到每个城市都比较喜欢入住如家。', 'star': 5}
{'descr': '服务还比较好，让服务员调整下房间，立马就调了，就是不做午餐和晚餐比较遗憾', 'star': 5}
{'descr': '不错！', 'star': 5}
{'descr': '房间有点拥挤，总体感觉一般！', 'star': 3}
{'descr': '房间有点拥挤，性价比一般搬吧', 'star': 5}
{'descr': '桃红色的被子很喜欢，墙上的磁砖是黄色的，感觉很不错。去的时候是小长假，189的价格并不低哦，而且我要的是商务大床，房间比较小。服务意识很强，这点做的相当不错。', 'star': 5}
{'descr': '房间有点小，挺干净的。', 'star': 3}
{'descr': '房间有点小，挺干净的。', 'star': 5}
{'descr': '位置不错，但是3月来，海边有点冷了，', 'star': 5}
{'descr': '代朋友订的，感觉房间还蛮紧张的，总体还不错，现在貌似又要出新房型了', 'star': 5}
{'descr': '干净  实惠  ,就是早餐差了点!', 'star': 5}
{'descr': '这次去住非常失望，房卡打不开门，更离谱的是，服务员居然让我背着包跑上跑下好几趟，最后很愤怒的要求换房，还唧唧歪歪', 'star': 5}
{'descr': '还算方便，早餐不怎么样。', 'star': 5}
{'descr': '住了很多次，经验就是，同样的价位，还是选择标间比较好，一来不临街，二来比大床房要宽敞很多', 'star': 3}
{'descr': '一直都是住这家的，虽然在偏街上，不过交通比较方便，附近的地方都可以走路去', 'star': 5}
{'descr': '还好。', 'star': 1}
{'descr': '酒店交通比较方便 房间很干净 而且比较安静  服务员也很热情\r\n唯一的缺点就是早餐品种太少 \r\n', 'star': 5}
{'descr': '去住了很多次，大床房都是临街的，所以对喜欢安静的人来说可能不太好，早餐还可以，品种要再丰富些就好了，不过服务员的态度确实很不错', 'star': 5}
{'descr': '这家酒店是一家新开业的酒店,房间的卫生和设施方面都很不错,住着很舒适,位置也可以交通很方便,但就是房间有点小.', 'star': 3}
{'descr': '经常住如家，这家的环境比较干净整洁，很温馨。', 'star': 3}
{'descr': '已经住过很多次了，感觉还不错，如果房间能再大点就好了，但就这个价位和这个地段，应该是最佳的选择。', 'star': 5}
{'descr': '近年才开张，整体来说还不错，前台服务态度很好，房间偏小。', 'star': 5}
{'descr': '酒店的总体感觉还是可以的，早餐提供的比较丰富.这点我们很满意.卫生和设施条件也算可以.服务也不错，综合水平很高', 'star': 3}
{'descr': '酒店房间挺干净挺舒适的,不过外围环境和空气质量不是很好,不是在市中心,但交通蛮方便的,人员服务态度一般.', 'star': 3}
{'descr': '纯净水是用桶装的,会有一些杂质.后来与大堂经理反映给我换了一桶.而且免费送了一份果盘给我,服务还不错.不过我还是比较喜欢格林豪泰酒店,下次会尝试一下格林豪泰酒店入住', 'star': 3}
{'descr': '房间内的食品及饮用水进货来源还需严把质量关口！！！', 'star': 1}
{'descr': 'GOOD', 'star': 5}
{'descr': '经济型的酒店，性价比都是比较高的，这家酒店也是，酒店卫生服务很好，交通也很方便，可以推荐给大家的！', 'star': 3}
{'descr': '干净 早餐还需要多样化 推薦入住', 'star': 5}
{'descr': '总的来说很好；位置不错，出门左上就是到渔湾、连岛的公交车，很方便；服务也蛮好；性价比不错；就是房间有点小，尤其市内通风不好，窗户打不开，我们入住的时候有人刚退房，里面的烟味很浓，可是窗户打不开，很难闻。要是通风好点就真的非常不错了。', 'star': 5}
{'descr': '酒店与一般经济性酒店软硬件类似，性价比较高，距海边较近。需要完善的是窗户隔音，卫生间异味问题。', 'star': 5}
{'descr': '由于临时有个朋友无法成行，因此之前预定的房间数要求修改，ELONG的客服很不客气的拒绝了修改的请求，理由居然是因为我使用了信用卡担保？！眼看着要损失一间房的预付费用，心情很郁闷。等到了酒店后，前台很周到的提醒我们可以让ELONG客服打到前台来和他们沟通取消之前多预约的房间，并且非常顺利的完成了手续，一点都不繁琐，不知道ELONG的客服是怎么想的，就算当时不能修改订单，但起码告知修改方式吧！害大家白', 'star': 5}
{'descr': '8月份去的，酒店位置很好，出门即有去连岛（33路）、花果山（103路）、渔湾、火车站（102、103路）的公交！非常方便！酒店卫生很好，服务也很到位，喜欢当地人说话细柔的声音。美中不足的就是房间面积确实太小，多少影响舒适度；性价比还可以了，我们去的时候是170元/晚，现在好像还要低了，性价比就更好了。总体感觉不错，推荐!', 'star': 5}
{'descr': '酒店的服务卫生方面还是不错的,设施条件一般了,尤其上网很慢,而且还限制时间,价格方面还算比较合适的.', 'star': 3}
{'descr': '蛮好', 'star': 5}
{'descr': '蛮干净服务也不错', 'star': 5}
{'descr': '酒店很干净,很温馨,而且去旅游旅游景点也很近,价格也实惠.', 'star': 3}
{'descr': '位置方便,服务温馨,一如既往如家风格', 'star': 3}
{'descr': '本来定一天,结果住二天,一如既往如家风格,值得住', 'star': 5}
{'descr': '酒店比较干净，里面设施整洁完善，服务也还不错，交通还是方便的，我们去玩也挺满意的。', 'star': 5}
{'descr': '酒店的房间面积比较小，很压抑的，服务卫生以及设施都很一般的，酒店的位置以及周边的交通出行还方便的，酒店的性价比不是很高的', 'star': 5}
{'descr': '酒店位置很不错,房间里面环境也很好,就是打扫卫生不够及时,当时出去时挂了打扫卫生的牌子,过了2个多小时回来,看还没打扫呢,后来又打的电话才给打扫的.', 'star': 5}
{'descr': '酒店的环境不错的，服务态度很好的，设施很齐全的，位置有点偏了，价格还可以的', 'star': 5}
{'descr': '酒店的硬件设施和卫生情况都很一般，虽然位置还不错，价格相对也比较优惠，但是他们的客房服务员服务不好，拿着毛巾就说我们给污染了，让我们要不洗干净，要不赔钱，其实毛巾也不是用脏的，就是他们浴室有脏的地方，随手擦了一下，还好他们前台的服务人员态度还不错，但是下次我想不会再来了。', 'star': 1}
{'descr': '酒店的环境硬件上设施都很不错，很干净的酒店，服务卫生非常好，位置出行交通也很方便，价格合理适中，还是可以推荐入住的酒店，之前也入住过几家入住，整体来讲都是让我非常满意的。', 'star': 5}
{'descr': 'The room has smoking smell and the drain smells too. New hotel does not look and feel new. ? training of housekeeping staff? ', 'star': 5}
