{'短评内容': '海边，挺好。', '短评打分': 5}
{'短评内容': '性价比不高，地理位置还可以，游玩相对方便。如商务建议不住，价格不值', '短评打分': 1}
{'短评内容': '宾馆地理位置很好，服务员态度不错，但对房间地毯和被套卫生不是很满意。', '短评打分': 3}
{'短评内容': '酒店干净，服务也不错，并且酒店的饭菜也挺不错的，靠海近。', '短评打分': 5}
{'短评内容': '酒店靠山面海 环境不错 停车位置较充足 早餐还算丰富 房间淋浴水压不错 晚上很安静 ', '短评打分': 5}
{'短评内容': '还不错，就是希望可以设备再好些。', '短评打分': 3}
{'短评内容': '位置好，价格合适，比预想的好。满意！支持！', '短评打分': 3}
{'短评内容': '饭店环境优雅，自助早餐品种齐全', '短评打分': 3}
{'短评内容': '大致上都算不错,早餐有中西式选择.美中不足,如果楼层高点更好.', '短评打分': 5}
{'短评内容': '酒店不错，服务不错，菜品价格太高，质量也一般。', '短评打分': 5}
{'短评内容': '在海边，距连岛很方便。只是在酒店里拐来拐过的，住过几次就熟悉了。', '短评打分': 5}
{'短评内容': '每次出差都住，很不错的酒店，下次还会预定', '短评打分': 5}
{'短评内容': '永不推荐，服务恶劣。硬体尚可，员工素质低下。', '短评打分': 3}
{'短评内容': '酒店的位置比较安静，离闹市区又不会太远。房间比较老，但很干净。服务员的服务态度不错。总的来说，是个休闲的好地方', '短评打分': 5}
{'短评内容': '已经不是第一次入住了，每次都很满意，喜欢这里。', '短评打分': 5}
{'短评内容': '酒店位置还可以，离海很近，也比较安静，但设施有些老旧，服务一般吧。', '短评打分': 3}
{'短评内容': '地点不错，离海边很近。停车位也还充足，设施一般，整体服务不错，早餐丰盛。不足的是卫生间的水流太小。', '短评打分': 5}
{'短评内容': '优点：靠海近，靠连岛近，规范的星级酒店\n缺点：大床间房间太小，楼下唱卡拉ok的比较吵，房间浴缸下水有问题，设施比较老旧，儿子不到1.1m，早餐却要收半价24元，其实小孩子根本吃不了什么，酒店不妨大气点。', '短评打分': 5}
{'短评内容': '环境很好，住宿条件很不错，海景很漂亮，就是海滩有点脏，已经入住很多很多次了，每次都没有让我失望。宾馆附近有很多小餐馆，海鲜很新鲜，价格也很便宜，价廉物美。', '短评打分': 5}
{'短评内容': '房间宽敞，设施陈旧，位置不错', '短评打分': 3}
{'短评内容': '我想这是连云港最好的地方了。面朝大海，依山而建。尤其是宾馆马路对面的海滩公园，非常漂亮。自驾去连岛也很方便。不自驾的话，好像公交车站就在宾馆门口。宾馆的一楼是美食广场，味道不错，价格也不贵。出门走两步就是连着几家小饭店，价格也不贵。作为一家老国企，这里很错了。下次来连云港还会住这里。唯一不足的是附近没有超市。', '短评打分': 5}
{'短评内容': '酒店位置很好，就在进入连岛的大堤入口，到连岛大沙湾浴场车程不到十分钟。', '短评打分': 5}
{'短评内容': '酒店毗邻海边，对面是沙滩公园，位置相当不错；服务人员态度好，致电前台询问驾车路线时，能耐心解答，车抵酒店时，又主动致电问询是否已达酒店，服务温馨。', '短评打分': 5}
{'短评内容': '很好。住着很舒服，餐厅的菜也不错。交通方便，离连岛很近', '短评打分': 5}
{'短评内容': '酒店有点旧，但是设施还可以，总体说还不错吧。', '短评打分': 5}
{'短评内容': '酒店离海边很近，位置很好，不过好像都是接待会议的。', '短评打分': 5}
{'短评内容': '环境挺不错的，卫生也好，离海边很近，附近很多好吃的海鲜餐厅。', '短评打分': 5}
{'短评内容': '环境不错 ，服务不错，周围吃海鲜也很方便。', '短评打分': 5}
{'短评内容': '离海边很近，环境也不错，挺好的，已经住过好几次了。', '短评打分': 5}
{'短评内容': '离海边听近的，周围也有不错的海鲜酒家，住宿环境也好。', '短评打分': 5}
{'短评内容': '环境不错，早餐也很丰富，过了马路就是海边，很方便。就是网线不通，有些插座上没有电，自己也懒得找人看看了。', '短评打分': 5}
{'短评内容': '房间和卫生间都挺干净, 离沙滩很近的, 我儿子在沙滩上玩的挺开心的. 有个小问题, 房间的沐浴头水量很难调, 只有很大的水量才能使用沐浴头, 冲在身上有点疼.', '短评打分': 5}
{'短评内容': '宾馆环境还不错，离连岛很近，周围是海鲜一条街，再往前开车走一会就是繁华的市区。不错，值得推荐。不足之处是宾馆内的设施有些陈旧，电视好小，也不是很清晰。', '短评打分': 5}
{'短评内容': '神州宾馆环境真的不错，一面朝山，一面朝海，一出宾馆就是海和沙滩。酒店的早餐很好，品种较多。服务员的素质也还不错。大厅有钢琴。总之，是家不错的四星级酒店。。', '短评打分': 5}
{'短评内容': '神州宾馆海景房真的能看到海而且很近,但山景房没看到什么山', '短评打分': 3}
{'短评内容': '神州宾馆还不错,服务好比较干净', '短评打分': 3}
{'短评内容': '还不错\n老的宾馆,谈不上太好或太坏,还行', '短评打分': 5}
{'短评内容': '酒店设施一般，房间安排的也不尽如人意。投诉了以后才把我们从一个仓库一样的房间转到正常标间的。', '短评打分': 1}
{'短评内容': '可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以可以', '短评打分': 5}
{'短评内容': '性价比很高，离海边又近，只是离开机场稍远了点。', '短评打分': 5}
{'短评内容': '为朋友订的，他经常出差，住过很多酒店，这个只能说还好吧~~', '短评打分': 5}
{'短评内容': '周邊環境很好，單間太小，設施不很好。', '短评打分': 5}
{'短评内容': '位置不错，设施旧，房间太小，大堂礼品店价格居然很便宜', '短评打分': 5}
{'短评内容': '除了位置离海近一点，但是也看不到真正的海。早饭太差，很早就结束了。', '短评打分': 1}
{'短评内容': '在我的坚持下，酒店免费升级成了海景房。房间都不错，就是服务员态度很一般，没有汉庭这样的快捷酒店好', '短评打分': 3}
{'短评内容': '我住的还是所谓的山景房，可惜没想到，我房间根本就没有看到山，旁边都是卫星电视的锅。。。。。。以前还送矿泉水，现在说，只有商务间才送，正不知道4星级酒店的标准到底如何', '短评打分': 5}
{'短评内容': '同事说不错，设施和卫生都挺不错的。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置不错，风景不错，服务态度更不错！就是房间小了点，电视破了点！也能理解，毕竟是老4星嘛！推荐', '短评打分': 5}
{'短评内容': '带宝宝和家人一起去的，玩的很开心，酒店位置很不错，去连岛很方便，餐厅的菜味道也不错，唯一感觉不如意的大床间的床太小了，价格再便宜点就更好啦！', '短评打分': 5}
{'短评内容': '性价比还可以，其他都一般', '短评打分': 5}
{'短评内容': '地理位置很好，在连岛和墟沟中间，交通很方便，能看到大海，服务不错，设施有些陈旧，算满意吧', '短评打分': 5}
{'短评内容': '入住的时候是冬季！我斗没有看见有别的客人~有点凄凉~', '短评打分': 1}
{'短评内容': '正遇到空调检修，房间有点冷，其他都还不错。', '短评打分': 5}
{'短评内容': '环境不错,不过酒店的餐厅不怎么样', '短评打分': 5}
{'短评内容': '感觉很好，服务很周到！', '短评打分': 5}
{'短评内容': '位置不错，去海边和吃海鲜都很方便，双人床有点窄，好像只有1米5左右，装修也有点老了', '短评打分': 5}
{'短评内容': '酒店的地理位置比较好,还就环境也是比较理想的,但就是里的硬件设施有点跟不上,时间太长了,价性比一般.', '短评打分': 5}
{'短评内容': '酒店的硬件设施还还不错，环境和服务都挺好的，交通也算方便。', '短评打分': 5}
{'短评内容': '此酒店在连云港属于比较好的酒店了,环境很好.就是老酒店了,设施有些陈旧,不过很整洁.', '短评打分': 5}
{'短评内容': '原来住过多次这家酒店，感觉不错，性价比高，值得推荐', '短评打分': 5}
