{'短评内容': '非常不错，一直都是很信赖京东', '短评打分': 5}
{'短评内容': '酒店环境很好 很干净很整洁 地理位置很好 交通很便利 不过要是能在订房时 送当天的报纸或是有点小礼品就更给力了 ', '短评打分': 5}
{'短评内容': '房间还是比较新的，空调比较给力，周围小吃也比较多，就是房间比较小！', '短评打分': 5}
{'短评内容': '价格一般，希望服务好点，早餐好点！！下次再来看看。', '短评打分': 5}
{'短评内容': '打车方便 吃饭方便 酒店配套也很齐全 早餐也很不错', '短评打分': 5}
{'短评内容': '酒店房间太小', '短评打分': 3}
{'短评内容': '入住过一次，同事很满意。。。。............', '短评打分': 5}
{'短评内容': '还不错了，交通方便，餐饮也方便，马马虎虎了', '短评打分': 5}
{'短评内容': '不但隔音效果差,  隔冷效果更差,  窗户关住了,  冷风还灌进来,  痛苦!!', '短评打分': 1}
{'短评内容': '价位不错，装修一般，早餐品种有点少，隔音效果一般', '短评打分': 5}
{'短评内容': '早餐品种不够丰富，希望予以改进。。。。。。。。。。', '短评打分': 5}
{'短评内容': '该酒店不怎么样', '短评打分': 3}
{'短评内容': '服务方面要加强，其他OK.\n我是代朋友订的，希望酒店多学学广东的酒店服务。', '短评打分': 5}
{'短评内容': '出行方便 出差专用酒店。 便利为主，打车难啊', '短评打分': 5}
{'短评内容': '酒店环境不错,离合肥工大很近。', '短评打分': 3}
{'短评内容': '很好！很方便，性价比很高，就是早餐一般。房间也很大，卫生间有淋浴和浴缸分开，很干净！下次出差还住那里。', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '很吵', '短评打分': 3}
{'短评内容': '房间比较小，设施还行，房间下面的空调机组有点吵', '短评打分': 5}
{'短评内容': '浙商相比之前价格涨了。性价比差了很多，不会来住了。', '短评打分': 1}
{'短评内容': '不错的，早餐丰盛，我订的高级单间，房间有点偏小哦', '短评打分': 5}
{'短评内容': '交通比較便利\n早餐還算一般\n環境比較一般\n服務馬馬虎虎\n設施略顯低劣\n性價比在合肥不算高...............................................', '短评打分': 1}
{'短评内容': '感觉不怎么样，浴室架子都锈了。服务人员的态度不错，只是感觉好象无心经营。最让人受不了的是嘈杂，夜里换房的人群声音特别大，服务员的声音同步大，一点不考虑对其他客人的影响。还有就是楼里的KTV，让住客难以忍受。估计不会再去了', '短评打分': 1}
{'短评内容': ' 预订凭证找不到，卫生纸湿了还给客人使用，管理需加强', '短评打分': 3}
{'短评内容': '不错，很干净，也很安静，对面有咖啡馆，环境不错！', '短评打分': 3}
{'短评内容': '酒店不错。大堂较小。喜欢早饭的炒粉干。好亲切。 \n', '短评打分': 5}
{'短评内容': '酒店不错。大堂较小。喜欢早饭的炒粉干。好亲切。', '短评打分': 5}
{'短评内容': '酒店比较新，就是房间稍小 。其他都挺好。而且菜也好吃', '短评打分': 5}
{'短评内容': '房间虽然小点，但是还不错，早餐也算是丰富，但是服务员接待比较生硬。地理位置也还不错，会向朋友推荐，但也希望酒店提高软件服务。', '短评打分': 5}
{'短评内容': '合肥性价比很高的商务酒店。\n前厅、楼道、房间都感觉很好，干净、舒适。\n早餐比较简单。\n前台曹丽芳漂亮、热情、效率高，入住1分钟搞定，结账还是她，依然高效。', '短评打分': 5}
{'短评内容': '单间有点小，外面正好有4台风机，晚上睡觉好吵', '短评打分': 5}
{'短评内容': '不错的酒店~\n虽然房间小了些~·\n但还算上档次~\n值得一住', '短评打分': 5}
{'短评内容': '性价比高，适合出差，地理位置很好，价格也不错', '短评打分': 5}
{'短评内容': '合肥性价比很高的商务酒店，很干净、很舒适', '短评打分': 5}
{'短评内容': '宾馆所处的地理位置很方便,条件不错,卫生很好,早餐一般化.', '短评打分': 1}
{'短评内容': '以四星标准来说，房间太小。没有单独的淋浴间，需要站在浴缸里淋浴。', '短评打分': 1}
{'短评内容': '环境优雅舒适，干净卫生，位置较好，但我住的房间，窗户合不紧。', '短评打分': 5}
{'短评内容': '性价比很高，低端不算偏，可惜打的太费劲,没事可以住住', '短评打分': 5}
{'短评内容': '还不错啦，这个价位超值的，还有浴缸，房间挺大的，也很安静', '短评打分': 5}
{'短评内容': '房间装修太老，卫生状况一般，位置较偏，出行不方便，性价比不高。', '短评打分': 1}
{'短评内容': '酒店周围很安静，交通也比较方便，性价比很高，就是房间小了些。', '短评打分': 5}
{'短评内容': '1、该酒店位于市中心，交通较方便，打的到步行街大约9元钱！2、酒店干静卫生，浴室有淋浴和浴缸，浴缸很棒，很是喜欢！房间的隔音效果不错。3、值得一提的是该酒店的前台工作人员，十分敬业，热情、周到！离店的时候把数码相机遗忘在酒店的抽屉里了，等我到家的时候（不在同城）才发现相机的事，幸运的是在发现之时房间没有被开出去，呵呵，酒店的工作人员帮我找到了相机，并且帮我快递了回来，在这里，向你们说一声感谢！4、', '短评打分': 5}
{'短评内容': '酒店价格不贵。 服务也不错。下次来还会住', '短评打分': 5}
{'短评内容': ' 地区位置好 市中心 房间装饰不错 早餐种类少 电梯不太灵敏', '短评打分': 3}
{'短评内容': '总体来说还可以，除了房间面积小了一点，性价比一般', '短评打分': 1}
{'短评内容': '还不错，性价比可以，但是周围环境不行，而且楼下的中央空调真是给力', '短评打分': 5}
{'短评内容': '环境可以。', '短评打分': 3}
{'短评内容': '酒店位置很好,离包公祠很近.吃饭也很方便.卫生条件也不错,床很舒服.推荐入住.', '短评打分': 5}
{'短评内容': '房间小，早餐也不怎么样，位置也不行啊！！', '短评打分': 1}
{'短评内容': '浙商酒店是全国连锁酒店,出差全国各地都会入住,挺不错', '短评打分': 5}
{'短评内容': '性价比抬高拉 很满意...........................', '短评打分': 5}
{'短评内容': '房间设施很好~环境也不错~有些缺点就是电视节目不多~电梯一般~整体性价比可以~下次还会入住', '短评打分': 3}
{'短评内容': '不错的，干净，整洁，实惠，我每次都住这里的。', '短评打分': 5}
{'短评内容': '位置极佳!性价比较高.只是建议卫生间洗浴设施可更加人性化', '短评打分': 3}
{'短评内容': '位置不错,靠近餐饮消费区.房间性价比高，已经是第2次入住了', '短评打分': 5}
{'短评内容': '所处位置还挺方便，酒店也挺新的，服务也还可以，下次还来入住', '短评打分': 5}
{'短评内容': '内部设施还是挺新的，装修的也不错，在合肥这样的酒店已经算是很不错的了，值得推荐', '短评打分': 5}
{'短评内容': '很不错的酒店，设施还是挺好的，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '非常豪华，感觉很好，豪华~~~~\n下次还会继续~~~', '短评打分': 5}
{'短评内容': '非常不错的酒店，早餐特别棒', '短评打分': 3}
{'短评内容': '这间酒店卫生间、床的设施很好，房间面积稍显小了点，电视节目不够丰富。', '短评打分': 5}
{'短评内容': '硬件非常不错，周边吃饭很方便，就是冷却塔噪音太大影响休息', '短评打分': 5}
{'短评内容': ' 环境不错，住的舒服。就是窗外的中央空调外机太吵！', '短评打分': 3}
{'短评内容': '装修不错，床很舒适，离包河很近，适合吃饭和游览，下次还会入住', '短评打分': 5}
{'短评内容': '性价比不错。 \n\n房间干净，卫生间设施不错。\n\n早餐比较丰富，停车场停车方便。 ', '短评打分': 5}
{'短评内容': '服务还不错，不过服务员半夜敲门说我房间漏水声，很气愤，被硬生生叫起来。结果是墙里的水管声。。。。第二天晕沉沉的。', '短评打分': 5}
{'短评内容': '很好 离办事地点近 ............', '短评打分': 5}
{'短评内容': '装修比较新的酒店，各方面条件都不错，价格也比较合适。', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '房间不错，早餐也还好', '短评打分': 3}
{'短评内容': '房间有点小。本来准备住两天的，第二天就搬走了。住和平国际去了', '短评打分': 1}
{'短评内容': '价格合计，装修不错，非常不错的酒店。。！！！', '短评打分': 5}
{'短评内容': '位置不错，性价比很好，床垫很舒服,早餐需改进。', '短评打分': 5}
{'短评内容': '位置不错，房间也挺好，新装修的四星酒店，推荐', '短评打分': 5}
{'短评内容': '上次就是住这家酒店 很舒服 这次明显感觉前台的服务变的更舒服更好 虽然空调是送风 但是也是凉爽爽的风 很好', '短评打分': 5}
{'短评内容': '及衛浴都不錯,早餐很好吃,只是房間沒有冷氣,只有送風,感覺非常的失望,下次要應該不會在入住了', '短评打分': 1}
{'短评内容': '房间隔音不好。', '短评打分': 3}
{'短评内容': '值得推荐······································', '短评打分': 5}
{'短评内容': '房间不错，感觉很大，很不错,这个价格住这个酒店是很超值的', '短评打分': 5}
{'短评内容': '酒店位置非常好！属于主城区闹中取静的地方，房间干净明亮，价格也很适中，值得推荐。对面有家战略高手连锁网吧，超级大，上网吃饭都很方便！', '短评打分': 5}
{'短评内容': '房间及设施都很不错，但前台服务员的水平还不如招待所里的阿姨，速度奇慢，对知识的掌握也很差。。。。。。。。', '短评打分': 1}
{'短评内容': '周围环境便利、硬件设施完善、有浴场、ktv配套。。。值得推荐', '短评打分': 5}
{'短评内容': '酒店装潢不错，单人间面积较小，其它方面尚可，地理位置较好，出行方便', '短评打分': 5}
{'短评内容': '设施不错，网速500K/S，比较满意。下次来还选择这里。', '短评打分': 5}
{'短评内容': '一般般。在公司报销标准内的酒店，离办事的地方又近的，还凑合吧。', '短评打分': 1}
{'短评内容': '房间设施不错，隔音不好。洗澡水不够热。', '短评打分': 3}
{'短评内容': '酒店不错，但附近很难打到车，等了半个多小时，差点没赶上火车。', '短评打分': 1}
{'短评内容': '晚上还有有点吵，窗户有点小，因为酒店时间不长，所以装修还比较新', '短评打分': 5}
{'短评内容': '整体上还不错，不过比去年入住的时候感觉还有很多改进的地方，晚上水不热，让服务员重新修了', '短评打分': 5}
{'短评内容': '酒店设施还好，房间很温暖。地段也方便，下次还会光顾。', '短评打分': 5}
{'短评内容': '很不错的酒店！\n离包公祠比较近，步行就可以的到！\n房间设施比较新，也比较有品味！\n唯一不足的地方：房间隔音比较差！', '短评打分': 5}
{'短评内容': '酒店房间的浴缸很不错！早餐很好！房间别致，小资的人应该都喜欢！', '短评打分': 5}
{'短评内容': '房间设施很好，细节做的很到位，比如洗衣粉就有位顾客准备，不足之处就是也不知道是地段太繁华了还是什么原因，尽管住在11层也是稍微有点吵的，还有就是房间有小，不过还是很熟时啦。', '短评打分': 5}
{'短评内容': '酒店交通方便,早餐蛮好的,总得来说这价位在合肥还算是比较合理的', '短评打分': 5}
{'短评内容': '服务员培训有些差,早上结帐很慢,而且感觉很不耐烦.位置和内部环境还是不错的', '短评打分': 5}
{'短评内容': '前台没有笑脸，板着个脸，而且只有一个人，感觉冷清，一般了...', '短评打分': 1}
{'短评内容': '同事第二次出差至合肥，第一次住的是安徽饭店，由于太老，设施比较陈旧，这次选择了浙商假日酒店，同事很满意。', '短评打分': 5}
{'短评内容': '环境很好 但是隔音效果一般 最喜爱的是有大浴缸 很舒服 很干净  房间比较小  服务也不错 ', '短评打分': 5}
{'短评内容': '早餐很不错，房间也比较舒适，周围小吃也多，去哪也很方便，从机场打的过去只要14元，两个人算起来比坐机场大巴还便宜啊！', '短评打分': 5}
{'短评内容': '酒店很豪华，可以相信的酒店。合肥里算不错的了。', '短评打分': 5}
{'短评内容': '还可以，就是房间隔音差!早餐不是太好，但能吃下', '短评打分': 5}
{'短评内容': '酒店不行，就是房间面积小了点，房间内挺干净土的', '短评打分': 1}
{'短评内容': '早餐与郑州粤海想比差了一点，房间还是一如既往的好，希望窗户可以换成双层提高隔音。。。', '短评打分': 5}
{'短评内容': '酒店硬件不错，性价比好。知识服务质量还需要进一步提升！', '短评打分': 5}
{'短评内容': '装修较新，内部环境不错。液晶电视比锦江之星大多了，不错！', '短评打分': 5}
{'短评内容': '经常入住，就是停车不太方便，希望店家能想想管理办法', '短评打分': 5}
{'短评内容': '确实不错，物美价廉，早点很丰盛，比两淮豪生都要好', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': ' 酒店很好，很干净，强烈推荐。', '短评打分': 3}
{'短评内容': '酒店设施、服务都还不错，就是退房时间为12点，有点早了。现在大部分的酒店退房时间都为14时，希望该酒店也能改一改。', '短评打分': 5}
{'短评内容': '超棒！308元的房间真的很爽，累了一天晚上泡个澡无比舒爽', '短评打分': 5}
{'短评内容': '一般，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': ' 房间有点小，不怎么隔音。其他还可以。', '短评打分': 3}
{'短评内容': '酒店整体感觉不错，就是靠马路边，有点吵，不是很安静。', '短评打分': 5}
{'短评内容': '不错，很好，就是价格贵了点。性价比不是很高。服务态度还行。', '短评打分': 5}
{'短评内容': '第二天没有退房，晚上回来，房间没收拾，有点失落\n虽然叫人来整理了，但还是觉得，是这样的水准吗？', '短评打分': 5}
{'短评内容': '还可以，就是卫生间没装电话，同事来电话，正好在卫生间，非常不方便……', '短评打分': 5}
{'短评内容': '性价比一般,就近办事可以考虑.房间有一点小.', '短评打分': 5}
{'短评内容': '房间过小,有赠送软饮等,餐饮不错,性价比尚可', '短评打分': 5}
{'短评内容': '环境不错，很干净。交通也很方便，离机场酒店都不远', '短评打分': 5}
{'短评内容': '干净,舒服.性价比还可以。交通也比较方便。', '短评打分': 5}
{'短评内容': '酒店离合工大真的很近，步行3分钟就到了，酒店设施很新，很干净，不错！', '短评打分': 3}
{'短评内容': '很好 环境很不错 比较不错~~就是性价比低了点\n', '短评打分': 5}
{'短评内容': '环境设施都不错。房间大小适中。价格稍微偏高。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '环境还是很不错的', '短评打分': 3}
{'短评内容': '很好，至少相当四星级，酒店也很新。', '短评打分': 3}
{'短评内容': '不错,位置方便,但沿街隔音差点', '短评打分': 3}
{'短评内容': '不错，设施比较新，环境还可以，不过貌似空调制暖不是很好？还是我没弄好？  不过下次还会入住。', '短评打分': 5}
{'短评内容': '酒店很好。', '短评打分': 3}
{'短评内容': '不错 很好 就是早餐太简单了\n下次去我还会住在那里啊\n', '短评打分': 5}
{'短评内容': '我们已经入住', '短评打分': 5}
{'短评内容': '饭店设施非常新,房间比较舒适,服务人员比较专业,热情周到,餐厅服务很好.', '短评打分': 3}
{'短评内容': '设施较新，服务很好，', '短评打分': 5}
{'短评内容': '是以前我们的宿舍改建的，比较亲切。新开的酒店，各项设施都很新，位置也不错，距离包公祠也就是步行的距离。', '短评打分': 5}
{'短评内容': '  每次都住这，习惯了…', '短评打分': 5}
{'短评内容': '酒店里面的早餐一般，品种不多；附近设施一般；无水果赠送；住宿隔音效果差；离火车站比较近，但是目前附近修路及交通拥堵', '短评打分': 1}
{'短评内容': '还不错，比较新，空调声不大丫', '短评打分': 5}
{'短评内容': '酒店很新，硬件不错，服务态度一般，自助早餐应该更丰富些。', '短评打分': 5}
{'短评内容': '酒店很新，装修很新，房间很小，那个空调机有点吵，其他还可以，对了，早餐厅服务员跟开故事会一样，别人吃饭，还在旁边几个一群聊天。这个不太好', '短评打分': 3}
{'短评内容': '酒店的位置,靠着合工大\r\n房间的面积不大,有些感觉挤的了 \r\n对客服务上能够做到 较快速\r\n房内的电视有些台没有图像\r\n\r\n早餐,自助可选择的有几十个品种，但有些基本的都不全面吧 \r\n比如:咖啡和牛奶应该是在一起加热的，但去的时间 只有不多的牛奶的\r\n\r\n酒店门口的市政施工，有些影响出门打车\r\n', '短评打分': 5}
{'短评内容': '这个酒店很新，我本人比较喜欢住新的酒店，房间确实很小，小的两个人转不过来身，硬件还可以，床也很舒服，就是我不知道高级单人间和豪华单人间到底有什么区别，传说中的那个鼓风机确实很吵，我住的是12楼，因为太累，倒头就睡了，第二天才感觉到很吵。浴室的淋浴设计的真是败笔，插在上面洗澡，水全往浴缸外面跑，弄的一地都是水。早餐环境还是不错的，就是中餐种类少，大部分都是甜点，住到现在还是觉得海汇还不错，至少房间大', '短评打分': 5}
{'短评内容': '还好吧，我住了一次，就是屋内的设施最好都整的规范点，别的还好吧\r\n', '短评打分': 5}
{'短评内容': '不错，下次还会住', '短评打分': 3}
{'短评内容': '这个价位来说，很不错了', '短评打分': 3}
{'短评内容': '各方面都不错的酒店，值得再去', '短评打分': 5}
{'短评内容': '位置还不错出行比较方便，服务态度不错，房间的卫生和设施还是挺好的，价格也还不错。', '短评打分': 5}
{'短评内容': '来住了第二次了还是很不错的啊，房间很舒适，还有浴缸，酒店也刚开不久，设施很新的', '短评打分': 5}
{'短评内容': '床比较舒服，早餐品种有点少', '短评打分': 5}
{'短评内容': '酒店比较新，房间里很干净，设施也比较新，感觉挺豪华挺舒适的。', '短评打分': 5}
{'短评内容': '酒店是新的，房间很小，但是房间的窗户居然关不严，而且后面就是巨大的中央空调主机，很吵的；', '短评打分': 1}
{'短评内容': '房间面积比较小.餐点品种很少.停车不方便.其它各方面还行.', '短评打分': 1}
{'短评内容': '还可以，离合工大很近。', '短评打分': 5}
{'短评内容': '这是一家新开的酒店，各方面都挺好的，客人入住反映很好。', '短评打分': 5}
{'短评内容': '很不错啊，房间很新，睡觉很舒服安静，性价比高', '短评打分': 5}
